,NeuralAgent_Student1_200cAgent,Student1_200cAgent
0,3.92,1.095
1,3.62,1.495
2,3.705,1.58
3,3.57,1.595
4,3.59,1.59
5,3.495,1.645
6,3.285,1.785
7,3.44,1.615
8,3.53,1.505
9,3.81,1.535
10,3.375,1.5
11,3.55,1.625
12,3.495,1.645
13,3.46,1.785
14,3.545,1.72
15,3.58,1.53
16,3.185,1.535
17,3.545,1.62
18,3.305,1.805
19,3.59,1.59
20,3.42,1.645
21,3.575,1.475
22,3.42,1.595
23,3.52,1.47
24,3.515,1.665
25,3.285,1.735
26,3.755,1.455
27,3.405,1.805
28,3.445,1.595
29,3.775,1.35
30,3.635,1.51
31,3.715,1.44
32,3.33,1.58
33,3.68,1.38
34,3.01,1.735
35,3.52,1.47
36,3.65,1.4
37,3.485,1.585
38,3.23,1.455
39,3.84,1.415
40,3.66,1.485
41,3.335,1.41
42,3.89,1.29
43,3.555,1.555
44,3.605,1.455
45,3.635,1.285
46,3.475,1.475
47,3.79,1.415
48,3.225,1.65
49,3.375,1.55
50,3.33,1.655
51,3.44,1.465
52,3.62,1.495
53,3.445,1.52
54,2.76,1.785
55,3.535,1.56
56,3.38,1.58
57,3.48,1.355
58,3.24,1.39
59,3.68,1.405
60,3.675,1.425
61,3.575,1.55
62,3.525,1.375
63,3.45,1.525
64,3.72,1.495
65,3.41,1.585
66,3.38,1.505
67,3.515,1.265
68,3.775,1.475
69,3.77,1.345
70,3.42,1.395
71,3.29,1.64
72,3.77,1.27
73,3.76,1.26
74,3.63,1.33
75,3.31,1.46
76,3.46,1.46
77,3.455,1.555
78,3.37,1.42
79,2.93,1.705
80,3.535,1.46
81,3.45,1.4
82,3.605,1.655
83,3.685,1.385
84,3.445,1.37
85,3.33,1.505
86,3.145,1.57
87,3.745,1.195
88,3.7,1.375
89,3.895,1.245
90,3.885,1.26
91,3.38,1.605
92,3.365,1.415
93,3.89,1.34
94,3.665,1.39
95,3.65,1.2
96,3.6,1.325
97,3.54,1.34
98,3.325,1.575
99,3.495,1.22
100,3.805,1.33
101,3.325,1.675
102,3.565,1.465
103,3.335,1.51
104,3.375,1.5
105,3.44,1.315
106,3.25,1.575
107,3.55,1.275
108,3.56,1.235
109,3.31,1.46
110,3.9,1.2
111,3.715,1.165
112,3.6,1.425
113,3.475,1.25
114,3.59,1.215
115,3.54,1.49
116,3.395,1.395
117,3.555,1.33
118,3.715,1.19
119,3.575,1.15
120,3.77,1.32
121,3.7,1.325
122,3.56,1.235
123,3.56,1.285
124,3.43,1.255
125,3.715,1.265
126,3.16,1.535
127,3.505,1.38
128,3.57,1.27
129,3.72,1.32
130,3.47,1.22
131,3.105,1.355
132,3.385,1.335
133,3.855,1.18
134,3.345,1.295
135,3.39,1.315
136,3.425,1.3
137,3.745,1.12
138,3.815,1.19
139,3.585,1.36
140,3.46,1.385
141,3.77,1.17
142,3.72,1.22
143,3.465,1.265
144,3.4,1.375
145,3.83,1.205
146,3.635,1.26
147,3.64,1.115
148,3.595,1.27
149,3.6,1.2
150,3.46,1.085
151,2.88,1.43
152,3.33,1.08
153,3.565,1.215
154,3.85,1.1
155,3.48,1.13
156,3.64,1.165
157,3.6,1.1
158,3.61,1.135
159,3.6,0.95
160,3.635,1.135
161,3.545,1.22
162,3.735,1.085
163,3.3,1.225
164,3.3,1.15
165,3.785,1.16
166,3.755,0.98
167,3.3,1.075
168,3.835,1.16
169,3.75,1.175
170,3.795,1.22
171,3.64,1.19
172,3.81,1.185
173,3.27,1.095
174,3.84,0.865
175,3.95,0.975
176,3.715,0.965
177,3.325,1.175
178,4.01,0.835
179,3.46,1.06
180,3.675,0.95
181,3.615,1.115
182,3.63,0.98
183,3.59,0.99
184,3.39,1.19
185,3.755,1.005
186,3.77,1.07
187,3.79,0.99
188,3.885,0.96
189,3.775,1.1
190,3.73,0.83
191,3.805,0.955
192,3.495,1.045
193,3.59,0.89
194,3.445,0.97
195,3.785,1.01
196,3.755,1.03
197,3.585,1.035
198,3.89,0.89
199,3.655,1.08
200,3.985,0.86
201,3.655,0.855
202,3.75,0.975
203,3.835,1.035
204,3.56,1.11
205,3.665,0.94
206,3.435,0.935
207,3.79,0.915
208,3.61,1.035
209,3.885,0.86
210,3.65,1.175
211,3.91,0.785
212,3.795,0.97
213,3.67,0.895
214,3.615,0.965
215,3.905,0.855
216,3.465,0.94
217,3.45,0.975
218,3.965,0.79
219,3.865,0.815
220,3.785,0.91
221,3.83,0.905
222,3.86,0.835
223,4.19,0.765
224,3.49,0.865
225,3.545,0.845
226,3.625,0.9
227,3.96,0.885
228,3.755,0.805
229,3.79,0.915
230,3.885,0.935
231,4.155,0.73
232,3.86,0.835
233,3.685,0.81
234,3.965,0.665
235,3.78,0.83
236,3.81,0.735
237,3.605,0.98
238,3.55,0.85
239,3.805,0.855
240,4.33,0.605
241,4.12,0.745
242,3.655,0.905
243,3.645,0.87
244,3.995,0.77
245,4.08,0.68
246,3.845,0.845
247,3.335,0.985
248,3.515,0.815
249,3.54,0.765
250,3.74,0.89
251,3.695,0.745
252,3.9,0.775
253,3.465,1.015
254,4.12,0.695
255,3.685,0.685
256,3.88,0.655
257,3.83,0.755
258,4.015,0.69
259,3.855,0.68
260,4.095,0.795
261,3.61,0.81
262,3.99,0.715
263,3.99,0.665
264,3.925,0.675
265,3.965,0.74
266,3.815,0.64
267,3.46,0.985
268,3.34,1.015
269,3.755,0.78
270,3.615,0.79
271,3.905,0.655
272,3.73,0.655
273,3.805,0.73
274,3.7,0.7
275,3.97,0.62
276,4.15,0.55
277,3.61,0.71
278,3.875,0.625
279,3.93,0.58
280,4.04,0.59
281,3.665,0.69
282,3.835,0.685
283,4.065,0.64
284,3.515,0.89
285,3.98,0.555
286,3.46,0.735
287,3.535,0.835
288,3.73,0.705
289,4.19,0.69
290,3.805,0.73
291,3.805,0.705
292,3.88,0.705
293,3.935,0.61
294,3.41,0.76
295,3.855,0.555
296,3.73,0.705
297,3.915,0.615
298,3.9,0.575
299,3.915,0.49
300,4.055,0.555
301,4.185,0.56
302,3.925,0.65
303,3.755,0.705
304,3.82,0.57
305,3.195,0.795
306,3.815,0.64
307,3.72,0.745
308,3.915,0.615
309,3.84,0.615
310,3.995,0.695
311,3.89,0.665
312,3.835,0.635
313,3.655,0.755
314,3.875,0.625
315,3.695,0.745
316,3.87,0.72
317,3.85,0.55
318,3.83,0.605
319,4.095,0.545
320,3.885,0.61
321,4.2,0.475
322,4.1,0.55
323,3.92,0.645
324,3.85,0.6
325,3.44,0.69
326,3.995,0.495
327,4.075,0.6
328,4.03,0.53
329,4.02,0.545
330,3.925,0.55
331,3.825,0.65
332,3.73,0.73
333,4.1,0.575
334,3.855,0.68
335,3.53,0.68
336,4.24,0.59
337,3.475,0.675
338,3.53,0.73
339,3.615,0.79
340,3.87,0.645
341,3.825,0.6
342,3.78,0.63
343,3.965,0.515
344,3.955,0.555
345,3.79,0.69
346,3.84,0.515
347,3.9,0.575
348,3.945,0.495
349,3.98,0.505
350,4.075,0.45
351,3.59,0.615
352,3.83,0.505
353,3.69,0.515
354,4.07,0.495
355,3.42,0.77
356,3.78,0.68
357,3.925,0.55
358,3.735,0.635
359,3.805,0.68
360,4.14,0.44
361,3.865,0.69
362,3.945,0.52
363,3.97,0.57
364,3.905,0.63
365,3.73,0.58
366,3.62,0.745
367,4.005,0.555
368,3.725,0.7
369,3.88,0.48
370,3.815,0.54
371,4.11,0.485
372,4.07,0.495
373,3.33,0.73
374,3.805,0.48
375,3.815,0.54
376,3.785,0.535
377,4.17,0.445
378,4.22,0.52
379,4.13,0.48
380,3.785,0.51
381,3.815,0.665
382,3.83,0.53
383,3.785,0.585
384,4.04,0.39
385,3.43,0.53
386,3.635,0.635
387,3.655,0.605
388,4.05,0.45
389,4.01,0.435
390,4.1,0.4
391,4.13,0.48
392,4.1,0.375
393,3.895,0.545
394,3.87,0.495
395,4.02,0.57
396,4.27,0.37
397,3.895,0.47
398,4.025,0.475
399,3.885,0.56
400,3.98,0.505
401,3.895,0.52
402,4.07,0.445
403,4.01,0.41
404,3.78,0.58
405,3.875,0.425
406,4.02,0.395
407,4.195,0.42
408,3.855,0.43
409,4.13,0.38
410,4.195,0.395
411,3.765,0.515
412,4.08,0.455
413,4.06,0.46
414,3.875,0.4
415,3.86,0.46
416,4.06,0.485
417,3.83,0.43
418,3.87,0.445
419,4.115,0.365
420,3.885,0.46
421,4.285,0.31
422,4.05,0.4
423,3.965,0.465
424,3.84,0.515
425,3.89,0.465
426,3.935,0.435
427,4.04,0.39
428,4.015,0.515
429,3.72,0.52
430,3.975,0.45
431,3.605,0.555
432,4.095,0.47
433,3.835,0.51
434,4.09,0.415
435,3.94,0.54
436,4.15,0.425
437,4.1,0.475
438,3.83,0.53
439,3.8,0.5
440,4.0,0.475
441,3.72,0.47
442,3.84,0.59
443,3.47,0.595
444,4.17,0.37
445,3.965,0.465
446,4.24,0.29
447,3.895,0.445
448,4.17,0.37
449,3.98,0.405
450,3.71,0.485
451,3.865,0.465
452,3.97,0.47
453,4.025,0.45
454,4.205,0.28
455,3.735,0.51
456,3.63,0.53
457,3.79,0.565
458,3.955,0.355
459,4.185,0.41
460,3.715,0.615
461,4.09,0.39
462,4.155,0.355
463,3.9,0.475
464,3.945,0.445
465,4.195,0.37
466,4.1,0.35
467,3.925,0.425
468,4.13,0.33
469,3.98,0.43
470,3.845,0.37
471,3.81,0.46
472,3.995,0.345
473,4.245,0.27
474,4.0,0.525
475,3.935,0.41
476,4.035,0.385
477,4.185,0.31
478,4.185,0.46
479,4.1,0.425
480,3.525,0.45
481,3.93,0.43
482,4.0,0.35
483,4.255,0.355
484,4.285,0.285
485,3.795,0.42
486,4.065,0.415
487,3.71,0.56
488,4.065,0.415
489,4.09,0.465
490,4.015,0.34
491,3.87,0.395
492,3.915,0.49
493,4.11,0.335
494,3.685,0.51
495,4.17,0.32
496,4.295,0.345
497,4.02,0.445
498,4.135,0.335
499,3.615,0.49
500,4.305,0.305
501,3.82,0.47
502,4.205,0.33
503,4.28,0.305
504,3.775,0.525
505,4.035,0.36
506,3.655,0.505
507,3.85,0.425
508,3.825,0.375
509,3.71,0.46
510,4.225,0.225
511,4.18,0.355
512,3.85,0.5
513,3.95,0.375
514,4.045,0.37
515,4.23,0.28
516,3.805,0.38
517,4.28,0.305
