,NeuralAgent_Student13_200bAgent_rng,Student13_200bAgent
0,3.55,0.6
1,0.555,3.28
2,1.39,2.74
3,3.75,1.675
4,3.53,1.78
5,3.16,1.81
6,0.45,3.2
7,3.46,1.735
8,3.975,1.525
9,0.475,3.1
10,3.93,1.43
11,3.005,2.105
12,3.035,1.96
13,2.0,2.4
14,3.58,1.755
15,3.035,1.985
16,0.47,3.12
17,3.96,1.56
18,0.415,3.34
19,3.175,1.925
20,2.65,2.225
21,0.86,3.01
22,3.78,1.655
23,2.21,2.435
24,3.11,1.835
25,3.285,1.96
26,0.455,3.18
27,0.48,3.08
28,0.5,3.0
29,0.455,3.18
30,3.34,1.715
31,2.185,2.46
32,2.69,2.215
33,3.88,1.63
34,3.935,1.56
35,3.015,2.165
36,1.635,2.76
37,2.7,2.0
38,3.805,1.73
39,3.175,2.025
40,0.59,2.915
41,2.46,2.235
42,2.54,2.44
43,3.85,1.55
44,2.365,2.49
45,3.815,1.665
46,3.58,1.605
47,3.77,1.745
48,0.51,2.96
49,3.71,1.835
50,3.47,1.82
51,3.015,2.19
52,2.815,2.165
53,3.22,1.745
54,2.04,2.54
55,2.675,2.15
56,3.05,2.15
57,3.22,1.895
58,1.555,2.755
59,0.445,3.22
60,3.295,1.945
61,3.145,1.995
62,3.775,1.725
63,0.955,3.055
64,2.065,2.54
65,3.48,1.955
66,1.305,2.68
67,0.515,3.19
68,3.755,1.53
69,3.675,1.85
70,0.47,3.12
71,0.425,3.3
72,3.63,1.83
73,2.52,2.22
74,3.345,1.795
75,0.52,3.17
76,0.83,3.005
77,1.705,2.63
78,3.745,1.795
79,1.715,2.69
80,1.565,2.715
81,3.715,1.79
82,2.18,2.555
83,1.585,2.935
84,2.985,2.06
85,2.27,2.52
86,3.47,1.87
87,3.35,1.925
88,0.485,3.535
89,2.945,2.145
90,3.585,1.935
91,1.66,2.735
92,0.54,2.89
93,3.21,2.135
94,1.265,3.065
95,3.7,1.8
96,2.775,2.35
97,2.05,2.675
98,3.58,1.955
99,0.85,3.2
100,0.395,3.42
101,3.615,1.865
102,2.995,2.12
103,3.745,1.845
104,2.115,2.665
105,1.495,2.945
106,2.46,2.485
107,3.505,1.955
108,1.58,2.78
109,3.77,1.745
110,1.075,3.1
111,3.41,2.01
112,0.905,3.305
113,3.805,1.755
114,2.52,2.42
115,2.605,2.455
116,3.575,1.875
117,3.415,1.965
118,2.655,2.33
119,3.675,1.925
120,2.495,2.52
121,3.79,1.765
122,0.95,3.2
123,2.76,2.31
124,3.315,2.165
125,3.31,2.135
126,2.92,2.37
127,3.7,1.85
128,1.765,2.865
129,1.69,3.015
130,1.775,2.8
131,2.51,2.46
132,2.655,2.505
