,NeuralAgentOpMe_Student13_200cAgent_rng,Student13_200cAgent
0,0.265,4.265
1,0.295,4.12
2,0.27,4.22
3,0.28,4.205
4,0.195,4.495
5,0.29,4.19
6,0.275,4.25
7,0.24,4.34
8,0.32,4.045
9,0.18,4.555
10,0.245,4.295
11,0.19,4.54
12,0.205,4.43
13,0.18,4.605
14,0.21,4.485
15,0.225,4.375
16,0.24,4.34
17,0.175,4.6
18,0.235,4.36
19,0.19,4.515
20,0.185,4.61
21,0.18,4.58
22,0.18,4.63
23,0.145,4.72
24,0.145,4.695
25,0.135,4.735
26,0.13,4.78
27,0.15,4.7
28,0.15,4.7
29,0.12,4.77
30,0.18,4.605
31,0.14,4.715
32,0.185,4.585
33,0.14,4.74
34,0.165,4.715
35,0.155,4.655
36,0.17,4.645
37,0.165,4.665
38,0.135,4.735
39,0.13,4.78
40,0.18,4.58
41,0.125,4.825
42,0.115,4.815
43,0.13,4.78
44,0.165,4.665
45,0.12,4.82
46,0.135,4.735
47,0.135,4.76
48,0.13,4.805
49,0.115,4.815
50,0.105,4.855
51,0.11,4.835
52,0.08,4.93
53,0.165,4.665
54,0.12,4.82
55,0.1,4.9
56,0.1,4.85
57,0.1,4.875
58,0.105,4.855
59,0.145,4.795
60,0.145,4.745
61,0.1,4.9
62,0.125,4.8
63,0.125,4.85
64,0.135,4.81
65,0.085,4.91
66,0.105,4.88
67,0.095,4.895
68,0.08,4.93
69,0.11,4.86
70,0.135,4.785
71,0.075,4.95
72,0.085,4.91
73,0.14,4.79
74,0.085,4.91
75,0.15,4.775
76,0.095,4.895
77,0.08,4.93
78,0.11,4.86
79,0.135,4.785
80,0.075,4.95
81,0.08,4.93
82,0.11,4.86
83,0.085,4.935
84,0.12,4.845
85,0.105,4.88
86,0.1,4.875
87,0.09,4.915
88,0.095,4.895
89,0.115,4.84
90,0.09,4.915
91,0.085,4.935
92,0.085,4.935
93,0.095,4.92
94,0.085,4.935
95,0.08,4.93
96,0.11,4.86
97,0.075,4.95
98,0.09,4.915
99,0.115,4.865
100,0.095,4.895
101,0.09,4.915
102,0.1,4.9
103,0.075,4.95
104,0.145,4.795
105,0.105,4.905
106,0.075,4.95
107,0.1,4.9
108,0.115,4.865
109,0.095,4.92
110,0.085,4.91
111,0.09,4.915
112,0.135,4.835
113,0.105,4.905
114,0.1,4.9
115,0.1,4.875
116,0.095,4.92
117,0.11,4.885
118,0.075,4.95
119,0.115,4.865
120,0.095,4.895
121,0.11,4.885
122,0.08,4.93
123,0.075,4.95
124,0.1,4.875
125,0.125,4.825
126,0.075,4.95
127,0.085,4.935
128,0.145,4.77
129,0.13,4.83
130,0.135,4.81
131,0.12,4.845
132,0.1,4.875
133,0.09,4.915
134,0.125,4.85
135,0.125,4.825
136,0.13,4.83
137,0.115,4.89
138,0.075,4.95
139,0.11,4.885
140,0.11,4.86
141,0.11,4.885
142,0.075,4.95
143,0.08,4.93
144,0.1,4.9
145,0.085,4.935
146,0.11,4.86
147,0.075,4.95
148,0.075,4.95
149,0.095,4.92
150,0.095,4.92
151,0.08,4.93
152,0.11,4.885
153,0.075,4.95
154,0.085,4.935
155,0.085,4.935
156,0.085,4.935
157,0.105,4.905
158,0.1,4.9
159,0.1,4.875
160,0.12,4.87
161,0.095,4.92
162,0.08,4.93
163,0.075,4.95
164,0.095,4.92
165,0.075,4.95
166,0.075,4.95
167,0.095,4.92
168,0.075,4.95
169,0.105,4.905
170,0.095,4.92
171,0.09,4.915
172,0.095,4.92
173,0.09,4.915
174,0.09,4.915
175,0.12,4.845
176,0.1,4.9
177,0.075,4.95
178,0.09,4.915
179,0.1,4.9
180,0.115,4.865
181,0.075,4.95
182,0.1,4.9
183,0.075,4.95
184,0.08,4.93
185,0.115,4.865
186,0.085,4.935
187,0.075,4.95
188,0.1,4.9
189,0.125,4.875
190,0.085,4.935
191,0.08,4.93
192,0.085,4.935
193,0.09,4.915
194,0.115,4.865
195,0.075,4.95
196,0.085,4.935
197,0.085,4.935
198,0.085,4.935
199,0.115,4.865
200,0.105,4.88
201,0.12,4.845
202,0.09,4.915
203,0.075,4.95
204,0.085,4.935
205,0.075,4.95
206,0.075,4.95
207,0.075,4.95
208,0.105,4.88
209,0.075,4.95
210,0.09,4.915
211,0.09,4.915
212,0.075,4.95
213,0.085,4.935
214,0.095,4.92
215,0.085,4.935
216,0.075,4.95
217,0.11,4.885
218,0.085,4.935
219,0.075,4.95
220,0.085,4.935
221,0.095,4.92
222,0.075,4.95
223,0.12,4.845
224,0.09,4.915
225,0.075,4.95
226,0.09,4.915
227,0.095,4.92
228,0.075,4.95
229,0.085,4.91
230,0.075,4.95
231,0.1,4.9
232,0.12,4.87
233,0.085,4.935
234,0.075,4.95
235,0.11,4.885
236,0.075,4.95
237,0.095,4.92
238,0.09,4.915
239,0.085,4.935
240,0.075,4.95
241,0.105,4.905
242,0.085,4.935
243,0.085,4.935
244,0.125,4.825
245,0.075,4.95
246,0.14,4.815
247,0.09,4.915
248,0.1,4.9
249,0.1,4.9
250,0.08,4.93
251,0.11,4.885
252,0.105,4.905
253,0.095,4.92
254,0.085,4.935
255,0.105,4.905
256,0.1,4.9
257,0.115,4.865
258,0.075,4.95
259,0.085,4.935
260,0.075,4.95
261,0.085,4.935
262,0.085,4.935
263,0.075,4.95
264,0.085,4.935
265,0.09,4.915
266,0.075,4.95
267,0.075,4.95
268,0.085,4.935
269,0.1,4.9
270,0.095,4.92
271,0.085,4.935
272,0.08,4.93
273,0.095,4.895
274,0.095,4.92
275,0.08,4.93
276,0.085,4.935
277,0.125,4.825
278,0.085,4.935
279,0.11,4.885
280,0.095,4.92
281,0.075,4.95
282,0.075,4.95
283,0.085,4.935
284,0.09,4.915
285,0.085,4.935
286,0.105,4.88
287,0.085,4.935
288,0.11,4.86
289,0.085,4.935
290,0.11,4.885
291,0.085,4.935
292,0.11,4.885
293,0.105,4.905
294,0.14,4.815
295,0.1,4.9
296,0.08,4.93
297,0.1,4.9
298,0.115,4.84
299,0.105,4.88
300,0.075,4.95
301,0.09,4.915
302,0.095,4.92
303,0.085,4.935
304,0.12,4.87
305,0.11,4.885
306,0.085,4.935
307,0.125,4.85
308,0.075,4.95
309,0.12,4.82
310,0.095,4.895
311,0.13,4.83
312,0.085,4.935
313,0.075,4.95
314,0.095,4.92
315,0.085,4.935
316,0.1,4.9
317,0.08,4.93
318,0.085,4.935
319,0.14,4.79
320,0.09,4.915
321,0.1,4.9
322,0.12,4.87
323,0.1,4.9
324,0.1,4.9
325,0.115,4.865
326,0.095,4.92
327,0.115,4.89
328,0.075,4.95
329,0.12,4.845
330,0.085,4.935
331,0.105,4.88
332,0.12,4.845
333,0.1,4.9
334,0.095,4.92
335,0.075,4.95
336,0.15,4.775
337,0.1,4.875
338,0.085,4.935
339,0.08,4.93
340,0.1,4.875
341,0.135,4.81
342,0.095,4.92
343,0.095,4.92
344,0.085,4.935
345,0.085,4.935
346,0.13,4.83
347,0.105,4.905
348,0.125,4.825
349,0.12,4.87
350,0.09,4.915
351,0.11,4.86
352,0.09,4.915
353,0.085,4.935
354,0.13,4.83
355,0.125,4.85
356,0.135,4.81
357,0.075,4.95
358,0.11,4.86
359,0.11,4.885
360,0.095,4.92
361,0.12,4.845
362,0.1,4.9
363,0.075,4.95
364,0.085,4.935
365,0.11,4.885
366,0.095,4.92
367,0.105,4.905
368,0.095,4.92
369,0.105,4.905
370,0.105,4.905
371,0.1,4.9
372,0.14,4.815
373,0.11,4.86
374,0.075,4.95
375,0.095,4.92
376,0.09,4.915
377,0.115,4.865
378,0.1,4.9
379,0.095,4.92
380,0.11,4.885
381,0.105,4.905
382,0.1,4.9
383,0.125,4.85
384,0.085,4.935
385,0.08,4.93
386,0.11,4.885
387,0.08,4.93
388,0.075,4.95
389,0.085,4.935
390,0.125,4.85
391,0.12,4.845
392,0.115,4.865
393,0.1,4.875
394,0.11,4.86
395,0.085,4.91
396,0.09,4.915
397,0.115,4.89
398,0.085,4.935
399,0.12,4.845
400,0.13,4.805
401,0.085,4.935
402,0.085,4.935
403,0.095,4.92
404,0.14,4.815
405,0.11,4.885
406,0.13,4.855
407,0.11,4.86
408,0.085,4.935
409,0.105,4.905
410,0.12,4.845
411,0.15,4.75
412,0.08,4.93
413,0.12,4.845
414,0.085,4.935
415,0.11,4.885
416,0.12,4.87
417,0.095,4.92
418,0.075,4.95
419,0.125,4.825
420,0.13,4.83
421,0.09,4.915
422,0.12,4.87
423,0.085,4.935
424,0.095,4.92
425,0.085,4.935
426,0.12,4.87
427,0.105,4.905
428,0.09,4.915
429,0.115,4.89
430,0.1,4.875
431,0.095,4.92
432,0.105,4.905
433,0.095,4.92
434,0.085,4.935
435,0.125,4.825
436,0.075,4.95
437,0.155,4.755
438,0.115,4.84
439,0.08,4.93
440,0.095,4.92
441,0.1,4.9
442,0.14,4.79
443,0.11,4.86
444,0.085,4.935
445,0.12,4.87
446,0.105,4.855
447,0.1,4.9
448,0.095,4.92
449,0.085,4.935
450,0.155,4.755
451,0.12,4.845
452,0.105,4.88
453,0.115,4.865
454,0.075,4.95
455,0.1,4.9
456,0.16,4.735
457,0.095,4.895
458,0.11,4.86
459,0.115,4.84
460,0.075,4.95
461,0.105,4.88
462,0.12,4.845
463,0.1,4.9
464,0.12,4.87
465,0.115,4.865
466,0.1,4.875
467,0.095,4.895
468,0.09,4.915
469,0.095,4.92
470,0.115,4.84
471,0.1,4.9
472,0.13,4.83
473,0.095,4.92
474,0.085,4.935
475,0.085,4.91
476,0.075,4.95
477,0.12,4.845
478,0.12,4.845
479,0.115,4.815
480,0.085,4.935
481,0.075,4.95
482,0.09,4.915
483,0.13,4.78
484,0.1,4.9
485,0.085,4.935
486,0.075,4.95
487,0.09,4.915
488,0.105,4.88
489,0.11,4.86
490,0.085,4.935
491,0.075,4.95
492,0.1,4.9
493,0.09,4.915
494,0.115,4.865
495,0.095,4.92
496,0.1,4.9
497,0.115,4.865
498,0.075,4.95
499,0.1,4.9
500,0.1,4.9
501,0.095,4.92
502,0.125,4.85
503,0.075,4.95
504,0.11,4.86
505,0.085,4.935
506,0.075,4.95
507,0.135,4.835
508,0.105,4.88
