,NeuralAgent_Student19_200mAgent,Student19_200mAgent
0,0.985,1.06
1,0.88,2.855
2,0.75,2.75
3,0.875,2.725
4,0.845,2.995
5,0.785,2.86
6,0.83,2.655
7,0.91,2.785
8,0.83,2.705
9,0.88,2.63
10,0.79,2.74
11,0.97,2.745
12,0.95,2.675
13,1.01,2.96
14,0.995,2.62
15,1.0,2.95
16,0.87,2.67
17,0.785,2.785
18,0.89,2.84
19,0.805,2.755
20,0.97,2.82
21,0.83,2.78
22,0.925,2.775
23,0.875,2.75
24,0.88,2.68
25,0.895,2.795
26,0.89,2.69
27,0.92,2.77
28,0.805,2.605
29,0.97,2.695
30,0.925,2.75
31,0.795,2.77
32,0.81,2.735
33,0.865,2.74
34,0.765,2.69
35,0.81,2.61
36,0.855,2.655
37,0.785,2.635
38,0.96,2.76
39,0.875,2.625
40,0.95,2.65
41,0.915,2.815
42,0.95,2.75
43,0.965,2.74
44,0.785,2.81
45,0.745,2.77
46,1.085,2.81
47,0.885,2.785
48,0.89,2.74
49,1.12,2.795
50,0.875,2.7
51,0.805,2.78
52,0.785,2.735
53,0.78,2.68
54,0.775,2.575
55,0.805,2.705
56,0.95,2.75
57,0.87,2.895
58,0.995,2.62
59,0.94,2.74
60,0.91,2.735
61,0.885,2.86
62,0.88,2.855
63,0.855,2.755
64,0.875,2.925
65,0.795,2.67
66,0.87,2.67
67,1.11,2.685
68,0.845,2.72
69,0.925,2.625
70,0.725,2.625
71,0.8,2.725
72,0.76,2.81
73,0.86,2.66
74,0.925,2.7
75,0.885,2.81
76,0.875,2.625
77,0.8,2.725
78,0.92,2.67
79,0.835,2.685
80,0.965,2.815
81,0.8,2.775
82,0.96,2.735
83,0.805,2.705
84,0.975,2.675
85,1.01,2.685
86,0.815,2.74
87,0.79,2.615
88,0.875,2.6
89,0.7,2.725
90,0.855,2.755
91,0.975,2.9
92,0.835,2.71
93,0.895,2.67
94,0.935,2.635
95,0.91,2.76
96,0.83,2.73
97,0.835,2.51
98,0.835,2.66
99,1.02,2.67
100,0.87,2.57
101,1.025,2.9
102,0.955,2.855
103,0.78,2.53
104,0.93,2.705
105,0.955,2.78
106,0.74,2.615
107,0.975,2.625
108,1.07,2.72
109,0.785,2.685
110,0.86,2.86
111,0.915,2.665
112,0.905,2.555
113,0.98,2.73
114,0.69,2.64
115,0.91,2.66
116,1.05,2.75
117,0.885,2.635
118,0.95,2.9
119,0.79,2.59
120,0.85,2.575
121,0.955,2.555
122,0.74,2.565
123,0.915,2.665
124,0.885,2.635
125,0.945,2.745
126,0.89,2.715
127,0.825,2.575
128,0.92,2.67
129,0.95,2.65
130,0.85,2.45
131,0.9,2.5
132,0.775,2.825
133,0.93,2.63
134,0.905,2.68
135,0.8,2.625
136,0.775,2.55
137,0.995,2.82
138,0.835,2.41
139,0.815,2.715
140,0.82,2.445
141,0.95,2.475
142,0.765,2.615
143,0.815,2.44
144,0.795,2.545
145,0.845,2.495
146,0.83,2.83
147,0.745,2.52
148,0.87,2.67
149,0.83,2.68
150,0.77,2.545
151,0.845,2.67
152,0.825,2.325
153,0.88,2.58
154,0.89,2.515
155,0.885,2.46
156,0.855,2.58
157,0.8,2.45
158,0.78,2.555
159,0.87,2.62
160,0.84,2.615
161,0.765,2.715
162,0.92,2.545
163,0.815,2.54
164,0.67,2.52
165,0.86,2.535
166,0.845,2.57
167,0.755,2.73
168,0.89,2.565
169,0.875,2.45
170,0.79,2.44
171,0.805,2.355
172,0.865,2.44
173,0.75,2.375
174,0.81,2.71
175,0.78,2.58
176,0.85,2.4
177,0.82,2.72
178,0.83,2.48
179,0.795,2.445
180,0.765,2.34
181,0.73,2.355
182,0.805,2.33
183,0.88,2.48
184,0.715,2.515
185,0.705,2.53
186,0.905,2.53
187,0.795,2.57
188,0.8,2.25
189,0.78,2.505
190,0.78,2.405
191,0.93,2.555
192,0.79,2.59
193,0.855,2.355
194,0.84,2.315
195,0.69,2.465
196,0.8,2.2
197,0.835,2.235
198,0.775,2.4
199,0.72,2.595
200,0.88,2.155
201,0.785,2.31
202,0.745,2.22
203,0.755,2.28
204,0.79,2.265
205,0.935,2.385
206,0.78,2.53
207,0.825,2.2
208,0.82,2.295
209,0.845,2.345
210,0.815,2.04
211,0.81,2.235
212,0.835,2.41
213,0.87,1.995
214,0.775,2.55
215,0.795,2.17
216,0.795,2.17
217,0.83,2.38
218,0.815,2.215
219,0.895,2.445
220,0.775,2.025
221,0.775,2.35
222,0.815,2.09
223,0.775,2.2
224,0.795,2.32
225,0.83,2.155
226,0.85,2.2
227,0.75,2.0
228,0.825,2.0
229,0.79,2.19
230,0.855,2.08
231,0.81,2.035
232,0.88,1.98
233,0.735,2.16
234,0.795,2.17
235,0.8,2.0
236,0.8,2.425
237,0.855,1.93
238,0.765,2.09
239,0.825,1.925
240,0.75,2.075
241,0.775,2.1
242,0.765,1.94
243,0.765,2.14
244,0.82,1.995
245,0.85,1.725
246,0.785,2.085
247,0.835,1.735
248,0.78,2.08
249,0.8,2.0
250,0.795,2.095
251,0.825,2.075
252,0.82,1.845
253,0.75,2.0
254,0.785,1.985
255,0.815,1.815
256,0.825,1.9
257,0.83,1.755
258,0.775,1.975
259,0.83,1.755
260,0.895,1.845
261,0.805,1.98
262,0.815,1.79
263,0.835,1.66
264,0.865,1.765
265,0.84,1.715
266,0.805,1.78
267,0.83,1.83
268,0.83,1.805
269,0.865,1.615
270,0.84,1.64
271,0.845,1.62
272,0.875,1.575
273,0.87,1.795
274,0.81,1.76
275,0.89,1.565
276,0.84,1.79
277,0.865,1.615
278,0.875,1.575
279,0.87,1.52
280,0.85,1.6
281,0.855,1.58
282,0.905,1.455
283,0.86,1.635
284,0.84,1.715
285,0.855,1.58
286,0.845,1.62
287,0.885,1.46
288,0.88,1.48
289,0.89,1.565
290,0.875,1.5
291,0.875,1.5
292,0.88,1.555
293,0.85,1.6
294,0.885,1.46
295,0.865,1.54
296,0.93,1.28
297,0.89,1.44
298,0.875,1.5
299,0.88,1.48
300,0.875,1.5
301,0.9,1.4
302,0.885,1.46
303,0.93,1.28
304,0.895,1.42
305,0.885,1.46
306,0.925,1.3
307,0.88,1.48
308,0.93,1.28
309,0.945,1.22
310,0.88,1.48
311,0.895,1.42
312,0.925,1.3
313,0.945,1.22
314,0.91,1.36
315,0.915,1.34
316,0.905,1.38
317,0.91,1.36
318,0.92,1.32
319,0.91,1.36
320,0.9,1.4
321,0.925,1.3
322,0.935,1.26
323,0.93,1.43
324,0.895,1.42
325,0.93,1.28
326,0.915,1.34
327,0.95,1.2
328,0.935,1.26
329,0.9,1.4
330,0.955,1.18
331,0.935,1.26
332,0.935,1.26
333,0.955,1.18
334,0.915,1.34
335,0.96,1.16
336,0.93,1.28
337,0.95,1.2
338,0.92,1.32
339,0.96,1.16
340,0.935,1.26
341,0.945,1.22
342,0.95,1.2
343,0.93,1.28
344,0.96,1.16
345,0.94,1.24
346,0.905,1.38
347,0.95,1.2
348,0.955,1.18
349,0.94,1.24
350,0.975,1.1
351,0.965,1.14
352,0.955,1.18
353,0.96,1.16
354,0.96,1.16
355,0.935,1.26
356,0.96,1.16
357,0.945,1.22
358,0.97,1.12
359,0.955,1.18
360,0.97,1.12
361,0.97,1.12
362,0.965,1.14
363,0.985,1.06
364,0.93,1.28
365,0.96,1.16
366,0.955,1.18
367,0.965,1.14
368,0.96,1.16
369,0.955,1.18
370,0.98,1.08
371,0.95,1.2
372,0.975,1.1
373,0.98,1.08
374,0.975,1.1
375,0.965,1.14
376,0.965,1.14
377,0.965,1.14
378,0.93,1.28
379,0.96,1.16
380,0.965,1.14
381,0.975,1.1
382,0.955,1.18
383,0.98,1.08
384,0.975,1.1
385,0.965,1.14
386,0.98,1.08
387,0.96,1.16
388,0.97,1.12
389,0.97,1.12
390,0.98,1.08
391,0.98,1.08
392,0.98,1.08
393,0.965,1.14
394,0.97,1.12
395,0.96,1.16
396,0.965,1.14
397,0.98,1.08
398,0.97,1.12
399,0.975,1.1
400,0.96,1.16
401,0.98,1.08
402,0.975,1.1
403,0.985,1.06
404,0.97,1.12
405,0.96,1.16
406,0.985,1.06
407,0.98,1.08
408,0.98,1.08
409,0.965,1.14
410,0.98,1.08
411,0.955,1.18
412,0.94,1.24
413,0.99,1.04
414,0.98,1.08
415,0.98,1.08
416,0.98,1.08
417,0.94,1.24
418,0.995,1.02
419,0.99,1.04
420,0.985,1.06
421,0.995,1.02
422,0.975,1.1
423,0.985,1.06
424,0.965,1.14
425,0.985,1.06
426,0.99,1.04
427,0.98,1.08
428,0.98,1.08
429,0.985,1.06
430,0.99,1.04
431,0.99,1.04
432,0.965,1.14
433,0.99,1.04
434,0.96,1.16
435,0.965,1.14
436,0.99,1.04
437,0.97,1.12
438,0.99,1.04
439,0.98,1.08
440,0.985,1.06
441,0.975,1.1
442,0.985,1.06
443,0.99,1.04
444,0.99,1.04
445,0.99,1.04
446,0.98,1.08
447,0.985,1.06
448,0.995,1.02
449,0.995,1.02
450,0.98,1.08
451,0.98,1.08
452,0.97,1.12
453,1.0,1.0
454,0.99,1.04
455,1.0,1.0
456,1.0,1.0
457,0.985,1.06
458,0.99,1.04
459,0.99,1.04
460,0.99,1.04
461,0.985,1.06
462,0.99,1.04
