,NeuralAgent_Student10_200mAgent,Student10_200mAgent
0,4.765,0.24
1,3.94,1.44
2,3.95,1.475
3,3.775,1.6
4,4.025,1.325
5,3.81,1.635
6,3.87,1.595
7,3.855,1.53
8,3.805,1.63
9,3.875,1.4
10,3.695,1.845
11,3.74,1.515
12,3.775,1.75
13,3.75,1.725
14,3.9,1.625
15,3.875,1.625
16,3.9,1.45
17,3.865,1.515
18,3.85,1.625
19,3.985,1.485
20,3.885,1.46
21,3.885,1.56
22,3.855,1.53
23,3.99,1.365
24,3.84,1.665
25,3.915,1.54
26,3.89,1.515
27,3.845,1.595
28,4.005,1.38
29,3.82,1.52
30,4.025,1.375
31,3.83,1.655
32,3.9,1.475
33,4.025,1.375
34,3.93,1.555
35,3.89,1.59
36,3.75,1.625
37,3.94,1.415
38,3.835,1.685
39,4.0,1.35
40,3.845,1.645
41,3.905,1.53
42,3.975,1.325
43,4.02,1.37
44,3.91,1.46
45,4.015,1.315
46,3.96,1.46
47,3.86,1.635
48,3.93,1.505
49,4.095,1.295
50,3.755,1.63
51,3.985,1.485
52,4.045,1.32
53,4.005,1.33
54,3.905,1.48
55,3.875,1.525
56,3.9,1.525
57,3.98,1.48
58,3.865,1.64
59,4.005,1.405
60,4.01,1.31
61,3.98,1.255
62,3.965,1.39
63,3.925,1.375
64,3.865,1.54
65,4.02,1.32
66,3.91,1.36
67,3.91,1.335
68,3.865,1.365
69,3.975,1.35
70,4.015,1.265
71,3.925,1.4
72,3.94,1.315
73,4.09,1.24
74,4.03,1.405
75,4.02,1.345
76,4.04,1.365
77,3.875,1.375
78,3.97,1.245
79,3.92,1.37
80,3.935,1.385
81,4.06,1.285
82,3.895,1.345
83,4.0,1.375
84,4.065,1.19
85,4.08,1.305
86,3.98,1.48
87,3.995,1.27
88,4.11,1.11
89,3.905,1.355
90,4.065,1.365
91,4.12,1.245
92,4.125,1.175
93,3.93,1.33
94,3.97,1.245
95,4.02,1.27
96,3.85,1.325
97,4.135,1.185
98,3.955,1.455
99,3.995,1.37
100,4.135,1.135
101,3.985,1.31
102,3.96,1.285
103,4.055,1.13
104,4.125,1.225
105,4.155,1.13
106,4.16,1.035
107,4.07,1.245
108,4.02,1.245
109,4.06,1.235
110,4.27,0.97
111,4.035,1.035
112,4.065,1.14
113,4.045,1.095
114,4.04,1.34
115,4.08,1.23
116,4.035,1.26
117,3.835,1.26
118,4.05,1.225
119,4.145,1.12
