,NeuralAgent_Student26_200mAgent_rng,Student26_200mAgent
0,1.075,1.05
1,1.785,1.785
2,1.86,1.835
3,2.01,1.935
4,2.06,2.01
5,2.325,2.275
6,2.165,2.09
7,2.255,2.18
8,2.205,2.13
9,2.3,2.3
10,2.11,2.11
11,2.305,2.28
12,2.16,2.135
13,2.18,2.155
14,2.075,1.975
15,2.125,2.1
16,2.03,1.98
17,2.165,2.065
18,2.02,1.995
19,1.905,1.855
20,2.12,2.12
21,2.025,2.025
22,2.125,2.125
23,2.255,2.155
24,2.26,2.21
25,2.37,2.32
26,2.24,2.215
27,2.4,2.275
28,2.2,2.125
29,2.395,2.395
30,2.515,2.365
31,2.535,2.485
32,2.535,2.46
33,2.485,2.485
34,2.57,2.445
35,2.51,2.51
36,2.535,2.485
37,2.505,2.505
38,2.605,2.43
39,2.59,2.415
40,2.53,2.505
41,2.525,2.5
42,2.53,2.455
43,2.525,2.5
44,2.59,2.415
45,2.445,2.445
46,2.485,2.485
47,2.49,2.465
48,2.48,2.48
49,2.79,2.215
50,2.555,2.405
51,2.46,2.435
52,2.44,2.415
53,2.53,2.48
54,2.505,2.43
55,2.19,2.19
56,2.45,2.375
57,2.44,2.29
58,1.975,1.95
59,2.43,2.38
60,2.48,2.355
61,1.385,1.26
62,1.075,1.025
63,2.37,2.37
64,2.47,2.395
65,2.655,2.305
66,1.03,1.005
67,2.64,2.29
68,2.615,2.39
69,2.535,2.41
70,2.555,2.405
71,2.525,2.375
72,2.09,2.04
73,2.14,2.015
74,2.615,2.39
75,1.18,1.13
76,2.665,2.34
77,1.885,1.735
78,2.58,2.43
79,1.835,1.81
80,1.125,1.025
81,1.25,1.2
82,1.195,1.07
83,2.525,2.5
84,2.59,2.415
85,1.605,1.53
86,1.75,1.7
87,1.485,1.435
88,1.61,1.485
89,1.645,1.42
90,1.58,1.43
91,1.65,1.5
92,1.525,1.35
93,1.585,1.51
94,1.585,1.51
95,1.705,1.68
96,1.8,1.55
97,1.13,0.98
98,1.77,1.67
99,1.125,1.025
100,1.335,1.26
101,1.185,1.01
102,1.27,1.145
103,1.815,1.715
104,1.145,1.045
105,1.635,1.61
106,1.235,1.16
107,1.285,1.11
108,1.67,1.62
109,1.25,1.125
110,1.13,1.055
111,1.12,0.995
112,1.505,1.355
113,1.045,1.02
114,1.16,1.035
115,1.265,1.04
116,1.15,1.1
117,1.25,1.025
118,1.19,1.015
119,1.425,1.2
120,1.16,1.06
121,1.15,1.025
122,1.07,1.045
123,1.27,1.045
124,1.185,1.035
125,1.165,1.04
126,1.255,1.155
127,1.145,1.07
128,1.26,1.185
129,1.195,1.145
130,1.15,1.075
131,1.275,1.2
132,1.15,1.05
133,1.17,1.12
134,1.085,1.01
135,1.165,1.04
136,1.32,1.245
137,1.305,1.08
138,1.22,1.17
139,1.235,1.21
140,1.46,1.41
141,1.165,1.04
142,1.18,1.155
143,1.225,1.15
144,1.22,1.12
145,1.265,1.215
146,1.445,1.345
147,1.34,1.315
148,1.3,1.2
149,1.33,1.255
150,1.155,1.055
151,1.16,1.135
152,1.17,1.02
153,1.225,1.125
154,1.17,1.07
155,1.525,1.45
156,1.15,1.05
157,1.13,1.055
158,1.18,1.105
159,1.195,1.095
160,1.61,1.56
161,1.27,1.17
162,1.12,1.045
163,1.22,1.195
164,1.615,1.49
165,1.41,1.335
166,1.195,1.145
167,1.21,1.135
168,1.355,1.33
169,1.205,1.105
170,1.69,1.615
171,1.615,1.565
172,1.57,1.495
173,1.15,1.1
174,1.34,1.24
175,1.26,1.185
176,1.3,1.2
177,1.21,1.135
178,1.385,1.235
179,1.21,1.11
180,1.59,1.44
181,1.15,1.075
182,1.105,1.005
183,1.355,1.33
184,1.44,1.39
185,1.495,1.37
186,1.095,1.045
187,1.355,1.305
188,1.285,1.185
189,1.115,1.04
190,1.79,1.69
191,1.69,1.54
192,1.27,1.195
193,1.39,1.29
194,1.71,1.635
195,1.075,1.05
196,1.28,1.13
197,1.155,1.08
198,1.26,1.185
199,1.685,1.61
200,1.12,1.095
201,1.67,1.595
202,1.345,1.245
203,1.51,1.46
204,1.615,1.54
205,1.125,1.075
206,1.385,1.31
207,1.18,1.13
208,1.285,1.26
209,1.435,1.36
210,1.64,1.59
211,1.51,1.31
212,1.23,1.18
213,1.205,1.105
214,1.325,1.225
215,1.14,1.065
216,1.37,1.195
217,1.14,1.09
218,1.04,1.015
219,1.635,1.56
220,1.235,1.16
221,1.055,1.03
222,1.46,1.385
223,1.545,1.495
224,1.3,1.25
225,1.115,1.04
226,1.69,1.64
