,NeuralAgent_Student5_200cAgent,Student5_200cAgent
317,0.93,1.355
318,0.94,1.315
319,0.935,1.385
320,0.92,1.395
321,0.955,1.305
322,0.955,1.255
323,0.915,1.415
324,0.905,1.455
325,0.945,1.295
326,0.935,1.335
327,0.96,1.235
328,0.955,1.255
329,0.92,1.445
330,0.97,1.195
331,0.94,1.315
332,0.95,1.275
333,0.975,1.225
334,0.93,1.355
335,0.965,1.215
336,0.935,1.335
337,0.96,1.235
338,0.93,1.355
339,0.97,1.195
340,0.95,1.275
341,0.955,1.255
342,0.96,1.235
343,0.935,1.335
344,0.96,1.235
345,0.96,1.235
346,0.915,1.415
347,0.955,1.255
348,0.97,1.195
349,0.95,1.275
350,0.99,1.115
351,0.98,1.155
352,0.955,1.255
353,0.975,1.175
354,0.965,1.215
355,0.94,1.315
356,0.95,1.275
357,0.945,1.295
358,0.975,1.175
359,0.96,1.235
360,0.98,1.155
361,0.975,1.175
362,0.975,1.175
363,0.99,1.115
364,0.935,1.335
365,0.96,1.235
366,0.955,1.255
367,0.945,1.295
368,0.955,1.255
369,0.95,1.275
370,0.98,1.155
371,0.965,1.215
372,0.965,1.215
373,0.98,1.155
374,0.99,1.115
375,0.97,1.195
376,0.965,1.215
377,0.98,1.155
378,0.945,1.295
379,0.945,1.295
380,0.95,1.275
381,1.005,1.105
382,0.965,1.215
383,1.005,1.105
384,0.985,1.185
385,0.955,1.255
386,0.97,1.195
387,0.97,1.195
388,0.99,1.165
389,0.975,1.175
390,0.975,1.175
391,1.005,1.105
392,0.96,1.235
393,0.975,1.175
394,0.98,1.155
395,0.97,1.195
396,0.975,1.175
397,0.98,1.155
398,0.975,1.175
399,0.985,1.135
400,0.96,1.235
401,0.995,1.095
402,0.95,1.275
403,0.99,1.115
404,0.98,1.155
405,0.97,1.195
406,0.995,1.095
407,0.98,1.155
408,0.985,1.135
409,0.985,1.135
410,0.99,1.115
411,0.965,1.215
412,0.94,1.315
413,1.0,1.075
414,0.985,1.135
415,0.975,1.175
416,0.995,1.095
417,0.94,1.315
418,1.005,1.055
419,0.995,1.095
420,0.995,1.095
421,0.995,1.095
422,0.985,1.135
423,0.995,1.095
424,0.965,1.215
425,0.995,1.095
426,1.01,1.035
427,1.0,1.125
428,0.975,1.175
429,1.0,1.125
430,1.0,1.075
431,0.995,1.095
432,0.97,1.195
433,0.985,1.135
434,0.945,1.295
435,0.95,1.275
436,0.985,1.135
437,0.965,1.215
438,1.005,1.055
439,0.99,1.115
440,0.99,1.115
441,0.975,1.175
442,0.99,1.115
443,0.97,1.195
444,0.975,1.175
445,0.975,1.175
446,0.975,1.175
447,1.005,1.055
448,0.995,1.095
449,0.985,1.135
450,0.965,1.215
451,0.99,1.115
452,0.97,1.195
453,1.0,1.075
454,1.0,1.075
455,1.0,1.075
456,1.0,1.075
457,0.97,1.195
458,1.01,1.035
459,0.995,1.095
460,1.0,1.075
461,1.0,1.075
462,0.99,1.115
463,0.975,1.175
464,1.005,1.105
465,0.985,1.135
466,1.01,1.035
467,0.985,1.135
468,0.995,1.095
469,1.0,1.075
470,1.0,1.075
471,1.0,1.075
472,0.99,1.115
473,1.0,1.075
474,1.0,1.125
475,1.0,1.075
476,0.985,1.135
477,0.985,1.135
478,1.005,1.055
479,0.975,1.175
480,0.985,1.135
481,0.985,1.135
482,1.0,1.075
483,1.0,1.075
484,0.98,1.155
485,0.98,1.155
486,1.0,1.075
487,0.99,1.115
488,1.005,1.055
489,0.97,1.195
490,0.99,1.115
491,0.975,1.175
492,0.995,1.095
493,1.0,1.125
494,0.985,1.135
495,0.99,1.115
496,0.985,1.135
497,0.995,1.095
498,1.0,1.075
499,0.995,1.095
500,1.015,1.015
