,NeuralAgentOpMe_BattleRoyal,AlwaysDefectAgent,RandomChoiceAgent,Student10_200mAgent,Student11_200mAgent,Student13_200aAgent,Student13_200bAgent,Student13_200cAgent,Student13_200mAgent,Student16_200bAgent,Student16_200cAgent,Student17_200aAgent,Student17_200bAgent,Student17_200mAgent,Student19_200aAgent,Student19_200bAgent,Student19_200cAgent,Student19_200mAgent,Student1_200aAgent,Student1_200bAgent,Student1_200cAgent,Student1_200mAgent,Student21_200aAgent,Student21_200cAgent,Student22_200mAgent,Student23_200mAgent,Student24_200bAgent,Student24_200cAgent,Student24_200mAgent,Student26_200bAgent,Student26_200cAgent,Student26_200mAgent,Student2_200aAgent,Student2_200cAgent,Student3_200aAgent,Student3_200bAgent,Student4_200aAgent,Student5_200aAgent,Student5_200bAgent,Student5_200cAgent,Student5_200mAgent,Student7_200aAgent,Student7_200bAgent,Student7_200mAgent,TitF2tatAgent,TitFTatAgent
0,1.8611111111111112,2.1014444444444442,1.7622222222222221,1.9006666666666667,1.9504444444444444,1.7354444444444443,1.8374444444444444,2.069,2.0522222222222224,1.7344444444444445,1.7982222222222222,1.8782222222222222,1.9,2.0593333333333335,1.8995555555555557,1.6788888888888889,1.5986666666666667,1.6073333333333333,2.1745555555555556,1.8387777777777778,1.8817777777777778,1.8271111111111111,2.0865555555555555,1.8667777777777779,2.0445555555555557,1.8514444444444444,2.061777777777778,2.058,1.7234444444444443,2.0383333333333336,2.077,2.0797777777777777,1.9745555555555556,0.046,0.5474444444444444,2.0332222222222223,1.538,1.7261111111111112,1.6406666666666667,2.107,1.6916666666666667,2.0094444444444446,2.1835555555555555,2.163111111111111,1.9854444444444443,2.095666666666667
1,2.0246666666666666,2.0686666666666667,1.7053333333333334,1.8694444444444445,1.8995555555555557,1.6514444444444445,1.7996666666666667,2.012111111111111,2.0291111111111113,1.8527777777777779,1.799,1.8823333333333334,1.8897777777777778,2.052,1.8962222222222223,1.6644444444444444,1.599888888888889,1.6064444444444443,2.137,1.8304444444444445,1.9504444444444444,1.8353333333333333,2.0934444444444447,1.8311111111111111,2.04,1.8373333333333333,2.059111111111111,2.0595555555555554,1.7097777777777778,2.0357777777777777,2.067888888888889,2.0612222222222223,2.0684444444444443,0.046,0.5495555555555556,2.0435555555555553,1.5625555555555555,1.7152222222222222,1.6285555555555555,2.098333333333333,1.6893333333333334,2.0036666666666667,2.1416666666666666,2.169,1.9927777777777778,2.0973333333333333
2,2.090333333333333,2.073,1.6631111111111112,1.8245555555555555,1.9025555555555556,1.6691111111111112,1.7878888888888889,1.9936666666666667,2.0255555555555556,1.8416666666666666,1.7546666666666666,1.873,1.8954444444444445,2.063,1.8668888888888888,1.653888888888889,1.6066666666666667,1.6036666666666666,2.0292222222222223,1.8364444444444445,1.8743333333333334,1.8424444444444446,2.075222222222222,1.8522222222222222,2.0444444444444443,1.843888888888889,2.0468888888888888,2.0594444444444444,1.703111111111111,2.039222222222222,2.071111111111111,2.058666666666667,1.9658888888888888,0.04666666666666667,0.5584444444444444,2.0313333333333334,1.5654444444444444,1.7198888888888888,1.6382222222222222,2.098333333333333,1.6837777777777778,2.013,2.140888888888889,2.124222222222222,1.984888888888889,2.094888888888889
3,2.079111111111111,2.0661111111111112,1.7055555555555555,1.8548888888888888,1.8942222222222223,1.6565555555555556,1.793,2.025888888888889,2.0315555555555553,1.85,1.7523333333333333,1.8833333333333333,1.8894444444444445,2.067111111111111,1.8934444444444445,1.6735555555555555,1.6128888888888888,1.6032222222222223,2.0282222222222224,1.834111111111111,1.9284444444444444,1.8382222222222222,2.089111111111111,1.8473333333333333,2.0425555555555555,1.840111111111111,2.0596666666666668,2.059111111111111,1.7064444444444444,2.0453333333333332,2.0722222222222224,2.054333333333333,1.972,0.046,0.5536666666666666,2.036111111111111,1.5666666666666667,1.7196666666666667,1.6857777777777778,2.099666666666667,1.6803333333333332,2.011222222222222,2.082888888888889,2.120111111111111,1.9801111111111112,2.0976666666666666
4,2.082,2.065888888888889,1.685111111111111,1.8533333333333333,1.9103333333333334,1.6435555555555557,1.7917777777777777,2.0105555555555554,2.030222222222222,1.8451111111111111,1.7492222222222222,1.8825555555555555,1.9032222222222221,2.065888888888889,1.8926666666666667,1.6605555555555556,1.6093333333333333,1.6022222222222222,2.033333333333333,1.8488888888888888,1.8451111111111111,1.829888888888889,2.0892222222222223,1.8267777777777778,2.0354444444444444,1.8417777777777777,2.0556666666666668,2.0563333333333333,1.7047777777777777,2.036,2.072111111111111,2.0593333333333335,2.069,0.04666666666666667,0.5808888888888889,2.030777777777778,1.560888888888889,1.722,1.6502222222222223,2.1056666666666666,1.6664444444444444,2.008,2.1293333333333333,2.1222222222222222,1.9794444444444443,2.0893333333333333
5,2.1035555555555554,2.0755555555555554,1.691111111111111,1.808,1.8995555555555557,1.6337777777777778,1.7746666666666666,2.001888888888889,2.0286666666666666,1.859,1.805,1.8874444444444445,1.898,2.058666666666667,1.8994444444444445,1.661,1.597888888888889,1.603,2.227222222222222,1.8326666666666667,1.9554444444444445,1.8436666666666666,2.088,1.828111111111111,2.0411111111111113,1.8408888888888888,2.0452222222222223,2.062,1.705111111111111,2.033888888888889,2.071,2.0548888888888888,2.0676666666666668,0.046,0.566,2.044888888888889,1.5691111111111111,1.7295555555555555,1.6476666666666666,2.18,1.6307777777777779,2.0573333333333332,2.155222222222222,2.167666666666667,1.993111111111111,2.1006666666666667
6,2.066333333333333,2.063,1.7356666666666667,1.8571111111111112,1.8992222222222221,1.656,1.7866666666666666,1.9978888888888888,2.0332222222222223,1.8465555555555555,1.7572222222222222,1.872,1.8892222222222221,2.0593333333333335,1.896,1.6474444444444445,1.612,1.6048888888888888,2.0516666666666667,1.8407777777777778,1.8665555555555555,1.8368888888888888,2.090222222222222,1.8577777777777778,2.0406666666666666,1.8387777777777778,2.055222222222222,2.045888888888889,1.7017777777777778,2.0416666666666665,2.073,2.0602222222222224,1.9753333333333334,0.046,0.5576666666666666,2.0295555555555556,1.5454444444444444,1.713,1.6205555555555555,2.1014444444444442,1.6682222222222223,2.006,2.1447777777777777,2.1165555555555557,1.9745555555555556,2.1114444444444445
7,2.0963333333333334,2.057,1.6895555555555555,1.8605555555555555,1.8928888888888888,1.651888888888889,1.7961111111111112,2.010666666666667,2.0264444444444445,1.8431111111111111,1.7566666666666666,1.8782222222222222,1.8893333333333333,2.0646666666666667,1.8886666666666667,1.6555555555555554,1.6087777777777779,1.6045555555555555,2.0692222222222223,1.8391111111111111,1.8824444444444444,1.8334444444444444,2.0918888888888887,1.8496666666666666,2.0412222222222223,1.8388888888888888,2.0527777777777776,2.0573333333333332,1.7041111111111111,2.033777777777778,2.070222222222222,2.0574444444444446,1.9782222222222223,0.04666666666666667,0.5563333333333333,2.054777777777778,1.5671111111111111,1.7212222222222222,1.6305555555555555,2.0985555555555555,1.6725555555555556,2.0064444444444445,2.1524444444444444,2.1685555555555553,1.9886666666666666,2.0877777777777777
8,2.112,2.0685555555555557,1.6866666666666668,1.8736666666666666,1.9011111111111112,1.6483333333333334,1.7795555555555556,2.0065555555555554,2.0286666666666666,1.8473333333333333,1.7646666666666666,1.8834444444444445,1.8904444444444444,2.0595555555555554,1.8904444444444444,1.6553333333333333,1.6128888888888888,1.6054444444444445,2.032111111111111,1.8355555555555556,1.8762222222222222,1.8332222222222223,2.0844444444444443,1.8431111111111111,2.0435555555555553,1.8373333333333333,2.059222222222222,2.062,1.7054444444444445,2.035111111111111,2.0665555555555555,2.0565555555555557,1.9755555555555555,0.04633333333333333,0.5463333333333333,2.0335555555555556,1.548,1.7185555555555556,1.6466666666666667,2.1025555555555555,1.6823333333333332,2.005,2.1296666666666666,2.1173333333333333,1.9766666666666666,2.090888888888889
9,2.103222222222222,2.069888888888889,1.6633333333333333,1.865888888888889,1.8923333333333334,1.6475555555555557,1.7802222222222222,1.9966666666666666,2.030111111111111,1.8456666666666666,1.7921111111111112,1.884111111111111,1.8925555555555555,2.0523333333333333,1.898,1.6637777777777778,1.5957777777777777,1.6102222222222222,2.2208888888888887,1.8428888888888888,1.9586666666666666,1.8374444444444444,2.0906666666666665,1.8226666666666667,2.051111111111111,1.8444444444444446,2.0597777777777777,2.0624444444444445,1.705111111111111,2.039,2.067222222222222,2.0563333333333333,2.0494444444444446,0.046,0.5316666666666666,2.028111111111111,1.5264444444444445,1.7134444444444445,1.6453333333333333,2.1354444444444445,1.6784444444444444,2.044888888888889,2.156222222222222,2.158333333333333,1.9793333333333334,2.096
