,NeuralAgent_TitF2tatAgent_rng,TitF2tatAgent
316,1.925,1.275
317,1.96,1.285
318,1.91,1.26
319,2.12,1.345
320,2.0,1.3
321,1.98,1.28
322,1.975,1.325
323,2.04,1.265
324,1.865,1.215
325,1.81,1.235
326,1.85,1.275
327,2.015,1.29
328,1.905,1.28
329,1.88,1.305
330,1.955,1.28
331,1.7,1.175
332,1.925,1.25
333,1.96,1.36
334,1.785,1.21
335,2.015,1.29
336,1.94,1.265
337,1.885,1.285
338,1.995,1.245
339,1.925,1.275
340,1.935,1.285
341,1.83,1.205
342,1.96,1.285
343,1.885,1.26
344,1.96,1.26
345,1.755,1.255
346,2.17,1.32
347,2.025,1.3
348,2.075,1.3
349,1.94,1.29
350,1.87,1.22
351,1.96,1.26
352,2.08,1.33
353,1.9,1.25
354,1.875,1.25
355,2.025,1.275
356,1.87,1.27
357,2.09,1.265
358,1.745,1.195
359,1.735,1.185
360,2.025,1.275
361,1.715,1.215
362,1.81,1.235
363,1.715,1.215
364,1.695,1.195
365,1.875,1.25
366,1.845,1.22
367,1.73,1.23
368,1.835,1.235
369,1.72,1.195
370,2.005,1.255
371,1.61,1.16
372,1.835,1.21
373,1.865,1.29
374,1.925,1.25
375,1.79,1.215
376,1.765,1.215
377,1.845,1.27
378,1.825,1.225
379,1.685,1.185
380,2.015,1.29
381,1.955,1.23
382,1.82,1.22
383,1.94,1.265
384,1.745,1.195
385,1.945,1.245
386,1.785,1.21
387,1.665,1.165
388,1.945,1.295
389,1.78,1.205
390,1.725,1.2
391,1.73,1.205
392,1.675,1.175
393,1.995,1.27
394,1.89,1.24
395,1.605,1.18
396,1.78,1.205
397,1.74,1.19
398,1.83,1.255
399,1.865,1.24
400,1.68,1.205
401,1.91,1.235
402,1.73,1.205
403,1.68,1.23
404,1.71,1.185
405,1.75,1.225
406,1.86,1.235
407,1.745,1.195
408,1.68,1.18
409,1.635,1.16
410,1.65,1.2
411,1.78,1.23
412,1.935,1.235
413,1.6,1.15
414,1.855,1.23
415,1.695,1.195
416,1.725,1.25
417,1.565,1.14
418,1.6,1.175
419,1.72,1.195
420,1.61,1.185
421,1.58,1.155
422,1.665,1.19
423,1.67,1.17
424,1.78,1.23
425,1.6,1.175
426,1.69,1.165
427,1.67,1.195
428,1.465,1.115
429,1.555,1.18
430,1.775,1.225
431,1.775,1.2
432,1.58,1.155
433,1.67,1.195
434,1.66,1.185
435,1.64,1.165
436,1.67,1.195
437,1.7,1.175
438,1.675,1.2
439,1.52,1.12
440,1.7,1.175
441,1.775,1.2
442,1.54,1.14
443,1.595,1.145
444,1.73,1.205
445,1.435,1.11
446,1.765,1.215
447,1.665,1.165
448,1.535,1.135
449,1.595,1.17
450,1.615,1.14
451,1.555,1.13
452,1.71,1.185
453,1.54,1.14
454,1.51,1.135
455,1.61,1.16
456,1.67,1.22
457,1.615,1.165
458,1.535,1.16
459,1.43,1.105
460,1.615,1.165
461,1.74,1.19
462,1.61,1.16
463,1.815,1.24
464,1.65,1.175
465,1.475,1.125
466,1.625,1.175
467,1.65,1.15
468,1.645,1.17
469,1.8,1.2
470,1.495,1.12
471,1.7,1.175
472,1.735,1.185
473,1.435,1.135
474,1.51,1.135
475,1.495,1.145
476,1.7,1.225
477,1.525,1.125
478,1.785,1.21
479,1.63,1.155
480,1.585,1.16
481,1.63,1.18
482,1.505,1.13
483,1.495,1.145
484,1.4,1.1
485,1.79,1.215
486,1.71,1.185
487,1.755,1.18
488,1.48,1.13
489,1.435,1.135
490,1.715,1.19
491,1.655,1.18
492,1.635,1.16
493,1.635,1.16
494,1.665,1.165
495,1.595,1.17
496,1.515,1.115
497,1.55,1.15
498,1.765,1.215
499,1.815,1.215
500,1.59,1.165
501,1.595,1.145
502,1.73,1.18
503,1.675,1.175
504,1.61,1.185
505,1.625,1.175
506,1.655,1.155
507,1.65,1.175
508,1.425,1.125
509,1.53,1.13
510,1.76,1.185
511,1.64,1.165
512,1.615,1.165
513,1.72,1.195
514,1.455,1.13
515,1.895,1.245
516,1.395,1.095
517,1.54,1.14
518,1.61,1.16
519,1.595,1.145
520,1.525,1.125
521,1.775,1.2
522,1.51,1.135
523,1.5,1.15
524,1.5,1.15
525,1.465,1.115
526,1.69,1.165
527,1.475,1.125
528,1.67,1.195
529,1.51,1.135
530,1.65,1.175
531,1.425,1.1
532,1.605,1.155
533,1.42,1.095
534,1.565,1.14
535,1.57,1.145
536,1.54,1.14
537,1.7,1.175
538,1.47,1.12
539,1.385,1.085
540,1.645,1.17
541,1.535,1.135
542,1.49,1.115
543,1.59,1.14
544,1.42,1.12
545,1.27,1.07
546,1.605,1.155
547,1.54,1.14
548,1.625,1.15
549,1.7,1.175
550,1.355,1.08
551,1.595,1.145
552,1.55,1.125
553,1.63,1.18
554,1.625,1.15
555,1.355,1.08
556,1.375,1.1
557,1.56,1.135
558,1.435,1.11
559,1.55,1.125
560,1.49,1.14
561,1.6,1.15
562,1.49,1.115
563,1.39,1.09
564,1.605,1.155
565,1.52,1.145
566,1.53,1.13
567,1.46,1.11
568,1.445,1.095
569,1.365,1.09
570,1.465,1.14
571,1.25,1.05
572,1.365,1.09
573,1.355,1.08
574,1.425,1.1
575,1.49,1.14
576,1.585,1.135
577,1.395,1.095
578,1.555,1.155
579,1.56,1.135
580,1.46,1.135
581,1.535,1.135
582,1.315,1.065
583,1.505,1.13
584,1.42,1.095
585,1.48,1.13
586,1.28,1.055
587,1.435,1.11
588,1.45,1.1
589,1.425,1.1
590,1.465,1.115
591,1.535,1.16
592,1.365,1.09
593,1.49,1.115
594,1.565,1.14
595,1.435,1.11
596,1.43,1.13
597,1.47,1.12
598,1.49,1.115
599,1.455,1.105
600,1.36,1.11
601,1.425,1.125
602,1.59,1.14
603,1.495,1.12
604,1.515,1.115
605,1.355,1.08
606,1.42,1.12
607,1.4,1.1
608,1.485,1.11
609,1.33,1.08
610,1.59,1.14
611,1.445,1.12
612,1.66,1.16
613,1.42,1.12
614,1.48,1.105
615,1.425,1.1
616,1.53,1.155
617,1.625,1.15
618,1.565,1.14
619,1.54,1.14
620,1.47,1.12
621,1.53,1.13
622,1.455,1.105
623,1.365,1.09
624,1.375,1.1
625,1.4,1.125
626,1.415,1.09
627,1.49,1.115
628,1.595,1.145
629,1.35,1.1
630,1.595,1.145
631,1.25,1.05
632,1.285,1.06
633,1.375,1.1
634,1.4,1.1
635,1.385,1.085
636,1.46,1.11
637,1.31,1.085
638,1.59,1.14
639,1.32,1.07
640,1.4,1.1
641,1.42,1.095
642,1.475,1.125
643,1.4,1.1
644,1.245,1.045
645,1.515,1.14
646,1.285,1.06
647,1.18,1.03
648,1.315,1.065
649,1.35,1.075
650,1.455,1.105
651,1.58,1.13
652,1.35,1.075
653,1.375,1.075
654,1.25,1.05
655,1.35,1.075
656,1.295,1.07
657,1.415,1.09
658,1.475,1.125
659,1.345,1.12
660,1.39,1.09
661,1.385,1.085
662,1.49,1.115
663,1.555,1.13
664,1.315,1.065
665,1.315,1.065
666,1.45,1.1
667,1.215,1.04
668,1.33,1.08
669,1.245,1.045
670,1.32,1.07
671,1.26,1.06
672,1.355,1.08
673,1.32,1.07
674,1.395,1.095
675,1.415,1.09
676,1.32,1.07
677,1.25,1.05
678,1.34,1.09
679,1.355,1.08
680,1.21,1.035
681,1.39,1.09
682,1.43,1.105
683,1.33,1.08
684,1.25,1.05
685,1.215,1.04
686,1.25,1.05
687,1.31,1.06
688,1.36,1.085
689,1.35,1.075
690,1.375,1.1
691,1.435,1.11
692,1.275,1.05
693,1.355,1.08
694,1.455,1.105
695,1.215,1.04
696,1.265,1.065
697,1.315,1.065
698,1.28,1.055
699,1.28,1.08
700,1.27,1.07
701,1.525,1.125
702,1.26,1.06
703,1.145,1.02
704,1.355,1.08
705,1.215,1.04
706,1.33,1.08
707,1.33,1.08
708,1.145,1.02
709,1.18,1.03
710,1.35,1.075
711,1.18,1.03
712,1.205,1.08
713,1.145,1.02
714,1.3,1.075
715,1.18,1.03
716,1.355,1.08
717,1.385,1.085
