,NeuralAgent_Student7_200aAgent_rng,Student7_200aAgent
0,0.95,1.275
1,0.81,3.11
2,0.475,3.225
3,2.175,2.55
4,1.48,2.83
5,1.64,2.865
6,1.905,2.705
7,1.675,2.85
8,0.615,3.09
9,0.475,3.225
10,0.65,2.925
11,0.635,3.01
12,0.535,2.985
13,0.8,2.975
14,0.46,3.235
15,0.435,3.385
16,1.255,2.93
17,1.065,3.015
18,1.38,2.83
19,1.735,2.81
20,1.91,2.735
21,2.09,2.715
22,1.81,2.785
23,2.245,2.595
24,1.105,2.93
25,0.69,2.915
26,0.565,2.815
27,0.81,2.76
28,0.965,2.64
29,0.96,2.535
30,0.68,2.405
31,0.645,2.495
32,0.66,2.435
33,0.66,2.485
34,0.635,2.585
35,0.64,2.515
36,0.59,2.765
37,0.62,2.595
38,0.84,2.69
39,0.625,2.675
40,0.6,2.675
41,0.585,2.835
42,0.92,2.795
43,0.505,3.105
44,0.475,3.175
45,2.49,2.59
46,2.665,2.74
47,1.68,2.855
48,1.745,2.895
49,1.05,3.125
50,2.615,2.59
51,0.605,2.905
52,1.395,2.695
53,0.64,2.64
54,0.685,2.41
55,0.695,2.395
56,0.68,2.355
57,1.07,2.395
58,0.705,2.33
59,0.705,2.305
60,0.71,2.335
61,0.69,2.365
62,0.69,2.315
63,0.695,2.295
64,0.68,2.355
65,0.705,2.305
66,0.7,2.275
67,0.705,2.305
68,0.705,2.255
69,0.695,2.295
70,0.72,2.195
71,0.71,2.285
72,0.71,2.31
73,0.715,2.215
74,0.705,2.255
75,0.72,2.195
76,0.755,2.055
77,0.72,2.27
78,0.7,2.275
79,0.7,2.275
80,0.82,1.795
81,0.71,2.235
82,0.735,2.21
83,0.7,2.275
84,0.71,2.235
85,0.71,2.235
86,0.7,2.275
87,0.76,2.035
88,0.71,2.235
89,0.725,2.275
90,0.745,2.145
91,0.69,2.315
92,0.715,2.215
93,0.695,2.295
94,0.7,2.275
95,0.725,2.175
96,0.74,2.115
97,0.71,2.235
98,0.695,2.295
99,0.71,2.235
100,0.705,2.255
101,0.755,2.055
102,0.745,2.095
103,0.71,2.285
104,0.7,2.275
105,0.83,1.755
106,0.85,1.675
107,0.87,1.595
108,0.86,1.635
109,0.895,1.495
110,0.885,1.535
111,0.9,1.525
112,0.87,1.595
113,0.9,1.575
114,0.905,1.455
115,0.895,1.545
116,0.9,1.475
117,0.9,1.475
118,0.915,1.415
119,0.915,1.49
120,0.905,1.53
121,0.92,1.395
122,0.9,1.475
123,0.91,1.485
124,0.94,1.315
125,0.915,1.415
126,0.935,1.335
127,0.935,1.335
128,0.935,1.335
129,0.945,1.295
130,0.955,1.255
131,0.97,1.195
132,0.95,1.275
133,0.935,1.335
134,0.95,1.275
135,0.93,1.355
136,0.95,1.325
137,0.965,1.215
138,0.975,1.175
139,0.95,1.275
140,0.98,1.155
141,0.945,1.295
142,0.96,1.235
143,0.96,1.285
144,0.98,1.155
145,0.97,1.195
146,1.01,1.085
147,0.995,1.095
148,1.005,1.055
149,0.98,1.155
150,0.995,1.095
151,0.995,1.095
152,1.005,1.055
153,0.995,1.095
154,1.005,1.055
155,1.01,1.035
156,1.0,1.075
157,0.995,1.095
158,1.0,1.075
159,0.99,1.115
160,1.02,0.995
161,1.02,0.995
162,1.02,0.995
163,1.015,1.015
164,1.02,0.995
165,1.02,0.995
166,1.005,1.055
167,1.005,1.055
168,1.0,1.075
169,1.015,1.015
170,1.015,1.015
171,1.005,1.055
172,1.02,0.995
173,1.005,1.055
174,1.005,1.055
175,1.0,1.075
176,1.02,0.995
177,1.0,1.075
178,1.0,1.075
179,1.015,1.015
180,1.02,0.995
181,1.005,1.055
182,1.015,1.015
183,1.005,1.055
184,1.01,1.035
185,0.985,1.135
186,1.01,1.035
187,1.01,1.035
188,1.005,1.055
189,1.01,1.035
190,0.99,1.115
191,1.025,1.025
192,1.005,1.055
193,1.02,1.045
194,1.0,1.075
195,1.015,1.015
196,1.025,1.075
197,1.02,0.995
198,1.02,0.995
199,1.015,1.015
200,1.015,1.015
201,1.01,1.035
202,1.02,0.995
203,1.01,1.035
204,1.02,0.995
205,1.01,1.035
206,1.02,0.995
207,1.02,0.995
208,1.015,1.065
209,1.02,0.995
210,1.02,0.995
211,1.02,0.995
212,1.02,0.995
213,1.01,1.035
214,1.02,0.995
215,1.02,0.995
216,1.025,1.025
217,1.02,0.995
218,1.02,1.045
219,1.01,1.035
220,1.02,0.995
221,1.02,0.995
222,1.02,0.995
223,1.01,1.035
224,1.03,1.055
225,1.035,1.035
226,1.02,0.995
227,1.02,0.995
228,1.02,0.995
229,1.02,0.995
230,1.02,0.995
231,1.02,0.995
232,1.02,0.995
233,1.015,1.015
234,1.01,1.035
235,1.025,1.025
236,1.01,1.035
237,1.02,0.995
238,1.02,0.995
239,1.02,0.995
240,1.02,0.995
241,1.01,1.035
242,1.02,0.995
243,1.02,0.995
244,1.02,0.995
245,1.02,0.995
246,1.025,1.025
247,1.02,0.995
248,1.01,1.035
249,1.02,0.995
250,1.02,0.995
251,1.02,0.995
252,1.02,0.995
253,1.01,1.035
254,1.02,0.995
255,1.02,0.995
256,1.01,1.035
257,1.02,1.045
258,1.02,0.995
259,1.02,0.995
260,1.01,1.035
261,1.02,0.995
262,1.015,1.015
263,1.02,0.995
264,1.02,0.995
265,1.02,0.995
266,1.02,0.995
267,1.01,1.035
268,1.02,0.995
269,1.02,0.995
270,1.015,1.015
271,1.02,0.995
272,1.01,1.085
273,1.02,0.995
274,1.02,0.995
275,1.01,1.035
276,1.02,0.995
277,1.02,0.995
278,1.02,0.995
279,1.01,1.035
280,1.015,1.015
281,1.02,0.995
282,1.01,1.035
283,1.02,0.995
284,1.02,0.995
285,1.01,1.035
286,1.02,0.995
287,1.02,0.995
288,1.01,1.035
289,1.015,1.015
290,1.02,0.995
291,1.015,1.015
292,1.015,1.015
293,1.02,0.995
294,1.01,1.035
295,1.02,0.995
296,1.02,0.995
297,1.02,0.995
298,1.02,0.995
299,1.015,1.115
300,1.01,1.035
301,1.015,1.015
302,1.02,0.995
303,1.02,0.995
304,1.04,1.015
305,1.02,0.995
306,1.02,0.995
307,1.02,0.995
308,1.02,0.995
309,1.02,0.995
310,1.02,0.995
311,1.04,1.015
312,1.015,1.015
313,1.02,0.995
314,1.02,0.995
315,1.02,1.045
316,1.02,0.995
317,1.02,0.995
318,1.02,0.995
319,1.02,0.995
320,1.02,0.995
321,1.02,0.995
322,1.02,0.995
323,1.02,0.995
324,1.02,0.995
325,1.02,0.995
326,1.03,1.055
327,1.02,0.995
328,1.0,1.075
329,1.02,0.995
330,1.01,1.035
331,1.02,0.995
332,1.02,0.995
333,1.02,0.995
334,1.02,0.995
335,1.02,0.995
336,1.02,0.995
337,1.02,0.995
