,NeuralAgent_Student17_200bAgent,Student17_200bAgent
0,1.04,1.14
1,0.545,3.12
2,0.57,2.995
3,0.615,2.915
4,0.61,2.91
5,0.58,3.03
6,0.69,2.565
7,0.55,3.075
8,0.68,2.63
9,0.595,2.895
10,0.66,2.685
11,0.58,3.03
12,0.595,2.945
13,0.63,2.805
14,0.625,2.8
15,0.56,3.085
16,0.56,3.06
17,0.535,3.16
18,0.665,2.69
19,0.58,2.98
20,0.585,2.985
21,0.555,3.08
22,0.605,2.905
23,0.565,3.115
24,0.635,2.81
25,0.62,2.845
26,0.58,3.005
27,0.595,2.97
28,0.565,3.065
29,0.62,2.845
30,0.57,2.995
31,0.595,2.945
32,0.58,2.98
33,0.56,3.035
34,0.525,3.225
35,0.545,3.145
36,0.55,3.1
37,0.535,3.16
38,0.605,2.905
39,0.49,3.315
40,0.605,2.93
41,0.59,2.915
42,0.605,2.905
43,0.535,3.16
44,0.56,3.11
45,0.62,2.795
46,0.605,2.88
47,0.615,2.865
48,0.595,2.97
49,0.67,2.645
50,0.6,2.95
51,0.555,3.08
52,0.585,2.985
53,0.55,3.125
54,0.575,3.05
55,0.575,3.025
56,0.64,2.765
57,0.59,2.965
58,0.525,3.175
59,0.605,2.93
60,0.575,3.0
61,0.635,2.785
62,0.59,2.99
63,0.58,3.005
64,0.59,2.965
65,0.59,2.965
66,0.6,2.925
67,0.585,2.91
68,0.585,2.96
69,0.54,3.115
70,0.55,3.125
71,0.58,2.955
72,0.595,2.945
73,0.575,3.075
74,0.615,2.865
75,0.56,3.085
76,0.575,3.05
77,0.565,3.065
78,0.58,2.98
79,0.515,3.215
80,0.61,2.86
81,0.605,2.93
82,0.575,3.0
83,0.59,2.99
84,0.55,3.075
85,0.555,3.105
86,0.565,3.04
87,0.49,3.34
88,0.515,3.24
89,0.565,3.09
90,0.525,3.2
91,0.615,2.815
92,0.54,3.165
93,0.555,3.105
94,0.55,3.075
95,0.535,3.16
96,0.56,3.035
97,0.51,3.26
98,0.525,3.175
99,0.525,3.225
100,0.535,3.185
101,0.615,2.79
102,0.605,2.855
103,0.46,3.51
104,0.52,3.195
105,0.57,3.02
106,0.545,3.17
107,0.545,3.095
108,0.57,3.07
109,0.525,3.225
110,0.565,3.015
111,0.525,3.175
112,0.495,3.345
113,0.575,3.0
114,0.515,3.24
115,0.495,3.295
116,0.585,2.96
117,0.51,3.26
118,0.555,3.105
119,0.505,3.28
120,0.455,3.455
121,0.46,3.46
122,0.46,3.435
123,0.535,3.16
124,0.52,3.245
125,0.555,3.105
126,0.52,3.245
127,0.49,3.365
128,0.525,3.175
129,0.49,3.34
130,0.495,3.32
131,0.46,3.485
132,0.52,3.22
133,0.52,3.22
134,0.545,3.17
135,0.515,3.29
136,0.455,3.48
137,0.54,3.115
138,0.47,3.445
