,NeuralAgent_Student21_200aAgent_rng,Student21_200aAgent
0,2.085,2.085
1,2.105,2.08
2,2.13,2.105
3,2.31,2.31
4,2.2,2.2
5,2.255,2.23
6,2.19,2.215
7,2.13,2.13
8,0.535,2.86
9,2.03,2.03
10,2.21,2.185
11,2.085,2.06
12,2.165,2.165
13,2.08,2.105
14,2.055,2.055
15,0.48,3.08
16,0.44,3.24
17,2.235,2.21
18,2.24,2.215
19,1.985,1.96
20,2.2,2.275
21,2.08,2.105
22,0.54,2.84
23,2.155,2.13
24,2.095,2.07
25,2.065,2.065
26,2.125,2.125
27,2.1,2.075
28,1.99,1.965
29,2.16,2.16
30,1.975,2.025
31,2.17,2.145
32,2.17,2.145
33,0.54,2.84
34,2.275,2.25
35,1.995,2.045
36,0.455,3.18
37,1.955,1.93
38,2.11,2.11
39,2.095,2.07
40,0.515,2.94
41,2.075,2.075
42,0.54,2.84
43,2.02,1.995
44,2.045,2.02
45,1.99,1.965
46,2.055,2.105
47,2.015,1.99
48,2.13,2.13
49,0.55,2.8
50,2.005,1.98
51,2.12,2.12
52,0.53,2.88
53,2.13,2.13
54,0.57,2.72
55,0.585,2.66
56,2.09,2.09
57,2.025,2.0
58,0.585,2.66
59,1.94,1.94
60,2.015,1.99
61,1.99,1.965
62,2.1,2.075
63,1.985,1.96
64,2.095,2.07
65,1.98,2.005
66,2.015,1.99
67,0.59,2.64
68,1.935,1.935
69,1.955,1.93
70,2.025,2.0
71,1.995,1.995
72,2.04,2.09
73,2.04,2.015
74,2.05,2.1
75,0.585,2.66
76,2.02,2.02
77,1.89,1.865
78,0.63,2.48
79,1.965,1.965
80,1.985,1.96
81,2.045,2.02
82,0.58,2.68
83,2.155,2.155
84,0.645,2.42
85,1.795,1.77
86,1.88,1.88
87,0.625,2.5
88,2.0,2.0
89,1.875,1.9
90,1.92,1.92
91,1.95,2.0
92,2.015,1.99
93,1.885,1.885
94,2.005,2.055
95,2.01,1.985
96,0.655,2.38
97,1.93,1.93
98,1.9,1.875
99,0.63,2.48
100,0.645,2.42
101,2.025,2.025
102,1.87,1.845
103,1.945,1.945
104,1.775,1.75
