,NeuralAgent_Student24_200bAgent,Student24_200bAgent
0,0.985,1.06
1,0.515,2.94
2,0.47,3.12
3,0.44,3.24
4,0.48,3.08
5,0.49,3.04
6,0.49,3.04
7,0.515,2.94
8,0.52,2.92
9,0.57,2.72
10,0.44,3.24
11,0.525,2.9
12,0.575,2.7
13,0.475,3.1
14,0.52,2.92
15,0.53,2.88
16,0.54,2.84
17,0.485,3.06
18,0.49,3.04
19,0.49,3.04
20,0.54,2.84
21,0.465,3.14
22,0.465,3.14
23,0.495,3.02
24,0.44,3.24
25,0.545,2.82
26,0.445,3.22
27,0.505,2.98
28,0.475,3.1
29,0.515,2.94
30,0.505,2.98
31,0.55,2.8
32,0.5,3.0
33,0.505,2.98
34,0.5,3.0
35,0.46,3.16
36,0.49,3.04
37,0.495,3.02
38,0.57,2.72
39,0.405,3.38
40,0.535,2.86
41,0.395,3.42
42,0.515,2.94
43,0.48,3.08
44,0.515,2.94
45,0.5,3.0
46,0.495,3.02
47,0.48,3.08
48,0.46,3.16
49,0.515,2.94
50,0.475,3.1
51,0.505,2.98
52,0.42,3.32
53,0.435,3.26
54,0.485,3.06
55,0.495,3.02
56,0.42,3.32
57,0.415,3.34
58,0.41,3.36
59,0.455,3.18
60,0.535,2.86
61,0.46,3.16
62,0.44,3.24
63,0.48,3.08
64,0.455,3.18
65,0.445,3.22
66,0.48,3.08
67,0.435,3.26
68,0.415,3.34
69,0.475,3.1
70,0.435,3.26
71,0.445,3.22
72,0.42,3.32
73,0.44,3.24
74,0.455,3.18
75,0.45,3.2
76,0.425,3.3
77,0.405,3.38
78,0.43,3.28
79,0.47,3.12
80,0.43,3.28
81,0.45,3.2
82,0.415,3.34
83,0.425,3.3
84,0.47,3.12
85,0.45,3.2
86,0.42,3.32
87,0.35,3.6
88,0.415,3.34
89,0.365,3.54
90,0.435,3.26
91,0.365,3.54
92,0.39,3.44
93,0.38,3.48
94,0.37,3.52
95,0.395,3.42
96,0.35,3.6
97,0.42,3.32
98,0.39,3.44
99,0.4,3.4
100,0.43,3.28
101,0.375,3.5
102,0.38,3.48
103,0.41,3.36
104,0.45,3.2
105,0.38,3.48
106,0.36,3.56
107,0.375,3.5
108,0.445,3.22
109,0.37,3.52
110,0.335,3.66
111,0.35,3.6
112,0.4,3.4
113,0.34,3.64
114,0.42,3.32
115,0.33,3.68
116,0.385,3.46
117,0.4,3.4
118,0.33,3.68
119,0.36,3.56
120,0.345,3.62
121,0.335,3.66
122,0.31,3.76
123,0.315,3.74
124,0.34,3.64
125,0.325,3.7
126,0.35,3.6
127,0.3,3.8
128,0.355,3.58
129,0.34,3.64
130,0.4,3.4
131,0.355,3.58
132,0.32,3.72
133,0.28,3.88
134,0.365,3.54
135,0.34,3.64
136,0.275,3.9
137,0.315,3.74
138,0.35,3.6
139,0.305,3.78
140,0.26,3.96
141,0.3,3.8
142,0.295,3.82
143,0.345,3.62
144,0.265,3.94
145,0.3,3.8
146,0.325,3.7
147,0.265,3.94
148,0.24,4.04
149,0.325,3.7
150,0.22,4.12
151,0.33,3.68
152,0.305,3.78
153,0.275,3.9
154,0.245,4.02
155,0.24,4.04
156,0.255,3.98
157,0.245,4.02
158,0.3,3.8
159,0.285,3.86
160,0.335,3.66
161,0.295,3.82
162,0.235,4.06
163,0.28,3.88
164,0.27,3.92
165,0.225,4.1
166,0.275,3.9
167,0.265,3.94
168,0.225,4.1
