,NeuralAgent_Student26_200mAgent,Student26_200mAgent
317,2.39,2.34
318,2.21,2.185
319,2.255,2.255
320,2.315,2.215
321,2.335,2.285
322,2.405,2.305
323,2.23,2.155
324,2.245,2.22
325,2.315,2.165
326,2.45,2.4
327,2.27,2.22
328,2.21,2.185
329,2.345,2.27
330,2.28,2.28
331,2.335,2.31
332,2.275,2.2
333,2.305,2.28
334,2.2,2.2
335,2.365,2.265
336,2.355,2.255
337,2.365,2.34
338,2.43,2.38
339,2.185,2.16
340,2.265,2.265
341,2.325,2.3
342,2.26,2.21
343,2.22,2.145
344,2.29,2.265
345,2.19,2.14
346,2.235,2.21
347,2.35,2.35
348,2.285,2.235
349,2.295,2.245
350,2.395,2.345
351,2.31,2.31
352,2.225,2.2
353,2.31,2.285
354,2.27,2.245
355,2.385,2.36
356,2.185,2.185
357,2.245,2.22
358,2.305,2.28
359,2.28,2.255
360,2.185,2.16
361,2.34,2.34
362,2.31,2.31
363,2.425,2.375
364,2.19,2.14
365,2.205,2.18
366,2.17,2.12
367,2.12,2.07
368,2.4,2.375
369,2.24,2.215
370,2.33,2.305
371,2.345,2.27
372,2.355,2.305
373,2.375,2.35
374,2.315,2.265
375,2.3,2.275
376,2.28,2.28
377,2.2,2.175
378,2.225,2.225
379,2.31,2.31
380,2.08,2.08
381,2.235,2.235
382,2.235,2.21
383,2.235,2.21
384,2.29,2.24
385,2.22,2.17
386,2.28,2.28
387,2.305,2.305
388,2.195,2.17
389,2.185,2.135
390,2.15,2.125
391,2.33,2.305
392,2.22,2.22
393,2.345,2.32
394,2.24,2.215
395,2.32,2.27
396,2.29,2.215
397,2.285,2.26
398,2.31,2.26
399,2.325,2.325
400,2.34,2.14
401,2.255,2.23
402,2.16,2.16
403,2.195,2.17
404,2.265,2.24
405,2.15,2.125
406,2.365,2.265
407,2.275,2.175
408,2.295,2.27
409,2.32,2.32
410,2.25,2.225
411,2.35,2.35
412,2.2,2.175
413,2.335,2.31
414,2.23,2.155
415,2.325,2.225
416,2.2,2.175
417,2.245,2.195
418,2.325,2.3
419,2.175,2.125
420,2.325,2.3
421,2.29,2.14
422,2.265,2.24
423,2.25,2.25
