,NeuralAgentOpMe_Student19_200bAgent_rng,Student19_200bAgent
0,1.56,3.085
1,1.68,2.905
2,1.795,2.795
3,1.765,2.79
4,1.845,2.67
5,1.645,2.92
6,1.79,2.765
7,1.615,2.94
8,1.74,2.84
9,1.67,2.895
10,1.635,2.91
11,1.685,2.885
12,1.9,2.65
13,1.83,2.73
14,1.68,2.905
15,1.85,2.7
16,1.895,2.67
17,1.965,2.59
18,1.9,2.675
19,2.005,2.555
20,2.0,2.575
21,2.0,2.55
22,1.995,2.57
23,2.05,2.525
24,2.055,2.505
25,2.035,2.535
26,2.13,2.455
27,1.92,2.645
28,2.11,2.46
29,1.645,2.92
30,1.575,2.975
31,2.135,2.635
32,2.15,2.6
33,2.175,2.575
34,1.095,3.67
35,1.7,3.025
36,1.86,2.91
37,2.565,2.215
38,2.29,2.49
39,2.39,2.39
40,2.73,2.055
41,2.17,2.595
42,1.615,2.74
43,1.695,3.07
44,1.025,3.75
45,2.185,2.585
46,2.54,2.24
47,1.575,3.2
48,2.69,2.09
49,2.13,2.63
50,2.13,2.63
51,2.68,2.105
52,2.66,2.11
53,2.115,2.415
54,2.725,2.025
55,1.665,2.815
56,2.74,2.04
57,1.795,2.92
58,1.025,3.5
59,2.13,2.63
60,1.2,3.325
61,1.8,2.925
62,0.325,4.6
63,2.17,2.445
64,2.36,2.36
65,2.78,2.005
66,2.335,2.435
67,0.62,4.295
68,2.685,2.085
69,2.55,2.2
70,2.17,2.545
71,0.12,4.845
72,2.46,2.235
73,2.155,2.63
74,2.13,2.655
75,1.57,3.195
76,2.305,2.48
77,2.18,2.455
78,1.26,3.585
79,0.22,4.745
80,0.75,4.075
81,1.72,3.095
82,0.33,4.605
83,2.205,2.53
84,0.995,3.92
85,1.355,3.43
86,1.255,3.53
87,0.015,4.99
88,0.015,4.99
89,0.015,4.99
90,0.335,4.61
91,0.29,4.665
92,0.33,4.655
93,0.145,4.82
94,0.06,4.935
95,0.6,4.325
96,0.46,4.485
97,0.46,4.485
98,0.035,4.96
99,0.015,4.99
100,0.5,4.425
101,0.29,4.665
102,0.18,4.805
103,0.085,4.91
104,0.105,4.88
105,0.49,4.465
106,0.085,4.91
107,0.155,4.83
108,0.585,4.36
109,0.995,3.87
110,1.0,3.925
111,0.15,4.825
112,0.52,4.395
113,0.365,4.59
114,1.08,3.755
115,1.3,3.525
