,NeuralAgent_Student17_200mAgent,Student17_200mAgent
0,0.985,1.06
1,0.515,2.94
2,0.465,3.14
3,0.425,3.3
4,0.47,3.12
5,0.5,3.0
6,0.5,3.0
7,0.51,2.96
8,0.49,3.04
9,0.545,2.82
10,0.43,3.28
11,0.52,2.92
12,0.565,2.74
13,0.475,3.1
14,0.525,2.9
15,0.535,2.86
16,0.535,2.86
17,0.46,3.16
18,0.49,3.04
19,0.465,3.14
20,0.515,2.94
21,0.495,3.02
22,0.41,3.36
23,0.47,3.12
24,0.4,3.4
25,0.53,2.88
26,0.43,3.28
27,0.475,3.1
28,0.455,3.18
29,0.49,3.04
30,0.46,3.16
31,0.55,2.8
32,0.48,3.08
33,0.515,2.94
34,0.495,3.02
35,0.445,3.22
36,0.48,3.08
37,0.475,3.1
38,0.51,2.96
39,0.38,3.48
40,0.5,3.0
41,0.39,3.44
42,0.475,3.1
43,0.475,3.1
44,0.48,3.08
45,0.46,3.16
46,0.49,3.04
47,0.425,3.3
48,0.465,3.14
49,0.475,3.1
50,0.44,3.24
51,0.48,3.08
52,0.4,3.4
53,0.405,3.38
54,0.455,3.18
55,0.435,3.26
56,0.37,3.52
57,0.4,3.4
58,0.375,3.5
59,0.435,3.26
60,0.51,2.96
61,0.395,3.42
62,0.36,3.56
63,0.45,3.2
64,0.38,3.48
65,0.42,3.32
66,0.465,3.14
67,0.365,3.54
68,0.35,3.6
69,0.435,3.26
70,0.4,3.4
71,0.405,3.38
72,0.36,3.56
73,0.395,3.42
74,0.41,3.36
75,0.41,3.36
76,0.385,3.46
77,0.33,3.68
78,0.38,3.48
79,0.38,3.48
80,0.395,3.42
81,0.38,3.48
82,0.36,3.56
83,0.365,3.54
84,0.38,3.48
85,0.385,3.46
86,0.375,3.5
87,0.3,3.8
88,0.325,3.7
89,0.3,3.8
90,0.39,3.44
91,0.33,3.68
92,0.285,3.86
93,0.315,3.74
94,0.315,3.74
95,0.31,3.76
96,0.295,3.82
97,0.335,3.66
98,0.34,3.64
99,0.35,3.6
100,0.355,3.58
101,0.305,3.78
102,0.33,3.68
103,0.345,3.62
104,0.365,3.54
105,0.3,3.8
106,0.285,3.86
107,0.29,3.84
108,0.375,3.5
109,0.305,3.78
110,0.27,3.92
111,0.26,3.96
112,0.335,3.66
113,0.275,3.9
114,0.305,3.78
115,0.255,3.98
116,0.28,3.88
117,0.34,3.64
118,0.27,3.92
119,0.28,3.88
120,0.245,4.02
121,0.28,3.88
122,0.265,3.94
123,0.24,4.04
124,0.24,4.04
125,0.25,4.0
126,0.275,3.9
127,0.22,4.12
128,0.305,3.78
129,0.255,3.98
130,0.31,3.76
131,0.29,3.84
132,0.22,4.12
133,0.225,4.1
134,0.28,3.88
135,0.25,4.0
136,0.215,4.14
137,0.245,4.02
138,0.255,3.98
139,0.21,4.16
140,0.18,4.28
141,0.24,4.04
142,0.23,4.08
143,0.255,3.98
144,0.2,4.2
145,0.2,4.2
146,0.23,4.08
147,0.195,4.22
148,0.165,4.34
149,0.255,3.98
150,0.11,4.56
151,0.18,4.28
152,0.25,4.0
153,0.19,4.24
154,0.19,4.24
155,0.175,4.3
156,0.2,4.2
157,0.165,4.34
158,0.245,4.02
159,0.175,4.3
160,0.22,4.12
161,0.17,4.32
162,0.155,4.38
163,0.175,4.3
164,0.2,4.2
165,0.16,4.36
166,0.155,4.38
167,0.185,4.26
168,0.165,4.34
