,NeuralAgent_Student5_200bAgent,Student5_200bAgent
0,4.5,0.575
1,3.805,1.58
2,3.705,1.605
3,3.935,1.485
4,3.99,1.34
5,3.88,1.53
6,4.03,1.28
7,3.855,1.63
8,3.765,1.54
9,3.795,1.62
10,3.84,1.49
11,3.93,1.355
12,3.845,1.57
13,3.985,1.36
14,3.935,1.335
15,3.91,1.485
16,3.93,1.38
17,3.86,1.535
18,3.92,1.395
19,3.915,1.39
20,3.93,1.405
21,4.0,1.3
22,3.82,1.495
23,3.875,1.55
24,3.97,1.42
25,3.845,1.395
26,3.89,1.465
27,4.085,1.21
28,3.86,1.535
29,3.81,1.535
30,3.885,1.51
31,3.94,1.44
32,3.925,1.325
33,3.875,1.475
34,4.01,1.26
35,3.84,1.465
36,3.685,1.61
37,3.995,1.295
38,3.955,1.405
39,3.945,1.42
40,3.86,1.385
41,3.995,1.445
42,4.0,1.375
43,3.905,1.455
44,4.035,1.26
45,3.96,1.36
46,3.895,1.495
47,3.91,1.41
48,4.025,1.35
49,3.925,1.4
50,3.975,1.325
51,4.0,1.375
52,3.945,1.37
53,3.85,1.475
54,3.935,1.26
55,4.06,1.235
56,3.88,1.405
57,3.905,1.43
58,3.935,1.335
59,4.045,1.32
60,3.975,1.35
61,4.105,1.18
62,3.985,1.435
63,4.07,1.245
64,3.97,1.32
65,4.01,1.285
66,3.975,1.25
67,4.06,1.135
68,4.02,1.345
69,3.95,1.4
70,3.94,1.365
71,4.07,1.195
72,4.09,1.19
73,4.045,1.195
74,3.85,1.4
75,4.025,1.2
76,3.92,1.42
77,3.97,1.32
78,3.825,1.5
79,4.16,1.085
80,3.93,1.405
81,4.14,1.19
82,4.145,1.145
83,4.135,1.11
84,4.005,1.23
85,4.03,1.305
86,4.165,1.065
87,4.11,1.185
88,3.945,1.37
89,4.175,1.1
90,4.115,1.19
91,4.18,1.105
92,4.0,1.2
93,4.125,1.125
94,4.105,1.205
95,4.09,1.065
96,4.09,1.215
97,3.985,1.26
98,4.145,1.045
99,4.075,1.175
100,4.07,1.22
101,4.21,1.035
102,4.285,0.935
103,4.105,1.03
104,4.06,1.06
105,4.05,1.1
106,4.07,1.22
107,4.145,1.02
108,4.0,1.125
109,4.105,1.055
110,4.205,0.98
111,4.365,0.865
112,4.115,1.065
113,4.095,1.145
114,4.17,1.02
115,4.21,0.985
116,3.995,1.145
117,4.24,1.015
118,4.22,0.945
119,4.125,1.025
120,4.185,0.96
121,4.165,1.015
122,4.23,1.005
123,4.25,0.975
124,4.13,1.105
125,4.295,0.845
126,4.42,0.67
127,4.295,0.795
128,4.23,0.88
129,4.205,1.005
130,4.285,0.885
131,4.22,1.02
132,4.205,0.905
133,4.38,0.78
134,4.29,0.89
135,4.275,0.85
136,4.29,0.94
137,4.34,0.79
138,4.2,0.875
139,4.395,0.795
140,4.3,0.875
141,4.295,0.845
142,4.29,0.765
143,4.25,0.85
144,4.345,0.795
145,4.4,0.8
146,4.28,0.755
147,4.41,0.685
148,4.3,0.825
149,4.34,0.84
150,4.21,0.91
151,4.34,0.765
152,4.23,0.905
153,4.32,0.77
154,4.27,0.82
155,4.37,0.745
156,4.385,0.785
157,4.28,0.755
158,4.38,0.68
159,4.37,0.795
160,4.425,0.675
161,4.415,0.69
162,4.335,0.735
163,4.365,0.765
164,4.37,0.72
165,4.45,0.6
166,4.34,0.84
167,4.445,0.67
168,4.53,0.58
169,4.215,0.74
170,4.3,0.775
171,4.55,0.475
172,4.44,0.69
173,4.25,0.65
174,4.31,0.785
175,4.185,0.785
176,4.48,0.655
177,4.555,0.555
178,4.41,0.61
179,4.485,0.51
180,4.43,0.555
181,4.41,0.66
182,4.425,0.675
183,4.435,0.635
184,4.505,0.555
185,4.585,0.485
186,4.42,0.62
187,4.47,0.545
188,4.46,0.61
189,4.53,0.555
190,4.44,0.665
191,4.45,0.575
192,4.54,0.515
193,4.475,0.575
194,4.32,0.72
195,4.58,0.405
196,4.53,0.53
197,4.61,0.46
198,4.5,0.475
199,4.515,0.49
200,4.515,0.49
201,4.45,0.6
202,4.48,0.405
203,4.575,0.4
204,4.54,0.49
205,4.51,0.51
206,4.42,0.62
207,4.425,0.575
208,4.51,0.535
209,4.365,0.69
210,4.54,0.465
211,4.575,0.45
212,4.435,0.585
213,4.68,0.33
214,4.48,0.48
215,4.57,0.445
216,4.53,0.505
217,4.525,0.5
218,4.725,0.25
219,4.335,0.685
220,4.435,0.535
221,4.575,0.375
222,4.49,0.565
223,4.595,0.445
224,4.47,0.42
225,4.525,0.425
226,4.39,0.615
227,4.65,0.325
228,4.6,0.35
229,4.625,0.375
230,4.595,0.345
231,4.535,0.385
232,4.61,0.385
233,4.455,0.505
234,4.6,0.375
235,4.66,0.435
236,4.53,0.43
237,4.68,0.33
238,4.585,0.385
239,4.56,0.41
240,4.65,0.3
241,4.525,0.425
242,4.61,0.41
243,4.63,0.43
244,4.61,0.41
245,4.525,0.4
246,4.62,0.345
247,4.635,0.31
248,4.73,0.23
249,4.575,0.375
250,4.75,0.275
251,4.58,0.405
252,4.54,0.415
253,4.7,0.25
254,4.6,0.3
255,4.7,0.25
256,4.68,0.33
257,4.675,0.275
258,4.65,0.3
259,4.625,0.225
260,4.64,0.265
261,4.585,0.31
262,4.58,0.355
263,4.55,0.3
264,4.495,0.42
265,4.745,0.245
266,4.695,0.22
267,4.585,0.31
268,4.675,0.275
269,4.69,0.24
270,4.625,0.3
271,4.685,0.26
272,4.635,0.285
273,4.67,0.295
274,4.71,0.21
275,4.68,0.33
276,4.645,0.32
277,4.68,0.255
278,4.8,0.2
279,4.52,0.42
280,4.725,0.275
281,4.7,0.2
282,4.58,0.38
283,4.65,0.225
284,4.76,0.185
285,4.61,0.26
286,4.72,0.32
287,4.515,0.365
288,4.585,0.335
289,4.63,0.23
290,4.595,0.27
291,4.65,0.275
292,4.69,0.29
293,4.605,0.28
294,4.72,0.295
295,4.725,0.175
296,4.77,0.195
297,4.775,0.15
298,4.615,0.265
299,4.67,0.27
300,4.645,0.27
301,4.725,0.25
302,4.675,0.325
303,4.74,0.165
304,4.67,0.22
305,4.575,0.3
306,4.695,0.17
307,4.695,0.22
308,4.465,0.315
309,4.71,0.16
310,4.84,0.14
311,4.765,0.215
312,4.68,0.23
313,4.69,0.215
314,4.735,0.235
315,4.515,0.265
316,4.64,0.34
317,4.66,0.21
318,4.73,0.205
319,4.7,0.2
320,4.7,0.1
321,4.76,0.11
322,4.82,0.17
323,4.78,0.13
324,4.74,0.19
325,4.81,0.11
326,4.715,0.215
327,4.85,0.125
328,4.78,0.105
329,4.745,0.22
330,4.75,0.175
331,4.78,0.205
332,4.635,0.235
333,4.73,0.155
334,4.78,0.105
335,4.805,0.13
336,4.76,0.185
337,4.83,0.105
338,4.705,0.155
339,4.87,0.07
340,4.74,0.215
341,4.615,0.24
342,4.73,0.13
343,4.77,0.145
344,4.67,0.195
345,4.61,0.235
346,4.665,0.215
347,4.76,0.135
348,4.71,0.21
349,4.65,0.25
350,4.76,0.185
351,4.73,0.13
352,4.71,0.185
353,4.775,0.15
354,4.72,0.195
355,4.75,0.125
356,4.72,0.17
357,4.9,0.05
358,4.685,0.185
359,4.8,0.175
360,4.695,0.195
361,4.8,0.125
362,4.77,0.17
363,4.76,0.135
364,4.675,0.25
365,4.815,0.09
366,4.71,0.21
367,4.82,0.07
368,4.8,0.125
369,4.725,0.225
370,4.685,0.185
371,4.82,0.095
372,4.76,0.11
373,4.75,0.2
374,4.815,0.165
375,4.64,0.19
376,4.81,0.135
377,4.63,0.18
378,4.75,0.1
379,4.65,0.275
380,4.58,0.155
381,4.84,0.09
382,4.735,0.185
383,4.75,0.15
384,4.81,0.11
385,4.9,0.1
386,4.675,0.2
387,4.78,0.105
388,4.79,0.14
389,4.62,0.17
390,4.84,0.115
391,4.81,0.11
392,4.755,0.205
393,4.83,0.105
394,4.66,0.185
395,4.74,0.165
396,4.715,0.19
397,4.85,0.1
398,4.79,0.14
399,4.73,0.155
400,4.72,0.095
401,4.79,0.215
402,4.8,0.125
403,4.8,0.15
404,4.83,0.105
405,4.605,0.23
406,4.78,0.13
407,4.84,0.09
408,4.7,0.1
409,4.7,0.15
410,4.7,0.175
411,4.665,0.215
412,4.705,0.13
413,4.835,0.085
414,4.78,0.105
415,4.78,0.08
416,4.7,0.15
417,4.79,0.09
418,4.86,0.06
419,4.74,0.14
420,4.79,0.165
421,4.805,0.105
422,4.88,0.08
423,4.84,0.09
424,4.73,0.13
425,4.77,0.095
426,4.79,0.165
427,4.79,0.115
428,4.73,0.08
429,4.805,0.105
430,4.84,0.065
431,4.83,0.13
432,4.81,0.135
433,4.66,0.135
434,4.81,0.085
435,4.81,0.06
436,4.7,0.1
437,4.81,0.085
438,4.85,0.05
439,4.83,0.105
440,4.65,0.175
441,4.75,0.125
442,4.84,0.065
443,4.76,0.135
444,4.76,0.16
445,4.805,0.105
446,4.75,0.075
447,4.67,0.145
448,4.81,0.085
449,4.78,0.13
450,4.75,0.175
451,4.675,0.175
452,4.79,0.115
453,4.89,0.04
454,4.74,0.115
455,4.79,0.14
456,4.675,0.175
457,4.74,0.09
458,4.91,0.035
459,4.695,0.145
460,4.76,0.085
461,4.835,0.11
462,4.77,0.145
463,4.575,0.15
464,4.9,0.05
465,4.68,0.13
466,4.71,0.11
467,4.785,0.11
468,4.8,0.125
469,4.76,0.135
470,4.74,0.165
471,4.63,0.23
472,4.71,0.135
473,4.81,0.085
474,4.795,0.12
475,4.715,0.165
476,4.665,0.165
477,4.73,0.105
478,4.75,0.15
479,4.83,0.08
480,4.78,0.105
481,4.76,0.085
482,4.82,0.07
483,4.79,0.115
484,4.865,0.065
485,4.66,0.135
486,4.8,0.075
487,4.73,0.105
488,4.82,0.07
489,4.79,0.115
490,4.82,0.12
491,4.82,0.095
492,4.78,0.105
493,4.67,0.145
494,4.76,0.06
495,4.8,0.1
496,4.75,0.125
497,4.87,0.045
498,4.68,0.13
499,4.67,0.12
500,4.79,0.065
501,4.77,0.095
502,4.79,0.09
503,4.78,0.105
504,4.715,0.115
505,4.71,0.135
506,4.83,0.055
507,4.89,0.04
508,4.76,0.11
509,4.75,0.075
510,4.75,0.075
511,4.79,0.065
512,4.76,0.085
513,4.77,0.12
514,4.8,0.1
515,4.695,0.145
516,4.71,0.11
517,4.805,0.105
518,4.8,0.1
519,4.82,0.07
520,4.72,0.095
521,4.78,0.08
522,4.81,0.06
523,4.62,0.12
524,4.75,0.075
525,4.81,0.06
526,4.74,0.14
527,4.63,0.105
528,4.82,0.095
529,4.76,0.11
530,4.69,0.115
531,4.89,0.09
532,4.71,0.11
533,4.85,0.05
534,4.685,0.135
535,4.86,0.06
536,4.87,0.07
537,4.85,0.05
538,4.8,0.075
539,4.74,0.09
540,4.9,0.025
541,4.81,0.085
542,4.76,0.085
543,4.78,0.08
544,4.64,0.115
545,4.8,0.075
546,4.8,0.075
547,4.86,0.06
548,4.85,0.075
549,4.83,0.08
550,4.79,0.09
551,4.75,0.075
552,4.85,0.1
553,4.645,0.145
554,4.76,0.085
555,4.82,0.07
556,4.705,0.13
557,4.9,0.05
558,4.87,0.095
559,4.8,0.05
560,4.7,0.1
561,4.685,0.135
562,4.87,0.07
563,4.75,0.175
564,4.7,0.1
565,4.69,0.09
566,4.79,0.065
567,4.79,0.09
568,4.84,0.065
569,4.8,0.1
570,4.725,0.175
571,4.71,0.135
572,4.78,0.105
573,4.89,0.04
574,4.73,0.08
575,4.87,0.045
576,4.7,0.1
577,4.68,0.13
578,4.71,0.085
579,4.77,0.095
580,4.75,0.075
581,4.75,0.15
582,4.82,0.07
583,4.68,0.08
584,4.76,0.06
585,4.82,0.095
586,4.725,0.1
587,4.77,0.07
588,4.73,0.105
589,4.82,0.07
590,4.645,0.145
591,4.79,0.065
592,4.84,0.065
593,4.69,0.09
594,4.755,0.105
595,4.78,0.08
596,4.82,0.095
597,4.9,0.05
598,4.85,0.075
599,4.78,0.08
600,4.72,0.095
601,4.665,0.115
602,4.75,0.1
603,4.7,0.1
604,4.77,0.095
605,4.75,0.075
606,4.78,0.08
607,4.88,0.055
608,4.81,0.06
609,4.78,0.105
610,4.78,0.08
611,4.78,0.08
612,4.79,0.065
613,4.8,0.075
614,4.8,0.075
615,4.81,0.06
616,4.87,0.07
617,4.91,0.035
618,4.78,0.105
619,4.82,0.095
620,4.76,0.06
621,4.75,0.1
622,4.89,0.04
623,4.62,0.12
624,4.85,0.05
625,4.79,0.065
626,4.76,0.085
627,4.77,0.07
628,4.73,0.105
629,4.76,0.085
630,4.78,0.055
631,4.76,0.085
632,4.87,0.07
633,4.76,0.085
634,4.83,0.055
635,4.81,0.06
636,4.83,0.055
637,4.69,0.115
638,4.79,0.115
639,4.865,0.065
640,4.86,0.035
641,4.77,0.095
642,4.81,0.06
643,4.76,0.085
644,4.79,0.09
645,4.82,0.07
646,4.9,0.025
647,4.82,0.045
648,4.72,0.095
649,4.82,0.07
650,4.76,0.06
651,4.79,0.065
652,4.74,0.09
653,4.68,0.08
654,4.7,0.1
655,4.76,0.06
656,4.87,0.045
657,4.85,0.05
658,4.785,0.085
659,4.73,0.105
660,4.795,0.095
661,4.8,0.075
662,4.89,0.04
663,4.8,0.075
664,4.8,0.05
665,4.76,0.085
666,4.85,0.075
667,4.88,0.055
668,4.8,0.05
669,4.78,0.055
670,4.86,0.085
671,4.77,0.07
672,4.84,0.065
673,4.84,0.065
674,4.85,0.05
675,4.68,0.105
676,4.89,0.04
677,4.74,0.065
678,4.75,0.1
679,4.74,0.09
680,4.83,0.08
681,4.71,0.11
682,4.74,0.065
683,4.93,0.03
684,4.65,0.1
685,4.88,0.03
686,4.79,0.065
687,4.74,0.09
688,4.81,0.06
689,4.7,0.1
690,4.82,0.045
691,4.82,0.07
692,4.82,0.07
693,4.88,0.055
694,4.88,0.055
695,4.84,0.04
696,4.78,0.055
697,4.67,0.095
698,4.86,0.06
699,4.73,0.08
700,4.77,0.07
701,4.76,0.085
702,4.84,0.065
703,4.85,0.05
704,4.69,0.09
705,4.84,0.065
706,4.82,0.045
707,4.68,0.105
708,4.8,0.05
709,4.84,0.04
710,4.82,0.045
711,4.72,0.095
712,4.77,0.07
713,4.86,0.06
714,4.69,0.09
715,4.73,0.105
716,4.78,0.055
717,4.8,0.075
718,4.82,0.07
719,4.75,0.1
720,4.79,0.065
721,4.73,0.08
722,4.74,0.065
723,4.82,0.07
724,4.8,0.05
725,4.86,0.035
726,4.85,0.05
727,4.77,0.07
728,4.58,0.105
729,4.76,0.06
730,4.86,0.035
731,4.75,0.075
732,4.71,0.11
733,4.83,0.055
734,4.77,0.07
735,4.88,0.055
736,4.74,0.065
737,4.79,0.09
738,4.9,0.05
739,4.78,0.055
740,4.78,0.055
741,4.74,0.09
742,4.9,0.025
743,4.83,0.055
744,4.66,0.135
745,4.8,0.075
746,4.87,0.045
747,4.72,0.095
748,4.84,0.04
749,4.77,0.07
750,4.83,0.08
751,4.81,0.06
752,4.66,0.11
753,4.8,0.05
754,4.86,0.06
755,4.81,0.06
756,4.805,0.08
757,4.77,0.095
758,4.82,0.045
759,4.76,0.085
760,4.84,0.04
761,4.8,0.05
762,4.79,0.065
763,4.82,0.045
764,4.79,0.065
765,4.77,0.07
766,4.82,0.045
767,4.8,0.075
768,4.78,0.105
769,4.84,0.04
770,4.83,0.08
771,4.84,0.065
772,4.75,0.1
773,4.84,0.04
774,4.68,0.105
775,4.77,0.07
776,4.92,0.02
777,4.79,0.09
778,4.74,0.09
779,4.87,0.07
780,4.81,0.085
781,4.845,0.07
782,4.76,0.085
783,4.86,0.06
784,4.86,0.035
785,4.705,0.105
786,4.84,0.04
787,4.79,0.065
788,4.85,0.05
789,4.88,0.055
790,4.87,0.045
791,4.86,0.06
792,4.63,0.13
793,4.86,0.06
794,4.73,0.08
795,4.79,0.065
796,4.75,0.075
797,4.85,0.05
798,4.83,0.08
799,4.78,0.055
800,4.83,0.055
801,4.76,0.085
802,4.7,0.075
803,4.74,0.065
804,4.72,0.07
805,4.77,0.07
806,4.75,0.075
807,4.81,0.06
808,4.8,0.05
809,4.725,0.1
810,4.85,0.075
811,4.85,0.05
812,4.835,0.085
813,4.74,0.065
814,4.84,0.04
815,4.725,0.1
816,4.78,0.055
817,4.71,0.11
818,4.78,0.08
819,4.71,0.11
820,4.87,0.045
821,4.82,0.07
822,4.7,0.075
823,4.8,0.075
824,4.75,0.075
825,4.79,0.065
826,4.86,0.06
827,4.8,0.05
828,4.79,0.09
829,4.88,0.03
830,4.88,0.03
831,4.88,0.03
832,4.78,0.08
833,4.76,0.06
834,4.79,0.09
835,4.79,0.065
836,4.9,0.025
837,4.72,0.07
838,4.75,0.075
839,4.8,0.05
840,4.81,0.06
841,4.68,0.08
842,4.73,0.08
843,4.85,0.075
844,4.8,0.05
845,4.81,0.06
846,4.94,0.015
847,4.83,0.055
848,4.75,0.075
849,4.76,0.085
850,4.67,0.095
851,4.85,0.05
852,4.9,0.025
