,NeuralAgent_Student17_200bAgent_rng,Student17_200bAgent
316,0.28,4.18
317,0.305,4.03
318,0.33,3.98
319,0.35,3.875
320,0.32,3.97
321,0.34,3.89
322,0.385,3.735
323,0.32,4.045
324,0.29,4.14
325,0.27,4.17
326,0.27,4.17
327,0.295,4.12
328,0.29,4.09
329,0.31,4.06
330,0.285,4.16
331,0.27,4.195
332,0.265,4.19
333,0.295,4.07
334,0.28,4.155
335,0.295,4.07
336,0.315,4.04
337,0.34,3.94
338,0.265,4.24
339,0.27,4.17
340,0.295,4.12
341,0.295,4.095
342,0.315,4.015
343,0.31,4.01
344,0.315,4.015
345,0.265,4.19
346,0.325,4.0
347,0.27,4.17
348,0.33,3.98
349,0.275,4.2
350,0.245,4.295
351,0.275,4.175
352,0.31,4.01
353,0.275,4.15
354,0.285,4.135
355,0.285,4.16
356,0.295,4.07
357,0.31,4.06
358,0.215,4.39
359,0.255,4.28
360,0.33,3.955
361,0.235,4.335
362,0.275,4.2
363,0.25,4.25
364,0.25,4.275
365,0.24,4.34
366,0.27,4.195
367,0.26,4.26
368,0.25,4.25
369,0.235,4.335
370,0.255,4.23
371,0.175,4.575
372,0.25,4.275
373,0.29,4.165
374,0.275,4.175
375,0.23,4.38
376,0.245,4.295
377,0.265,4.215
378,0.28,4.18
379,0.21,4.41
380,0.275,4.225
381,0.28,4.155
382,0.215,4.39
383,0.255,4.255
384,0.24,4.34
385,0.24,4.315
386,0.215,4.415
387,0.215,4.415
388,0.29,4.14
389,0.245,4.295
390,0.195,4.47
391,0.235,4.36
392,0.19,4.515
393,0.3,4.075
394,0.26,4.26
395,0.185,4.535
396,0.255,4.28
397,0.21,4.435
398,0.275,4.2
399,0.27,4.17
400,0.26,4.26
401,0.27,4.245
402,0.26,4.26
403,0.23,4.355
404,0.215,4.415
405,0.215,4.415
406,0.225,4.35
407,0.245,4.32
408,0.215,4.44
409,0.21,4.41
410,0.21,4.46
411,0.245,4.345
412,0.235,4.31
413,0.195,4.47
414,0.26,4.26
415,0.235,4.31
416,0.235,4.31
417,0.19,4.515
418,0.18,4.555
419,0.215,4.415
420,0.22,4.395
421,0.215,4.415
422,0.215,4.44
423,0.205,4.455
424,0.2,4.45
425,0.21,4.41
426,0.21,4.41
427,0.24,4.365
428,0.175,4.6
429,0.195,4.52
430,0.245,4.295
431,0.2,4.45
432,0.18,4.555
