,NeuralAgent_Student16_200bAgent_rng,Student16_200bAgent
0,4.94,0.065
1,4.055,1.405
2,3.955,1.555
3,4.08,1.355
4,4.04,1.415
5,3.99,1.49
6,4.095,1.345
7,3.98,1.505
8,3.925,1.6
9,3.82,1.745
10,3.915,1.615
11,3.915,1.615
12,3.89,1.64
13,3.965,1.54
14,3.905,1.63
15,4.01,1.46
16,4.105,1.33
17,3.985,1.51
18,3.925,1.6
19,3.795,1.795
20,3.985,1.51
21,3.885,1.66
22,3.9,1.625
23,3.97,1.52
24,3.885,1.66
25,3.94,1.565
26,3.97,1.52
27,3.885,1.66
28,3.795,1.795
29,4.0,1.475
30,3.875,1.675
31,3.945,1.57
32,3.96,1.535
33,3.94,1.565
34,4.085,1.36
35,3.92,1.595
36,4.09,1.34
37,3.75,1.85
38,3.98,1.505
39,3.925,1.6
40,3.98,1.505
41,3.86,1.685
42,3.925,1.6
43,3.865,1.69
44,3.855,1.705
45,3.915,1.615
46,3.96,1.535
47,3.85,1.7
48,4.0,1.475
49,3.91,1.61
50,3.875,1.675
51,4.03,1.43
52,3.955,1.555
53,3.94,1.565
54,3.895,1.645
55,3.845,1.72
56,3.95,1.55
57,3.875,1.675
58,3.85,1.7
59,3.88,1.655
60,3.885,1.66
61,3.905,1.63
62,3.895,1.645
63,3.865,1.69
64,3.955,1.555
65,3.865,1.69
66,3.915,1.615
67,3.86,1.685
68,3.91,1.61
69,3.82,1.745
70,3.925,1.6
71,3.94,1.565
72,3.92,1.595
73,3.895,1.645
74,3.94,1.565
75,3.86,1.685
76,3.9,1.625
77,3.765,1.84
78,3.805,1.78
79,3.88,1.655
80,3.905,1.63
81,3.905,1.63
82,3.875,1.675
83,3.96,1.535
84,3.75,1.85
85,3.735,1.885
86,3.85,1.7
87,3.845,1.72
88,3.85,1.7
89,3.775,1.825
90,3.79,1.79
91,3.9,1.625
92,3.905,1.63
93,3.83,1.73
94,3.84,1.715
95,3.815,1.765
96,3.755,1.855
97,3.86,1.685
98,3.835,1.735
99,3.805,1.78
100,3.755,1.855
101,3.88,1.655
102,3.735,1.885
103,3.82,1.745
104,3.725,1.9
105,3.85,1.7
106,3.78,1.805
107,3.725,1.9
108,3.795,1.795
109,3.8,1.775
110,3.88,1.655
111,3.8,1.775
112,3.71,1.91
113,3.75,1.85
114,3.84,1.715
115,3.815,1.765
116,3.875,1.675
117,3.68,1.955
118,3.875,1.675
119,3.765,1.84
120,3.775,1.825
121,3.745,1.87
122,3.765,1.84
123,3.715,1.915
124,3.735,1.885
125,3.715,1.915
126,3.74,1.865
127,3.71,1.91
128,3.725,1.9
129,3.595,2.095
130,3.815,1.765
131,3.695,1.945
132,3.715,1.915
133,3.735,1.885
134,3.74,1.865
135,3.71,1.91
136,3.67,1.97
137,3.645,2.02
138,3.675,1.975
139,3.55,2.15
140,3.675,1.975
141,3.705,1.93
142,3.505,2.23
143,3.635,2.035
144,3.685,1.96
145,3.66,1.985
146,3.635,2.035
147,3.555,2.155
148,3.505,2.23
149,3.565,2.14
150,3.525,2.2
151,3.655,2.005
152,3.645,2.02
153,3.61,2.06
154,3.655,2.005
155,3.655,2.005
156,3.505,2.23
157,3.59,2.09
158,3.575,2.125
159,3.535,2.185
160,3.695,1.945
161,3.45,2.3
162,3.575,2.125
163,3.65,2.0
164,3.575,2.125
165,3.575,2.125
166,3.56,2.135
167,3.635,2.035
168,3.59,2.09
169,3.55,2.15
170,3.445,2.32
171,3.525,2.2
172,3.715,1.915
173,3.525,2.2
174,3.47,2.27
175,3.59,2.09
176,3.505,2.23
177,3.52,2.195
178,3.64,2.015
179,3.66,1.985
180,3.505,2.23
181,3.51,2.21
182,3.515,2.215
183,3.55,2.15
184,3.565,2.14
185,3.54,2.165
186,3.435,2.335
187,3.615,2.065
188,3.49,2.24
189,3.485,2.26
190,3.51,2.21
191,3.495,2.245
192,3.57,2.12
193,3.475,2.275
194,3.515,2.215
195,3.435,2.335
196,3.555,2.155
197,3.505,2.23
198,3.49,2.24
199,3.46,2.285
200,3.485,2.26
201,3.41,2.36
202,3.33,2.48
203,3.41,2.36
204,3.395,2.395
205,3.4,2.375
206,3.455,2.305
207,3.495,2.245
208,3.425,2.35
209,3.325,2.5
210,3.335,2.485
211,3.495,2.245
212,3.315,2.515
213,3.435,2.335
214,3.255,2.605
215,3.375,2.425
216,3.46,2.285
217,3.45,2.3
218,3.295,2.545
219,3.32,2.495
220,3.3,2.525
221,3.285,2.56
222,3.285,2.56
223,3.34,2.465
224,3.285,2.56
225,3.335,2.485
226,3.355,2.455
