,NeuralAgent_Student26_200bAgent,Student26_200bAgent
0,2.07,2.045
1,2.3,2.3
2,2.265,2.24
3,2.1,2.1
4,2.3,2.275
5,2.16,2.135
6,2.225,2.2
7,2.31,2.285
8,2.265,2.265
9,2.11,2.085
10,2.18,2.18
11,2.195,2.17
12,2.125,2.125
13,2.05,2.05
14,2.185,2.185
15,2.16,2.135
16,2.215,2.19
17,2.21,2.185
18,2.28,2.255
19,2.13,2.105
20,2.06,2.06
21,2.225,2.2
22,2.16,2.135
23,2.035,2.035
24,2.295,2.27
25,2.16,2.16
26,2.325,2.325
27,2.265,2.24
28,2.195,2.17
29,2.105,2.08
30,2.26,2.235
31,2.255,2.255
32,2.27,2.27
33,1.99,1.965
34,2.335,2.31
35,2.29,2.265
36,2.25,2.225
37,2.325,2.3
38,2.205,2.205
39,2.24,2.215
40,2.235,2.21
41,2.125,2.1
42,2.29,2.29
43,2.335,2.31
44,2.37,2.37
45,2.135,2.11
46,2.255,2.23
47,2.09,2.09
48,2.17,2.17
49,2.175,2.175
50,2.235,2.235
51,2.11,2.11
52,2.23,2.23
53,2.295,2.27
54,2.295,2.27
55,2.13,2.13
56,2.175,2.15
57,2.17,2.17
58,2.29,2.29
59,2.115,2.09
60,2.22,2.22
61,2.16,2.135
62,2.235,2.21
63,2.18,2.155
64,2.19,2.19
65,2.235,2.21
66,2.23,2.205
67,2.245,2.22
68,2.27,2.27
69,2.225,2.225
70,2.205,2.18
71,2.14,2.14
72,2.195,2.195
73,2.245,2.22
74,2.33,2.305
75,2.16,2.16
76,2.24,2.215
77,2.105,2.08
78,2.285,2.26
79,2.305,2.28
80,2.215,2.215
81,2.28,2.255
82,2.145,2.12
83,2.37,2.37
84,2.23,2.205
85,2.23,2.23
86,2.19,2.19
87,2.185,2.16
88,2.32,2.32
89,2.345,2.345
90,2.26,2.26
91,2.23,2.205
92,2.265,2.24
93,2.015,1.99
94,2.18,2.155
95,2.17,2.145
96,2.21,2.21
97,2.34,2.34
98,2.34,2.34
99,2.215,2.215
100,2.2,2.2
101,2.25,2.225
102,2.115,2.09
103,2.29,2.265
104,2.165,2.165
105,2.18,2.18
106,2.295,2.27
107,2.335,2.335
108,2.265,2.24
109,2.24,2.24
110,2.195,2.17
111,2.29,2.265
112,2.215,2.19
113,2.135,2.11
114,2.19,2.165
115,2.245,2.245
116,2.07,2.07
117,2.25,2.225
118,2.015,2.015
119,2.085,2.06
120,2.23,2.23
121,2.345,2.345
122,2.195,2.195
123,2.22,2.22
124,2.31,2.285
125,2.165,2.14
126,2.235,2.21
127,2.345,2.32
128,2.225,2.225
129,2.365,2.34
130,2.255,2.23
131,2.31,2.285
132,2.19,2.165
133,2.18,2.155
134,2.215,2.19
135,2.31,2.31
136,2.16,2.16
137,2.2,2.175
138,2.265,2.24
139,2.18,2.18
140,2.295,2.295
141,2.32,2.32
142,2.32,2.32
143,2.24,2.215
144,2.315,2.315
145,2.22,2.22
146,2.19,2.165
147,2.31,2.285
148,2.3,2.275
149,2.19,2.19
150,2.245,2.245
151,2.28,2.255
152,2.305,2.305
153,2.18,2.18
154,2.3,2.275
155,2.25,2.25
156,2.09,2.09
157,2.355,2.33
158,2.125,2.125
159,2.41,2.41
160,2.275,2.275
161,2.3,2.275
162,2.355,2.33
163,2.25,2.225
164,2.295,2.27
165,2.21,2.21
166,2.285,2.285
167,2.19,2.19
168,2.19,2.19
169,2.2,2.175
