,NeuralAgentOpMe_Student3_200aAgent_rng,Student3_200aAgent
0,0.77,0.77
1,0.85,0.7
2,0.855,0.705
3,0.88,0.73
4,0.905,0.755
5,0.84,0.69
6,0.86,0.71
7,0.88,0.73
8,0.88,0.73
9,0.835,0.685
10,0.865,0.715
11,0.825,0.675
12,0.86,0.71
13,0.81,0.66
14,0.855,0.705
15,0.885,0.735
16,0.885,0.735
17,0.865,0.715
18,0.895,0.745
19,0.89,0.74
20,0.85,0.7
21,0.895,0.745
22,0.79,0.64
23,0.81,0.66
24,0.87,0.72
25,0.885,0.735
26,0.925,0.775
27,0.86,0.71
28,0.815,0.665
29,0.895,0.745
30,0.925,0.775
31,0.89,0.74
32,0.865,0.715
33,0.875,0.725
34,0.905,0.755
35,0.835,0.685
36,0.865,0.715
37,0.865,0.715
38,0.85,0.7
39,0.9,0.75
40,0.9,0.75
41,0.88,0.73
42,0.835,0.685
43,0.835,0.685
44,0.835,0.685
45,0.835,0.685
46,0.865,0.715
47,0.815,0.665
48,0.9,0.75
49,0.835,0.685
50,0.84,0.69
51,0.905,0.755
52,0.875,0.725
53,0.87,0.72
54,0.885,0.735
55,0.83,0.68
56,0.86,0.71
57,0.895,0.745
58,0.865,0.715
59,0.85,0.7
60,0.86,0.71
61,0.92,0.77
62,0.835,0.685
63,0.86,0.71
64,0.895,0.745
65,0.86,0.71
66,0.87,0.72
67,0.85,0.7
68,0.85,0.7
69,0.85,0.7
70,0.905,0.755
71,0.875,0.725
72,0.865,0.715
73,0.89,0.74
74,0.885,0.735
75,0.885,0.735
76,0.835,0.685
77,0.895,0.745
78,0.86,0.71
79,0.81,0.66
80,0.865,0.715
81,0.89,0.74
82,0.85,0.7
83,0.865,0.715
84,0.915,0.765
85,0.86,0.71
86,0.83,0.68
87,0.875,0.725
88,0.895,0.745
89,0.835,0.685
90,0.915,0.765
91,0.875,0.725
92,0.85,0.7
93,0.905,0.755
94,0.86,0.71
95,0.845,0.695
96,0.805,0.655
97,0.895,0.745
98,0.81,0.66
99,0.895,0.745
100,0.885,0.735
101,0.85,0.7
102,0.81,0.66
103,0.845,0.695
104,0.89,0.74
105,0.895,0.745
106,0.85,0.7
107,0.9,0.75
108,0.91,0.76
109,0.84,0.69
110,0.85,0.7
111,0.845,0.695
112,0.855,0.705
113,0.82,0.67
114,0.825,0.675
115,0.925,0.775
116,0.835,0.685
117,0.825,0.675
118,0.89,0.74
119,0.925,0.775
120,0.87,0.72
121,0.86,0.71
122,0.925,0.775
123,0.855,0.705
124,0.86,0.71
125,0.845,0.695
126,0.875,0.725
127,0.905,0.755
128,0.835,0.685
129,0.895,0.745
130,0.895,0.745
131,0.855,0.705
132,0.87,0.72
133,0.88,0.73
134,0.855,0.705
135,0.935,0.785
136,0.83,0.68
137,0.825,0.675
138,0.865,0.715
139,0.86,0.71
140,0.86,0.71
141,0.85,0.7
142,0.855,0.705
143,0.8,0.65
144,0.835,0.685
145,0.88,0.73
146,0.88,0.73
147,0.91,0.76
148,0.88,0.73
149,0.895,0.745
150,0.865,0.715
151,0.86,0.71
152,0.88,0.73
153,0.845,0.695
154,0.865,0.715
155,0.87,0.72
156,0.85,0.7
157,0.91,0.76
158,0.895,0.745
159,0.915,0.765
160,0.86,0.71
161,0.9,0.75
162,0.83,0.68
163,0.89,0.74
164,0.805,0.655
165,0.91,0.76
166,0.865,0.715
167,0.915,0.765
168,0.845,0.695
169,0.87,0.72
170,0.875,0.725
171,0.85,0.7
172,0.795,0.645
173,0.905,0.755
174,0.875,0.725
175,0.845,0.695
176,0.875,0.725
177,0.895,0.745
178,0.9,0.75
179,0.865,0.715
180,0.855,0.705
181,0.815,0.665
182,0.875,0.725
183,0.855,0.705
184,0.86,0.71
185,0.905,0.755
186,0.85,0.7
187,0.84,0.69
188,0.85,0.7
189,0.87,0.72
190,0.815,0.665
191,0.84,0.69
192,0.875,0.725
193,0.87,0.72
194,0.88,0.73
195,0.865,0.715
196,0.935,0.785
197,0.84,0.69
198,0.89,0.74
199,0.84,0.69
200,0.88,0.73
201,0.835,0.685
202,0.92,0.77
203,0.835,0.685
204,0.9,0.75
205,0.845,0.695
206,0.86,0.71
207,0.88,0.73
208,0.87,0.72
209,0.895,0.745
210,0.91,0.76
211,0.86,0.71
212,0.905,0.755
213,0.855,0.705
214,0.835,0.685
215,0.87,0.72
216,0.86,0.71
217,0.84,0.69
218,0.885,0.735
219,0.865,0.715
220,0.88,0.73
221,0.855,0.705
222,0.845,0.695
223,0.885,0.735
224,0.89,0.74
225,0.875,0.725
226,0.84,0.69
227,0.82,0.67
228,0.81,0.66
229,0.89,0.74
230,0.905,0.755
231,0.9,0.75
232,0.865,0.715
233,0.85,0.7
234,0.89,0.74
235,0.885,0.735
236,0.875,0.725
237,0.855,0.705
238,0.905,0.755
239,0.865,0.715
240,0.865,0.715
241,0.86,0.71
242,0.85,0.7
243,0.875,0.725
244,0.845,0.695
245,0.855,0.705
246,0.89,0.74
247,0.81,0.66
248,0.845,0.695
249,0.825,0.675
250,0.87,0.72
251,0.815,0.665
252,0.91,0.76
253,0.86,0.71
254,0.925,0.775
255,0.875,0.725
256,0.845,0.695
257,0.86,0.71
258,0.795,0.645
259,0.825,0.675
260,0.845,0.695
261,0.87,0.72
262,0.865,0.715
263,0.865,0.715
