,NeuralAgent_Student3_200bAgent_rng,Student3_200bAgent
0,2.545,2.42
1,2.73,2.405
2,2.64,2.465
3,2.59,2.39
4,2.67,2.345
5,2.675,2.325
6,2.435,2.26
7,2.48,2.355
8,2.68,2.43
9,2.66,2.385
10,2.75,2.425
11,2.77,2.295
12,2.41,2.36
13,2.75,2.375
14,2.645,2.345
15,2.745,2.37
16,2.825,2.475
17,2.495,2.345
18,2.505,2.38
19,2.635,2.41
20,2.515,2.365
21,2.52,2.345
22,2.585,2.41
23,2.63,2.355
24,2.46,2.31
25,2.54,2.315
26,2.615,2.34
27,2.585,2.335
28,2.44,2.34
29,2.575,2.275
30,2.455,2.33
31,2.33,2.33
32,2.62,2.395
33,2.645,2.395
34,2.61,2.31
35,2.64,2.315
36,2.505,2.405
37,2.59,2.365
38,2.59,2.365
39,2.625,2.375
40,2.5,2.3
41,2.355,2.305
42,2.57,2.345
43,2.695,2.42
44,2.445,2.32
45,2.495,2.32
46,2.53,2.355
47,2.56,2.36
48,2.795,2.395
49,2.485,2.335
50,2.325,2.3
51,2.345,2.345
52,2.4,2.35
53,2.405,2.355
54,2.445,2.345
55,2.62,2.295
56,2.505,2.305
57,2.29,2.24
58,2.53,2.355
59,2.58,2.38
60,2.51,2.31
61,2.44,2.39
62,2.58,2.28
63,2.34,2.315
64,2.34,2.29
65,2.47,2.32
66,2.465,2.265
67,2.705,2.38
68,2.22,2.27
69,2.355,2.23
70,2.415,2.265
71,2.375,2.25
72,2.48,2.355
73,2.22,2.295
74,2.54,2.29
75,2.645,2.295
76,2.475,2.3
77,2.545,2.345
78,2.495,2.37
79,2.52,2.345
80,2.425,2.375
81,2.445,2.37
82,2.515,2.34
83,2.515,2.29
84,2.55,2.35
85,2.34,2.365
86,2.675,2.3
87,2.4,2.25
88,2.485,2.285
89,2.5,2.25
90,2.415,2.29
91,2.415,2.29
92,2.535,2.285
93,2.465,2.29
94,2.48,2.305
95,2.25,2.25
96,2.515,2.265
97,2.62,2.37
98,2.525,2.375
99,2.315,2.29
100,2.435,2.335
101,2.375,2.2
102,2.585,2.435
103,2.115,2.34
104,2.315,2.24
105,2.35,2.25
106,2.415,2.265
107,2.585,2.31
108,2.335,2.285
109,2.445,2.295
110,2.5,2.25
111,2.255,2.28
112,2.465,2.315
113,2.365,2.365
114,2.36,2.335
115,2.34,2.315
116,2.325,2.225
117,2.235,2.21
118,2.605,2.33
119,2.57,2.37
120,2.35,2.325
121,2.595,2.32
122,2.465,2.34
123,2.135,2.235
124,2.725,2.35
125,2.66,2.335
126,2.495,2.245
127,2.555,2.23
128,2.61,2.385
129,2.22,2.245
130,2.295,2.27
131,2.375,2.275
132,2.425,2.35
133,2.375,2.275
134,2.335,2.185
135,2.5,2.35
136,2.265,2.215
137,2.2,2.225
138,2.375,2.275
139,2.39,2.24
140,2.375,2.3
141,2.44,2.265
142,2.585,2.31
143,2.435,2.385
144,2.585,2.335
145,2.06,2.285
146,2.37,2.27
147,2.195,2.195
148,2.345,2.27
149,2.465,2.34
150,2.335,2.31
151,2.375,2.25
152,2.24,2.265
153,2.615,2.34
154,2.255,2.23
155,2.33,2.33
156,2.32,2.245
157,2.415,2.265
158,2.215,2.29
159,2.585,2.335
160,2.16,2.235
161,2.28,2.255
162,2.325,2.325
163,2.16,2.285
164,2.205,2.205
165,2.495,2.345
166,2.5,2.25
167,2.325,2.3
168,2.35,2.25
169,2.075,2.25
170,2.59,2.315
171,2.475,2.275
172,2.415,2.29
173,2.11,2.285
174,2.285,2.26
175,2.455,2.305
176,2.455,2.23
177,2.21,2.21
178,2.28,2.23
179,2.55,2.3
180,2.465,2.315
181,2.585,2.26
182,2.48,2.38
183,2.42,2.295
184,2.57,2.245
185,2.4,2.275
186,2.445,2.32
187,2.385,2.26
188,2.525,2.3
189,2.425,2.35
190,2.24,2.19
191,2.275,2.25
192,2.12,2.27
193,2.405,2.355
194,2.145,2.295
195,2.37,2.295
196,2.3,2.225
197,2.16,2.235
198,2.27,2.27
199,2.37,2.245
200,2.2,2.225
201,2.57,2.295
202,2.25,2.225
203,2.16,2.26
204,2.2,2.225
205,2.505,2.28
206,2.19,2.265
207,2.47,2.27
208,2.18,2.305
209,2.435,2.335
210,1.965,2.19
211,2.22,2.27
