,NeuralAgent_Student1_200bAgent_rng,Student1_200bAgent
0,1.725,1.275
1,3.81,1.685
2,3.585,1.76
3,0.88,2.83
4,1.125,2.75
5,0.57,2.945
6,2.11,2.36
7,2.075,2.225
8,2.38,2.255
9,0.605,2.805
10,1.53,2.38
11,3.96,1.56
12,1.73,2.48
13,2.54,2.165
14,2.39,2.215
15,2.81,2.085
16,1.08,2.53
17,0.555,2.855
18,2.495,2.07
19,0.56,2.835
20,1.485,2.585
21,2.105,2.43
22,0.55,2.875
23,2.98,2.03
24,3.795,1.795
25,1.94,2.39
26,1.68,2.555
27,1.215,2.59
28,0.96,2.535
29,0.595,2.82
30,3.85,1.625
31,2.955,2.03
32,3.085,2.035
33,3.92,1.595
34,2.84,2.09
35,0.725,2.7
36,0.575,2.85
37,1.585,2.535
38,0.615,2.89
39,0.545,2.895
40,3.03,1.93
41,1.99,2.39
42,3.26,1.96
43,2.385,2.235
44,2.835,2.01
45,2.925,1.85
46,0.655,2.83
47,0.74,2.74
48,0.565,2.94
49,1.07,2.695
50,2.79,2.065
51,1.705,2.455
52,0.745,2.745
53,0.605,2.805
54,2.295,2.27
55,1.03,2.78
56,1.05,2.475
57,1.14,2.565
58,3.135,1.985
59,0.615,2.69
60,0.675,2.775
61,0.875,2.475
62,0.58,2.83
63,2.335,2.01
64,1.67,2.545
65,1.765,2.165
66,0.605,2.805
67,0.7,2.725
68,0.845,2.72
69,1.33,2.73
70,0.73,2.68
71,0.625,2.925
72,1.27,2.695
73,2.075,2.425
74,2.815,2.04
75,1.18,2.73
76,1.845,2.17
77,0.73,2.68
78,0.68,2.68
79,3.51,1.71
80,0.585,2.81
81,1.035,2.81
82,1.265,2.515
83,0.615,2.74
84,2.665,1.99
85,3.27,1.845
86,0.6,2.825
87,1.12,2.62
88,0.59,2.79
89,0.58,2.83
90,3.83,1.605
91,1.155,2.555
92,1.165,2.765
93,2.91,1.935
94,1.7,2.375
95,0.755,2.68
96,2.135,2.06
97,0.915,2.69
98,0.82,2.545
99,0.595,2.845
100,1.17,2.62
101,1.025,2.65
102,2.865,2.015
103,0.58,2.88
104,1.0,2.525
105,0.865,2.64
106,3.785,1.61
107,1.27,2.695
108,1.105,2.48
109,0.655,2.78
110,0.785,2.61
111,0.72,2.595
112,0.785,2.66
113,1.24,2.49
114,1.245,2.695
115,0.6,2.8
116,0.735,2.635
117,2.295,2.095
118,0.61,2.635
119,0.77,2.72
120,0.76,2.735
121,0.705,2.78
122,0.585,2.86
123,0.62,2.595
124,0.635,2.535
125,1.64,2.39
126,0.555,2.855
127,3.735,1.685
128,0.695,2.57
129,1.0,2.425
130,0.86,2.435
131,1.07,2.595
132,1.03,2.63
133,0.81,2.66
134,0.665,2.415
135,0.61,2.635
136,0.865,2.565
137,0.71,2.46
