,NeuralAgent_Student19_200bAgent,Student19_200bAgent
0,2.645,1.92
1,2.52,1.995
2,2.51,2.01
3,2.58,1.955
4,2.885,1.685
5,2.22,2.32
6,2.335,2.16
7,2.085,2.435
8,2.195,2.32
9,2.26,2.21
10,2.415,2.115
11,2.175,2.325
12,2.04,2.465
13,2.485,2.11
14,2.35,2.175
15,2.515,2.04
16,2.335,2.185
17,2.785,1.785
18,2.235,2.31
19,2.535,1.985
20,2.085,2.485
21,2.425,2.15
22,2.485,1.985
23,2.85,1.725
24,2.53,2.08
25,2.035,2.46
26,1.815,2.715
27,2.33,2.18
28,2.36,2.185
29,2.16,2.335
30,2.395,2.12
31,2.48,2.08
32,2.36,2.16
33,2.315,2.19
34,2.12,2.37
35,2.265,2.29
36,2.205,2.28
37,2.61,1.91
38,2.585,1.96
39,2.28,2.255
40,2.275,2.2
41,2.16,2.31
42,2.275,2.225
43,1.98,2.53
44,2.39,2.165
45,2.415,2.115
46,2.405,2.055
47,2.23,2.28
48,2.545,2.02
49,1.96,2.535
50,2.555,1.955
51,2.155,2.38
52,2.315,2.24
53,2.425,2.075
54,2.31,2.235
55,2.105,2.405
56,2.225,2.275
57,1.91,2.56
58,1.99,2.515
59,2.05,2.525
60,2.28,2.28
61,1.94,2.515
62,2.09,2.415
63,1.885,2.66
64,1.785,2.735
65,1.775,2.75
66,1.85,2.675
67,2.315,2.24
68,1.875,2.65
69,1.97,2.52
70,2.25,2.25
71,2.38,2.18
72,2.12,2.42
73,1.895,2.645
74,2.02,2.47
75,2.15,2.4
76,2.125,2.375
77,2.08,2.43
78,2.08,2.455
79,2.31,2.235
80,1.93,2.58
81,1.515,3.09
82,1.665,2.865
83,1.97,2.645
84,1.915,2.64
85,1.965,2.565
86,1.835,2.71
87,2.24,2.34
88,1.755,2.755
89,1.89,2.64
90,1.76,2.735
91,1.92,2.645
92,2.075,2.525
93,2.175,2.375
94,1.82,2.72
95,2.075,2.525
96,1.98,2.58
97,1.79,2.815
98,2.03,2.555
99,1.72,2.82
100,1.705,2.88
101,1.76,2.71
102,1.94,2.49
103,1.81,2.735
104,2.145,2.445
105,2.02,2.545
106,1.765,2.84
107,2.11,2.46
108,2.035,2.56
109,1.63,3.005
110,1.425,3.2
111,1.945,2.62
112,1.8,2.825
113,1.78,2.73
114,1.445,3.145
115,1.655,2.88
116,1.655,2.98
117,1.635,2.91
118,1.845,2.72
119,1.865,2.715
120,1.585,3.01
121,1.655,2.955
122,1.67,2.92
123,1.675,2.875
124,1.815,2.69
125,1.585,3.01
126,1.67,2.895
127,1.445,3.12
128,1.72,2.845
129,1.71,2.885
130,1.395,3.22
131,1.795,2.87
132,1.605,2.98
133,1.825,2.8
134,1.515,3.09
135,1.4,3.225
136,1.7,2.925
137,1.685,2.96
138,1.26,3.36
139,1.565,3.015
140,1.325,3.275
141,1.445,3.17
142,1.605,3.03
143,1.105,3.555
144,1.405,3.155
145,1.45,3.125
146,1.6,2.975
147,1.235,3.335
148,1.52,3.12
149,1.29,3.24
150,1.635,3.01
151,1.715,2.94
152,1.225,3.45
153,1.495,3.145
154,1.28,3.405
155,1.17,3.495
156,1.505,3.13
157,1.235,3.36
158,1.38,3.255
159,1.49,3.115
160,1.47,3.145
161,1.41,3.185
162,1.39,3.215
163,1.125,3.575
164,1.165,3.49
165,1.33,3.305
166,1.23,3.405
167,1.39,3.215
168,1.15,3.575
169,1.32,3.295
170,1.255,3.405
171,1.035,3.66
172,1.17,3.495
173,1.31,3.335
174,1.315,3.34
175,0.925,3.8
176,1.005,3.68
177,1.105,3.53
178,1.18,3.455
179,1.145,3.57
180,0.735,4.01
181,0.915,3.79
182,0.95,3.725
183,1.09,3.565
184,0.96,3.71
185,1.23,3.405
186,1.18,3.43
187,1.145,3.52
188,1.03,3.68
189,1.2,3.475
190,0.945,3.77
191,1.065,3.54
192,1.11,3.535
193,0.94,3.74
194,0.8,3.925
195,1.095,3.62
196,0.96,3.735
197,0.955,3.78
198,0.735,4.01
199,0.9,3.8
200,0.775,4.0
201,0.765,3.965
202,0.925,3.8
203,0.895,3.82
204,1.09,3.64
205,1.095,3.57
206,1.185,3.51
207,0.715,4.04
208,0.91,3.785
209,0.695,4.07
210,0.59,4.165
211,0.89,3.815
212,0.87,3.895
213,0.8,3.95
214,0.835,3.86
215,0.705,4.03
216,0.815,3.89
217,0.865,3.815
218,0.73,4.005
219,1.095,3.57
220,0.56,4.185
221,1.035,3.66
222,0.605,4.18
223,0.64,4.09
224,0.935,3.76
225,0.665,4.09
226,0.86,3.86
227,0.63,4.13
228,0.625,4.175
229,0.7,4.075
230,0.73,4.055
231,0.805,3.93
232,0.71,4.035
233,0.625,4.15
234,0.545,4.22
235,0.835,3.96
236,0.685,4.06
237,0.715,4.065
238,0.8,4.0
239,0.45,4.375
240,0.725,4.05
241,0.675,4.1
242,0.695,4.07
243,0.62,4.145
244,0.79,3.965
245,0.62,4.17
246,0.675,4.1
247,0.625,4.15
248,0.77,3.97
249,0.84,3.915
250,0.925,3.8
251,0.6,4.225
252,0.42,4.445
253,0.755,3.98
254,0.72,3.995
255,0.42,4.42
256,0.765,3.99
257,0.415,4.44
258,0.61,4.185
259,0.495,4.32
260,0.69,4.115
261,0.68,4.105
262,0.525,4.275
263,0.59,4.165
264,0.63,4.155
265,0.56,4.21
266,0.33,4.555
267,0.77,3.995
268,0.595,4.22
269,0.615,4.19
270,0.51,4.285
271,0.315,4.54
272,0.48,4.355
273,0.61,4.185
