,NeuralAgent_Student4_200aAgent,Student4_200aAgent
0,1.96,2.385
1,2.015,2.34
2,2.12,2.195
3,2.36,2.26
4,2.36,2.11
5,2.065,2.215
6,2.07,2.37
7,2.065,2.265
8,1.95,2.15
9,2.17,2.22
10,1.725,2.275
11,2.265,2.265
12,2.285,2.11
13,1.93,2.43
14,2.085,2.21
15,1.755,2.505
16,2.4,2.175
17,1.855,2.18
18,1.925,2.275
19,2.29,2.365
20,2.285,1.985
21,2.07,2.295
22,2.02,2.47
23,2.39,2.165
24,1.895,2.445
25,2.555,2.055
26,2.305,2.155
27,2.005,2.255
28,2.07,2.345
29,2.125,2.225
30,2.085,2.06
31,2.015,2.29
32,2.23,2.005
33,2.165,2.315
34,2.235,2.035
35,2.205,2.33
36,2.02,2.07
37,2.29,2.115
38,2.065,2.215
39,2.035,2.26
40,2.28,2.255
41,2.005,2.28
42,2.275,2.25
43,1.975,2.125
44,2.035,2.46
45,2.115,2.19
46,2.38,2.13
47,2.195,2.195
48,2.12,2.27
49,1.93,2.23
50,1.73,2.23
51,1.91,2.135
52,2.225,2.3
53,2.1,2.25
54,1.905,2.405
55,1.995,2.195
56,1.99,2.29
57,2.065,2.39
58,1.76,2.41
59,2.35,2.3
60,2.255,2.18
61,2.07,2.245
62,2.315,2.215
63,2.03,2.355
64,2.225,2.2
65,2.015,2.115
66,2.19,2.39
67,2.335,2.21
68,2.115,2.415
69,1.96,2.385
70,2.185,2.16
71,2.07,2.27
72,1.875,2.225
73,2.135,2.31
74,2.34,2.19
75,2.37,2.27
76,1.93,2.23
77,2.085,2.285
78,1.675,2.375
79,2.07,2.245
80,2.37,2.295
81,2.155,2.28
82,2.335,2.26
83,2.275,2.075
84,1.875,2.2
85,2.2,2.375
86,2.06,2.31
87,1.945,2.295
88,2.34,2.165
89,2.285,2.26
90,1.94,2.315
91,2.325,2.35
92,2.25,2.25
93,2.135,2.385
94,2.1,2.275
95,1.88,2.355
96,2.36,2.285
97,1.88,2.305
98,1.995,2.32
99,2.025,2.175
100,1.99,2.29
101,2.305,2.155
102,2.105,2.28
103,1.77,2.345
104,2.29,2.065
105,2.255,2.405
106,1.935,2.235
107,2.19,2.34
108,2.325,2.175
109,2.14,2.265
110,2.035,2.41
111,2.05,2.25
112,2.085,2.035
113,2.095,2.395
114,2.195,2.245
115,2.15,2.4
116,2.005,2.255
117,1.85,2.2
118,2.215,2.315
119,2.23,2.18
120,2.2,2.325
121,1.76,2.36
122,2.145,2.395
123,2.14,2.415
124,1.915,2.34
125,2.08,2.13
126,2.335,2.135
127,2.19,2.24
128,2.34,2.19
129,1.895,2.195
130,2.225,2.2
131,1.875,2.325
132,1.87,2.395
133,2.05,2.3
134,2.06,2.21
135,2.015,2.34
136,2.545,2.22
137,2.025,2.35
138,1.915,2.39
139,2.055,2.305
140,2.135,2.21
141,2.275,2.275
142,2.335,2.285
143,2.3,2.0
144,2.035,2.36
145,1.98,2.455
146,2.02,2.195
147,1.725,2.3
148,2.425,2.15
149,2.335,2.26
150,2.245,2.22
151,2.005,2.355
152,2.14,2.265
153,2.21,2.31
154,1.875,2.35
155,2.195,2.22
156,2.13,2.305
157,2.35,2.15
158,2.39,2.29
159,2.355,2.18
160,1.83,2.23
161,2.285,2.21
162,2.12,2.295
163,2.285,2.085
164,2.56,2.185
165,1.9,2.425
166,2.465,2.265
167,1.76,2.335
168,2.165,2.165
169,1.965,2.39
170,2.275,2.25
171,2.37,2.32
172,1.77,2.42
173,2.04,2.39
174,2.27,2.345
175,2.03,2.355
176,1.935,2.285
177,2.12,2.32
178,2.18,2.305
179,2.095,2.32
180,1.985,2.385
181,2.045,2.495
182,2.51,2.235
183,2.355,2.305
184,2.28,2.305
185,2.375,2.25
186,1.87,2.37
187,2.425,2.275
188,2.255,2.355
189,2.23,2.355
190,2.14,2.34
191,2.13,2.33
192,2.315,2.39
193,1.7,2.4
194,2.255,2.23
195,1.94,2.34
196,2.25,2.2
197,2.215,2.415
198,2.165,2.34
199,2.285,2.26
200,2.205,2.205
201,2.405,2.38
202,2.6,2.275
203,2.23,2.43
204,2.27,2.37
205,1.98,2.38
206,2.43,2.38
207,2.395,2.37
208,2.28,2.355
209,2.38,2.255
210,2.315,2.29
211,2.4,2.175
212,2.17,2.345
213,1.985,2.385
214,2.305,2.205
215,1.815,2.665
216,2.345,2.37
217,2.26,2.36
218,2.61,2.435
219,2.09,2.515
220,2.26,2.485
221,2.1,2.275
222,2.395,2.27
223,2.275,2.55
224,2.315,2.515
225,2.275,2.525
226,2.42,2.32
227,2.235,2.31
228,2.24,2.365
229,2.0,2.575
230,2.285,2.46
231,2.415,2.415
232,2.5,2.35
233,2.185,2.385
234,2.425,2.425
235,2.55,2.425
236,2.64,2.415
237,2.315,2.365
238,2.615,2.415
239,2.615,2.39
240,2.29,2.465
241,2.115,2.54
242,2.165,2.565
243,2.37,2.52
244,2.37,2.47
245,2.585,2.335
246,2.295,2.47
247,2.46,2.335
248,2.325,2.45
249,2.275,2.525
250,2.305,2.505
251,2.105,2.655
252,2.14,2.54
253,2.355,2.455
254,2.405,2.705
255,2.235,2.685
256,2.41,2.435
257,2.67,2.42
258,2.235,2.46
259,2.185,2.635
260,2.205,2.555
261,2.39,2.565
262,2.505,2.455
263,2.275,2.6
264,2.305,2.48
265,2.325,2.575
266,2.175,2.725
267,2.615,2.565
268,2.115,2.665
269,2.435,2.585
270,2.465,2.64
271,2.535,2.76
272,2.61,2.585
273,2.455,2.705
274,2.335,2.61
275,2.535,2.71
276,2.46,2.635
277,2.63,2.63
278,2.61,2.635
279,2.63,2.68
280,2.585,2.51
281,2.36,2.585
282,2.375,2.725
283,2.52,2.545
284,2.53,2.63
285,2.43,2.805
286,2.665,2.665
287,2.375,2.55
288,2.955,2.53
289,2.305,2.805
290,2.395,2.595
291,2.925,2.575
292,2.72,2.62
293,2.68,2.63
294,2.43,2.755
295,2.615,2.765
296,2.505,2.705
297,2.405,2.73
298,2.525,2.65
299,2.695,2.695
300,2.795,2.745
301,2.69,2.59
302,2.605,2.73
303,2.39,2.79
304,2.525,2.825
305,2.625,2.675
306,2.585,2.76
307,2.45,2.725
308,2.42,2.77
309,2.76,2.785
310,2.735,2.735
311,2.74,2.665
312,2.585,2.76
313,2.355,2.88
314,2.81,2.685
315,2.665,2.765
316,2.59,2.94
317,2.525,2.75
318,2.625,2.85
319,2.89,2.815
320,2.605,2.78
321,2.73,2.73
322,2.355,2.98
323,2.37,2.895
324,2.69,2.89
325,2.765,2.74
326,2.61,2.785
327,2.495,2.945
328,2.68,2.78
329,2.695,2.845
330,2.795,2.795
331,2.735,2.86
332,2.545,2.845
333,2.605,2.93
334,2.71,2.885
335,2.625,2.825
336,2.62,2.845
337,2.8,2.9
338,2.58,2.905
339,2.695,2.945
340,2.635,2.91
341,2.76,2.885
342,2.765,2.89
343,2.7,2.95
344,2.66,2.885
345,2.82,2.845
