,NeuralAgent_Student26_200cAgent,Student26_200cAgent
0,1.1,1.2
1,1.235,2.435
2,1.265,2.465
3,1.47,2.645
4,1.34,2.69
5,1.275,2.475
6,1.275,2.45
7,1.37,2.52
8,1.465,2.69
9,1.39,2.515
10,1.31,2.385
11,1.525,2.725
12,1.39,2.615
13,1.37,2.62
14,1.395,2.595
15,1.295,2.47
16,1.195,2.47
17,1.405,2.73
18,1.31,2.535
19,1.325,2.55
20,1.36,2.56
21,1.29,2.49
22,1.575,2.625
23,1.285,2.51
24,1.39,2.565
25,1.245,2.495
26,1.345,2.595
27,1.315,2.59
28,1.32,2.42
29,1.3,2.6
30,1.545,2.695
31,1.45,2.65
32,1.475,2.575
33,1.4,2.5
34,1.35,2.625
35,1.23,2.58
36,1.515,2.44
37,1.335,2.51
38,1.335,2.61
39,1.365,2.565
40,1.255,2.58
41,1.4,2.475
42,1.145,2.445
43,1.3,2.575
44,1.32,2.445
45,1.38,2.58
46,1.425,2.65
47,1.355,2.53
48,1.29,2.515
49,1.325,2.525
50,1.395,2.595
51,1.355,2.455
52,1.415,2.615
53,1.285,2.535
54,1.395,2.62
55,1.35,2.475
56,1.34,2.54
57,1.335,2.56
58,1.365,2.615
59,1.35,2.625
60,1.435,2.535
61,1.405,2.43
62,1.335,2.535
63,1.355,2.58
64,1.4,2.475
65,1.44,2.715
66,1.43,2.455
67,1.345,2.745
68,1.35,2.575
69,1.275,2.575
70,1.405,2.555
71,1.305,2.705
72,1.325,2.55
73,1.385,2.61
74,1.515,2.79
75,1.47,2.72
76,1.395,2.645
77,1.405,2.555
78,1.28,2.455
79,1.495,2.57
80,1.405,2.355
81,1.19,2.415
82,1.28,2.58
83,1.365,2.54
84,1.365,2.615
85,1.47,2.67
86,1.53,2.63
87,1.4,2.65
88,1.195,2.345
89,1.43,2.68
90,1.35,2.675
91,1.415,2.64
92,1.345,2.37
93,1.23,2.38
94,1.455,2.705
95,1.4,2.65
96,1.405,2.555
97,1.525,2.725
98,1.25,2.45
99,1.46,2.71
100,1.295,2.545
101,1.515,2.64
102,1.48,2.705
103,1.375,2.675
104,1.505,2.58
105,1.555,2.68
106,1.645,2.77
107,1.525,2.5
108,1.355,2.53
109,1.48,2.63
110,1.41,2.61
111,1.445,2.47
112,1.37,2.645
113,1.45,2.65
114,1.505,2.655
115,1.3,2.6
116,1.395,2.645
117,1.345,2.57
118,1.225,2.5
119,1.285,2.535
120,1.46,2.71
121,1.495,2.57
122,1.425,2.525
123,1.42,2.62
124,1.49,2.74
125,1.385,2.61
126,1.285,2.585
127,1.38,2.68
128,1.355,2.63
129,1.445,2.645
130,1.49,2.79
131,1.3,2.65
132,1.425,2.7
133,1.3,2.45
134,1.395,2.545
135,1.3,2.575
136,1.54,2.515
137,1.245,2.395
138,1.56,2.735
139,1.28,2.455
140,1.45,2.55
141,1.49,2.59
142,1.365,2.615
143,1.33,2.505
144,1.32,2.645
145,1.395,2.545
146,1.35,2.6
147,1.34,2.615
148,1.37,2.67
149,1.44,2.565
150,1.355,2.755
151,1.42,2.62
152,1.435,2.585
153,1.4,2.775
154,1.395,2.595
155,1.41,2.585
156,1.265,2.49
157,1.475,2.55
158,1.465,2.79
159,1.395,2.645
160,1.41,2.66
161,1.255,2.455
162,1.33,2.605
163,1.32,2.67
164,1.36,2.46
165,1.495,2.52
166,1.365,2.615
167,1.625,2.65
168,1.61,2.635
169,1.4,2.55
170,1.355,2.63
171,1.485,2.66
172,1.495,2.42
173,1.34,2.54
174,1.445,2.545
175,1.425,2.55
176,1.235,2.535
177,1.41,2.46
178,1.29,2.49
179,1.395,2.57
180,1.33,2.58
181,1.47,2.67
182,1.55,2.725
183,1.16,2.51
184,1.445,2.495
185,1.345,2.57
186,1.575,2.575
187,1.47,2.645
188,1.42,2.67
189,1.41,2.585
190,1.435,2.61
191,1.4,2.675
192,1.355,2.505
193,1.28,2.58
194,1.515,2.69
195,1.3,2.625
196,1.335,2.635
197,1.335,2.535
198,1.435,2.76
199,1.55,2.65
200,1.355,2.58
201,1.33,2.605
202,1.505,2.63
203,1.4,2.5
204,1.355,2.63
205,1.155,2.355
206,1.345,2.62
207,1.37,2.695
208,1.57,2.57
209,1.46,2.685
210,1.405,2.455
211,1.32,2.545
212,1.305,2.555
213,1.525,2.65
214,1.325,2.575
215,1.395,2.545
216,1.23,2.555
217,1.415,2.665
218,1.345,2.445
219,1.45,2.475
220,1.29,2.615
221,1.58,2.68
222,1.595,2.595
223,1.27,2.42
224,1.305,2.505
225,1.41,2.685
226,1.43,2.43
227,1.31,2.585
228,1.365,2.64
229,1.425,2.525
230,1.49,2.565
231,1.48,2.605
232,1.31,2.635
233,1.335,2.585
234,1.43,2.605
235,1.43,2.73
236,1.275,2.575
237,1.325,2.475
238,1.505,2.705
239,1.375,2.6
240,1.41,2.585
241,1.365,2.715
242,1.52,2.57
243,1.42,2.57
244,1.455,2.63
245,1.375,2.675
246,1.275,2.65
247,1.355,2.555
248,1.315,2.565
249,1.35,2.65
250,1.455,2.555
251,1.47,2.67
252,1.41,2.635
253,1.36,2.46
254,1.44,2.64
255,1.32,2.595
256,1.42,2.645
257,1.415,2.59
258,1.365,2.64
259,1.41,2.66
260,1.5,2.625
261,1.37,2.645
262,1.38,2.705
263,1.36,2.61
264,1.4,2.5
265,1.345,2.595
266,1.39,2.74
267,1.39,2.615
268,1.445,2.545
269,1.455,2.63
270,1.33,2.58
271,1.42,2.645
272,1.4,2.575
273,1.555,2.605
274,1.375,2.525
275,1.62,2.77
276,1.39,2.59
277,1.37,2.445
278,1.19,2.59
279,1.44,2.565
280,1.49,2.64
281,1.605,2.73
282,1.405,2.53
283,1.285,2.585
284,1.38,2.58
285,1.425,2.65
286,1.435,2.56
