,NeuralAgent_RandomChoiceAgent_rng,RandomChoiceAgent
316,2.985,0.735
317,2.73,0.905
318,2.68,0.83
319,2.715,1.315
320,2.735,0.86
321,3.245,0.545
322,2.78,1.18
323,2.97,0.695
324,2.615,1.265
325,2.74,0.94
326,2.795,0.87
327,2.93,0.805
328,2.6,1.05
329,3.05,0.675
330,2.77,0.82
331,3.035,0.66
332,2.96,0.81
333,2.975,0.7
334,2.92,0.72
335,2.67,1.045
336,2.855,0.88
337,2.77,1.045
338,2.615,1.14
339,2.88,0.63
340,2.265,1.765
341,2.595,1.22
342,2.95,0.65
343,2.92,0.845
344,2.805,0.805
345,2.845,0.87
346,2.92,0.795
347,2.59,1.165
348,2.555,1.53
349,2.815,0.965
350,3.005,0.755
351,2.775,0.875
352,2.98,0.78
353,2.625,0.925
354,2.92,0.895
355,2.84,0.74
356,3.09,0.64
357,2.935,0.735
358,2.86,0.91
359,2.985,0.71
360,3.005,0.63
361,2.885,0.885
362,2.78,0.605
363,2.775,0.85
364,2.995,0.52
365,2.83,0.78
366,2.96,0.66
367,3.0,0.6
368,3.145,0.695
369,2.65,1.25
370,3.15,0.475
371,3.01,0.61
372,2.935,0.76
373,2.86,0.935
374,2.97,0.695
375,2.785,0.66
376,2.94,0.59
377,2.765,0.815
378,3.085,0.71
379,2.41,1.235
380,2.99,0.59
381,3.005,0.655
382,3.19,0.565
383,2.735,0.985
384,2.86,0.985
385,3.04,0.665
386,2.975,0.575
387,2.865,0.715
388,2.945,0.595
389,2.98,0.63
390,3.02,0.52
391,2.435,1.06
392,2.905,0.705
393,2.925,0.625
394,3.06,0.66
395,2.805,0.68
396,2.745,0.995
397,2.81,0.66
398,2.98,0.555
399,3.22,0.495
400,2.815,0.615
401,2.775,0.925
402,2.765,0.615
403,2.705,1.03
404,2.93,0.53
405,3.33,0.455
406,2.12,2.245
407,2.875,0.875
408,2.56,1.56
409,2.855,0.905
410,3.255,0.58
411,2.74,1.065
412,2.59,1.365
413,2.645,1.12
414,2.94,1.015
415,2.735,0.785
416,2.72,1.22
417,2.67,1.07
418,3.15,0.475
419,2.915,0.915
420,2.78,1.005
421,2.69,1.14
422,2.915,0.865
423,2.215,1.84
424,3.17,0.595
425,2.81,0.985
426,2.645,1.27
427,2.975,0.875
428,2.37,1.745
429,2.545,1.495
430,2.43,1.78
431,2.355,2.13
432,3.035,0.735
433,2.855,1.03
434,2.64,1.365
435,3.155,0.855
436,2.515,1.465
437,2.735,1.31
438,3.035,0.685
439,2.805,1.23
440,2.555,1.655
441,2.785,1.185
442,2.805,1.105
443,2.635,1.085
444,2.83,0.955
445,2.58,1.13
446,2.87,0.995
447,2.255,1.805
448,2.825,1.025
449,2.89,0.89
450,2.755,0.905
451,2.51,1.31
452,2.615,1.265
453,2.575,1.375
454,2.915,0.94
455,2.81,0.685
456,2.345,1.67
457,2.85,0.9
458,2.65,1.2
459,2.435,1.46
460,3.055,0.58
461,2.75,0.775
462,3.255,0.53
463,2.925,0.85
464,2.88,0.98
465,2.805,0.805
466,2.945,0.595
467,3.1,0.575
468,3.17,0.495
469,3.065,0.815
470,2.675,1.125
471,2.74,1.04
472,2.99,0.79
473,3.02,0.77
474,2.925,0.7
475,2.91,0.71
476,3.13,0.755
477,2.525,1.075
478,2.81,0.91
479,2.99,0.915
480,3.28,0.43
481,2.43,1.405
482,2.625,1.125
483,2.855,0.605
484,3.0,0.575
485,2.56,1.11
486,2.225,1.65
487,2.545,1.245
488,3.015,0.865
489,2.735,1.035
490,2.815,1.115
491,2.455,1.33
492,2.425,1.6
493,2.62,1.37
494,2.68,1.38
495,2.545,1.57
496,2.825,1.05
497,2.835,1.01
498,2.855,0.83
499,2.955,0.93
500,3.13,0.755
501,2.465,1.39
502,2.945,0.745
503,2.685,1.235
504,2.84,0.715
505,2.48,1.205
506,2.865,0.84
507,2.995,0.745
508,2.865,0.715
509,3.04,0.84
510,2.85,0.9
511,2.935,0.76
512,3.03,0.955
513,2.895,0.745
514,2.715,1.015
515,3.04,0.69
516,2.77,0.845
517,2.915,0.99
518,2.81,0.885
519,2.785,0.985
520,2.935,0.735
521,2.885,0.735
522,2.875,0.95
523,2.97,0.745
524,2.745,1.12
525,2.605,1.255
526,2.66,1.035
527,2.94,0.94
528,2.55,1.275
529,2.94,0.79
530,2.825,0.925
531,2.91,0.81
532,2.8,0.9
533,2.95,0.525
534,2.905,0.605
535,2.205,1.78
536,2.72,0.795
537,3.04,0.49
538,3.075,0.55
539,2.95,0.575
540,3.18,0.455
541,3.06,0.585
542,2.955,0.705
543,2.84,0.64
544,3.1,0.475
545,3.185,0.485
546,3.12,0.495
547,2.28,1.63
548,2.755,0.88
549,3.095,0.72
550,2.92,0.795
551,2.735,0.96
552,2.74,0.965
553,2.64,1.39
554,3.16,0.46
555,2.975,0.625
556,2.87,0.545
557,2.66,0.885
558,2.62,0.945
559,2.725,1.025
560,2.73,1.005
561,2.51,1.285
562,2.915,0.64
563,2.93,0.805
564,3.16,0.46
565,2.92,0.72
566,2.535,1.085
567,2.555,1.255
568,2.615,1.14
569,3.02,0.67
570,2.8,0.625
571,2.9,0.75
572,3.005,0.73
573,3.31,0.485
574,2.885,1.01
575,2.55,1.275
576,2.91,0.86
577,2.76,1.11
