,NeuralAgent_Student16_200bAgent,Student16_200bAgent
317,3.115,2.815
318,3.095,2.845
319,3.075,2.875
320,3.105,2.83
321,3.095,2.845
322,3.085,2.86
323,3.125,2.8
324,3.165,2.74
325,3.045,2.92
326,3.095,2.845
327,3.085,2.86
328,3.085,2.86
329,3.135,2.785
330,3.035,2.935
331,3.08,2.855
332,3.105,2.83
333,3.055,2.905
334,3.085,2.86
335,3.055,2.905
336,3.115,2.815
337,3.065,2.89
338,3.125,2.8
339,3.045,2.92
340,3.075,2.875
341,3.085,2.86
342,3.045,2.92
343,3.095,2.845
344,3.045,2.92
345,3.085,2.86
346,3.145,2.77
347,3.045,2.92
348,3.045,2.92
349,3.095,2.845
350,3.035,2.935
351,3.045,2.92
352,3.055,2.905
353,3.075,2.875
354,3.055,2.905
355,3.105,2.83
356,3.045,2.92
357,3.085,2.86
358,3.025,2.95
359,3.065,2.89
360,3.045,2.92
361,3.035,2.935
362,3.055,2.905
363,3.005,2.98
364,3.105,2.83
365,3.075,2.875
366,3.075,2.875
367,3.045,2.92
368,3.055,2.905
369,3.065,2.89
370,3.025,2.95
371,3.075,2.875
372,3.035,2.935
373,3.025,2.95
374,3.035,2.935
375,3.045,2.92
376,3.045,2.92
377,3.055,2.905
378,3.125,2.8
379,3.065,2.89
380,3.075,2.875
381,3.025,2.95
382,3.075,2.875
383,3.025,2.95
384,3.045,2.92
385,3.065,2.89
386,3.035,2.935
387,3.065,2.89
388,3.035,2.935
389,3.045,2.92
390,3.045,2.92
391,3.025,2.95
392,3.035,2.935
393,3.055,2.905
394,3.045,2.92
395,3.065,2.89
396,3.055,2.905
397,3.035,2.935
398,3.045,2.92
399,3.045,2.92
400,3.065,2.89
401,3.025,2.95
402,3.065,2.89
403,3.015,2.965
404,3.055,2.905
405,3.075,2.875
406,3.035,2.935
407,3.035,2.935
408,3.025,2.95
409,3.055,2.905
410,3.025,2.95
411,3.075,2.875
412,3.115,2.815
413,3.015,2.965
414,3.035,2.935
415,3.035,2.935
416,3.025,2.95
417,3.115,2.815
418,3.005,2.98
419,3.015,2.965
420,3.025,2.95
421,3.025,2.95
422,3.055,2.905
423,3.025,2.95
424,3.065,2.89
425,3.025,2.95
426,3.005,2.98
427,3.035,2.935
428,3.045,2.92
429,3.035,2.935
430,3.015,2.965
431,3.005,2.98
432,3.075,2.875
433,3.025,2.95
434,3.085,2.86
435,3.085,2.86
436,3.045,2.92
437,3.055,2.905
438,3.015,2.965
439,3.045,2.92
440,3.02,2.945
441,3.055,2.905
442,3.015,2.965
443,3.035,2.935
444,3.015,2.965
445,3.015,2.965
446,3.055,2.905
447,3.015,2.965
448,2.995,2.995
449,3.015,2.965
450,3.055,2.905
451,3.035,2.935
452,3.075,2.875
453,2.995,2.995
454,3.025,2.95
455,3.005,2.98
456,3.015,2.965
457,3.055,2.905
458,3.005,2.98
459,3.015,2.965
460,3.005,2.98
461,3.025,2.95
462,3.005,2.98
463,3.045,2.92
464,3.035,2.935
465,3.015,2.965
466,3.005,2.98
467,3.025,2.95
468,3.015,2.965
469,2.995,2.995
470,3.015,2.965
471,3.015,2.965
472,3.005,2.98
473,3.005,2.98
474,3.025,2.95
475,3.015,2.965
476,3.045,2.92
477,3.035,2.935
478,3.005,2.98
479,3.055,2.905
480,3.055,2.905
481,3.025,2.95
482,3.005,2.98
483,3.015,2.965
484,3.015,2.965
485,3.055,2.905
486,3.025,2.95
487,3.025,2.95
488,2.995,2.995
489,3.065,2.89
490,3.015,2.965
491,3.055,2.905
492,3.035,2.935
493,3.045,2.92
494,3.025,2.95
495,3.035,2.935
496,3.035,2.935
497,3.025,2.95
498,2.995,2.995
499,3.025,2.95
500,2.985,3.01
501,2.995,2.995
502,3.005,2.98
503,3.005,2.98
504,3.005,2.98
505,2.995,2.995
506,3.015,2.965
507,3.015,2.965
508,3.005,2.98
509,3.015,2.965
510,2.995,2.995
511,3.035,2.935
512,3.005,2.98
513,3.035,2.935
514,2.995,2.995
515,2.995,2.995
516,3.005,2.98
517,3.005,2.98
518,3.035,2.935
519,3.005,2.98
520,2.995,2.995
521,3.015,2.965
522,2.985,3.01
523,2.995,2.995
524,2.985,3.01
525,3.015,2.965
526,3.005,2.98
527,3.045,2.92
528,3.005,2.98
529,3.015,2.965
530,2.995,2.995
531,3.005,2.98
532,2.995,2.995
533,2.995,2.995
534,3.005,2.98
535,3.025,2.95
536,2.995,2.995
537,3.015,2.965
538,3.025,2.95
539,3.035,2.935
540,3.005,2.98
541,3.045,2.92
542,3.005,2.98
543,3.015,2.965
544,3.035,2.935
545,2.995,2.995
546,3.005,2.98
547,3.005,2.98
548,3.015,2.965
549,3.005,2.98
550,3.035,2.935
551,3.005,2.98
552,2.985,3.01
553,2.995,2.995
554,2.995,2.995
555,3.015,2.965
556,3.005,2.98
557,3.015,2.965
558,3.015,2.965
559,3.01,2.96
560,3.04,2.915
561,3.005,2.98
562,3.005,2.98
563,3.015,2.965
564,3.025,2.95
565,3.005,2.98
566,3.015,2.965
567,3.015,2.965
568,2.985,3.01
569,2.985,3.01
570,3.015,2.965
571,2.995,2.995
572,2.985,3.01
573,3.005,2.98
574,3.005,2.98
575,3.005,2.98
576,2.995,2.995
577,2.995,2.995
578,2.995,2.995
579,3.015,2.965
580,3.015,2.965
581,3.005,2.98
582,3.025,2.95
583,2.995,2.995
584,3.005,2.98
585,3.025,2.95
586,3.025,2.95
587,3.025,2.95
588,2.985,3.01
589,3.015,2.965
590,3.015,2.965
591,2.995,2.995
592,3.005,2.98
593,3.025,2.95
594,3.005,2.98
595,3.005,2.98
596,3.015,2.965
597,3.005,2.98
598,2.995,2.995
599,2.995,2.995
600,2.995,2.995
601,3.005,2.98
602,3.015,2.965
603,3.005,2.98
604,3.005,2.98
605,2.995,2.995
606,2.995,2.995
607,2.995,2.995
608,3.035,2.935
609,2.985,3.01
610,2.995,2.995
611,3.005,2.98
612,3.005,2.98
613,3.015,2.965
614,3.015,2.965
615,3.015,2.965
616,3.015,2.965
617,2.985,3.01
618,2.995,2.995
619,2.995,2.995
620,2.985,3.01
621,3.025,2.95
622,3.015,2.965
623,2.995,2.995
624,3.005,2.98
625,2.995,2.995
626,3.035,2.935
627,3.025,2.95
628,2.985,3.01
629,2.985,3.01
630,3.015,2.965
631,3.005,2.98
632,3.015,2.965
633,3.025,2.95
634,2.995,2.995
635,3.005,2.98
636,3.005,2.98
637,3.025,2.95
638,3.015,2.965
639,3.005,2.98
640,3.005,2.98
641,2.995,2.995
642,3.005,2.98
643,2.995,2.995
644,3.005,2.98
645,2.995,2.995
646,3.025,2.95
647,3.015,2.965
648,3.005,2.98
649,2.995,2.995
650,3.015,2.965
651,3.005,2.98
652,2.995,2.995
653,3.035,2.935
654,2.995,2.995
655,3.025,2.95
656,2.985,3.01
657,2.985,3.01
658,2.985,3.01
659,3.015,2.965
660,3.005,2.98
661,3.015,2.965
662,3.015,2.965
663,3.005,2.98
664,2.995,2.995
665,3.015,2.965
666,3.015,2.965
667,2.995,2.995
668,3.005,2.98
669,3.005,2.98
670,2.995,2.995
671,2.995,2.995
672,2.995,2.995
673,2.995,2.995
674,2.995,2.995
675,3.015,2.965
676,2.995,2.995
677,3.005,2.98
678,3.005,2.98
679,3.015,2.965
680,3.005,2.98
681,2.995,2.995
682,2.985,3.01
683,3.005,2.98
684,2.995,2.995
685,3.015,2.965
686,2.99,2.99
687,2.985,3.01
688,3.005,2.98
689,2.995,2.995
690,3.005,2.98
691,3.005,2.98
692,3.015,2.965
693,3.005,2.98
694,3.015,2.965
695,2.995,2.995
696,3.005,2.98
697,3.005,2.98
698,2.995,2.995
699,3.005,2.98
700,3.005,2.98
701,3.005,2.98
702,2.995,2.995
703,2.995,2.995
704,2.985,3.01
705,2.995,2.995
706,3.005,2.98
707,3.025,2.95
708,3.005,2.98
709,2.985,3.01
710,3.005,2.98
711,3.015,2.965
712,3.025,2.95
713,2.995,2.995
714,2.995,2.995
715,3.015,2.965
716,3.025,2.95
717,2.995,2.995
718,3.035,2.935
719,3.015,2.965
720,3.005,2.98
721,2.995,2.995
722,2.995,2.995
723,2.995,2.995
724,2.985,3.01
725,3.015,2.965
726,3.015,2.965
727,2.985,3.01
728,3.015,2.965
729,3.025,2.95
730,2.995,2.995
731,2.995,2.995
732,2.995,2.995
733,2.985,3.01
734,3.005,2.98
735,3.025,2.95
736,3.005,2.98
737,2.985,3.01
738,3.005,2.98
739,2.995,2.995
740,2.995,2.995
741,3.005,2.98
742,3.035,2.935
743,3.025,2.95
744,3.005,2.98
745,3.005,2.98
746,2.995,2.995
747,3.015,2.965
748,3.015,2.965
749,3.015,2.965
750,3.005,2.98
751,2.995,2.995
752,3.035,2.935
753,2.995,2.995
754,3.025,2.95
755,3.005,2.98
756,3.005,2.98
757,3.005,2.98
758,3.005,2.98
759,2.985,3.01
760,3.015,2.965
761,3.025,2.95
762,2.995,2.995
763,3.005,2.98
764,3.025,2.95
765,3.005,2.98
766,3.025,2.95
767,2.985,3.01
768,3.025,2.95
769,2.995,2.995
770,2.995,2.995
771,3.005,2.98
772,2.995,2.995
773,3.015,2.965
774,3.035,2.935
775,2.985,3.01
776,3.005,2.98
777,3.005,2.98
778,3.035,2.935
779,3.015,2.965
780,2.995,2.995
781,2.995,2.995
782,2.995,2.995
783,3.005,2.98
784,2.995,2.995
785,3.005,2.98
786,2.995,2.995
787,3.005,2.98
788,2.985,3.01
789,3.015,2.965
790,2.985,3.01
791,2.985,3.01
792,3.005,2.98
793,3.025,2.95
794,2.985,3.01
795,2.985,3.01
796,2.985,3.01
797,2.995,2.995
798,3.035,2.935
799,2.985,3.01
800,3.005,2.98
801,3.005,2.98
802,2.995,2.995
803,2.995,2.995
804,3.015,2.965
805,3.015,2.965
806,3.005,2.98
807,3.015,2.965
808,3.015,2.965
809,3.035,2.935
810,2.995,2.995
811,2.995,2.995
812,2.995,2.995
813,2.995,2.995
814,2.995,2.995
815,2.985,3.01
816,2.995,2.995
817,2.995,2.995
818,3.005,2.98
819,3.025,2.95
820,3.035,2.935
821,2.985,3.01
822,2.995,2.995
823,2.995,2.995
824,3.005,2.98
825,3.005,2.98
826,2.985,3.01
827,3.005,2.98
828,3.005,2.98
829,2.995,2.995
830,2.985,3.01
831,3.025,2.95
832,3.015,2.965
833,2.995,2.995
834,2.995,2.995
835,3.015,2.965
836,2.995,2.995
837,3.005,2.98
838,2.995,2.995
839,3.005,2.98
840,3.005,2.98
841,3.015,2.965
842,2.985,3.01
843,2.995,2.995
844,3.005,2.98
845,3.015,2.965
846,2.995,2.995
847,2.985,3.01
848,3.005,2.98
849,3.025,2.95
850,2.995,2.995
851,2.985,3.01
852,2.995,2.995
853,2.995,2.995
854,2.985,3.01
855,3.015,2.965
856,3.015,2.965
857,3.015,2.965
858,3.005,2.98
859,3.005,2.98
860,3.015,2.965
861,2.995,2.995
862,3.025,2.95
863,3.015,2.965
864,2.995,2.995
865,2.995,2.995
866,3.015,2.965
867,3.005,2.98
868,2.995,2.995
869,2.995,2.995
870,3.025,2.95
871,3.015,2.965
872,2.995,2.995
873,3.015,2.965
874,3.005,2.98
875,3.005,2.98
876,2.995,2.995
877,2.995,2.995
878,3.005,2.98
879,3.015,2.965
880,3.005,2.98
881,2.995,2.995
882,3.025,2.95
883,3.035,2.935
884,3.015,2.965
885,3.015,2.965
886,3.025,2.95
887,2.995,2.995
888,2.995,2.995
889,3.005,2.98
890,3.005,2.98
891,3.005,2.98
892,3.055,2.905
893,3.005,2.98
894,2.995,2.995
895,2.995,2.995
896,3.005,2.98
897,3.015,2.965
898,3.025,2.95
899,2.995,2.995
900,3.005,2.98
901,2.995,2.995
902,3.025,2.95
903,3.005,2.98
904,3.015,2.965
905,3.015,2.965
906,3.005,2.98
907,2.995,2.995
908,3.045,2.92
909,3.005,2.98
910,3.015,2.965
911,3.005,2.98
912,3.025,2.95
913,2.985,3.01
914,2.995,2.995
915,2.985,3.01
916,3.005,2.98
917,3.025,2.95
918,3.025,2.95
919,2.995,2.995
920,3.025,2.95
921,3.005,2.98
922,3.025,2.95
923,2.995,2.995
924,2.995,2.995
925,2.995,2.995
926,3.005,2.98
927,3.005,2.98
928,3.015,2.965
929,3.025,2.95
930,3.005,2.98
931,3.015,2.965
932,3.005,2.98
933,3.015,2.965
934,2.985,3.01
935,3.015,2.965
