,NeuralAgent_Student2_200aAgent,Student2_200aAgent
0,1.4,3.05
1,1.47,2.97
2,1.485,2.835
3,1.44,3.015
4,1.445,2.895
5,1.195,3.295
6,1.45,3.025
7,1.205,3.33
8,1.43,2.93
9,1.495,2.945
10,1.32,3.12
11,1.365,3.09
12,1.41,2.985
13,1.39,2.99
14,1.265,3.24
15,1.66,2.735
16,1.17,3.395
17,1.325,3.125
18,1.42,3.045
19,1.305,3.155
20,1.495,2.895
21,1.43,2.98
22,1.17,3.345
23,1.28,3.155
24,1.43,3.03
25,1.26,3.235
26,1.315,3.115
27,1.235,3.235
28,1.245,3.22
29,1.17,3.345
30,1.355,3.155
31,1.31,3.16
32,1.19,3.315
33,1.35,3.075
34,1.16,3.36
35,1.195,3.32
36,1.385,3.035
37,1.43,2.955
38,1.47,2.97
39,1.535,2.86
40,1.4,3.075
41,1.31,3.185
42,1.2,3.35
43,1.55,2.875
44,1.185,3.31
45,1.3,3.15
46,1.13,3.455
47,1.215,3.29
48,1.125,3.35
49,1.07,3.495
50,1.33,3.105
51,1.35,3.1
52,1.425,3.075
53,1.12,3.445
54,1.095,3.445
55,1.225,3.325
56,1.16,3.335
57,1.335,3.135
58,1.24,3.215
59,1.26,3.235
60,1.17,3.345
61,1.21,3.26
62,1.215,3.315
63,1.035,3.56
64,1.26,3.26
65,0.975,3.625
66,1.255,3.18
67,0.93,3.655
68,0.965,3.665
69,1.05,3.55
70,1.05,3.525
71,1.14,3.415
72,1.2,3.4
73,1.255,3.305
74,1.125,3.4
75,1.12,3.445
76,1.105,3.455
77,1.04,3.54
78,1.05,3.475
79,1.005,3.605
80,1.17,3.345
81,0.985,3.61
82,0.92,3.72
83,1.2,3.35
84,1.055,3.48
85,1.06,3.56
86,0.97,3.645
87,1.085,3.46
88,1.165,3.415
89,1.09,3.49
90,1.115,3.465
91,1.235,3.235
92,0.925,3.65
93,0.96,3.71
94,1.07,3.445
95,1.0,3.575
96,1.005,3.58
97,1.0,3.575
98,1.13,3.48
99,1.155,3.405
100,1.04,3.54
101,1.08,3.48
102,1.09,3.44
103,1.025,3.55
104,0.88,3.755
105,1.08,3.455
106,0.885,3.76
107,1.005,3.555
108,1.07,3.495
109,1.13,3.43
110,1.015,3.615
111,1.065,3.515
112,1.1,3.5
113,0.795,3.87
114,0.855,3.755
115,0.795,3.87
116,1.04,3.49
117,1.065,3.54
118,0.9,3.75
119,0.905,3.755
120,0.895,3.77
121,1.01,3.61
122,0.85,3.775
123,0.86,3.81
124,1.025,3.55
125,0.99,3.59
126,0.89,3.79
127,0.92,3.72
128,0.82,3.845
129,0.94,3.715
130,0.95,3.65
131,0.83,3.83
132,0.75,3.975
133,0.835,3.81
134,0.855,3.755
135,0.8,3.875
136,0.68,4.005
137,0.815,3.865
138,0.72,3.97
139,0.795,3.845
140,1.02,3.57
141,0.82,3.87
142,0.855,3.755
143,0.775,3.9
144,0.815,3.865
145,0.965,3.665
146,0.785,3.885
147,0.805,3.855
148,0.67,4.045
149,0.715,3.965
150,0.58,4.155
151,0.995,3.595
152,0.805,3.855
153,0.93,3.68
154,0.67,4.02
155,0.815,3.865
156,0.75,3.95
157,0.78,3.93
158,0.755,3.98
159,0.765,3.89
160,0.67,4.07
161,0.92,3.695
162,0.81,3.86
163,0.635,4.135
164,0.695,3.995
165,0.84,3.79
166,0.87,3.77
167,0.835,3.835
168,0.66,4.085
169,0.605,4.13
170,0.595,4.145
171,0.655,4.08
172,0.76,3.935
173,0.685,4.06
174,0.775,3.9
175,0.68,4.03
176,0.595,4.17
177,0.85,3.775
178,0.79,3.89
179,0.765,3.94
180,0.59,4.19
181,0.59,4.165
182,0.58,4.18
183,0.795,3.845
184,0.625,4.1
185,0.655,4.055
186,0.51,4.235
187,0.62,4.145
188,0.555,4.205
189,0.52,4.245
190,0.825,3.825
191,0.735,3.96
192,0.645,4.095
193,0.53,4.23
194,0.59,4.14
195,0.655,4.08
196,0.655,4.08
197,0.665,4.065
198,0.61,4.135
199,0.59,4.19
200,0.52,4.245
201,0.695,4.02
202,0.59,4.165
203,0.495,4.295
204,0.565,4.215
205,0.655,4.03
206,0.62,4.12
207,0.5,4.3
208,0.585,4.185
209,0.685,4.035
210,0.375,4.45
211,0.73,3.98
212,0.655,4.105
213,0.43,4.405
214,0.695,4.02
215,0.595,4.17
216,0.415,4.415
217,0.595,4.145
218,0.49,4.29
219,0.68,4.055
220,0.37,4.445
221,0.56,4.21
222,0.365,4.49
223,0.495,4.295
224,0.565,4.165
225,0.495,4.295
226,0.635,4.11
227,0.46,4.31
228,0.475,4.35
229,0.385,4.46
230,0.52,4.245
231,0.395,4.42
232,0.32,4.52
233,0.405,4.405
234,0.51,4.285
235,0.495,4.295
236,0.51,4.26
237,0.41,4.41
238,0.455,4.355
239,0.27,4.57
240,0.4,4.425
241,0.485,4.31
242,0.43,4.38
243,0.4,4.425
244,0.47,4.32
245,0.265,4.615
246,0.41,4.41
247,0.28,4.58
248,0.45,4.325
249,0.425,4.375
250,0.345,4.495
251,0.545,4.22
252,0.46,4.36
253,0.35,4.5
254,0.445,4.345
255,0.33,4.53
256,0.42,4.395
257,0.325,4.525
258,0.41,4.41
259,0.335,4.535
260,0.405,4.405
261,0.455,4.355
262,0.46,4.335
263,0.33,4.53
264,0.26,4.61
265,0.37,4.47
266,0.185,4.735
267,0.445,4.345
268,0.375,4.5
269,0.26,4.61
270,0.345,4.495
271,0.24,4.64
272,0.51,4.26
273,0.39,4.415
274,0.39,4.44
275,0.46,4.36
276,0.24,4.64
277,0.31,4.56
278,0.345,4.495
279,0.265,4.615
280,0.2,4.7
281,0.41,4.435
282,0.245,4.645
283,0.265,4.615
284,0.335,4.535
285,0.44,4.365
286,0.285,4.585
287,0.225,4.675
288,0.19,4.715
289,0.305,4.555
290,0.18,4.73
291,0.275,4.625
292,0.22,4.67
293,0.24,4.64
294,0.415,4.415
295,0.285,4.585
296,0.225,4.675
297,0.51,4.31
298,0.26,4.61
299,0.275,4.6
300,0.255,4.63
301,0.145,4.795
302,0.18,4.73
303,0.305,4.555
304,0.2,4.7
305,0.125,4.825
306,0.245,4.645
307,0.16,4.76
308,0.15,4.8
309,0.18,4.73
310,0.165,4.765
311,0.245,4.645
312,0.12,4.82
313,0.205,4.705
314,0.18,4.73
315,0.1,4.85
316,0.145,4.795
317,0.22,4.67
318,0.125,4.8
319,0.14,4.79
320,0.2,4.7
321,0.12,4.82
322,0.1,4.85
323,0.205,4.705
324,0.14,4.79
325,0.2,4.7
326,0.22,4.67
327,0.28,4.605
328,0.355,4.505
329,0.18,4.73
330,0.305,4.555
331,0.1,4.85
332,0.265,4.615
333,0.225,4.675
334,0.14,4.79
335,0.22,4.67
336,0.145,4.795
337,0.2,4.7
338,0.185,4.735
339,0.18,4.73
340,0.2,4.7
341,0.185,4.735
342,0.2,4.7
343,0.06,4.91
344,0.135,4.81
345,0.265,4.615
346,0.125,4.825
347,0.1,4.85
348,0.145,4.795
349,0.12,4.82
350,0.14,4.79
351,0.06,4.91
352,0.08,4.88
353,0.1,4.85
354,0.225,4.675
355,0.125,4.8
356,0.12,4.82
357,0.12,4.82
358,0.16,4.76
359,0.085,4.885
360,0.08,4.88
361,0.1,4.85
362,0.125,4.825
363,0.185,4.735
364,0.22,4.67
365,0.06,4.91
366,0.06,4.91
367,0.08,4.88
368,0.04,4.94
369,0.12,4.82
370,0.04,4.94
371,0.145,4.795
372,0.0,5.0
373,0.1,4.85
374,0.1,4.85
375,0.1,4.85
376,0.04,4.94
377,0.06,4.91
378,0.24,4.64
379,0.06,4.91
380,0.06,4.91
381,0.1,4.85
382,0.125,4.825
383,0.04,4.94
384,0.04,4.94
385,0.29,4.59
386,0.1,4.85
387,0.08,4.88
388,0.08,4.88
389,0.02,4.97
390,0.105,4.855
391,0.0,5.0
392,0.12,4.82
393,0.1,4.85
394,0.08,4.88
395,0.1,4.85
396,0.14,4.79
397,0.06,4.91
398,0.02,4.97
399,0.14,4.79
400,0.04,4.94
401,0.14,4.79
402,0.12,4.82
403,0.04,4.94
404,0.105,4.855
405,0.08,4.88
406,0.04,4.94
407,0.06,4.91
408,0.1,4.85
409,0.06,4.91
410,0.02,4.97
411,0.04,4.94
412,0.02,4.97
413,0.185,4.735
414,0.08,4.88
415,0.08,4.88
416,0.06,4.91
417,0.08,4.88
