,NeuralAgent_Student5_200mAgent,Student5_200mAgent
0,2.255,2.355
1,2.32,2.095
2,2.335,2.085
3,2.225,2.4
4,2.35,1.9
5,2.32,2.12
6,2.25,2.35
7,2.335,2.01
8,2.29,2.19
9,2.25,2.2
10,2.33,2.03
11,2.18,2.43
12,2.235,2.335
13,2.215,2.215
14,2.265,2.165
15,2.235,2.285
16,2.275,2.2
17,2.26,2.185
18,2.265,2.165
19,2.19,2.34
20,2.255,2.23
21,2.3,2.175
22,2.32,2.17
23,2.17,2.42
24,2.26,2.21
25,2.215,2.24
26,2.11,2.385
27,2.24,2.215
28,2.295,2.17
29,2.23,2.38
30,2.335,2.035
31,2.37,1.995
32,2.315,2.14
33,2.34,2.14
34,2.24,2.365
35,2.235,2.21
36,2.38,1.88
37,2.205,2.28
38,2.295,2.145
39,2.365,2.015
40,2.23,2.305
41,2.165,2.39
42,2.18,2.28
43,2.25,2.225
44,2.245,2.27
45,2.26,2.26
46,2.22,2.295
47,2.215,2.29
48,2.3,2.175
49,2.29,2.19
50,2.23,2.255
51,2.345,2.07
52,2.3,2.175
53,2.175,2.325
54,2.195,2.37
55,2.3,2.175
56,2.265,2.215
57,2.295,2.095
58,2.135,2.41
59,2.275,2.25
60,2.295,2.245
61,2.235,2.235
62,2.31,2.11
63,2.295,2.145
64,2.155,2.455
65,2.3,2.15
66,2.28,2.18
67,2.185,2.335
68,2.325,2.075
69,2.31,2.26
70,2.205,2.33
71,2.245,2.37
72,2.305,2.105
73,2.225,2.175
74,2.275,2.125
75,2.21,2.36
76,2.35,2.125
77,2.195,2.17
78,2.225,2.25
79,2.26,2.26
80,2.195,2.42
81,2.23,2.355
82,2.19,2.39
83,2.29,2.09
84,2.35,2.1
85,2.17,2.42
86,2.29,2.115
87,2.29,2.24
88,2.245,2.32
89,2.225,2.275
90,2.175,2.35
91,2.25,2.2
92,2.315,2.115
93,2.185,2.285
94,2.315,2.09
95,2.24,2.19
96,2.165,2.34
97,2.115,2.44
98,2.135,2.535
99,2.175,2.35
100,2.145,2.42
101,2.12,2.445
102,2.225,2.25
103,2.265,2.215
104,2.245,2.145
105,2.17,2.27
106,2.24,2.265
107,2.23,2.18
108,2.185,2.31
109,2.255,2.305
110,2.29,2.165
111,2.245,2.245
112,2.185,2.285
113,2.285,2.21
114,2.14,2.515
115,2.17,2.345
116,2.23,2.205
117,2.08,2.58
118,2.245,2.195
119,2.24,2.165
120,2.205,2.405
121,2.19,2.39
122,2.185,2.335
123,2.245,2.345
124,2.15,2.5
125,2.17,2.37
126,2.17,2.395
127,2.165,2.49
128,2.145,2.445
129,2.14,2.44
130,2.26,2.285
131,2.24,2.365
132,2.135,2.435
133,2.15,2.4
134,2.13,2.505
135,2.22,2.37
136,2.26,2.36
137,2.16,2.385
138,2.215,2.29
139,2.185,2.435
140,2.235,2.235
141,2.29,2.24
142,2.115,2.465
143,2.125,2.425
144,2.155,2.43
145,2.12,2.445
146,2.215,2.39
147,2.16,2.36
148,2.16,2.335
149,2.215,2.39
150,2.17,2.37
151,2.095,2.57
152,2.245,2.37
153,2.085,2.585
154,2.185,2.435
155,2.14,2.49
156,2.105,2.555
157,2.165,2.49
158,2.14,2.565
159,2.24,2.365
160,2.11,2.535
161,2.175,2.325
162,2.225,2.25
163,2.19,2.39
164,2.185,2.46
165,2.125,2.55
166,2.175,2.475
167,2.135,2.41
168,2.2,2.3
169,2.12,2.595
170,2.11,2.585
171,2.135,2.485
172,2.135,2.51
173,2.07,2.57
174,2.09,2.515
175,2.105,2.555
176,2.115,2.49
177,2.01,2.76
178,2.13,2.48
179,2.105,2.555
180,2.17,2.37
181,2.16,2.51
182,2.14,2.515
183,2.115,2.54
184,2.065,2.665
185,2.1,2.525
186,2.13,2.505
187,2.105,2.63
188,2.05,2.725
189,2.13,2.58
190,2.19,2.39
191,2.03,2.705
192,2.12,2.52
193,2.165,2.415
194,2.12,2.645
