,NeuralAgent_Student22_200mAgent_rng,Student22_200mAgent
316,2.315,2.215
317,2.42,2.32
318,2.335,2.21
319,2.405,2.305
320,2.43,2.33
321,2.295,2.17
322,2.42,2.32
323,2.41,2.31
324,2.42,2.32
325,2.29,2.165
326,2.365,2.24
327,2.39,2.29
328,2.43,2.33
329,2.22,2.095
330,2.36,2.26
331,2.335,2.21
332,2.195,2.095
333,2.23,2.13
334,2.46,2.335
335,2.32,2.22
336,2.415,2.315
337,2.47,2.345
338,2.395,2.27
339,2.375,2.25
340,2.4,2.3
341,2.38,2.28
342,2.31,2.185
343,2.435,2.335
344,2.295,2.17
345,2.31,2.21
346,2.31,2.185
347,2.255,2.155
348,2.455,2.33
349,2.3,2.2
350,2.28,2.155
351,2.34,2.24
352,2.225,2.125
353,2.315,2.19
354,2.29,2.19
355,2.34,2.215
356,2.245,2.12
357,2.31,2.21
358,2.29,2.165
359,2.325,2.2
360,2.285,2.16
361,2.35,2.25
362,2.35,2.225
363,2.345,2.245
364,2.33,2.23
365,2.355,2.255
366,2.27,2.145
367,2.36,2.26
368,2.31,2.185
369,2.2,2.075
370,2.265,2.165
371,2.335,2.21
372,2.365,2.24
373,2.475,2.375
374,2.305,2.205
375,2.39,2.29
376,2.26,2.16
377,2.34,2.215
378,2.36,2.26
379,2.42,2.295
380,2.315,2.215
381,2.37,2.27
382,2.385,2.26
383,2.32,2.22
384,2.385,2.285
385,2.255,2.13
386,2.32,2.195
387,2.22,2.12
388,2.435,2.31
389,2.36,2.26
390,2.305,2.18
391,2.175,2.075
392,2.5,2.4
393,2.445,2.32
394,2.39,2.265
395,2.49,2.365
396,2.36,2.26
397,2.34,2.24
398,2.445,2.345
399,2.36,2.26
400,2.295,2.17
401,2.355,2.255
402,2.41,2.31
403,2.345,2.245
404,2.38,2.255
405,2.465,2.34
406,2.34,2.24
407,2.375,2.25
408,2.41,2.285
409,2.355,2.255
410,2.28,2.18
411,2.305,2.18
412,2.335,2.21
413,2.325,2.225
414,2.405,2.305
415,2.36,2.235
416,2.28,2.155
417,2.31,2.21
418,2.425,2.3
419,2.34,2.215
420,2.385,2.26
421,2.415,2.315
422,2.295,2.17
423,2.125,2.025
424,2.375,2.275
425,2.31,2.185
426,2.285,2.185
427,2.375,2.275
428,2.255,2.13
429,2.3,2.175
430,2.41,2.285
431,2.345,2.22
432,2.425,2.3
433,2.325,2.225
434,2.35,2.225
435,2.25,2.125
436,2.3,2.2
437,2.255,2.155
438,2.28,2.155
439,2.32,2.195
440,2.37,2.245
441,2.215,2.115
442,2.335,2.21
443,2.385,2.285
444,2.305,2.18
445,2.395,2.27
446,2.285,2.185
447,2.315,2.19
448,2.29,2.165
449,2.25,2.15
450,2.26,2.135
451,2.37,2.245
452,2.415,2.29
453,2.4,2.275
454,2.325,2.2
455,2.345,2.245
456,2.29,2.165
457,2.305,2.205
458,2.495,2.395
459,2.34,2.215
460,2.425,2.3
461,2.34,2.24
462,2.26,2.135
463,2.32,2.22
464,2.255,2.13
465,2.325,2.225
466,2.345,2.245
467,2.23,2.13
468,2.395,2.27
469,2.365,2.24
470,2.35,2.25
471,2.42,2.295
472,2.275,2.15
473,2.245,2.145
474,2.405,2.305
475,2.255,2.155
476,2.34,2.24
477,2.41,2.285
478,2.15,2.05
479,2.28,2.18
480,2.36,2.235
481,2.335,2.235
482,2.305,2.205
483,2.28,2.18
484,2.205,2.08
485,2.285,2.16
486,2.355,2.23
487,2.275,2.175
488,2.41,2.285
489,2.255,2.13
490,2.32,2.195
491,2.3,2.2
492,2.285,2.185
493,2.315,2.215
494,2.38,2.255
495,2.365,2.265
496,2.27,2.17
497,2.39,2.29
498,2.25,2.15
499,2.29,2.19
500,2.37,2.245
501,2.245,2.145
502,2.285,2.185
503,2.415,2.29
504,2.25,2.125
505,2.26,2.16
506,2.225,2.1
507,2.385,2.285
508,2.26,2.16
509,2.415,2.315
510,2.47,2.345
511,2.255,2.13
512,2.285,2.185
513,2.29,2.165
514,2.305,2.205
515,2.32,2.195
516,2.305,2.205
517,2.34,2.215
518,2.205,2.08
519,2.335,2.21
520,2.39,2.265
521,2.45,2.325
522,2.425,2.325
523,2.21,2.085
524,2.295,2.17
525,2.405,2.305
526,2.28,2.18
527,2.26,2.135
528,2.29,2.165
529,2.29,2.165
530,2.305,2.205
531,2.425,2.325
532,2.33,2.23
533,2.405,2.28
534,2.33,2.205
535,2.205,2.105
536,2.135,2.035
537,2.385,2.26
538,2.345,2.22
539,2.365,2.24
540,2.185,2.085
541,2.28,2.155
542,2.255,2.155
543,2.45,2.35
544,2.28,2.18
545,2.255,2.155
546,2.365,2.24
547,2.225,2.1
548,2.315,2.215
549,2.265,2.165
550,2.34,2.24
551,2.36,2.235
552,2.325,2.225
553,2.41,2.285
554,2.405,2.305
555,2.33,2.205
556,2.385,2.26
557,2.32,2.22
558,2.42,2.32
559,2.31,2.21
560,2.31,2.185
561,2.365,2.265
562,2.465,2.34
563,2.31,2.21
564,2.43,2.305
565,2.345,2.22
566,2.36,2.26
567,2.45,2.325
568,2.355,2.23
569,2.2,2.075
570,2.315,2.215
571,2.335,2.235
572,2.295,2.195
573,2.225,2.125
574,2.275,2.15
575,2.245,2.145
576,2.345,2.22
577,2.36,2.235
578,2.23,2.105
579,2.3,2.2
580,2.315,2.19
581,2.315,2.215
582,2.325,2.225
583,2.305,2.18
584,2.21,2.11
585,2.32,2.195
586,2.33,2.205
587,2.3,2.175
588,2.335,2.21
589,2.315,2.19
590,2.28,2.155
591,2.36,2.26
592,2.235,2.135
593,2.32,2.195
594,2.275,2.175
595,2.25,2.125
596,2.275,2.175
597,2.5,2.375
598,2.25,2.15
599,2.455,2.33
600,2.305,2.18
601,2.405,2.305
602,2.42,2.32
603,2.275,2.15
604,2.09,1.965
605,2.31,2.21
606,2.285,2.16
607,2.32,2.22
608,2.33,2.23
609,2.295,2.17
610,2.315,2.215
611,2.46,2.335
612,2.33,2.23
613,2.405,2.305
614,2.26,2.135
615,2.355,2.255
616,2.345,2.22
617,2.36,2.26
618,2.265,2.165
619,2.405,2.28
620,2.47,2.345
621,2.265,2.14
622,2.44,2.315
623,2.38,2.28
624,2.425,2.325
625,2.285,2.16
626,2.345,2.245
627,2.17,2.045
628,2.37,2.245
629,2.3,2.175
630,2.255,2.13
631,2.325,2.2
632,2.255,2.155
633,2.405,2.305
634,2.32,2.195
635,2.395,2.295
636,2.285,2.16
637,2.24,2.14
638,2.26,2.16
639,2.46,2.335
640,2.365,2.265
641,2.235,2.135
642,2.305,2.205
643,2.34,2.24
644,2.345,2.245
645,2.36,2.235
646,2.265,2.14
647,2.28,2.18
648,2.34,2.24
649,2.35,2.225
650,2.31,2.21
651,2.415,2.29
652,2.445,2.32
653,2.315,2.215
654,2.415,2.315
655,2.395,2.295
656,2.245,2.12
657,2.375,2.275
658,2.405,2.28
659,2.42,2.295
660,2.25,2.125
661,2.405,2.305
662,2.285,2.16
663,2.43,2.305
664,2.375,2.275
665,2.285,2.16
666,2.32,2.195
667,2.36,2.235
668,2.375,2.25
669,2.345,2.22
670,2.285,2.185
671,2.39,2.29
672,2.385,2.285
673,2.18,2.055
674,2.285,2.16
675,2.515,2.39
676,2.355,2.255
677,2.36,2.235
678,2.385,2.285
679,2.18,2.08
680,2.47,2.37
681,2.27,2.17
682,2.295,2.17
683,2.39,2.265
684,2.32,2.195
685,2.22,2.12
686,2.415,2.29
687,2.4,2.275
688,2.3,2.175
689,2.32,2.195
690,2.325,2.225
691,2.255,2.155
692,2.23,2.105
693,2.38,2.28
694,2.38,2.28
695,2.31,2.185
696,2.445,2.345
697,2.39,2.29
698,2.255,2.13
699,2.27,2.145
700,2.325,2.2
701,2.405,2.305
702,2.395,2.295
703,2.36,2.235
704,2.39,2.29
705,2.25,2.15
706,2.275,2.15
707,2.34,2.215
708,2.33,2.205
709,2.26,2.16
710,2.3,2.2
711,2.235,2.135
712,2.365,2.24
713,2.395,2.27
714,2.385,2.285
715,2.435,2.31
716,2.34,2.215
717,2.29,2.19
718,2.29,2.19
719,2.445,2.32
720,2.42,2.295
