,NeuralAgent_Student16_200cAgent,Student16_200cAgent
0,1.025,1.175
1,0.825,2.55
2,0.815,2.715
3,0.825,2.55
4,0.88,2.53
5,0.85,2.625
6,0.89,2.39
7,0.78,2.755
8,0.82,2.445
9,0.805,2.58
10,0.79,2.54
11,0.87,2.595
12,0.755,2.63
13,0.885,2.51
14,0.825,2.45
15,0.88,2.53
16,0.82,2.645
17,0.86,2.735
18,0.805,2.455
19,0.81,2.685
20,0.865,2.615
21,0.925,2.625
22,0.865,2.615
23,0.885,2.56
24,0.815,2.49
25,0.85,2.725
26,0.84,2.44
27,0.91,2.41
28,0.905,2.38
29,0.885,2.535
30,0.8,2.55
31,0.73,2.58
32,0.81,2.685
33,0.79,2.515
34,0.765,2.54
35,0.875,2.375
36,0.88,2.43
37,0.77,2.57
38,0.94,2.615
39,0.92,2.32
40,0.83,2.63
41,0.845,2.62
42,0.86,2.585
43,0.83,2.48
44,0.89,2.44
45,0.725,2.8
46,0.835,2.56
47,0.755,2.655
48,0.815,2.64
49,0.995,2.62
50,0.785,2.585
51,0.925,2.45
52,0.8,2.625
53,0.75,2.55
54,0.77,2.47
55,0.765,2.64
56,0.77,2.695
57,0.91,2.51
58,0.9,2.375
59,0.83,2.63
60,0.82,2.595
61,0.855,2.705
62,0.92,2.545
63,0.875,2.475
64,0.865,2.54
65,0.765,2.54
66,0.78,2.63
67,0.925,2.525
68,0.82,2.62
69,0.89,2.34
70,0.785,2.535
71,0.86,2.485
72,0.81,2.51
73,0.79,2.54
74,0.895,2.495
75,0.84,2.515
76,0.865,2.515
77,0.85,2.475
78,0.905,2.43
79,0.85,2.55
80,0.88,2.555
81,0.76,2.66
82,0.92,2.42
83,0.775,2.55
84,0.87,2.57
85,0.855,2.455
86,0.89,2.54
87,0.77,2.42
88,0.795,2.47
89,0.74,2.565
90,0.83,2.405
91,0.9,2.65
92,0.79,2.515
93,0.915,2.44
94,0.865,2.44
95,0.91,2.535
96,0.81,2.56
97,0.845,2.42
98,0.81,2.535
99,0.86,2.485
100,0.89,2.39
101,0.925,2.75
102,0.885,2.66
103,0.815,2.39
104,0.9,2.475
105,0.945,2.57
106,0.775,2.475
107,0.835,2.485
108,1.005,2.58
109,0.8,2.55
110,0.83,2.73
111,0.805,2.505
112,0.92,2.37
113,0.925,2.625
114,0.8,2.5
115,0.885,2.41
116,0.96,2.51
117,0.85,2.425
118,0.845,2.595
119,0.84,2.465
120,0.845,2.47
121,0.895,2.42
122,0.745,2.495
123,0.945,2.57
124,0.95,2.4
125,0.93,2.555
126,0.86,2.485
127,0.84,2.465
128,0.815,2.615
129,0.9,2.55
130,0.835,2.335
131,0.88,2.43
132,0.79,2.665
133,0.88,2.455
134,0.955,2.455
135,0.85,2.475
136,0.845,2.445
137,0.92,2.595
138,0.89,2.34
139,0.83,2.58
140,0.86,2.335
141,0.895,2.42
142,0.785,2.535
143,0.865,2.265
144,0.77,2.47
145,0.85,2.35
146,0.79,2.715
147,0.755,2.455
148,0.79,2.565
149,0.88,2.455
150,0.83,2.355
151,0.85,2.4
152,0.835,2.26
153,0.86,2.435
154,0.86,2.435
155,0.955,2.18
156,0.87,2.495
157,0.825,2.425
158,0.785,2.46
159,0.875,2.425
160,0.81,2.56
161,0.795,2.62
162,0.935,2.385
163,0.805,2.38
164,0.725,2.45
165,0.855,2.455
166,0.885,2.36
167,0.805,2.705
168,0.86,2.385
169,0.83,2.43
170,0.78,2.405
171,0.815,2.34
172,0.84,2.415
173,0.76,2.335
174,0.885,2.485
175,0.815,2.465
176,0.84,2.34
177,0.84,2.565
178,0.875,2.4
179,0.76,2.435
180,0.805,2.23
181,0.75,2.35
182,0.815,2.29
183,0.87,2.42
184,0.745,2.47
185,0.73,2.48
186,0.98,2.405
187,0.77,2.495
188,0.85,2.175
189,0.905,2.455
190,0.765,2.44
191,0.905,2.455
192,0.895,2.445
193,0.79,2.465
194,0.9,2.35
195,0.73,2.48
196,0.87,2.27
197,0.845,2.22
198,0.865,2.365
199,0.835,2.535
200,0.835,2.31
201,0.775,2.375
202,0.74,2.39
203,0.805,2.38
204,0.865,2.315
205,0.915,2.365
206,0.87,2.42
207,0.82,2.27
208,0.865,2.34
209,0.845,2.37
210,0.79,2.19
211,0.795,2.295
212,0.91,2.435
213,0.9,2.15
214,0.815,2.515
215,0.79,2.315
216,0.855,2.18
217,0.83,2.48
218,0.915,2.39
219,0.875,2.55
220,0.79,2.24
221,0.815,2.39
222,0.83,2.205
223,0.79,2.39
224,0.87,2.47
225,0.91,2.31
226,0.835,2.26
227,0.7,2.4
228,0.865,2.165
229,0.915,2.365
230,0.85,2.25
231,0.81,2.185
232,0.845,2.22
233,0.8,2.35
234,0.855,2.28
235,0.755,2.255
236,0.905,2.405
237,0.805,2.23
238,0.84,2.39
239,0.88,2.28
240,0.88,2.155
241,0.775,2.35
242,0.79,2.165
243,0.775,2.425
244,0.865,2.115
245,0.815,2.14
246,0.85,2.3
247,0.82,2.12
248,0.83,2.38
249,0.82,2.345
250,0.91,2.41
251,0.895,2.195
252,0.86,1.935
253,0.725,2.225
254,0.82,2.145
255,0.8,2.15
256,0.92,2.195
257,0.89,2.09
258,0.78,2.255
259,0.8,2.1
260,0.84,2.265
261,0.72,2.395
262,0.775,2.25
263,0.76,2.11
264,0.835,2.06
265,0.825,2.05
266,0.845,2.07
267,0.855,2.105
268,0.86,2.135
269,0.82,1.945
270,0.73,2.155
271,0.805,1.905
272,0.795,2.045
273,0.83,2.055
274,0.785,2.085
275,0.91,1.935
276,0.775,2.175
277,0.79,2.115
278,0.835,2.01
279,0.74,2.115
280,0.81,2.035
281,0.775,2.05
282,0.81,1.91
283,0.815,2.04
284,0.815,2.065
285,0.8,2.025
286,0.805,1.98
287,0.815,1.89
288,0.92,1.795
289,0.825,2.0
290,0.855,1.805
291,0.85,1.925
292,0.825,2.0
293,0.74,2.115
294,0.785,1.935
295,0.765,2.015
296,0.83,1.68
297,0.81,1.76
298,0.78,1.955
299,0.79,1.915
300,0.815,1.815
301,0.885,1.71
302,0.83,1.755
303,0.875,1.575
304,0.805,1.78
305,0.8,1.875
306,0.815,1.74
307,0.865,1.69
308,0.865,1.615
309,0.85,1.6
310,0.87,1.72
311,0.86,1.835
312,0.835,1.66
313,0.875,1.575
314,0.875,1.575
315,0.865,1.54
316,0.84,1.715
317,0.84,1.64
318,0.9,1.475
319,0.875,1.575
320,0.84,1.715
321,0.89,1.515
322,0.865,1.54
323,0.915,1.615
324,0.85,1.6
325,0.88,1.48
326,0.875,1.575
327,0.88,1.555
328,0.885,1.46
329,0.845,1.62
330,0.91,1.36
331,0.86,1.56
332,0.885,1.46
333,0.92,1.52
334,0.875,1.5
335,0.92,1.32
336,0.91,1.435
337,0.93,1.355
338,0.9,1.4
339,0.915,1.34
340,0.895,1.42
341,0.895,1.42
342,0.905,1.38
343,0.895,1.42
344,0.905,1.38
345,0.925,1.3
346,0.885,1.46
347,0.91,1.36
348,0.93,1.28
349,0.93,1.28
350,0.965,1.14
351,0.95,1.2
352,0.955,1.255
353,0.935,1.26
354,0.93,1.28
355,0.915,1.34
356,0.925,1.3
357,0.91,1.36
358,0.95,1.2
359,0.94,1.24
360,0.96,1.16
361,0.95,1.2
362,0.955,1.18
363,0.965,1.14
364,0.915,1.34
365,0.94,1.24
366,0.945,1.22
367,0.925,1.3
368,0.945,1.22
369,0.925,1.3
370,0.97,1.12
371,0.95,1.2
372,0.96,1.16
373,0.955,1.18
374,0.965,1.14
375,0.955,1.18
376,0.95,1.2
377,0.96,1.16
378,0.925,1.3
379,0.925,1.3
380,0.955,1.18
381,0.975,1.1
382,0.955,1.18
383,0.975,1.1
384,0.97,1.12
385,0.955,1.18
386,0.985,1.135
387,0.95,1.2
388,0.995,1.095
389,0.96,1.16
390,0.97,1.12
391,1.0,1.075
392,0.975,1.1
393,0.96,1.16
394,0.97,1.12
395,0.96,1.16
396,0.965,1.14
397,0.975,1.1
398,0.97,1.12
399,0.97,1.12
400,0.96,1.16
401,0.98,1.08
402,0.955,1.18
403,0.985,1.06
404,0.965,1.14
