,NeuralAgentOpMe_Student7_200bAgent_rng,Student7_200bAgent
0,2.125,2.125
1,2.235,2.21
2,2.415,2.365
3,2.395,2.395
4,2.45,2.45
5,2.565,2.59
6,2.655,2.68
7,2.655,2.63
8,2.595,2.62
9,2.635,2.685
10,2.61,2.635
11,1.98,2.53
12,2.45,2.5
13,2.515,2.49
14,2.505,2.53
15,2.43,2.48
16,2.535,2.51
17,2.085,2.16
18,2.47,2.495
19,0.61,2.785
20,2.455,2.43
21,2.47,2.495
22,0.565,2.915
23,0.55,2.975
24,2.49,2.49
25,2.47,2.495
26,2.505,2.48
27,2.47,2.495
28,2.445,2.42
29,2.03,1.98
30,0.545,3.02
31,2.275,2.225
32,2.265,2.24
33,2.235,2.26
34,2.25,2.225
35,0.61,2.785
36,0.62,2.72
37,0.625,2.7
38,0.62,2.72
39,2.22,2.195
40,0.59,2.865
41,2.25,2.225
42,0.58,2.905
43,0.535,3.06
44,0.605,2.78
45,2.25,2.275
46,0.745,2.22
47,2.01,1.985
48,2.025,2.0
49,0.875,1.725
50,0.7,2.4
51,0.96,1.385
52,0.365,3.765
53,0.2,4.425
54,2.43,2.455
55,0.145,4.62
56,0.14,4.665
57,1.845,1.795
58,0.14,4.665
59,0.045,4.97
60,0.14,4.665
61,0.125,4.7
62,2.445,2.42
63,0.14,4.64
64,0.045,4.97
65,0.165,4.565
66,0.14,4.665
67,0.055,4.955
68,0.12,4.72
69,0.2,4.4
70,0.2,4.425
71,1.58,1.555
72,1.79,1.74
73,0.145,4.645
74,0.19,4.465
75,0.26,4.16
76,0.175,4.5
77,1.06,0.985
78,1.59,1.54
79,0.44,3.465
80,1.06,0.985
81,0.355,3.805
82,1.06,0.985
83,1.05,1.0
84,1.05,1.0
85,1.05,1.0
86,1.06,0.985
87,1.06,0.985
88,1.45,1.425
89,0.28,4.105
90,1.06,0.985
91,1.06,0.985
92,1.06,0.985
93,1.05,1.0
94,1.06,0.985
95,1.06,0.985
96,1.06,0.985
97,1.06,0.985
98,1.06,0.985
99,1.06,0.985
100,1.06,0.985
101,1.05,1.0
102,1.05,1.0
103,1.06,0.985
104,1.06,0.985
105,1.06,0.985
106,1.06,0.985
107,1.06,0.985
108,1.06,0.985
109,1.06,0.985
110,1.055,1.005
111,1.055,1.005
112,1.06,0.985
113,1.06,0.985
114,1.06,0.985
115,1.06,0.985
116,1.06,0.985
117,1.06,0.985
118,1.06,0.985
119,1.05,1.0
120,1.06,0.985
121,1.06,0.985
122,1.06,0.985
123,1.06,0.985
124,1.05,1.0
125,1.05,1.0
126,1.05,1.0
127,1.06,0.985
128,1.06,0.985
129,1.06,0.985
130,1.06,0.985
131,1.06,0.985
132,1.06,0.985
133,1.06,0.985
134,1.06,0.985
135,1.05,1.0
136,1.06,0.985
137,1.06,0.985
138,1.06,0.985
139,1.06,0.985
140,1.06,0.985
141,1.06,0.985
142,1.06,0.985
143,1.06,0.985
144,1.055,1.005
145,1.06,0.985
146,1.06,0.985
147,1.06,0.985
148,1.06,0.985
149,1.06,0.985
150,1.06,0.985
151,1.06,0.985
152,1.06,0.985
153,1.06,0.985
154,1.05,1.0
155,1.06,0.985
156,1.05,1.0
157,1.06,0.985
158,1.06,0.985
159,1.06,0.985
160,1.06,0.985
161,1.06,0.985
162,1.05,1.0
163,1.06,0.985
164,1.06,0.985
165,1.05,1.0
166,1.06,0.985
167,1.06,0.985
168,1.06,0.985
169,1.06,0.985
170,1.06,0.985
171,1.06,0.985
172,1.05,1.0
173,1.06,0.985
174,1.06,0.985
175,1.05,1.0
176,1.06,0.985
177,1.06,0.985
178,1.06,0.985
179,1.06,0.985
180,1.06,0.985
181,1.06,0.985
182,1.06,0.985
183,1.06,0.985
184,1.06,0.985
185,1.06,0.985
186,1.06,0.985
187,1.06,0.985
188,1.06,0.985
189,1.06,0.985
190,1.06,0.985
191,1.06,0.985
192,1.06,0.985
193,1.06,0.985
