,NeuralAgent_Student7_200bAgent_rng,Student7_200bAgent
0,0.115,4.69
1,0.095,4.845
2,2.76,2.81
3,0.045,4.97
4,2.74,2.765
5,2.78,2.83
6,0.045,4.97
7,0.045,4.97
8,2.825,2.825
9,2.795,2.82
10,0.055,4.955
11,0.045,4.97
12,2.77,2.845
13,2.775,2.825
14,0.045,4.97
15,0.045,4.97
16,2.73,2.78
17,2.73,2.805
18,2.75,2.8
19,0.045,4.97
20,2.705,2.755
21,2.63,2.655
22,2.73,2.705
23,2.735,2.76
24,2.705,2.73
25,0.05,4.95
26,2.745,2.795
27,2.77,2.72
28,2.75,2.75
29,2.78,2.805
30,2.725,2.75
31,2.84,2.815
32,2.775,2.8
33,2.795,2.795
34,2.755,2.705
35,2.785,2.81
36,2.795,2.845
37,2.815,2.865
38,2.835,2.885
39,2.765,2.815
40,2.765,2.84
41,2.795,2.87
42,0.05,4.95
43,0.095,4.845
44,2.75,2.775
45,2.75,2.825
46,2.735,2.76
47,2.725,2.75
48,0.045,4.97
49,2.695,2.695
50,2.725,2.775
51,2.7,2.775
52,2.7,2.775
53,2.7,2.75
54,2.73,2.73
55,2.71,2.735
56,2.725,2.75
57,2.515,2.515
58,2.71,2.76
59,2.725,2.725
60,2.485,2.51
61,2.69,2.715
62,2.705,2.73
63,2.685,2.685
64,2.705,2.755
65,2.72,2.745
66,2.665,2.74
67,0.11,4.785
68,0.12,4.745
69,2.675,2.725
70,2.47,2.495
71,0.115,4.765
72,2.52,2.57
73,2.48,2.455
74,0.105,4.78
75,2.435,2.435
76,2.46,2.51
77,2.505,2.43
78,2.455,2.405
79,2.485,2.46
80,2.445,2.445
81,2.445,2.395
82,0.58,2.88
83,2.485,2.51
84,0.565,2.94
85,2.47,2.445
86,2.415,2.465
87,2.455,2.48
88,2.495,2.445
89,0.575,2.9
90,2.47,2.445
91,2.435,2.435
92,0.585,2.885
93,2.44,2.415
94,1.045,1.02
95,0.575,2.9
96,1.05,1.0
97,1.06,0.985
98,0.14,4.665
99,1.045,1.02
100,0.585,2.885
101,0.585,2.885
102,2.145,2.145
103,2.495,2.445
104,0.585,2.885
105,0.59,2.865
106,1.035,1.06
107,0.58,2.905
108,2.325,2.275
109,1.39,1.365
110,1.05,1.0
111,1.07,1.02
112,2.475,2.4
113,0.59,2.865
114,0.58,2.88
115,1.055,1.005
116,2.26,2.21
117,0.59,2.865
118,0.59,2.865
119,0.595,2.845
120,0.77,2.145
121,1.06,1.01
122,0.59,2.865
123,1.14,1.09
124,0.57,2.92
125,0.565,2.94
126,1.095,1.07
127,1.055,1.005
128,1.16,1.135
129,0.615,2.765
130,1.055,1.005
131,1.05,1.05
132,1.07,1.045
