,NeuralAgentOpMe_Student7_200mAgent_rng,Student7_200mAgent
0,1.17,3.02
1,2.09,2.59
2,1.065,3.015
3,1.975,2.7
4,1.275,2.95
5,2.09,2.515
6,1.6,2.75
7,2.435,2.46
8,2.135,2.485
9,1.13,3.055
10,0.965,3.09
11,2.51,2.385
12,1.925,2.65
13,2.02,2.62
14,2.76,2.285
15,1.5,2.95
16,2.48,2.455
17,1.325,2.95
18,1.62,2.72
19,2.805,2.355
20,2.34,2.54
21,2.19,2.54
22,2.43,2.455
23,2.855,2.28
24,2.93,2.28
25,2.9,2.2
26,1.415,2.94
27,1.865,2.715
28,2.255,2.505
29,2.255,2.58
30,2.83,2.305
31,1.675,2.75
32,2.72,2.345
33,2.28,2.605
34,2.61,2.385
35,2.05,2.575
36,2.12,2.645
37,3.115,2.115
38,2.415,2.44
39,1.825,2.725
40,2.685,2.435
41,1.13,3.205
42,2.58,2.48
43,2.845,2.27
44,1.995,2.67
45,2.14,2.59
46,2.115,2.64
47,2.58,2.505
48,2.675,2.325
49,2.625,2.425
50,2.765,2.365
51,3.205,2.105
52,2.665,2.39
53,1.645,2.82
54,1.455,2.88
55,2.5,2.475
56,2.095,2.745
57,2.195,2.62
58,2.285,2.735
59,2.665,2.465
60,2.355,2.455
61,1.995,2.62
62,2.68,2.33
63,2.19,2.54
64,2.65,2.325
65,3.055,2.205
66,2.11,2.585
67,1.94,2.64
68,1.235,3.01
69,2.18,2.58
70,2.405,2.455
71,2.435,2.535
72,2.665,2.415
73,2.75,2.3
74,2.065,2.665
75,1.76,2.81
76,2.72,2.37
77,1.735,2.635
78,3.13,2.205
79,2.215,2.59
80,2.12,2.62
81,1.725,2.875
82,1.19,3.015
83,2.885,2.285
84,2.37,2.57
85,2.34,2.49
86,2.415,2.515
87,1.645,2.945
88,2.685,2.385
89,2.76,2.36
90,2.29,2.665
91,3.15,2.125
92,2.015,2.615
93,3.05,2.075
94,2.085,2.785
95,2.97,2.345
96,2.785,2.435
97,1.78,2.805
98,2.83,2.355
99,2.765,2.365
100,1.695,2.745
101,1.705,2.83
102,1.89,2.79
103,2.675,2.4
104,1.9,2.6
105,2.705,2.38
106,1.93,2.63
107,2.71,2.485
108,3.015,2.165
109,2.27,2.57
110,1.895,2.795
111,2.46,2.385
112,1.36,2.91
113,2.205,2.68
114,2.32,2.52
115,1.4,2.875
116,2.64,2.415
117,2.5,2.35
118,2.545,2.37
119,2.65,2.4
120,2.63,2.43
121,0.725,3.275
122,1.91,2.66
123,2.265,2.565
124,3.195,2.22
125,1.69,2.765
126,2.14,2.615
127,2.435,2.485
128,1.26,2.985
129,2.16,2.635
130,2.57,2.57
131,2.635,2.335
132,2.965,2.215
133,2.18,2.68
134,1.93,2.78
135,1.48,2.88
136,1.91,2.635
137,2.365,2.69
138,2.995,2.245
139,2.155,2.68
140,2.22,2.545
141,2.42,2.52
142,1.89,2.715
143,2.475,2.475
144,1.835,2.76
145,2.225,2.825
146,2.38,2.53
147,3.01,2.36
148,1.4,2.925
149,1.9,2.825
150,2.62,2.395
151,2.185,2.81
152,1.92,2.67
153,2.72,2.37
154,1.925,2.8
155,3.065,2.265
156,2.13,2.555
157,2.785,2.335
158,2.425,2.475
159,2.605,2.53
160,1.365,3.14
161,2.215,2.715
162,1.805,2.855
163,2.51,2.56
164,2.035,2.685
165,2.35,2.525
166,2.895,2.345
167,2.285,2.61
168,2.46,2.385
169,2.115,2.815
170,2.725,2.35
171,1.545,3.02
172,1.94,2.665
173,2.885,2.335
174,2.275,2.75
175,2.295,2.57
176,2.265,2.69
177,3.29,2.115
178,2.33,2.505
179,2.31,2.635
180,2.7,2.475
181,2.305,2.98
182,2.545,2.47
183,2.745,2.295
184,3.035,2.235
185,2.355,2.48
186,2.63,2.43
187,2.5,2.55
188,2.36,2.71
189,2.45,2.475
190,2.11,2.61
191,2.405,2.73
192,2.655,2.48
193,2.795,2.27
194,1.695,2.945
195,2.63,2.555
196,2.495,2.42
197,3.165,2.14
198,2.265,2.74
