,NeuralAgent_Student1_200aAgent,Student1_200aAgent
317,1.47,3.345
318,1.02,3.795
319,1.19,3.54
320,1.26,3.56
321,1.34,3.44
322,1.36,3.635
323,1.47,3.52
324,1.52,3.445
325,1.87,3.37
326,1.345,3.47
327,1.085,3.61
328,1.4,3.45
329,1.445,3.37
330,1.2,3.475
331,1.445,3.37
332,1.075,3.6
333,1.285,3.51
334,1.315,3.365
335,1.315,3.49
336,1.27,3.52
337,1.255,3.705
338,1.395,3.595
339,1.18,3.58
340,1.19,3.59
341,1.085,3.66
342,1.33,3.38
343,1.13,3.605
344,1.26,3.56
345,1.285,3.71
346,1.27,3.57
347,1.085,3.735
348,1.475,3.5
349,1.485,3.485
350,1.295,3.695
351,1.53,3.505
352,1.26,3.585
353,1.69,3.465
354,1.32,3.545
355,1.265,3.59
356,1.495,3.37
357,1.465,3.565
358,1.8,3.35
359,1.44,3.565
360,1.525,3.525
361,1.075,3.575
362,2.02,3.345
363,1.01,3.835
364,1.15,3.675
365,1.19,3.69
366,1.675,3.475
367,1.35,3.425
368,1.135,3.66
369,1.56,3.46
370,1.675,3.45
371,1.655,3.53
372,1.37,3.47
373,1.285,3.585
374,1.695,3.52
375,1.315,3.565
376,1.01,3.86
377,1.665,3.44
378,1.115,3.69
379,1.41,3.585
380,1.08,3.605
381,1.225,3.575
382,1.2,3.55
383,1.245,3.695
384,1.795,3.47
385,1.365,3.615
386,1.475,3.475
387,1.505,3.455
388,1.445,3.62
389,1.47,3.545
390,1.485,3.56
391,0.995,3.82
392,1.215,3.74
393,1.37,3.57
394,1.195,3.57
395,1.39,3.615
396,1.68,3.505
397,1.495,3.57
398,1.38,3.58
399,1.42,3.67
400,1.605,3.455
401,1.705,3.555
402,1.245,3.545
403,1.72,3.345
404,1.09,3.615
405,1.42,3.545
406,1.47,3.52
407,1.545,3.545
408,1.295,3.695
409,1.485,3.635
410,1.27,3.67
411,1.645,3.445
412,1.27,3.595
413,1.46,3.61
414,1.345,3.545
415,1.36,3.435
416,1.145,3.67
417,1.235,3.56
418,1.665,3.49
419,1.375,3.625
420,1.27,3.595
421,2.145,3.22
422,1.04,3.74
423,1.19,3.64
424,1.045,3.795
425,1.465,3.615
426,1.645,3.57
427,1.845,3.42
428,1.665,3.39
429,1.27,3.62
