,NeuralAgent_Student16_200cAgent_rng,Student16_200cAgent
119,1.24,3.29
120,1.345,3.22
121,1.315,3.265
122,1.4,3.125
123,1.48,3.28
124,1.485,3.06
125,1.56,3.185
126,1.525,3.2
127,1.51,3.185
128,1.51,3.185
129,1.51,3.16
130,1.555,3.18
131,1.44,3.115
132,1.505,3.155
133,1.42,3.07
134,1.46,3.135
135,1.435,3.085
136,1.36,3.135
137,1.425,3.075
138,1.495,3.17
139,1.115,2.94
140,0.645,2.495
141,0.54,2.915
142,0.54,2.915
143,0.505,2.98
144,0.505,2.98
145,1.555,3.155
146,1.485,3.135
147,1.555,3.18
148,0.755,3.03
149,1.385,3.085
150,1.5,3.175
151,1.47,3.195
152,1.38,3.055
153,1.335,3.11
154,1.465,3.14
155,1.525,3.175
156,0.72,2.945
157,1.455,3.13
158,0.555,2.905
159,0.525,2.9
160,0.53,2.88
161,0.535,2.985
162,1.505,3.155
163,0.565,2.865
164,0.52,2.92
165,0.52,2.92
166,0.54,2.99
167,0.525,2.975
168,0.505,2.98
169,0.53,2.88
170,0.52,2.995
171,0.655,2.455
172,0.57,2.795
173,0.59,2.64
174,0.53,2.955
175,0.515,2.94
176,0.515,2.94
177,0.525,2.975
178,0.52,2.92
179,0.67,2.32
180,0.82,1.72
181,0.505,2.98
182,0.51,2.96
183,0.515,2.94
184,0.525,2.975
185,0.615,2.665
186,0.625,2.5
187,1.005,1.055
188,0.77,2.045
189,0.505,2.98
190,0.665,2.34
191,1.015,1.015
192,0.78,1.955
193,1.015,1.015
194,0.775,1.9
195,0.95,1.2
196,0.85,1.6
197,0.595,2.62
198,0.505,2.98
199,0.645,2.42
200,0.52,2.92
201,0.81,1.835
202,0.515,2.94
203,0.635,2.585
204,0.51,2.96
205,0.805,1.78
206,0.505,2.98
207,0.53,2.955
208,0.535,2.86
209,1.025,1.025
210,1.015,1.015
211,0.515,3.015
212,0.55,2.875
213,0.52,2.92
214,0.52,2.92
215,0.7,2.2
216,1.015,1.015
217,1.0,1.0
218,1.02,1.045
219,0.975,1.225
220,0.545,2.895
221,0.51,2.96
222,0.56,2.76
223,0.595,2.62
224,1.025,1.025
225,1.015,1.015
226,1.025,1.025
227,1.0,1.0
228,1.0,1.0
229,0.52,2.92
230,1.0,1.0
231,0.575,2.7
232,1.015,1.015
233,0.53,2.955
234,0.72,2.245
235,0.53,2.88
236,0.51,2.96
237,1.0,1.0
238,1.0,1.0
239,0.545,2.97
240,0.52,2.92
241,0.715,2.14
242,0.52,2.92
243,1.0,1.0
244,0.555,2.955
245,1.0,1.0
246,1.0,1.0
247,0.56,2.76
248,0.62,2.52
249,0.625,2.5
250,1.015,1.015
251,0.675,2.3
252,0.68,2.28
253,1.0,1.0
254,0.685,2.26
255,0.67,2.32
256,0.7,2.2
257,0.69,2.315
258,0.74,2.04
259,1.0,1.0
260,1.0,1.0
261,1.0,1.0
262,0.72,2.12
263,1.015,1.015
264,1.015,1.015
265,1.0,1.0
266,0.68,2.28
267,1.015,1.015
268,0.695,2.22
269,0.71,2.335
270,0.665,2.34
271,1.0,1.0
272,1.0,1.0
273,1.0,1.0
274,0.675,2.3
275,0.705,2.18
276,1.0,1.0
277,0.675,2.3
278,0.815,1.74
279,1.0,1.0
280,1.015,1.015
281,1.0,1.0
282,1.015,1.015
283,1.0,1.0
284,1.0,1.0
285,1.0,1.0
286,1.015,1.015
287,1.0,1.0
288,0.67,2.32
289,1.0,1.0
290,0.685,2.26
291,1.0,1.0
292,1.0,1.0
293,1.015,1.015
294,1.015,1.015
295,0.68,2.28
296,1.0,1.0
297,0.685,2.335
298,0.69,2.24
299,1.0,1.0
300,1.0,1.0
301,0.995,1.02
302,1.0,1.0
303,1.01,1.035
304,0.69,2.24
305,0.675,2.3
306,1.015,1.015
307,1.015,1.015
308,1.0,1.0
309,0.67,2.32
310,1.015,1.015
311,1.0,1.0
312,1.0,1.0
313,1.015,1.015
314,0.995,1.02
315,0.675,2.3
316,0.675,2.3
317,1.0,1.0
318,0.675,2.3
319,1.0,1.0
320,1.0,1.0
321,1.0,1.0
322,1.0,1.0
323,0.675,2.3
324,1.0,1.0
325,0.675,2.3
326,0.995,1.02
327,1.0,1.0
328,1.0,1.0
329,0.995,1.02
330,0.675,2.3
331,0.675,2.3
332,1.0,1.0
333,0.675,2.3
334,1.015,1.015
335,0.995,1.02
336,1.015,1.015
337,0.675,2.3
338,0.675,2.3
339,1.0,1.0
340,1.0,1.0
341,1.025,1.025
342,1.0,1.0
343,1.0,1.0
344,0.675,2.3
345,0.7,2.2
346,0.995,1.02
347,0.675,2.3
348,1.0,1.0
349,1.0,1.0
350,1.0,1.0
351,1.0,1.0
352,1.01,1.035
353,1.0,1.0
354,1.015,1.015
355,0.98,1.08
356,0.67,2.32
357,0.675,2.3
358,1.015,1.015
359,0.98,1.08
360,1.0,1.0
361,0.99,1.04
362,0.685,2.26
363,1.0,1.0
364,0.995,1.02
365,1.01,1.035
366,0.995,1.02
367,1.0,1.0
368,1.0,1.0
369,0.67,2.32
370,0.985,1.06
371,1.015,1.015
372,1.0,1.0
373,1.0,1.0
374,1.0,1.0
375,0.99,1.04
376,1.025,1.025
377,0.995,1.02
378,1.0,1.0
379,0.995,1.02
380,0.665,2.34
381,1.0,1.0
382,0.995,1.02
383,1.0,1.0
384,0.99,1.04
385,0.675,2.3
386,0.99,1.04
387,0.99,1.04
388,0.675,2.3
389,0.99,1.04
390,0.675,2.3
391,0.675,2.3
392,0.675,2.3
393,0.995,1.02
394,0.675,2.3
395,1.0,1.0
396,1.015,1.015
397,1.01,1.035
398,0.68,2.28
399,0.995,1.02
400,1.0,1.0
401,0.67,2.32
402,1.015,1.015
403,1.01,1.035
404,0.99,1.04
405,0.99,1.04
406,1.0,1.0
407,0.995,1.02
408,0.67,2.32
409,1.0,1.0
410,1.0,1.0
411,1.0,1.0
412,0.99,1.04
413,0.995,1.195
414,1.0,1.075
415,1.01,1.035
416,0.995,1.02
417,1.0,1.0
418,0.99,1.04
419,0.995,1.02
420,0.995,1.02
421,0.675,2.3
422,1.0,1.0
423,0.67,2.32
424,1.015,1.015
425,1.0,1.0
426,1.0,1.0
427,0.995,1.02
428,1.01,1.035
429,0.67,2.32
430,1.0,1.0
431,0.995,1.02
432,0.68,2.28
433,1.0,1.0
434,0.695,2.345
435,0.995,1.02
436,0.985,1.06
437,0.675,2.3
438,0.985,1.06
439,0.995,1.02
440,0.995,1.02
441,0.655,2.38
442,0.675,2.3
443,0.66,2.36
444,0.995,1.02
445,0.995,1.02
446,0.995,1.02
447,1.015,1.015
448,1.01,1.035
449,0.665,2.34
450,1.0,1.0
451,0.995,1.02
452,1.0,1.0
453,1.015,1.015
454,1.0,1.0
455,0.995,1.02
456,1.0,1.0
457,0.995,1.02
458,1.0,1.0
459,0.99,1.04
460,0.98,1.08
461,1.0,1.0
462,0.995,1.02
463,0.99,1.04
464,0.995,1.02
465,0.675,2.3
466,1.015,1.015
467,0.665,2.34
468,0.665,2.34
469,1.0,1.0
470,1.015,1.015
471,0.995,1.095
472,1.0,1.0
473,0.995,1.095
474,0.995,1.02
475,0.99,1.04
476,1.005,1.055
477,0.99,1.04
478,0.98,1.08
479,1.0,1.075
480,1.0,1.075
481,0.995,1.02
482,0.675,2.3
483,1.0,1.0
484,0.99,1.04
485,0.985,1.06
486,0.995,1.02
487,1.0,1.0
488,0.99,1.04
489,0.995,1.02
490,0.995,1.095
491,0.99,1.04
492,1.015,1.015
493,0.99,1.04
494,1.0,1.0
495,0.995,1.02
496,0.985,1.06
497,1.005,1.055
498,1.01,1.085
499,0.985,1.06
500,0.995,1.02
501,0.99,1.04
502,0.995,1.095
503,0.99,1.04
504,0.995,1.02
505,1.015,1.015
506,0.995,1.02
507,0.99,1.04
508,0.995,1.02
509,0.995,1.02
510,0.995,1.02
511,0.995,1.02
512,1.0,1.0
513,1.0,1.0
514,0.99,1.04
515,0.995,1.02
516,0.985,1.06
517,0.99,1.04
518,0.995,1.02
519,0.99,1.04
520,1.0,1.0
521,0.91,1.36
522,0.99,1.04
523,1.0,1.0
524,0.995,1.02
525,0.995,1.02
526,0.995,1.02
527,1.0,1.0
528,0.995,1.02
529,1.0,1.0
530,0.985,1.06
531,0.99,1.04
532,0.99,1.04
533,1.0,1.0
534,0.995,1.02
535,0.995,1.02
536,0.99,1.04
537,1.0,1.0
538,1.0,1.075
539,0.995,1.02
540,1.025,1.025
541,1.0,1.0
542,0.995,1.02
543,1.015,1.015
544,0.99,1.04
545,0.99,1.04
546,0.995,1.02
547,0.995,1.02
548,0.99,1.04
549,0.99,1.04
550,0.995,1.02
551,0.995,1.02
552,1.01,1.035
553,1.0,1.0
554,0.995,1.02
555,0.99,1.04
556,1.0,1.0
557,0.99,1.04
558,1.0,1.0
559,0.995,1.02
560,0.995,1.02
561,1.01,1.035
562,0.99,1.04
563,0.995,1.02
564,0.995,1.02
565,0.995,1.02
566,0.995,1.02
567,0.99,1.04
568,0.995,1.02
569,1.025,1.025
570,0.99,1.04
571,0.995,1.02
572,0.995,1.02
573,0.99,1.04
574,1.005,1.055
575,0.99,1.04
576,0.995,1.02
577,0.99,1.04
578,0.99,1.04
579,1.015,1.015
580,1.01,1.035
581,0.995,1.02
582,0.99,1.04
583,1.025,1.025
584,0.99,1.04
585,0.995,1.02
586,0.995,1.02
587,0.995,1.02
588,1.005,1.055
589,0.995,1.02
590,0.995,1.02
591,0.995,1.02
592,1.025,1.025
593,0.99,1.04
594,0.995,1.02
595,0.99,1.04
596,1.025,1.025
597,1.0,1.075
598,1.015,1.015
599,0.995,1.02
600,0.995,1.02
601,0.99,1.04
602,0.995,1.02
603,0.995,1.02
604,0.995,1.02
605,1.0,1.0
606,0.985,1.06
607,1.005,1.055
608,0.995,1.02
609,1.0,1.0
610,0.99,1.04
611,0.995,1.02
612,0.995,1.02
613,0.995,1.02
614,1.025,1.025
615,1.025,1.025
616,0.995,1.02
617,0.99,1.04
618,0.985,1.06
619,0.995,1.02
620,0.99,1.04
621,0.995,1.02
622,0.995,1.02
623,1.0,1.0
624,0.99,1.04
625,0.995,1.02
626,0.995,1.02
627,0.99,1.04
628,0.985,1.06
629,0.99,1.04
630,0.99,1.04
631,0.98,1.08
632,0.995,1.02
633,0.995,1.02
634,0.995,1.02
635,0.99,1.04
636,0.99,1.04
637,1.01,1.035
638,0.995,1.02
639,0.99,1.04
640,1.0,1.0
641,0.995,1.02
642,0.995,1.02
643,0.995,1.02
644,0.995,1.02
645,1.0,1.075
646,0.995,1.02
647,0.995,1.02
648,0.99,1.04
649,1.0,1.0
650,0.995,1.02
651,0.995,1.02
652,1.01,1.035
653,0.995,1.02
654,0.995,1.02
655,0.985,1.06
656,0.995,1.02
657,0.995,1.02
658,0.99,1.04
659,0.995,1.02
660,0.985,1.06
661,0.995,1.02
662,1.0,1.0
663,0.99,1.04
664,0.995,1.02
665,1.0,1.0
666,0.99,1.04
667,0.995,1.02
668,0.995,1.02
669,0.995,1.02
670,0.975,1.1
671,0.99,1.04
672,1.0,1.0
673,0.995,1.02
674,0.995,1.02
675,1.015,1.015
676,1.0,1.075
677,0.995,1.02
678,0.985,1.06
679,0.995,1.02
680,0.995,1.02
681,0.99,1.04
682,1.0,1.0
683,0.995,1.02
684,0.99,1.04
685,1.0,1.0
686,0.985,1.06
687,1.0,1.0
688,0.995,1.02
689,0.99,1.04
690,0.98,1.08
691,1.0,1.0
692,1.025,1.025
693,0.995,1.02
694,1.0,1.0
695,0.995,1.095
696,0.975,1.1
697,0.99,1.04
698,0.995,1.02
699,1.0,1.075
700,1.005,1.055
701,0.995,1.02
702,0.99,1.04
703,0.99,1.04
704,0.99,1.04
705,1.0,1.075
706,0.99,1.04
707,0.995,1.02
708,0.995,1.02
709,1.015,1.015
710,0.995,1.02
711,0.995,1.02
712,0.995,1.02
713,0.985,1.06
714,0.995,1.02
715,0.985,1.06
716,0.99,1.04
717,0.995,1.02
718,1.005,1.055
719,0.98,1.155
720,0.99,1.04
721,0.995,1.02
722,0.99,1.04
723,0.995,1.02
724,0.995,1.02
725,0.995,1.02
726,0.995,1.02
727,0.995,1.02
728,0.995,1.02
729,0.99,1.04
730,0.995,1.02
731,1.015,1.015
732,0.995,1.02
733,0.985,1.06
734,0.995,1.095
735,1.015,1.015
736,0.995,1.02
737,0.98,1.08
738,0.99,1.04
739,0.99,1.04
740,0.995,1.02
741,1.005,1.055
742,0.955,1.18
743,1.0,1.0
744,0.985,1.06
745,0.99,1.04
746,0.98,1.08
747,0.99,1.04
748,0.985,1.06
749,1.01,1.085
750,0.995,1.02
751,0.995,1.095
752,0.995,1.02
753,1.005,1.105
754,0.98,1.08
755,1.005,1.055
756,1.0,1.0
757,0.99,1.04
758,0.99,1.04
759,0.99,1.04
760,0.995,1.02
761,0.99,1.04
762,0.995,1.02
763,1.01,1.035
764,0.99,1.04
765,0.99,1.04
766,0.995,1.02
767,0.985,1.06
768,0.985,1.06
769,0.985,1.06
770,0.99,1.04
771,0.995,1.02
772,0.99,1.04
773,1.025,1.025
774,0.99,1.04
775,0.985,1.06
776,1.0,1.0
777,1.0,1.075
778,1.01,1.035
779,0.995,1.095
780,1.005,1.055
781,0.985,1.06
782,1.015,1.015
783,0.995,1.02
784,1.025,1.025
785,0.99,1.04
786,1.01,1.11
787,0.985,1.06
788,0.99,1.04
789,0.985,1.06
790,1.025,1.025
791,0.99,1.04
792,0.995,1.02
793,0.995,1.02
794,0.995,1.02
795,0.985,1.06
796,0.99,1.04
797,0.985,1.06
798,0.99,1.04
799,1.0,1.075
800,0.99,1.04
801,0.99,1.04
802,0.99,1.04
803,0.985,1.06
804,0.99,1.04
805,0.99,1.04
806,0.99,1.04
807,0.99,1.04
808,1.0,1.075
809,0.985,1.06
810,0.99,1.04
811,0.99,1.04
812,1.0,1.075
813,0.99,1.04
814,0.99,1.04
815,0.995,1.095
816,1.005,1.055
817,0.995,1.02
818,0.985,1.06
819,0.99,1.04
820,0.995,1.02
821,0.995,1.02
822,0.995,1.02
823,0.985,1.06
824,0.985,1.06
825,0.99,1.04
826,1.01,1.035
827,0.985,1.06
828,1.025,1.025
829,0.99,1.04
830,0.99,1.04
831,0.995,1.02
832,0.985,1.06
833,0.99,1.04
834,1.005,1.055
835,0.99,1.04
836,0.99,1.04
837,0.995,1.02
838,0.99,1.04
839,0.99,1.04
840,0.99,1.04
841,0.995,1.02
842,0.98,1.08
843,0.99,1.04
844,0.995,1.02
845,0.995,1.02
846,0.99,1.04
847,1.0,1.0
848,0.995,1.02
849,0.995,1.02
850,0.985,1.06
851,1.01,1.035
852,0.995,1.02
853,1.015,1.015
854,0.995,1.02
855,1.025,1.025
856,1.0,1.075
857,0.99,1.04
858,0.985,1.06
859,1.005,1.055
860,1.005,1.105
861,1.015,1.015
862,0.995,1.02
863,0.99,1.04
864,0.985,1.06
865,0.985,1.06
866,0.995,1.02
867,0.985,1.06
868,0.995,1.095
869,1.0,1.075
870,0.985,1.06
871,0.99,1.04
872,0.995,1.02
873,1.0,1.075
874,0.995,1.02
875,1.0,1.075
876,1.015,1.015
877,0.995,1.02
878,0.995,1.02
879,0.985,1.06
880,0.99,1.04
881,0.985,1.06
882,0.995,1.02
883,0.985,1.06
884,1.005,1.105
885,1.015,1.115
886,1.0,1.075
887,0.985,1.06
888,0.995,1.02
889,0.985,1.06
890,0.99,1.04
891,0.99,1.04
892,0.985,1.06
893,1.005,1.105
894,0.985,1.06
895,0.995,1.095
896,0.995,1.02
897,1.02,1.095
898,0.995,1.02
899,0.995,1.02
900,1.035,1.035
901,0.995,1.02
902,0.985,1.06
903,0.99,1.04
904,0.995,1.02
905,0.995,1.02
906,1.01,1.085
907,0.985,1.06
908,0.985,1.06
909,0.995,1.02
910,0.995,1.02
911,0.99,1.04
912,0.99,1.04
913,0.985,1.06
914,1.01,1.085
915,0.995,1.02
916,0.995,1.02
917,1.025,1.025
918,0.995,1.02
919,0.995,1.02
920,0.99,1.04
921,0.99,1.04
922,0.995,1.02
923,0.995,1.02
924,0.995,1.02
925,0.99,1.04
926,1.025,1.025
927,0.98,1.08
928,1.0,1.075
929,0.985,1.06
930,1.01,1.085
931,1.005,1.055
932,1.0,1.0
933,0.995,1.02
934,1.0,1.075
935,0.99,1.04
936,0.99,1.04
937,1.025,1.075
938,0.97,1.12
939,1.0,1.075
940,1.02,1.12
941,0.975,1.1
942,0.99,1.04
943,0.995,1.02
944,0.985,1.06
945,0.99,1.04
946,0.995,1.02
947,0.995,1.02
948,1.0,1.075
949,1.01,1.035
950,0.985,1.06
951,0.985,1.06
952,0.985,1.06
953,0.99,1.04
954,0.985,1.06
955,1.01,1.035
956,0.99,1.04
957,0.975,1.1
958,0.985,1.06
959,0.985,1.06
960,0.985,1.06
961,0.995,1.02
962,0.99,1.04
963,0.975,1.1
964,0.995,1.02
965,1.005,1.105
966,1.03,1.105
967,0.985,1.06
968,1.005,1.055
969,1.0,1.075
970,0.995,1.02
971,1.01,1.035
972,0.985,1.06
973,0.995,1.02
974,0.98,1.08
975,0.99,1.04
976,0.99,1.04
977,0.985,1.06
978,1.015,1.015
979,1.005,1.055
980,0.995,1.02
981,0.99,1.04
982,0.995,1.02
983,1.015,1.015
984,0.98,1.08
985,1.015,1.015
986,1.025,1.025
987,0.99,1.04
988,0.985,1.06
989,1.015,1.015
990,0.995,1.02
991,0.985,1.06
992,0.98,1.08
993,0.985,1.06
994,0.985,1.06
995,0.99,1.04
996,0.985,1.06
997,0.99,1.04
998,0.99,1.04
999,0.995,1.02
