,NeuralAgent_Student16_200cAgent_rng,Student16_200cAgent
0,0.995,3.02
1,1.005,2.98
2,1.165,2.89
3,0.96,2.685
4,0.91,2.585
5,0.81,2.31
6,0.83,2.255
7,0.89,2.19
8,0.79,2.29
9,0.775,2.125
10,0.765,2.39
11,0.8,2.125
12,0.765,2.29
13,0.785,2.235
14,0.82,2.22
15,0.805,2.28
16,0.765,2.09
17,0.885,2.16
18,0.75,2.275
19,0.845,2.245
20,0.81,2.26
21,0.75,2.275
22,0.825,2.1
23,0.855,1.98
24,0.825,1.85
25,0.825,1.85
26,0.865,1.84
27,0.835,1.91
28,0.85,1.6
29,0.875,1.65
30,0.925,1.7
31,0.92,1.695
32,0.87,1.82
33,0.86,1.685
34,0.895,1.645
35,0.855,1.58
36,0.88,1.705
37,0.88,1.705
38,0.885,1.66
39,0.855,1.705
40,0.88,1.605
41,0.85,1.75
42,0.88,1.555
43,0.855,1.655
44,0.85,1.6
45,0.82,1.795
46,0.895,1.845
47,0.835,1.81
48,0.875,1.825
49,0.82,1.795
50,0.85,1.825
51,0.83,1.88
52,0.845,2.07
53,0.93,2.08
54,0.85,2.0
55,0.755,2.13
56,0.795,2.32
57,0.915,2.215
58,0.845,2.245
59,0.775,2.475
60,0.76,2.235
61,0.87,2.295
62,0.79,2.215
63,0.865,2.49
64,0.78,2.355
65,0.925,2.8
66,0.735,2.46
67,0.725,2.8
68,0.76,2.535
69,0.68,2.98
70,0.78,3.13
71,0.58,3.18
72,0.735,3.11
73,0.765,3.315
74,0.78,3.43
75,0.99,3.49
76,0.945,3.52
77,1.035,3.535
78,1.24,3.49
79,1.595,3.42
80,1.755,3.38
81,1.57,3.445
82,1.405,3.48
83,1.275,3.45
84,1.04,3.54
85,1.065,3.54
86,0.995,3.495
87,0.885,3.535
88,0.805,3.58
89,0.49,3.565
90,0.38,3.605
91,0.37,3.645
92,0.54,3.565
93,0.36,3.635
94,0.4,3.575
95,0.38,3.605
96,0.54,3.54
97,0.495,3.645
98,0.41,3.66
99,0.5,3.65
100,0.575,3.225
101,0.6,3.625
102,0.645,3.545
103,0.63,3.605
104,0.84,3.49
105,0.72,3.595
106,0.71,3.56
107,0.8,3.55
108,1.09,3.44
109,0.915,3.415
110,0.925,3.275
111,0.825,3.425
112,0.81,3.535
113,0.675,3.4
114,0.91,3.335
115,1.07,3.27
116,0.985,3.335
117,1.005,3.28
118,1.105,3.23
