,NeuralAgent_Student13_200mAgent,Student13_200mAgent
0,1.16,1.21
1,1.555,2.655
2,1.525,2.675
3,1.485,2.51
4,1.445,2.645
5,1.465,2.615
6,1.635,2.735
7,1.595,2.72
8,1.635,2.76
9,1.475,2.55
10,1.585,2.785
11,1.53,2.58
12,1.48,2.755
13,1.445,2.695
14,1.585,2.71
15,1.495,2.595
16,1.77,2.845
17,1.385,2.71
18,1.6,2.65
19,1.585,2.71
20,1.45,2.6
21,1.455,2.58
22,1.39,2.465
23,1.645,2.695
24,1.545,2.72
25,1.375,2.425
26,1.56,2.685
27,1.575,2.6
28,1.57,2.745
29,1.55,2.625
30,1.54,2.615
31,1.4,2.625
32,1.465,2.665
33,1.49,2.615
34,1.475,2.675
35,1.71,2.56
36,1.585,2.785
37,1.58,2.73
38,1.485,2.535
39,1.465,2.49
40,1.425,2.5
41,1.345,2.57
42,1.55,2.675
43,1.675,2.6
44,1.45,2.675
45,1.5,2.7
46,1.535,2.61
47,1.39,2.665
48,1.65,2.825
49,1.46,2.585
50,1.375,2.6
51,1.445,2.57
52,1.725,2.725
53,1.535,2.61
54,1.485,2.61
55,1.54,2.715
56,1.68,2.73
57,1.55,2.75
58,1.815,2.715
59,1.455,2.605
60,1.595,2.745
61,1.505,2.655
62,1.495,2.645
63,1.375,2.525
64,1.675,2.775
65,1.81,2.66
66,1.485,2.71
67,1.585,2.76
68,1.475,2.675
69,1.37,2.52
70,1.59,2.69
71,1.615,2.815
72,1.695,2.77
73,1.7,2.75
74,1.38,2.58
75,1.665,2.74
76,1.68,2.705
77,1.58,2.68
78,1.3,2.55
79,1.45,2.6
80,1.395,2.545
81,1.645,2.72
82,1.59,2.74
83,1.395,2.47
84,1.54,2.615
85,1.39,2.765
86,1.63,2.755
87,1.46,2.61
88,1.77,2.695
89,1.51,2.635
90,1.475,2.7
91,1.48,2.805
92,1.345,2.52
93,1.445,2.62
94,1.435,2.735
95,1.5,2.65
96,1.525,2.7
97,1.54,2.59
98,1.58,2.73
99,1.485,2.66
100,1.445,2.645
101,1.64,2.665
102,1.555,2.705
103,1.475,2.475
104,1.595,2.67
105,1.625,2.7
106,1.59,2.69
107,1.575,2.55
108,1.655,2.655
109,1.52,2.67
110,1.66,2.685
111,1.61,2.735
112,1.475,2.5
113,1.38,2.605
114,1.58,2.705
115,1.425,2.725
116,1.65,2.625
117,1.685,2.785
118,1.605,2.705
119,1.63,2.755
120,1.26,2.585
121,1.415,2.59
122,1.555,2.705
123,1.44,2.64
124,1.79,2.84
125,1.555,2.68
126,1.4,2.525
127,1.53,2.73
128,1.58,2.73
129,1.48,2.705
130,1.65,2.675
131,1.475,2.725
132,1.465,2.64
133,1.365,2.54
134,1.575,2.7
135,1.43,2.53
136,1.485,2.735
137,1.63,2.755
138,1.715,2.69
139,1.45,2.65
140,1.63,2.655
141,1.45,2.55
142,1.45,2.625
143,1.57,2.645
144,1.52,2.545
145,1.575,2.6
146,1.6,2.675
147,1.355,2.53
148,1.4,2.475
149,1.715,2.715
150,1.655,2.755
151,1.455,2.505
152,1.46,2.535
153,1.345,2.545
154,1.555,2.705
155,1.425,2.6
156,1.58,2.73
157,1.54,2.54
158,1.6,2.7
159,1.565,2.765
160,1.505,2.68
161,1.525,2.675
162,1.49,2.665
163,1.565,2.54
164,1.47,2.52
165,1.44,2.59
166,1.705,2.78
167,1.555,2.68
168,1.57,2.67
169,1.66,2.76
170,1.535,2.735
171,1.55,2.625
172,1.195,2.345
173,1.47,2.695
174,1.41,2.51
175,1.535,2.71
176,1.52,2.67
177,1.59,2.665
178,1.5,2.725
179,1.645,2.77
180,1.61,2.71
181,1.38,2.63
182,1.39,2.54
183,1.31,2.585
184,1.46,2.76
185,1.275,2.575
186,1.51,2.585
187,1.4,2.575
188,1.87,2.845
189,1.245,2.47
190,1.615,2.64
191,1.565,2.69
192,1.505,2.63
193,1.625,2.675
194,1.515,2.615
195,1.42,2.695
196,1.55,2.675
197,1.47,2.595
198,1.55,2.8
199,1.72,2.595
200,1.395,2.62
201,1.5,2.75
202,1.605,2.705
203,1.71,2.71
204,1.525,2.7
205,1.515,2.765
206,1.605,2.705
207,1.41,2.56
208,1.325,2.525
209,1.49,2.665
210,1.67,2.82
211,1.575,2.7
212,1.635,2.76
213,1.61,2.685
214,1.515,2.64
215,1.515,2.74
216,1.5,2.65
217,1.305,2.78
218,1.55,2.75
219,1.475,2.675
220,1.68,2.655
221,1.465,2.715
222,1.57,2.595
223,1.825,2.8
224,1.635,2.61
225,1.64,2.74
226,1.465,2.69
227,1.775,2.775
228,1.92,2.895
229,1.675,2.675
230,1.68,2.78
231,1.515,2.64
232,1.745,2.745
233,1.61,2.66
234,1.52,2.72
235,1.56,2.66
236,1.535,2.76
237,1.56,2.785
238,1.335,2.51
239,1.48,2.68
240,1.585,2.785
241,1.505,2.655
242,1.57,2.72
243,1.515,2.715
244,1.59,2.64
245,1.805,2.78
246,1.455,2.73
247,1.695,2.82
248,1.405,2.705
249,1.44,2.665
250,1.63,2.705
251,1.64,2.865
252,1.65,2.675
253,1.53,2.68
254,1.695,2.795
255,1.44,2.715
256,1.565,2.615
257,1.705,2.68
258,1.605,2.63
259,1.595,2.645
260,1.55,2.7
261,1.72,2.695
262,1.59,2.715
263,1.745,2.72
264,1.695,2.745
265,1.73,2.83
266,1.485,2.66
267,1.48,2.605
268,1.81,2.81
269,1.82,2.895
