,NeuralAgentOpMe_Student19_200aAgent_rng,Student19_200aAgent
0,2.09,2.09
1,1.895,1.92
2,1.865,1.865
3,1.74,1.74
4,1.745,1.77
5,1.64,1.64
6,1.725,1.725
7,1.66,1.685
8,1.69,1.69
9,1.66,1.66
10,1.855,1.855
11,1.78,1.805
12,1.7,1.7
13,1.775,1.775
14,1.84,1.865
15,1.84,1.84
16,1.62,1.62
17,1.745,1.745
18,1.85,1.85
19,1.62,1.62
20,1.595,1.595
21,1.505,1.505
22,1.46,1.46
23,1.53,1.555
24,1.51,1.51
25,1.59,1.59
26,1.44,1.44
27,1.575,1.575
28,1.53,1.53
29,1.57,1.57
30,1.49,1.49
31,1.47,1.47
32,1.385,1.385
33,1.635,1.635
34,1.585,1.585
35,1.545,1.545
36,1.64,1.64
37,1.575,1.575
38,1.545,1.545
39,1.58,1.605
40,1.645,1.645
41,1.75,1.75
42,1.84,1.865
43,2.09,2.115
44,2.17,2.17
45,2.3,2.3
46,2.395,2.395
47,2.41,2.41
48,2.425,2.45
49,2.455,2.455
50,2.435,2.46
51,2.47,2.495
52,2.515,2.515
53,2.515,2.515
54,2.505,2.505
55,2.455,2.48
56,2.515,2.515
57,2.455,2.455
58,2.39,2.415
59,2.305,2.33
60,2.39,2.39
61,1.815,1.84
62,2.125,2.125
63,1.9,1.9
64,1.145,1.145
65,1.095,1.095
66,1.575,1.575
67,1.095,1.095
68,1.025,1.025
69,1.095,1.095
70,2.43,2.43
71,2.065,2.065
72,2.355,2.38
73,1.215,1.215
74,1.585,1.585
75,1.24,1.24
76,1.07,1.07
77,1.07,1.07
78,1.175,1.175
79,1.0,1.0
80,1.015,1.015
81,1.045,1.045
82,1.04,1.04
83,1.025,1.025
84,1.03,1.03
85,1.03,1.03
86,1.0,1.0
87,1.025,1.025
88,1.0,1.0
89,1.0,1.0
90,1.055,1.055
91,1.015,1.015
92,1.015,1.015
93,1.03,1.03
94,1.0,1.0
95,1.0,1.0
96,1.06,1.06
97,1.03,1.03
98,1.015,1.015
99,1.0,1.0
100,1.03,1.03
101,1.03,1.03
102,1.04,1.04
103,1.0,1.0
104,1.015,1.015
105,1.015,1.015
106,1.03,1.03
107,1.0,1.0
108,1.03,1.03
109,1.015,1.015
110,1.015,1.015
111,1.015,1.015
112,1.0,1.0
113,1.0,1.0
114,1.015,1.015
115,1.03,1.03
116,1.03,1.03
117,1.015,1.015
118,1.015,1.015
119,1.03,1.03
120,1.025,1.025
121,1.04,1.04
122,1.015,1.015
123,1.015,1.015
124,1.055,1.055
125,1.015,1.015
126,1.015,1.015
127,1.03,1.03
128,1.03,1.03
129,1.015,1.015
130,1.0,1.0
131,1.03,1.03
132,1.015,1.015
133,1.03,1.03
134,1.03,1.03
135,1.03,1.03
136,1.0,1.0
137,1.03,1.03
138,1.025,1.025
139,1.015,1.015
140,1.015,1.015
141,1.04,1.04
142,1.03,1.03
143,1.04,1.04
144,1.0,1.0
145,1.025,1.025
146,1.03,1.03
147,1.015,1.015
148,1.0,1.0
149,1.0,1.0
150,1.055,1.055
151,1.04,1.04
152,1.035,1.035
153,1.04,1.04
154,1.03,1.03
155,1.035,1.035
156,1.03,1.03
157,1.025,1.025
158,1.055,1.055
159,1.055,1.055
160,1.015,1.015
161,1.04,1.04
162,1.035,1.035
163,1.03,1.03
164,1.065,1.065
165,1.025,1.025
166,1.03,1.03
167,1.03,1.03
168,1.025,1.025
169,1.04,1.04
170,1.015,1.015
171,1.03,1.03
172,1.035,1.035
173,1.03,1.03
174,1.03,1.03
175,1.025,1.025
176,1.03,1.03
177,1.045,1.045
178,1.03,1.03
179,1.015,1.015
180,1.04,1.04
181,1.04,1.04
182,1.035,1.035
183,1.04,1.04
184,1.025,1.025
185,1.0,1.0
186,1.015,1.015
187,1.03,1.03
188,1.0,1.0
189,1.015,1.015
190,1.015,1.015
191,1.035,1.035
192,1.04,1.04
193,1.015,1.015
194,1.055,1.055
195,1.03,1.03
196,1.04,1.04
197,1.03,1.03
198,1.015,1.015
199,1.055,1.055
200,1.03,1.03
201,1.03,1.03
202,1.015,1.015
203,1.03,1.03
204,1.0,1.0
205,1.055,1.055
206,1.03,1.03
207,1.045,1.045
208,1.045,1.045
209,1.055,1.055
210,1.015,1.015
211,1.015,1.015
212,1.04,1.04
213,1.03,1.03
214,1.035,1.035
215,1.055,1.055
216,1.015,1.015
217,1.03,1.03
218,1.04,1.04
219,1.0,1.0
