,NeuralAgent_Student3_200aAgent_rng,Student3_200aAgent
0,0.83,0.755
1,0.875,0.725
2,0.85,0.7
3,0.91,0.76
4,0.825,0.675
5,0.905,0.755
6,0.87,0.72
7,0.895,0.745
8,0.875,0.725
9,0.81,0.66
10,0.82,0.67
11,0.85,0.7
12,0.885,0.735
13,0.82,0.67
14,0.835,0.685
15,0.885,0.735
16,0.845,0.695
17,0.855,0.705
18,0.885,0.735
19,0.88,0.73
20,0.89,0.74
21,0.85,0.7
22,0.855,0.705
23,0.815,0.665
24,0.915,0.765
25,0.885,0.735
26,0.84,0.69
27,0.86,0.71
28,0.855,0.705
29,0.88,0.73
30,0.885,0.735
31,0.87,0.72
32,0.85,0.7
33,0.84,0.69
34,0.87,0.72
35,0.825,0.675
36,0.865,0.715
37,0.865,0.715
38,0.905,0.755
39,0.9,0.75
40,0.85,0.7
41,0.875,0.725
42,0.865,0.715
43,0.835,0.685
44,0.855,0.705
45,0.865,0.715
46,0.92,0.77
47,0.865,0.715
48,0.835,0.685
49,0.87,0.72
50,0.915,0.765
51,0.83,0.68
52,0.81,0.66
53,0.865,0.715
54,0.88,0.73
55,0.92,0.77
56,0.88,0.73
57,0.87,0.72
58,0.86,0.71
59,0.89,0.74
60,0.895,0.745
61,0.855,0.705
62,0.815,0.665
63,0.9,0.75
64,0.865,0.715
65,0.86,0.71
66,0.865,0.715
67,0.845,0.695
68,0.91,0.76
69,0.83,0.68
70,0.845,0.695
71,0.875,0.725
72,0.81,0.66
73,0.85,0.7
74,0.88,0.73
75,0.875,0.725
76,0.915,0.765
77,0.865,0.715
78,0.875,0.725
79,0.87,0.72
80,0.895,0.745
81,0.86,0.71
82,0.87,0.72
83,0.825,0.675
84,0.83,0.68
85,0.955,0.805
86,0.855,0.705
87,0.86,0.71
88,0.905,0.755
89,0.84,0.69
90,0.885,0.735
91,0.845,0.695
92,0.875,0.725
93,0.87,0.72
94,0.875,0.725
95,0.93,0.78
96,0.86,0.71
97,0.845,0.695
98,0.81,0.66
