,NeuralAgentOpMe_Student3_200bAgent_rng,Student3_200bAgent
0,1.645,1.645
1,1.93,2.105
2,2.08,2.105
3,2.38,2.255
4,2.005,2.105
5,1.9,2.1
6,2.02,2.17
7,1.845,2.045
8,1.735,2.085
9,1.65,1.85
10,1.525,1.875
11,1.65,1.875
12,1.5,1.775
13,1.49,1.865
14,1.455,1.805
15,1.205,1.78
16,1.545,1.795
17,1.25,1.7
18,1.375,1.725
19,1.275,1.75
20,1.465,1.665
21,1.465,1.79
22,1.44,1.715
23,1.275,1.775
24,1.325,1.725
25,1.33,1.805
26,1.46,1.81
27,1.515,1.865
28,1.505,1.855
29,1.47,1.92
30,1.37,1.77
31,1.64,1.94
32,1.77,2.02
33,1.64,1.94
34,1.88,2.205
35,1.79,2.19
36,1.72,1.995
37,2.085,2.16
38,1.89,2.165
39,2.26,2.235
40,2.345,2.195
41,2.3,2.25
42,2.455,2.23
43,2.485,2.285
44,2.535,2.235
45,2.465,2.34
46,2.63,2.305
47,2.59,2.34
48,2.63,2.43
49,2.75,2.45
50,2.71,2.485
51,2.665,2.54
52,2.815,2.415
53,2.7,2.475
54,2.67,2.495
55,2.81,2.535
56,2.91,2.51
57,2.78,2.555
58,3.015,2.465
59,2.71,2.51
60,3.0,2.525
61,2.81,2.56
62,3.105,2.605
63,2.915,2.565
64,3.08,2.58
65,3.08,2.705
66,3.115,2.665
67,3.18,2.63
68,3.105,2.755
69,3.07,2.77
70,3.105,2.78
71,3.125,2.725
72,3.1,2.8
73,3.1,2.825
74,3.045,2.895
75,3.035,2.935
76,3.01,2.96
77,3.055,2.905
78,3.015,2.965
79,3.02,2.97
80,2.995,2.995
81,3.01,2.985
82,2.99,2.99
83,3.01,2.985
84,2.985,3.01
85,2.985,3.01
86,2.96,2.985
87,2.985,2.985
88,2.965,2.99
89,3.0,3.0
90,2.98,2.98
91,2.92,2.97
92,2.995,2.995
93,3.02,2.945
94,2.92,2.92
95,2.92,2.92
96,2.89,2.94
97,2.875,2.95
98,2.92,2.92
99,2.98,3.005
100,2.89,2.94
101,2.905,2.93
102,2.965,3.015
103,2.905,2.93
104,2.875,2.95
105,2.89,2.94
106,2.905,2.93
107,2.965,2.99
108,2.905,2.93
109,2.89,2.94
110,2.92,2.92
111,2.92,2.92
112,2.895,2.92
113,2.905,2.93
114,2.88,2.93
115,2.88,2.93
116,2.91,2.91
117,2.91,2.91
118,2.91,2.91
119,2.895,2.92
120,2.895,2.92
121,2.88,2.93
122,2.895,2.92
123,2.91,2.91
124,2.895,2.92
125,2.91,2.91
126,2.91,2.91
127,2.895,2.92
128,2.91,2.91
129,2.88,2.93
130,2.895,2.92
131,2.895,2.92
132,2.905,2.905
133,2.895,2.92
134,2.92,2.895
135,2.91,2.91
136,2.895,2.92
137,2.97,2.995
138,2.895,2.92
139,2.865,2.94
140,2.88,2.93
141,2.91,2.91
142,2.895,2.92
143,2.88,2.93
144,2.895,2.92
145,2.89,2.915
146,2.88,2.93
147,2.88,2.93
148,2.895,2.92
149,2.865,2.94
150,2.89,2.915
151,2.865,2.94
152,2.895,2.92
153,2.895,2.92
154,2.91,2.91
155,2.895,2.92
156,2.88,2.93
157,2.88,2.93
158,2.92,2.895
159,2.91,2.91
160,2.88,2.93
161,2.91,2.91
162,2.91,2.91
163,2.91,2.91
164,2.895,2.92
165,2.91,2.91
166,2.895,2.92
167,2.88,2.93
168,2.905,2.905
169,2.895,2.92
170,2.91,2.91
171,2.88,2.93
172,2.91,2.91
173,2.91,2.91
174,2.91,2.91
175,2.91,2.91
176,2.895,2.92
177,2.895,2.92
178,2.865,2.94
179,2.865,2.94
180,2.895,2.92
181,2.91,2.91
182,2.91,2.91
183,2.91,2.91
184,2.895,2.92
185,2.895,2.92
186,2.865,2.94
187,2.91,2.91
188,2.91,2.91
189,2.865,2.94
190,2.865,2.94
191,2.91,2.91
192,2.895,2.92
193,2.88,2.93
194,2.91,2.91
195,2.865,2.94
196,2.91,2.91
197,2.92,2.895
198,2.895,2.92
199,2.91,2.91
200,2.91,2.91
201,2.895,2.92
202,2.895,2.92
203,2.92,2.895
204,2.895,2.92
205,2.91,2.91
206,2.905,2.905
207,2.895,2.92
208,2.91,2.91
209,2.905,2.905
210,2.91,2.91
211,2.91,2.91
212,2.92,2.895
213,2.91,2.91
214,2.92,2.895
215,2.895,2.92
216,2.895,2.92
217,2.895,2.92
218,2.91,2.91
219,2.895,2.92
220,2.895,2.92
221,2.91,2.91
222,2.91,2.91
223,2.895,2.92
224,2.895,2.92
225,2.895,2.92
226,2.88,2.93
227,2.89,2.915
228,2.895,2.92
229,2.895,2.92
230,2.92,2.895
231,2.905,2.905
232,2.91,2.91
233,2.895,2.92
234,2.895,2.92
235,2.88,2.93
236,2.905,2.905
237,2.865,2.94
238,2.91,2.91
239,2.92,2.895
240,2.875,2.925
241,2.91,2.91
242,2.895,2.92
243,2.91,2.91
244,2.85,2.95
245,2.91,2.91
246,2.91,2.91
247,2.92,2.895
248,2.91,2.91
249,2.91,2.91
250,2.88,2.93
251,2.895,2.92
252,2.88,2.93
253,2.88,2.93
254,2.865,2.94
255,2.905,2.905
256,2.895,2.92
257,2.895,2.92
258,2.91,2.91
259,2.905,2.905
260,2.91,2.91
261,2.865,2.94
262,2.88,2.93
263,2.905,2.905
264,2.895,2.92
265,2.905,2.905
266,2.91,2.91
267,2.92,2.895
268,2.875,2.925
269,2.92,2.895
270,2.86,2.935
271,2.91,2.91
272,2.88,2.93
273,2.88,2.93
274,2.895,2.92
275,2.905,2.905
276,2.895,2.92
277,2.88,2.93
278,2.895,2.92
279,2.905,2.905
280,2.895,2.92
281,2.895,2.92
282,2.88,2.93
283,2.875,2.925
284,2.91,2.91
285,2.865,2.94
286,2.89,2.915
287,2.895,2.92
288,2.91,2.91
289,2.91,2.91
290,2.895,2.92
291,2.895,2.92
292,2.89,2.915
293,2.85,2.95
294,2.91,2.91
295,2.91,2.91
296,2.895,2.92
297,2.89,2.915
298,2.875,2.925
299,2.88,2.93
300,2.92,2.895
301,2.905,2.905
302,2.91,2.91
303,2.895,2.92
304,2.88,2.93
305,2.88,2.93
306,2.91,2.91
307,2.905,2.905
308,2.88,2.93
309,2.895,2.92
310,2.91,2.91
311,2.92,2.895
312,2.895,2.92
313,2.91,2.91
314,2.905,2.905
315,2.865,2.94
316,2.865,2.94
317,2.91,2.91
318,2.905,2.905
319,2.875,2.925
320,2.905,2.905
321,2.895,2.92
322,2.89,2.915
323,2.91,2.91
324,2.88,2.93
325,2.89,2.915
326,2.875,2.925
327,2.895,2.92
328,2.88,2.93
329,2.88,2.93
330,2.91,2.91
331,2.895,2.92
332,2.895,2.92
333,2.91,2.91
334,2.895,2.92
335,2.905,2.905
336,2.91,2.91
337,2.895,2.92
338,2.92,2.895
339,2.91,2.91
340,2.89,2.915
341,2.895,2.92
342,2.905,2.905
343,2.92,2.895
344,2.91,2.91
345,2.895,2.92
346,2.91,2.91
347,2.91,2.91
348,2.92,2.895
349,2.895,2.92
350,2.865,2.94
351,2.865,2.94
352,2.86,2.935
353,2.91,2.91
354,2.895,2.92
355,2.91,2.91
356,2.91,2.91
357,2.91,2.91
358,2.91,2.91
359,2.895,2.92
360,2.91,2.91
361,2.92,2.895
362,2.89,2.915
363,2.895,2.92
364,2.89,2.915
365,2.905,2.905
366,2.89,2.915
367,2.88,2.93
368,2.905,2.905
369,2.895,2.92
370,2.91,2.91
371,2.89,2.915
372,2.905,2.905
373,2.91,2.91
374,2.91,2.91
375,2.91,2.91
376,2.895,2.92
377,2.89,2.915
378,2.91,2.91
379,2.905,2.905
380,2.905,2.905
381,2.875,2.925
382,2.865,2.94
383,2.91,2.91
384,2.905,2.905
385,2.905,2.905
386,2.895,2.92
387,2.895,2.92
388,2.89,2.915
389,2.905,2.905
390,2.92,2.895
391,2.88,2.93
392,2.91,2.91
393,2.895,2.92
394,2.92,2.895
395,2.89,2.915
396,2.91,2.91
397,2.91,2.91
398,2.91,2.91
399,2.895,2.92
400,2.91,2.91
401,2.895,2.92
402,2.85,2.95
403,2.895,2.92
404,2.91,2.91
405,2.91,2.91
406,2.92,2.895
407,2.92,2.895
408,2.905,2.905
409,2.89,2.915
410,2.865,2.94
411,2.92,2.895
412,2.905,2.905
413,2.895,2.92
414,2.88,2.93
415,2.91,2.91
416,2.895,2.92
417,2.88,2.93
418,2.91,2.91
419,2.895,2.92
420,2.91,2.91
421,2.92,2.895
422,2.92,2.895
423,2.895,2.92
424,2.88,2.93
425,2.89,2.915
426,2.895,2.92
427,2.895,2.92
428,2.89,2.915
429,2.895,2.92
430,2.875,2.925
431,2.89,2.915
432,2.89,2.915
433,2.88,2.93
434,2.88,2.93
435,2.88,2.93
436,2.92,2.895
437,2.895,2.92
438,2.88,2.93
439,2.92,2.895
440,2.895,2.92
441,2.92,2.895
442,2.905,2.905
443,2.895,2.92
444,2.905,2.905
445,2.91,2.91
446,2.92,2.895
447,2.895,2.92
448,2.875,2.925
449,2.895,2.92
450,2.895,2.92
451,2.895,2.92
452,2.895,2.92
453,2.895,2.92
454,2.92,2.895
455,2.895,2.92
456,2.88,2.93
457,2.905,2.905
458,2.905,2.905
459,2.865,2.94
460,2.85,2.95
461,2.895,2.92
462,2.89,2.915
463,2.905,2.905
464,2.91,2.91
465,2.905,2.905
466,2.91,2.91
467,2.89,2.915
468,2.88,2.93
469,2.92,2.895
470,2.88,2.93
471,2.92,2.895
472,2.88,2.93
473,2.895,2.92
474,2.91,2.91
475,2.905,2.905
476,2.905,2.905
477,2.895,2.92
478,2.895,2.92
479,2.865,2.94
480,2.92,2.895
481,2.91,2.91
482,2.895,2.92
483,2.905,2.905
484,2.92,2.895
485,2.89,2.915
486,2.92,2.895
487,2.88,2.93
488,2.91,2.91
489,2.865,2.94
490,2.91,2.91
491,2.92,2.895
492,2.895,2.92
493,2.89,2.915
494,2.92,2.895
495,2.88,2.93
496,2.905,2.905
497,2.895,2.92
498,2.88,2.93
499,2.865,2.94
500,2.895,2.92
501,2.895,2.92
502,2.91,2.91
503,2.89,2.915
504,2.92,2.895
505,2.905,2.905
506,2.92,2.895
507,2.91,2.91
508,2.91,2.91
509,2.905,2.905
510,2.895,2.92
511,2.92,2.895
512,2.895,2.92
513,2.91,2.91
514,2.92,2.895
515,2.91,2.91
516,2.91,2.91
517,2.92,2.895
518,2.91,2.91
519,2.895,2.92
520,2.865,2.94
521,2.91,2.91
522,2.88,2.93
523,2.88,2.93
524,2.91,2.91
525,2.895,2.92
526,2.895,2.92
527,2.92,2.895
528,2.88,2.93
529,2.895,2.92
530,2.905,2.905
531,2.895,2.92
532,2.92,2.895
533,2.895,2.92
534,2.905,2.905
535,2.89,2.915
536,2.88,2.93
537,2.895,2.92
538,2.91,2.91
539,2.895,2.92
540,2.92,2.895
541,2.895,2.92
542,2.89,2.915
543,2.905,2.905
544,2.91,2.91
545,2.895,2.92
546,2.905,2.905
547,2.91,2.91
548,2.895,2.92
549,2.905,2.905
550,2.92,2.895
551,2.905,2.905
552,2.895,2.92
553,2.91,2.91
554,2.92,2.895
555,2.91,2.91
556,2.89,2.915
557,2.88,2.93
558,2.905,2.905
559,2.88,2.93
560,2.88,2.93
561,2.88,2.93
562,2.91,2.91
563,2.895,2.92
564,2.92,2.895
565,2.905,2.905
566,2.895,2.92
567,2.92,2.895
568,2.895,2.92
569,2.895,2.92
570,2.895,2.92
571,2.89,2.915
572,2.895,2.92
573,2.91,2.91
574,2.895,2.92
575,2.88,2.93
576,2.88,2.93
577,2.895,2.92
578,2.905,2.905
579,2.895,2.92
580,2.895,2.92
581,2.865,2.94
582,2.92,2.895
583,2.89,2.915
584,2.91,2.91
585,2.905,2.905
586,2.89,2.915
587,2.91,2.91
588,2.88,2.93
589,2.91,2.91
590,2.895,2.92
591,2.92,2.895
592,2.88,2.93
593,2.905,2.905
594,2.91,2.91
595,2.895,2.92
596,2.91,2.91
597,2.92,2.895
598,2.89,2.915
599,2.89,2.915
600,2.895,2.92
601,2.91,2.91
602,2.895,2.92
603,2.875,2.925
604,2.91,2.91
605,2.88,2.93
606,2.88,2.93
607,2.895,2.92
608,2.92,2.895
609,2.91,2.91
610,2.89,2.915
611,2.895,2.92
612,2.905,2.905
613,2.905,2.905
614,2.895,2.92
615,2.91,2.91
616,2.92,2.895
617,2.85,2.95
618,2.88,2.93
619,2.91,2.91
620,2.865,2.94
621,2.895,2.92
622,2.92,2.895
623,2.905,2.905
624,2.92,2.895
625,2.91,2.91
626,2.895,2.92
627,2.875,2.925
628,2.91,2.91
629,2.88,2.93
630,2.905,2.905
631,2.91,2.91
632,2.905,2.905
633,2.905,2.905
634,2.92,2.895
635,2.92,2.895
636,2.91,2.91
637,2.905,2.905
638,2.895,2.92
639,2.905,2.905
640,2.92,2.895
641,2.91,2.91
642,2.92,2.895
643,2.895,2.92
644,2.895,2.92
645,2.89,2.915
646,2.905,2.905
647,2.905,2.905
648,2.895,2.92
649,2.92,2.895
650,2.895,2.92
651,2.865,2.94
652,2.91,2.91
653,2.88,2.93
654,2.91,2.91
655,2.875,2.925
656,2.895,2.92
657,2.91,2.91
658,2.92,2.895
659,2.88,2.93
660,2.895,2.92
661,2.905,2.905
662,2.905,2.905
663,2.92,2.895
664,2.91,2.91
665,2.88,2.93
666,2.92,2.895
667,2.88,2.93
668,2.895,2.92
669,2.88,2.93
670,2.88,2.93
671,2.905,2.905
672,2.905,2.905
673,2.895,2.92
674,2.91,2.91
675,2.905,2.905
676,2.89,2.915
677,2.91,2.91
678,2.89,2.915
679,2.875,2.925
680,2.905,2.905
681,2.91,2.91
682,2.905,2.905
683,2.91,2.91
684,2.895,2.92
685,2.85,2.95
686,2.895,2.92
687,2.905,2.905
688,2.89,2.915
689,2.905,2.905
690,2.91,2.91
691,2.895,2.92
692,2.92,2.895
693,2.905,2.905
694,2.91,2.91
695,2.895,2.92
696,2.92,2.895
697,2.895,2.92
698,2.91,2.91
699,2.895,2.92
700,2.91,2.91
701,2.895,2.92
702,2.88,2.93
703,2.89,2.915
704,2.91,2.91
705,2.895,2.92
706,2.91,2.91
707,2.905,2.905
708,2.905,2.905
709,2.88,2.93
710,2.905,2.905
711,2.895,2.92
712,2.91,2.91
713,2.91,2.91
714,2.91,2.91
715,2.895,2.92
716,2.88,2.93
717,2.905,2.905
718,2.88,2.93
719,2.91,2.91
720,2.905,2.905
721,2.91,2.91
722,2.895,2.92
723,2.905,2.905
724,2.905,2.905
725,2.91,2.91
726,2.91,2.91
727,2.865,2.94
728,2.865,2.94
729,2.905,2.905
730,2.88,2.93
731,2.88,2.93
732,2.905,2.905
733,2.895,2.92
734,2.905,2.905
735,2.865,2.94
736,2.91,2.91
737,2.92,2.895
738,2.905,2.905
739,2.895,2.92
740,2.895,2.92
741,2.92,2.895
742,2.895,2.92
743,2.895,2.92
744,2.92,2.895
745,2.895,2.92
746,2.92,2.895
747,2.92,2.895
748,2.89,2.915
749,2.89,2.915
750,2.92,2.895
751,2.91,2.91
752,2.895,2.92
753,2.865,2.94
754,2.91,2.91
755,2.91,2.91
756,2.905,2.905
757,2.88,2.93
758,2.905,2.905
759,2.91,2.91
760,2.88,2.93
761,2.905,2.905
762,2.92,2.895
763,2.89,2.915
764,2.905,2.905
765,2.895,2.92
766,2.875,2.925
767,2.92,2.895
768,2.895,2.92
769,2.88,2.93
770,2.895,2.92
771,2.92,2.895
772,2.92,2.895
773,2.895,2.92
774,2.91,2.91
775,2.895,2.92
776,2.92,2.895
777,2.88,2.93
778,2.895,2.92
779,2.895,2.92
780,2.905,2.905
781,2.905,2.905
782,2.88,2.93
783,2.92,2.895
784,2.905,2.905
785,2.865,2.94
786,2.92,2.895
787,2.905,2.905
788,2.91,2.91
789,2.92,2.895
790,2.89,2.915
791,2.91,2.91
792,2.91,2.91
793,2.92,2.895
794,2.91,2.91
795,2.91,2.91
796,2.88,2.93
797,2.92,2.895
798,2.895,2.92
799,2.92,2.895
800,2.91,2.91
801,2.895,2.92
802,2.88,2.93
803,2.91,2.91
804,2.91,2.91
805,2.895,2.92
806,2.91,2.91
807,2.895,2.92
808,2.905,2.905
809,2.875,2.925
810,2.89,2.915
