,NeuralAgent_Student1_200mAgent,Student1_200mAgent
0,1.165,1.19
1,3.84,1.665
2,2.845,2.02
3,2.865,2.015
4,1.435,2.56
5,3.88,1.68
6,3.625,1.9
7,0.59,2.79
8,3.46,1.86
9,2.255,2.305
10,3.28,1.855
11,3.785,1.61
12,3.01,1.91
13,3.08,1.98
14,3.69,1.74
15,0.72,2.695
16,2.48,2.18
17,3.58,1.705
18,3.87,1.695
19,2.06,2.31
20,3.845,1.545
21,0.61,2.785
22,1.575,2.55
23,1.815,2.24
24,1.175,2.75
25,1.27,2.57
26,2.875,2.05
27,3.9,1.65
28,3.875,1.675
29,3.88,1.58
30,3.15,1.9
31,3.92,1.62
32,2.005,2.355
33,3.7,1.7
34,3.015,2.065
35,2.855,2.105
36,3.89,1.665
37,1.485,2.66
38,1.365,2.64
39,3.795,1.795
40,3.775,1.65
41,1.33,2.63
42,0.59,2.94
43,3.015,2.065
44,1.795,2.495
45,3.975,1.525
46,1.14,2.715
47,3.67,1.745
48,3.845,1.645
49,2.83,1.83
50,3.92,1.62
51,0.765,2.865
52,3.925,1.6
53,3.87,1.695
54,3.88,1.68
55,3.49,1.79
56,4.0,1.5
57,3.58,1.78
58,3.645,1.77
59,3.95,1.575
60,3.94,1.59
61,2.68,2.03
62,3.59,1.79
63,3.575,1.825
64,3.945,1.57
65,3.9,1.65
66,3.68,1.73
67,3.96,1.56
68,3.96,1.56
69,3.855,1.705
70,3.86,1.71
71,3.905,1.63
72,3.89,1.665
73,3.79,1.765
74,3.9,1.625
75,3.86,1.71
76,3.9,1.65
77,3.89,1.665
78,3.815,1.665
79,3.76,1.735
80,3.41,1.81
81,3.89,1.665
82,3.88,1.68
83,3.86,1.71
84,1.15,2.65
85,3.91,1.635
86,3.86,1.71
87,3.77,1.845
88,3.55,1.95
89,3.81,1.785
90,3.565,1.865
91,1.785,2.435
92,3.525,1.85
93,3.765,1.79
94,3.82,1.77
95,3.65,1.725
96,3.01,2.01
97,3.755,1.83
98,3.81,1.785
99,3.845,1.72
100,3.77,1.845
101,3.935,1.56
102,3.34,1.865
103,3.505,2.08
104,3.86,1.71
105,3.615,1.765
106,3.68,1.98
107,3.81,1.785
108,3.885,1.66
109,3.735,1.835
110,3.9,1.65
111,3.79,1.815
112,3.73,1.905
113,3.92,1.62
114,3.73,1.905
115,3.73,1.905
116,3.88,1.68
117,3.78,1.83
118,3.81,1.785
119,3.75,1.875
120,3.71,1.935
121,3.56,1.91
122,3.61,2.085
123,3.79,1.815
124,2.51,2.31
