,NeuralAgentOpMe_Student26_200mAgent_rng,Student26_200mAgent
0,2.685,2.685
1,2.56,2.56
2,2.695,2.62
3,2.595,2.595
4,2.69,2.69
5,2.665,2.615
6,2.58,2.58
7,2.555,2.555
8,2.565,2.565
9,2.635,2.635
10,2.705,2.655
11,2.665,2.64
12,2.66,2.66
13,2.66,2.635
14,2.69,2.665
15,2.605,2.605
16,2.59,2.565
17,2.635,2.635
18,2.54,2.515
19,2.63,2.63
20,2.73,2.63
21,2.58,2.58
22,2.6,2.575
23,2.68,2.655
24,2.675,2.675
25,2.66,2.66
26,2.54,2.54
27,2.585,2.585
28,2.625,2.625
29,2.675,2.675
30,2.645,2.62
31,2.575,2.5
32,2.655,2.63
33,2.625,2.575
34,2.67,2.62
35,2.615,2.615
36,2.605,2.58
37,2.67,2.67
38,2.555,2.555
39,2.605,2.605
40,2.585,2.56
41,2.58,2.58
42,2.67,2.645
43,2.645,2.62
44,2.625,2.6
45,2.66,2.66
46,2.545,2.545
47,2.64,2.615
48,2.585,2.585
49,2.61,2.61
50,2.71,2.71
51,2.625,2.55
52,2.615,2.615
53,2.59,2.59
54,2.535,2.535
55,2.68,2.68
56,2.71,2.71
57,2.595,2.57
58,2.585,2.585
59,2.62,2.595
60,2.57,2.57
61,2.555,2.53
62,2.59,2.565
63,2.615,2.615
64,2.585,2.585
65,2.69,2.69
66,2.63,2.605
67,2.625,2.6
68,2.665,2.64
69,2.7,2.675
70,2.615,2.59
71,2.71,2.71
72,2.595,2.595
73,2.49,2.465
74,2.575,2.575
75,2.655,2.655
76,2.65,2.65
77,2.53,2.505
78,2.555,2.53
79,2.685,2.66
80,2.71,2.66
81,2.675,2.625
82,2.665,2.665
83,2.705,2.68
84,2.645,2.62
85,2.635,2.635
86,2.675,2.675
87,2.64,2.64
88,2.68,2.68
89,2.635,2.635
90,2.65,2.625
91,2.665,2.64
92,2.68,2.68
93,2.635,2.61
94,2.65,2.625
95,2.675,2.625
96,2.7,2.65
97,2.61,2.56
98,2.71,2.66
99,2.735,2.685
100,2.73,2.68
101,2.67,2.62
102,2.525,2.525
103,2.61,2.61
104,2.535,2.51
105,2.715,2.64
106,2.6,2.6
107,2.71,2.71
108,2.645,2.645
109,2.685,2.685
110,2.585,2.56
111,2.68,2.68
112,2.6,2.55
113,2.575,2.575
114,2.68,2.655
115,2.575,2.55
116,2.665,2.64
117,2.65,2.65
118,2.69,2.64
119,2.59,2.59
120,2.6,2.6
121,2.5,2.5
122,2.675,2.65
123,2.695,2.67
124,2.675,2.65
125,2.625,2.575
126,2.585,2.56
127,2.705,2.68
128,2.615,2.59
129,2.575,2.55
130,2.69,2.64
131,2.565,2.565
132,2.625,2.6
133,2.65,2.65
134,2.61,2.56
135,2.61,2.56
136,2.655,2.63
137,2.605,2.58
138,2.67,2.645
139,2.605,2.605
140,2.575,2.575
141,2.61,2.61
142,2.62,2.62
143,2.56,2.535
144,2.65,2.625
145,2.635,2.585
146,2.63,2.63
147,2.665,2.64
148,2.655,2.605
149,2.585,2.585
150,2.605,2.555
151,2.535,2.535
152,2.54,2.515
153,2.57,2.545
154,2.63,2.63
155,2.59,2.565
156,2.585,2.56
157,2.69,2.615
158,2.695,2.67
159,2.615,2.615
160,2.69,2.59
161,2.62,2.62
162,2.6,2.575
163,2.69,2.64
164,2.54,2.515
165,2.6,2.6
166,2.625,2.625
167,2.495,2.47
168,2.545,2.52
169,2.655,2.63
170,2.595,2.595
171,2.685,2.685
172,2.52,2.52
173,2.575,2.575
174,2.605,2.555
175,2.57,2.545
176,2.635,2.635
177,2.615,2.615
178,2.68,2.655
179,2.575,2.575
180,2.68,2.63
181,2.705,2.705
182,2.61,2.585
183,2.705,2.68
184,2.65,2.65
185,2.625,2.625
186,2.56,2.535
187,2.63,2.605
188,2.635,2.61
189,2.58,2.555
190,2.615,2.59
191,2.69,2.69
192,2.72,2.72
193,2.7,2.675
194,2.605,2.605
195,2.655,2.63
196,2.655,2.655
197,2.685,2.635
198,2.6,2.6
199,2.65,2.625
200,2.685,2.66
201,2.57,2.57
202,2.63,2.58
203,2.645,2.62
204,2.6,2.6
205,2.675,2.675
206,2.69,2.665
207,2.705,2.63
208,2.595,2.57
209,2.695,2.695
210,2.555,2.555
211,2.615,2.615
212,2.535,2.535
213,2.625,2.625
214,2.695,2.695
215,2.625,2.6
216,2.57,2.57
217,2.65,2.625
218,2.675,2.65
219,2.64,2.64
220,2.62,2.62
221,2.6,2.6
222,2.65,2.65
223,2.595,2.545
224,2.645,2.62
225,2.75,2.725
226,2.64,2.615
227,2.64,2.64
228,2.615,2.59
229,2.665,2.64
230,2.615,2.615
231,2.675,2.675
232,2.64,2.64
233,2.6,2.6
234,2.675,2.65
235,2.625,2.625
236,2.675,2.65
237,2.635,2.635
238,2.58,2.58
239,2.685,2.685
240,2.66,2.66
241,2.635,2.635
242,2.7,2.675
243,2.69,2.69
244,2.555,2.555
245,2.475,2.475
246,2.655,2.655
247,2.57,2.57
248,2.635,2.635
249,2.61,2.61
250,2.72,2.67
251,2.58,2.555
252,2.655,2.655
253,2.67,2.67
254,2.635,2.61
255,2.66,2.66
256,2.71,2.685
257,2.65,2.65
258,2.585,2.585
259,2.655,2.605
260,2.61,2.61
261,2.68,2.655
262,2.67,2.645
263,2.68,2.655
264,2.61,2.585
265,2.67,2.645
266,2.605,2.605
267,2.685,2.685
268,2.65,2.65
269,2.68,2.655
270,2.595,2.595
271,2.635,2.635
272,2.63,2.63
273,2.615,2.615
274,2.64,2.59
275,2.665,2.665
276,2.665,2.665
277,2.685,2.61
278,2.665,2.615
279,2.65,2.65
280,2.645,2.62
281,2.655,2.63
282,2.575,2.55
283,2.66,2.61
284,2.705,2.705
285,2.52,2.52
286,2.65,2.625
287,2.625,2.6
288,2.65,2.6
289,2.685,2.66
290,2.71,2.71
291,2.665,2.64
292,2.645,2.62
293,2.605,2.58
294,2.645,2.595
295,2.66,2.635
296,2.705,2.705
297,2.655,2.655
298,2.63,2.63
299,2.66,2.61
300,2.61,2.61
301,2.685,2.66
302,2.635,2.635
303,2.655,2.63
304,2.57,2.57
305,2.695,2.695
306,2.69,2.665
307,2.68,2.605
308,2.665,2.64
309,2.695,2.67
310,2.665,2.665
311,2.53,2.53
312,2.725,2.725
313,2.65,2.625
314,2.645,2.62
315,2.695,2.645
316,2.695,2.67
317,2.64,2.64
318,2.66,2.61
319,2.48,2.48
320,2.68,2.68
321,2.675,2.65
322,2.655,2.655
323,2.685,2.635
324,2.57,2.57
325,2.755,2.73
326,2.64,2.64
327,2.57,2.57
328,2.725,2.725
