,NeuralAgent_Student1_200cAgent_rng,Student1_200cAgent
0,2.81,1.735
1,3.455,1.28
2,3.68,1.055
3,3.27,1.245
4,3.72,0.92
5,3.61,1.01
6,4.09,0.815
7,4.055,0.73
8,3.61,1.185
9,3.845,1.195
10,3.59,1.165
11,3.21,1.385
12,3.66,1.31
13,3.615,1.315
14,3.56,1.485
15,3.78,1.33
16,3.275,1.45
17,3.525,1.4
18,3.53,1.28
19,3.815,1.365
20,3.655,1.33
21,3.665,1.315
22,3.665,1.24
23,3.715,1.14
24,3.71,1.135
25,3.735,1.235
26,3.635,1.185
27,3.725,1.075
28,3.215,1.34
29,3.265,1.265
30,3.805,0.955
31,3.58,1.08
32,3.56,0.885
33,3.885,0.81
34,3.98,0.705
35,3.11,1.235
36,3.115,1.24
37,3.81,0.76
38,3.6,0.95
39,3.605,1.105
40,3.755,0.955
41,3.69,1.04
42,3.995,1.02
43,3.58,1.23
44,3.435,1.335
45,3.85,1.125
46,3.795,1.195
47,3.755,1.03
48,3.705,0.955
49,3.81,1.01
50,3.435,1.235
51,3.52,1.12
52,3.61,1.135
53,3.31,1.21
54,3.615,1.09
55,3.63,1.08
56,3.51,1.035
57,3.145,1.22
58,3.42,1.095
59,3.945,0.895
60,3.625,0.8
61,3.945,0.77
62,3.685,0.86
63,3.63,0.83
64,4.05,0.6
65,3.6,0.975
66,3.81,0.735
67,3.875,0.875
68,3.845,0.745
69,3.875,0.775
70,3.565,0.94
71,3.78,0.855
72,3.82,0.695
73,3.165,1.14
74,3.885,0.735
75,3.815,0.765
76,3.725,0.875
77,3.815,0.765
78,3.775,0.85
79,3.74,0.965
80,3.905,0.63
81,3.89,0.54
82,3.77,0.845
83,3.81,0.785
84,3.98,0.53
85,3.97,0.52
86,3.64,0.665
87,3.825,0.75
88,4.015,0.49
89,3.495,0.82
90,3.795,0.57
91,4.17,0.445
92,3.97,0.62
93,3.87,0.495
94,3.545,0.67
95,3.43,0.93
96,4.005,0.605
97,4.18,0.53
98,3.7,0.875
99,3.09,1.44
100,3.405,1.005
101,4.17,0.445
102,3.645,0.895
103,3.735,0.785
104,4.01,0.66
105,4.24,0.39
106,3.675,0.875
107,3.83,0.855
108,3.93,0.655
109,4.23,0.555
110,3.64,0.915
111,3.88,0.905
112,3.38,1.105
113,3.755,1.03
114,3.63,1.005
115,3.86,0.81
116,3.825,0.85
117,3.77,0.77
118,3.645,0.995
119,3.315,1.265
120,3.205,1.105
121,3.49,0.915
122,3.475,0.975
123,3.415,1.065
124,3.83,0.78
125,3.77,0.77
126,3.625,0.825
127,3.415,1.04
128,3.685,0.835
129,4.065,0.565
130,3.775,0.8
131,3.885,0.635
132,3.95,0.725
133,3.785,0.66
134,4.24,0.315
135,3.715,0.765
136,3.96,0.585
137,3.81,0.685
138,3.79,0.59
139,3.46,0.935
140,4.205,0.38
141,3.82,0.645
142,3.375,0.925
143,4.15,0.45
144,3.44,0.715
145,4.24,0.415
146,3.545,0.87
147,4.085,0.485
148,3.95,0.625
149,4.13,0.405
150,3.705,0.63
151,3.38,1.03
152,3.615,0.74
153,4.01,0.51
154,3.89,0.565
155,3.775,0.625
156,3.075,1.0
157,3.715,0.715
158,3.235,0.86
159,3.56,0.86
160,3.525,0.9
161,3.735,0.685
162,3.45,0.925
163,3.865,0.515
164,3.985,0.635
165,3.855,0.505
166,4.155,0.43
167,4.105,0.555
168,4.005,0.53
169,3.35,0.975
170,3.125,1.125
171,4.035,0.535
172,2.845,1.27
173,3.56,0.86
174,3.915,0.49
175,3.89,0.715
176,3.645,0.77
177,3.745,0.72
178,3.71,0.885
179,3.63,0.93
180,4.13,0.53
181,3.515,0.99
182,3.27,1.045
183,3.92,0.695
184,4.09,0.49
185,3.78,0.905
186,2.93,1.28
187,3.555,1.03
188,3.745,0.795
189,3.755,0.78
190,3.865,0.64
191,3.265,1.065
192,4.145,0.47
193,4.195,0.37
194,4.05,0.525
195,3.26,1.01
196,3.725,0.7
197,4.095,0.445
198,3.69,0.815
199,4.12,0.47
200,3.855,0.68
201,4.0,0.525
202,3.925,0.65
203,4.07,0.52
204,3.99,0.59
205,3.65,0.8
206,3.895,0.57
207,4.2,0.45
208,3.175,1.075
209,3.37,0.97
210,3.72,0.695
211,3.68,0.855
212,3.99,0.515
213,3.635,0.81
214,3.7,0.725
215,3.92,0.57
216,3.445,0.92
217,3.32,1.095
218,4.11,0.535
219,3.83,0.68
220,3.95,0.55
221,3.89,0.59
222,3.33,0.905
223,4.025,0.525
224,4.03,0.505
225,3.71,0.685
226,4.08,0.53
227,4.065,0.44
228,4.165,0.415
229,3.505,0.88
230,3.645,0.845
231,3.735,0.76
232,3.785,0.685
233,3.29,1.165
234,3.655,0.78
235,3.605,0.83
236,3.315,1.04
237,3.74,0.84
238,3.465,0.79
