,NeuralAgent_Student1_200cAgent_rng,Student1_200cAgent
239,4.065,0.54
240,3.415,0.99
241,3.38,1.18
242,3.925,0.825
243,3.96,1.085
244,3.65,1.25
245,3.845,1.095
246,3.215,1.515
247,3.865,1.39
248,3.245,1.645
249,3.86,1.31
250,3.59,1.34
251,3.585,1.56
252,3.275,1.8
253,3.08,1.98
254,3.185,1.935
255,3.665,1.74
256,3.4,1.725
257,2.885,2.085
258,3.47,1.77
259,3.245,1.945
260,3.33,1.905
261,3.195,1.97
262,3.175,1.975
263,3.61,1.51
264,3.59,1.79
265,3.33,1.605
266,3.78,1.605
267,3.04,1.915
268,3.38,1.63
269,3.4,1.825
270,3.35,1.85
271,3.235,1.76
272,3.315,1.715
273,3.405,1.63
274,3.425,1.65
275,3.27,1.82
276,3.42,1.82
277,3.485,1.71
278,3.03,1.855
279,3.505,1.68
280,3.365,1.865
281,3.295,1.72
282,3.24,1.815
283,2.715,1.94
284,2.79,2.015
285,3.44,1.79
286,3.64,1.74
287,3.415,1.765
288,3.45,1.725
289,3.545,1.695
290,2.94,2.04
291,3.46,1.685
292,3.475,1.725
293,3.76,1.485
294,3.365,1.59
295,3.26,1.585
296,3.25,1.7
297,3.325,1.575
298,3.775,1.4
299,3.69,1.465
300,3.6,1.5
301,3.61,1.46
302,3.395,1.595
303,3.505,1.555
304,3.59,1.64
305,3.75,1.525
306,3.48,1.455
307,3.355,1.455
308,3.665,1.465
309,3.455,1.53
310,3.46,1.56
311,3.57,1.47
312,3.35,1.6
313,3.105,1.63
314,3.41,1.535
315,3.38,1.73
316,2.94,1.565
317,3.46,1.485
318,3.1,1.65
319,3.475,1.45
320,3.08,1.455
321,2.99,1.84
322,3.585,1.56
323,3.305,1.605
324,3.295,1.57
325,3.28,1.655
326,3.68,1.68
327,3.485,1.635
328,3.425,1.725
329,3.365,1.615
330,3.45,1.575
331,3.51,1.76
332,3.675,1.525
333,3.385,1.785
334,3.555,1.48
335,3.68,1.505
336,3.3,1.675
337,3.505,1.655
338,3.22,1.695
339,3.615,1.34
340,3.595,1.445
341,3.385,1.56
342,3.21,1.635
343,3.41,1.585
344,3.645,1.42
345,3.36,1.285
346,3.52,1.47
347,3.91,1.11
348,3.365,1.49
349,3.7,1.25
350,3.4,1.5
351,3.535,1.26
352,3.55,1.375
353,3.495,1.195
354,3.62,1.37
355,3.365,1.365
356,3.81,1.16
357,3.58,1.43
358,3.795,1.145
359,3.595,1.37
360,3.355,1.38
361,3.79,1.04
362,3.405,1.455
363,3.465,1.39
364,3.645,1.32
365,3.505,1.405
366,3.57,1.42
367,3.32,1.695
368,3.39,1.39
369,3.465,1.565
370,3.425,1.45
371,3.225,1.625
372,3.335,1.435
373,3.365,1.565
374,3.025,1.825
375,3.33,1.63
376,3.495,1.695
377,3.525,1.625
378,3.15,1.625
379,3.765,1.515
380,3.345,1.595
381,3.75,1.4
382,3.24,1.69
383,3.57,1.645
384,3.105,1.83
385,3.24,1.74
386,3.265,1.79
387,3.685,1.61
388,3.35,1.7
389,3.555,1.655
390,3.29,1.965
391,3.48,1.93
392,3.06,2.11
393,3.535,1.835
394,3.465,1.815
395,3.125,1.925
396,3.465,1.79
397,3.6,1.725
398,3.625,1.6
399,3.775,1.45
400,3.57,1.645
401,3.515,1.44
402,3.695,1.47
403,3.295,1.445
404,3.64,1.365
405,3.52,1.445
406,3.635,1.21
407,3.595,1.245
408,3.9,1.25
409,3.975,1.275
410,3.61,1.435
411,3.45,1.325
412,3.63,1.18
413,3.79,0.965
414,3.525,1.2
415,3.295,1.22
416,3.51,1.16
417,3.89,0.965
418,3.84,0.94
419,3.835,0.96
420,3.705,0.83
421,3.255,1.18
422,3.585,1.235
423,3.665,1.115
424,3.625,1.125
425,3.755,1.155
426,3.625,1.175
427,3.645,1.245
428,3.795,1.02
429,3.82,1.02
430,3.9,0.95
431,3.62,1.12
432,3.48,0.955
433,3.56,1.01
434,3.705,0.955
435,3.755,0.905
436,3.76,0.885
437,3.265,0.94
438,3.865,0.69
439,3.93,0.43
440,3.86,0.61
441,3.835,0.585
442,4.45,0.25
443,3.925,0.425
444,4.22,0.32
445,3.685,0.76
446,3.685,0.785
447,3.875,0.6
448,3.69,0.64
449,3.8,0.5
450,4.07,0.57
451,4.035,0.41
452,3.805,0.755
453,3.665,0.74
454,3.835,0.56
455,3.955,0.38
456,3.555,0.53
457,3.78,0.405
458,4.08,0.305
459,3.625,0.475
460,3.695,0.395
461,4.14,0.315
462,4.2,0.225
463,4.05,0.25
464,3.945,0.345
465,3.66,0.56
466,3.695,0.52
467,4.005,0.355
468,4.255,0.255
469,3.51,0.585
470,3.665,0.54
471,4.165,0.34
472,3.84,0.565
473,4.135,0.36
474,3.41,0.96
475,3.9,0.575
476,3.825,0.725
477,4.205,0.455
478,3.86,0.735
479,4.09,0.49
480,3.77,0.72
481,3.46,0.935
482,3.63,0.78
483,3.805,0.655
484,3.385,1.035
485,3.78,0.73
486,3.77,0.795
487,3.705,0.68
488,3.49,1.14
489,3.5,1.0
490,3.785,0.835
491,3.475,1.025
492,3.035,1.71
493,3.695,0.92
494,3.515,1.215
495,3.785,1.01
496,3.625,1.15
497,3.645,0.92
498,3.53,1.255
499,3.56,1.31
500,3.35,1.525
501,4.025,0.75
502,3.33,1.455
503,3.375,1.45
504,4.32,0.37
505,4.11,0.51
506,3.865,0.64
507,4.11,0.66
508,3.95,0.675
509,3.685,0.96
510,3.765,1.09
511,3.56,0.96
512,3.715,0.765
513,3.78,0.855
514,3.77,0.795
515,3.78,0.705
516,3.81,0.735
517,3.95,0.475
518,3.375,1.125
519,3.87,0.695
520,4.04,0.365
521,3.58,0.93
522,3.465,1.09
523,3.9,0.55
524,4.11,0.435
525,3.895,0.545
526,3.525,0.825
527,3.5,0.65
528,3.805,0.555
529,3.915,0.29
530,3.32,1.17
531,3.675,0.775
532,3.59,0.865
533,4.12,0.345
534,3.805,0.505
535,4.115,0.39
536,4.015,0.515
537,3.86,0.485
538,4.18,0.305
539,3.425,0.9
540,3.965,0.415
541,3.77,0.57
542,3.71,0.71
543,3.76,0.56
544,4.055,0.405
545,3.385,0.835
546,3.82,0.32
547,4.09,0.34
548,3.575,0.8
549,4.045,0.47
550,3.5,0.8
551,4.04,0.415
552,3.92,0.37
553,4.45,0.15
554,3.995,0.47
555,3.82,0.52
556,3.765,0.415
557,3.985,0.56
558,3.61,0.51
559,4.385,0.235
560,4.24,0.19
561,3.555,0.855
562,4.135,0.26
563,3.93,0.43
564,3.79,0.59
565,4.11,0.235
566,4.16,0.31
567,4.17,0.22
568,3.655,0.555
569,3.87,0.47
570,3.955,0.53
571,4.22,0.195
572,3.425,1.0
573,4.0,0.325
574,3.92,0.295
575,3.825,0.5
576,3.475,0.65
577,4.13,0.23
578,4.06,0.36
579,3.775,0.5
580,3.81,0.51
581,4.19,0.215
582,3.42,0.82
583,4.14,0.265
584,3.93,0.28
585,3.675,0.725
586,4.055,0.255
587,4.005,0.305
588,4.07,0.245
589,3.36,0.86
590,4.44,0.14
591,3.9,0.45
592,4.225,0.225
593,3.89,0.49
594,3.785,0.56
595,4.035,0.26
596,4.21,0.21
597,4.02,0.37
598,3.725,0.65
599,4.045,0.27
600,4.22,0.22
601,3.445,0.745
602,3.86,0.41
603,3.79,0.315
604,4.15,0.225
605,4.14,0.24
606,3.68,0.38
607,3.795,0.345
608,3.895,0.445
609,4.23,0.23
610,4.12,0.395
611,3.825,0.625
612,3.945,0.495
613,3.93,0.305
614,4.165,0.24
615,4.06,0.36
616,4.05,0.25
617,3.665,0.44
618,4.58,0.13
619,3.805,0.355
620,4.105,0.38
621,4.035,0.26
622,3.88,0.38
623,3.845,0.595
624,3.775,0.55
625,3.91,0.435
626,3.81,0.31
627,4.16,0.21
628,3.97,0.27
629,3.7,0.35
630,3.81,0.31
631,4.115,0.24
632,4.08,0.255
633,4.24,0.19
634,4.08,0.23
635,4.19,0.215
636,4.015,0.265
637,4.02,0.295
638,3.69,0.365
639,4.1,0.25
640,4.19,0.215
641,4.095,0.295
642,3.84,0.34
643,4.12,0.22
644,3.48,0.43
645,3.325,0.65
646,4.08,0.23
647,3.83,0.355
648,3.795,0.32
649,3.97,0.32
650,3.85,0.3
651,4.11,0.26
652,4.19,0.24
653,4.265,0.29
654,3.74,0.44
655,4.15,0.225
656,3.96,0.335
657,3.755,0.355
658,3.99,0.29
659,4.08,0.23
660,4.07,0.295
661,3.9,0.3
662,4.22,0.295
663,3.88,0.38
664,4.085,0.26
665,4.36,0.185
666,4.29,0.19
667,4.18,0.305
668,3.6,0.525
669,4.2,0.25
670,4.115,0.315
671,4.3,0.25
672,3.71,0.41
673,4.225,0.25
674,4.015,0.415
675,3.92,0.345
676,3.895,0.37
677,3.95,0.325
678,4.325,0.225
679,4.09,0.29
680,4.165,0.365
681,3.695,0.47
682,3.68,0.405
683,3.595,0.495
684,3.945,0.47
685,3.735,0.385
686,3.385,0.635
687,4.06,0.285
688,4.06,0.36
689,3.955,0.38
690,4.36,0.21
691,3.96,0.485
692,4.34,0.19
693,3.91,0.435
694,3.92,0.345
695,4.265,0.265
696,4.385,0.26
697,3.325,0.85
698,3.865,0.415
699,4.04,0.44
700,4.045,0.295
701,3.865,0.39
702,3.745,0.52
703,4.03,0.455
704,4.39,0.265
705,4.28,0.28
706,3.96,0.335
707,3.84,0.44
708,3.875,0.35
709,3.615,0.515
710,3.58,0.53
711,4.065,0.34
712,3.675,0.475
713,3.935,0.485
714,4.165,0.315
715,4.3,0.25
716,3.96,0.31
717,3.805,0.38
718,3.895,0.42
719,3.785,0.46
720,3.9,0.45
721,3.585,0.535
722,3.58,0.68
723,3.965,0.34
724,3.95,0.35
725,3.88,0.48
726,4.055,0.455
727,3.46,0.785
728,3.615,0.69
729,4.05,0.425
730,3.465,0.74
731,4.14,0.24
732,3.835,0.51
733,3.74,0.49
734,4.395,0.295
735,3.5,0.6
736,3.65,0.625
737,4.06,0.46
738,4.04,0.49
739,3.74,0.59
740,3.85,0.7
741,4.36,0.335
742,3.405,0.805
743,3.77,0.62
744,3.895,0.595
745,3.855,0.605
746,3.8,0.5
747,3.915,0.54
748,3.75,0.6
749,3.905,0.48
750,3.685,0.735
751,3.845,0.595
752,4.165,0.39
753,3.59,0.665
754,3.455,0.755
755,3.915,0.465
756,3.645,0.52
757,4.15,0.35
758,3.85,0.5
759,4.04,0.39
760,4.21,0.26
761,3.64,0.59
762,4.125,0.375
763,3.935,0.41
764,3.915,0.365
765,3.63,0.405
766,3.82,0.52
767,4.245,0.32
768,3.965,0.415
769,4.115,0.365
770,3.905,0.405
771,3.645,0.495
772,4.155,0.305
773,4.025,0.4
774,4.045,0.395
775,3.91,0.41
776,4.09,0.265
777,3.92,0.445
778,3.92,0.395
779,3.835,0.36
780,4.175,0.3
781,4.04,0.265
782,3.99,0.44
783,3.94,0.315
784,3.755,0.505
785,3.5,0.625
786,4.23,0.205
787,3.445,0.545
788,3.865,0.44
789,4.07,0.345
790,4.08,0.305
791,4.05,0.35
792,3.83,0.455
793,4.095,0.37
794,3.9,0.4
795,3.95,0.55
796,4.055,0.48
797,4.105,0.43
798,4.185,0.335
799,4.22,0.37
800,4.16,0.385
801,3.74,0.64
802,3.765,0.765
803,4.075,0.45
804,3.87,0.57
805,3.78,0.555
806,3.53,0.93
807,3.84,0.615
808,4.19,0.49
809,4.165,0.34
810,4.125,0.45
811,4.015,0.515
812,4.075,0.5
813,4.025,0.575
814,4.08,0.455
815,3.955,0.58
816,3.955,0.53
817,4.14,0.515
818,3.865,0.64
819,3.76,0.635
820,3.935,0.61
821,3.865,0.565
822,3.575,0.725
823,3.485,0.76
824,3.895,0.62
825,3.7,0.7
826,4.105,0.63
827,3.235,1.085
828,3.365,1.015
829,4.12,0.47
830,3.775,0.675
831,4.05,0.6
832,3.665,0.865
833,3.805,0.755
834,3.835,0.81
835,3.89,0.715
836,3.9,0.75
837,3.525,0.95
838,3.4,1.0
839,3.795,0.845
840,3.505,1.03
841,3.745,0.795
842,3.325,0.9
843,3.875,0.6
844,3.95,0.7
845,3.95,0.65
846,3.935,0.635
847,3.76,0.71
848,3.92,0.52
849,4.0,0.6
850,3.805,0.555
851,3.375,0.95
852,3.9,0.55
853,3.82,0.595
854,3.765,0.615
855,3.35,0.825
856,3.63,0.705
857,4.28,0.355
858,3.705,0.605
859,4.15,0.325
860,3.835,0.51
861,3.91,0.435
862,3.915,0.49
863,3.83,0.68
864,3.875,0.475
865,3.89,0.515
866,3.795,0.595
867,3.565,0.665
868,3.935,0.535
869,3.895,0.595
870,3.565,0.715
871,3.62,0.77
872,3.93,0.455
873,4.39,0.265
874,3.73,0.555
875,3.9,0.525
876,4.075,0.375
877,3.835,0.46
878,3.565,0.565
879,3.805,0.48
880,4.14,0.365
881,3.655,0.605
882,4.03,0.48
883,4.21,0.26
884,4.0,0.4
885,3.76,0.66
886,3.71,0.61
887,4.01,0.51
888,3.805,0.555
889,4.205,0.405
890,4.44,0.265
891,4.255,0.355
892,4.02,0.445
893,4.11,0.41
894,3.82,0.545
895,3.685,0.56
896,3.925,0.625
897,3.81,0.51
898,3.7,0.575
899,3.64,0.815
900,3.775,0.525
901,4.2,0.375
902,3.95,0.6
903,4.135,0.51
904,3.54,0.765
905,3.68,0.63
906,4.01,0.56
907,3.39,0.84
908,3.985,0.61
909,4.115,0.465
910,3.455,0.88
911,3.47,0.845
912,4.11,0.335
913,4.01,0.36
914,3.84,0.54
915,4.09,0.44
916,3.695,0.62
917,3.975,0.55
918,4.025,0.35
919,4.085,0.385
920,4.115,0.34
921,3.82,0.52
922,3.5,0.75
923,3.97,0.47
924,4.17,0.395
925,4.08,0.405
926,3.695,0.595
927,4.415,0.24
928,3.97,0.495
929,3.62,0.72
930,3.715,0.665
931,3.92,0.495
932,3.815,0.59
933,3.765,0.64
934,4.045,0.42
935,3.465,0.715
936,3.855,0.48
937,3.795,0.62
938,3.89,0.59
939,3.825,0.575
940,3.585,0.785
941,3.635,0.685
942,3.61,0.785
943,4.13,0.53
944,3.6,0.675
945,3.97,0.545
946,4.175,0.325
947,3.97,0.595
948,3.8,0.6
949,4.345,0.295
950,3.595,0.695
951,3.975,0.65
952,3.75,0.75
953,3.96,0.56
954,3.805,0.63
955,3.99,0.49
956,3.64,0.665
957,3.005,1.155
958,4.03,0.58
959,3.715,0.64
960,3.43,0.855
961,4.015,0.465
962,4.01,0.56
963,3.72,0.77
964,3.85,0.725
965,3.885,0.635
966,3.56,0.81
967,4.34,0.39
968,3.505,0.88
969,3.37,1.045
970,4.085,0.56
971,3.76,0.785
972,3.78,0.755
973,3.915,0.665
974,3.785,0.86
975,3.82,0.82
976,3.875,0.7
977,4.045,0.57
978,4.105,0.58
979,3.83,0.805
980,3.805,0.73
981,3.815,0.665
982,3.82,0.67
983,3.95,0.525
984,3.73,0.78
985,4.14,0.465
986,3.545,0.795
987,3.54,0.79
988,3.88,0.68
989,3.835,0.635
990,3.705,0.655
991,3.77,0.67
992,3.775,0.675
993,3.535,0.735
994,3.74,0.765
995,4.0,0.525
996,4.04,0.465
997,3.85,0.55
998,3.845,0.67
999,3.865,0.74
