,NeuralAgent_AlwaysDefectAgent_rng,AlwaysDefectAgent
316,0.95,1.2
317,0.95,1.2
318,0.94,1.24
319,0.955,1.18
320,0.945,1.22
321,0.97,1.12
322,0.965,1.14
323,0.965,1.14
324,0.96,1.16
325,0.94,1.24
326,0.95,1.2
327,0.94,1.24
328,0.97,1.12
329,0.945,1.22
330,0.99,1.04
331,0.98,1.08
332,0.945,1.22
333,0.94,1.24
334,0.975,1.1
335,0.965,1.14
336,0.955,1.18
337,0.96,1.16
338,0.97,1.12
339,0.985,1.06
340,0.965,1.14
341,0.96,1.16
342,0.99,1.04
343,0.96,1.16
344,0.97,1.12
345,0.96,1.16
346,0.96,1.16
347,0.965,1.14
348,0.98,1.08
349,0.96,1.16
350,0.965,1.14
351,0.98,1.08
352,0.975,1.1
353,0.975,1.1
354,0.98,1.08
355,0.99,1.04
356,0.975,1.1
357,0.975,1.1
358,0.97,1.12
359,0.97,1.12
360,0.985,1.06
361,0.975,1.1
362,0.965,1.14
363,0.985,1.06
364,0.97,1.12
365,0.965,1.14
366,0.96,1.16
367,0.985,1.06
368,0.98,1.08
369,0.99,1.04
370,0.985,1.06
371,0.945,1.22
372,0.99,1.04
373,0.98,1.08
374,0.975,1.1
375,0.975,1.1
376,0.97,1.12
377,0.975,1.1
378,0.98,1.08
379,0.975,1.1
380,0.97,1.12
381,0.99,1.04
382,0.97,1.12
383,0.975,1.1
384,0.98,1.08
385,0.955,1.18
386,0.99,1.04
387,0.97,1.12
388,0.99,1.04
389,0.975,1.1
390,0.99,1.04
391,0.96,1.16
392,0.975,1.1
393,0.98,1.08
394,0.98,1.08
395,0.985,1.06
396,0.975,1.1
397,0.965,1.14
398,0.985,1.06
399,0.975,1.1
400,0.995,1.02
401,0.98,1.08
402,0.985,1.06
403,0.975,1.1
404,0.975,1.1
405,0.98,1.08
406,0.98,1.08
407,0.985,1.06
408,0.965,1.14
409,0.975,1.1
410,0.985,1.06
411,0.975,1.1
412,0.995,1.02
413,0.98,1.08
414,0.965,1.14
415,0.99,1.04
416,0.98,1.08
417,0.99,1.04
418,0.98,1.08
419,0.96,1.16
420,0.99,1.04
421,0.995,1.02
422,0.975,1.1
423,0.995,1.02
424,0.99,1.04
425,0.995,1.02
426,0.965,1.14
427,0.98,1.08
428,0.965,1.14
429,0.99,1.04
430,0.975,1.1
431,0.985,1.06
432,0.995,1.02
433,1.0,1.0
434,0.995,1.02
435,0.985,1.06
436,0.99,1.04
437,0.99,1.04
438,0.98,1.08
439,0.995,1.02
440,0.985,1.06
441,0.995,1.02
442,0.98,1.08
443,0.97,1.12
444,0.995,1.02
445,0.985,1.06
446,0.975,1.1
447,0.995,1.02
448,0.995,1.02
449,0.985,1.06
450,1.0,1.0
451,0.98,1.08
452,0.995,1.02
453,0.98,1.08
454,1.0,1.0
455,0.995,1.02
456,0.985,1.06
457,1.0,1.0
458,0.99,1.04
459,0.985,1.06
460,0.99,1.04
461,0.99,1.04
462,0.975,1.1
463,0.99,1.04
464,0.995,1.02
465,0.995,1.02
466,0.985,1.06
467,0.99,1.04
468,0.985,1.06
469,0.99,1.04
470,0.98,1.08
471,0.985,1.06
472,1.0,1.0
473,0.965,1.14
474,1.0,1.0
475,0.99,1.04
476,1.0,1.0
477,0.975,1.1
478,0.99,1.04
479,0.995,1.02
480,0.985,1.06
481,0.99,1.04
482,0.99,1.04
483,0.99,1.04
484,0.98,1.08
485,0.985,1.06
486,0.985,1.06
487,0.99,1.04
488,0.99,1.04
489,0.99,1.04
490,0.99,1.04
491,0.99,1.04
492,0.99,1.04
493,0.975,1.1
494,0.995,1.02
495,0.995,1.02
496,1.0,1.0
497,0.995,1.02
498,0.995,1.02
499,0.99,1.04
500,0.99,1.04
501,0.995,1.02
