,NeuralAgentOpMe_Student17_200bAgent_rng,Student17_200bAgent
0,0.325,4.0
1,0.16,4.66
2,0.12,4.845
3,0.095,4.92
4,0.1,4.9
5,0.105,4.905
6,0.08,4.93
7,0.095,4.895
8,0.085,4.91
9,0.1,4.9
10,0.085,4.935
11,0.08,4.93
12,0.08,4.93
13,0.125,4.8
14,0.1,4.85
15,0.12,4.845
16,0.145,4.745
17,0.14,4.765
18,0.145,4.72
19,0.155,4.73
20,0.155,4.73
21,0.135,4.76
22,0.155,4.73
23,0.175,4.625
24,0.16,4.735
25,0.155,4.705
26,0.2,4.55
27,0.16,4.71
28,0.17,4.67
29,0.185,4.61
30,0.15,4.75
31,0.205,4.48
32,0.165,4.69
33,0.215,4.465
34,0.525,3.25
35,0.25,4.35
36,0.165,4.69
37,0.135,4.785
38,0.23,4.405
39,0.135,4.785
40,0.245,4.37
41,0.155,4.73
42,0.195,4.595
43,0.18,4.63
44,0.25,4.325
45,0.295,4.17
46,0.23,4.405
47,0.19,4.59
48,0.195,4.57
49,0.135,4.785
50,0.27,4.295
51,0.17,4.695
52,0.17,4.645
53,0.215,4.49
54,0.185,4.635
55,0.175,4.65
56,0.135,4.785
57,0.13,4.78
58,0.195,4.57
59,0.14,4.765
60,0.12,4.87
61,0.185,4.585
62,0.16,4.71
63,0.25,4.375
64,0.16,4.735
65,0.245,4.395
66,0.11,4.885
67,0.16,4.71
68,0.135,4.785
69,0.235,4.41
70,0.165,4.715
71,0.115,4.84
72,0.18,4.63
73,0.14,4.765
74,0.19,4.59
75,0.145,4.745
76,0.2,4.55
77,0.175,4.625
78,0.105,4.905
79,0.15,4.775
80,0.155,4.705
81,0.195,4.545
82,0.15,4.75
83,0.165,4.69
84,0.26,4.31
85,0.18,4.63
86,0.27,4.295
87,0.155,4.705
88,0.16,4.685
89,0.26,4.31
90,0.2,4.55
91,0.12,4.87
92,0.16,4.685
93,0.12,4.845
94,0.16,4.685
95,0.21,4.535
96,0.235,4.435
97,0.36,3.91
98,0.21,4.535
99,0.16,4.735
100,0.14,4.79
101,0.17,4.67
102,0.235,4.41
103,0.205,4.555
104,0.175,4.625
105,0.27,4.295
106,0.485,3.41
107,0.31,4.135
108,0.195,4.595
109,0.325,4.05
110,0.52,3.295
111,0.39,3.79
112,0.145,4.77
113,0.22,4.445
114,0.19,4.565
115,0.15,4.75
116,0.185,4.61
117,0.39,3.79
118,0.25,4.375
119,0.19,4.59
120,0.34,3.99
121,0.13,4.83
122,0.27,4.27
123,0.145,4.745
124,0.135,4.81
125,0.47,3.47
126,0.325,4.025
127,0.19,4.615
128,0.19,4.59
129,0.215,4.515
130,0.155,4.705
131,0.27,4.295
132,0.235,4.36
133,1.01,1.31
134,0.315,4.09
135,1.09,0.99
136,0.415,3.715
137,0.465,3.49
138,1.09,0.99
139,0.15,4.75
140,0.11,4.885
141,0.885,1.785
142,1.09,0.99
143,0.14,4.79
144,0.895,1.795
145,0.145,4.77
146,0.21,4.51
147,0.285,4.21
148,0.46,3.485
149,0.565,3.09
