,NeuralAgentOpMe_Student17_200aAgent_rng,Student17_200aAgent
0,0.145,4.545
1,0.16,4.485
2,0.18,4.405
3,0.215,4.29
4,0.11,4.66
5,0.145,4.545
6,0.195,4.37
7,0.185,4.36
8,0.175,4.4
9,0.13,4.58
10,0.15,4.5
11,0.12,4.67
12,0.13,4.58
13,0.12,4.62
14,0.13,4.605
15,0.215,4.29
16,0.135,4.56
17,0.105,4.68
18,0.15,4.5
19,0.085,4.76
20,0.09,4.79
21,0.085,4.76
22,0.075,4.825
23,0.08,4.805
24,0.1,4.725
25,0.085,4.76
26,0.085,4.785
27,0.125,4.65
28,0.115,4.64
29,0.075,4.825
30,0.105,4.68
31,0.065,4.84
32,0.07,4.82
33,0.1,4.75
34,0.08,4.805
35,0.1,4.725
36,0.085,4.76
37,0.085,4.76
38,0.055,4.905
39,0.08,4.805
40,0.095,4.72
41,0.065,4.865
42,0.09,4.79
43,0.075,4.825
44,0.065,4.84
45,0.055,4.905
46,0.05,4.9
47,0.08,4.805
48,0.055,4.905
49,0.085,4.785
50,0.06,4.91
51,0.065,4.84
52,0.095,4.745
53,0.075,4.825
54,0.035,4.96
55,0.04,4.94
56,0.05,4.9
57,0.04,4.94
58,0.045,4.92
59,0.055,4.905
60,0.05,4.9
61,0.06,4.91
62,0.06,4.885
63,0.06,4.86
64,0.07,4.845
65,0.055,4.905
66,0.045,4.92
67,0.04,4.965
68,0.035,4.96
69,0.05,4.9
70,0.055,4.905
71,0.035,4.96
72,0.045,4.92
73,0.04,4.94
74,0.04,4.94
75,0.065,4.865
76,0.075,4.825
77,0.035,4.96
78,0.06,4.86
79,0.05,4.9
80,0.04,4.94
81,0.055,4.905
82,0.05,4.9
83,0.03,4.98
84,0.045,4.945
85,0.04,4.94
86,0.04,4.94
87,0.08,4.83
88,0.04,4.94
89,0.07,4.845
90,0.035,4.96
91,0.06,4.86
92,0.04,4.94
93,0.06,4.86
94,0.05,4.9
95,0.075,4.825
96,0.05,4.9
97,0.03,4.98
98,0.045,4.92
99,0.05,4.9
100,0.045,4.92
101,0.095,4.77
102,0.045,4.92
103,0.03,4.98
104,0.055,4.905
105,0.065,4.865
106,0.04,4.94
107,0.075,4.825
108,0.05,4.925
109,0.085,4.81
110,0.035,4.96
111,0.04,4.965
112,0.07,4.87
113,0.035,4.96
114,0.085,4.81
115,0.05,4.9
116,0.045,4.92
117,0.065,4.865
118,0.03,4.98
119,0.03,4.98
120,0.07,4.845
121,0.04,4.965
122,0.05,4.925
123,0.04,4.94
124,0.055,4.93
125,0.045,4.945
126,0.04,4.94
127,0.035,4.96
128,0.035,4.96
129,0.07,4.845
130,0.075,4.825
131,0.085,4.81
132,0.04,4.94
133,0.04,4.965
134,0.03,4.98
135,0.05,4.9
136,0.045,4.92
137,0.07,4.845
138,0.03,4.98
139,0.05,4.9
140,0.055,4.88
141,0.04,4.965
142,0.07,4.845
143,0.085,4.81
144,0.03,4.98
145,0.075,4.825
146,0.04,4.94
147,0.085,4.81
148,0.04,4.94
149,0.045,4.945
150,0.07,4.845
151,0.035,4.96
152,0.035,4.96
153,0.035,4.96
154,0.065,4.865
155,0.05,4.9
156,0.03,4.98
157,0.055,4.88
158,0.03,4.98
159,0.045,4.92
160,0.045,4.945
161,0.085,4.81
162,0.06,4.885
163,0.065,4.865
164,0.035,4.96
165,0.05,4.9
166,0.035,4.96
167,0.035,4.96
168,0.03,4.98
169,0.045,4.945
170,0.08,4.83
171,0.045,4.92
172,0.045,4.945
173,0.03,4.98
174,0.045,4.92
175,0.05,4.925
176,0.1,4.75
177,0.04,4.965
178,0.03,4.98
179,0.04,4.965
180,0.03,4.98
181,0.075,4.825
182,0.065,4.865
183,0.05,4.9
184,0.045,4.92
185,0.065,4.865
186,0.04,4.965
187,0.105,4.73
188,0.07,4.845
189,0.085,4.785
190,0.03,4.98
191,0.03,4.98
192,0.035,4.96
193,0.03,4.98
194,0.07,4.87
195,0.04,4.94
196,0.04,4.94
197,0.05,4.925
198,0.03,4.98
199,0.03,4.98
200,0.055,4.88
201,0.06,4.885
202,0.05,4.925
203,0.035,4.96
204,0.03,4.98
205,0.035,4.96
206,0.06,4.885
207,0.035,4.96
208,0.06,4.91
209,0.06,4.86
210,0.04,4.94
211,0.06,4.86
212,0.04,4.94
213,0.03,4.98
214,0.055,4.88
215,0.035,4.96
216,0.03,4.98
217,0.08,4.83
218,0.04,4.94
219,0.03,4.98
220,0.07,4.845
221,0.035,4.96
222,0.085,4.81
223,0.065,4.84
224,0.065,4.865
225,0.09,4.79
226,0.07,4.845
227,0.05,4.9
228,0.04,4.965
229,0.045,4.92
230,0.03,4.98
231,0.035,4.96
232,0.08,4.83
233,0.055,4.905
234,0.055,4.88
235,0.08,4.83
236,0.065,4.84
237,0.05,4.9
238,0.04,4.94
239,0.035,4.96
240,0.055,4.88
241,0.035,4.96
242,0.05,4.925
243,0.09,4.79
244,0.05,4.9
245,0.035,4.96
246,0.08,4.83
247,0.03,4.98
248,0.04,4.94
249,0.065,4.865
250,0.08,4.83
251,0.05,4.925
252,0.09,4.79
253,0.035,4.96
254,0.04,4.965
255,0.095,4.77
256,0.09,4.79
257,0.045,4.92
258,0.035,4.96
259,0.045,4.92
260,0.045,4.945
261,0.065,4.865
262,0.035,4.96
263,0.03,4.98
264,0.06,4.86
265,0.075,4.85
266,0.065,4.865
267,0.06,4.86
268,0.035,4.96
269,0.055,4.905
270,0.06,4.885
271,0.04,4.965
272,0.03,4.98
273,0.045,4.92
274,0.03,4.98
275,0.035,4.96
276,0.09,4.79
277,0.065,4.865
278,0.035,4.96
279,0.045,4.945
280,0.04,4.965
281,0.03,4.98
282,0.045,4.945
283,0.035,4.96
284,0.04,4.94
285,0.045,4.92
286,0.04,4.94
287,0.035,4.96
288,0.04,4.965
289,0.09,4.79
290,0.06,4.885
291,0.035,4.96
292,0.065,4.865
293,0.075,4.8
294,0.09,4.79
295,0.03,4.98
296,0.07,4.845
297,0.055,4.88
298,0.07,4.87
299,0.03,4.98
300,0.06,4.885
301,0.04,4.94
302,0.065,4.865
303,0.075,4.825
304,0.09,4.79
305,0.07,4.845
306,0.06,4.86
307,0.035,4.96
308,0.04,4.965
309,0.055,4.88
310,0.06,4.885
311,0.085,4.81
312,0.035,4.96
313,0.05,4.9
314,0.03,4.98
315,0.07,4.845
316,0.07,4.845
317,0.05,4.9
318,0.09,4.765
319,0.1,4.75
320,0.06,4.885
321,0.085,4.81
322,0.06,4.86
323,0.06,4.86
324,0.055,4.88
325,0.055,4.88
326,0.045,4.945
327,0.07,4.82
328,0.05,4.9
329,0.05,4.9
330,0.075,4.825
331,0.04,4.94
332,0.09,4.79
333,0.09,4.79
334,0.09,4.79
335,0.055,4.88
336,0.1,4.75
337,0.07,4.845
338,0.05,4.925
339,0.065,4.865
340,0.05,4.9
341,0.06,4.885
342,0.06,4.86
343,0.09,4.79
344,0.04,4.94
345,0.035,4.96
346,0.05,4.9
347,0.08,4.83
348,0.035,4.96
349,0.07,4.845
350,0.065,4.865
351,0.03,4.98
352,0.035,4.96
353,0.04,4.94
354,0.055,4.905
355,0.06,4.885
356,0.095,4.77
357,0.03,4.98
358,0.06,4.86
359,0.055,4.88
360,0.04,4.94
361,0.045,4.92
362,0.06,4.86
363,0.055,4.905
364,0.08,4.805
365,0.035,4.96
366,0.05,4.9
367,0.055,4.93
368,0.03,4.98
369,0.055,4.905
370,0.035,4.96
371,0.075,4.825
372,0.07,4.87
373,0.065,4.865
374,0.05,4.9
375,0.06,4.86
376,0.045,4.92
377,0.065,4.865
378,0.04,4.965
379,0.04,4.94
380,0.045,4.92
381,0.045,4.945
382,0.03,4.98
383,0.085,4.785
384,0.085,4.785
385,0.03,4.98
386,0.065,4.865
387,0.055,4.905
388,0.035,4.96
389,0.06,4.86
390,0.045,4.945
391,0.06,4.885
392,0.04,4.94
393,0.045,4.92
394,0.065,4.865
395,0.055,4.88
396,0.045,4.92
397,0.035,4.96
398,0.09,4.79
399,0.08,4.83
400,0.06,4.885
401,0.075,4.825
402,0.03,4.98
403,0.03,4.98
404,0.045,4.945
405,0.04,4.94
406,0.09,4.79
407,0.075,4.85
408,0.035,4.96
409,0.08,4.805
410,0.06,4.885
411,0.09,4.79
412,0.085,4.81
413,0.06,4.885
414,0.085,4.785
415,0.05,4.925
416,0.055,4.905
417,0.05,4.9
418,0.05,4.9
419,0.07,4.845
420,0.095,4.77
421,0.06,4.86
422,0.045,4.92
423,0.07,4.845
424,0.09,4.79
425,0.065,4.865
426,0.07,4.845
427,0.09,4.765
428,0.07,4.82
429,0.07,4.845
430,0.09,4.765
431,0.04,4.94
432,0.06,4.86
433,0.04,4.94
434,0.07,4.845
435,0.06,4.885
436,0.075,4.825
437,0.09,4.79
438,0.055,4.905
439,0.05,4.9
440,0.065,4.84
441,0.075,4.825
442,0.05,4.9
443,0.09,4.79
444,0.03,4.98
445,0.08,4.805
446,0.065,4.84
447,0.05,4.925
448,0.09,4.79
449,0.075,4.8
450,0.06,4.885
451,0.075,4.825
452,0.05,4.925
453,0.035,4.96
454,0.035,4.96
455,0.05,4.925
456,0.09,4.79
457,0.07,4.845
458,0.045,4.945
459,0.03,4.98
460,0.065,4.84
461,0.06,4.86
462,0.07,4.845
463,0.04,4.94
464,0.085,4.785
465,0.095,4.77
466,0.07,4.845
467,0.065,4.865
468,0.105,4.73
469,0.08,4.805
470,0.05,4.9
471,0.075,4.825
472,0.065,4.865
473,0.045,4.92
474,0.045,4.92
475,0.11,4.71
476,0.08,4.805
477,0.07,4.845
478,0.065,4.865
479,0.04,4.94
480,0.05,4.925
481,0.1,4.75
482,0.07,4.845
483,0.04,4.94
484,0.09,4.765
485,0.03,4.98
486,0.06,4.86
487,0.085,4.81
488,0.08,4.83
489,0.08,4.83
490,0.065,4.84
491,0.035,4.96
492,0.085,4.785
493,0.03,4.98
494,0.065,4.865
495,0.095,4.77
496,0.065,4.865
497,0.09,4.79
498,0.035,4.96
499,0.1,4.725
500,0.05,4.9
501,0.075,4.825
502,0.03,4.98
503,0.065,4.865
504,0.07,4.845
505,0.045,4.92
506,0.07,4.845
507,0.07,4.845
508,0.08,4.805
509,0.065,4.865
510,0.08,4.805
511,0.1,4.75
512,0.09,4.765
513,0.08,4.805
514,0.08,4.805
515,0.075,4.825
516,0.05,4.9
517,0.08,4.805
518,0.06,4.885
519,0.04,4.94
520,0.075,4.825
521,0.055,4.905
522,0.075,4.825
523,0.085,4.785
524,0.09,4.79
525,0.045,4.945
526,0.08,4.805
527,0.105,4.73
528,0.105,4.73
529,0.055,4.88
530,0.095,4.745
531,0.08,4.83
532,0.075,4.825
533,0.045,4.92
534,0.07,4.845
535,0.075,4.825
536,0.045,4.945
537,0.08,4.805
538,0.08,4.805
539,0.035,4.96
540,0.1,4.75
541,0.07,4.82
542,0.05,4.9
543,0.1,4.725
544,0.085,4.81
545,0.055,4.905
546,0.1,4.725
547,0.08,4.805
548,0.065,4.84
549,0.1,4.75
550,0.085,4.785
551,0.055,4.88
552,0.035,4.96
553,0.08,4.805
554,0.055,4.88
555,0.08,4.805
556,0.04,4.94
557,0.07,4.845
558,0.045,4.92
559,0.055,4.88
560,0.085,4.785
561,0.08,4.805
562,0.09,4.765
563,0.06,4.885
564,0.035,4.96
565,0.075,4.8
566,0.045,4.945
567,0.08,4.805
568,0.075,4.825
569,0.1,4.75
570,0.08,4.78
571,0.03,4.98
572,0.07,4.845
573,0.045,4.92
574,0.09,4.765
575,0.09,4.79
576,0.08,4.805
577,0.09,4.765
578,0.035,4.96
579,0.075,4.825
580,0.085,4.785
581,0.04,4.94
582,0.055,4.905
583,0.04,4.94
584,0.055,4.905
585,0.045,4.92
586,0.065,4.865
587,0.05,4.9
588,0.05,4.9
589,0.065,4.865
590,0.085,4.81
591,0.1,4.75
592,0.07,4.845
593,0.06,4.885
594,0.06,4.885
595,0.035,4.96
596,0.06,4.885
597,0.06,4.91
598,0.07,4.845
599,0.08,4.805
600,0.06,4.86
601,0.04,4.94
602,0.1,4.75
603,0.065,4.84
604,0.065,4.865
605,0.055,4.88
606,0.09,4.765
607,0.05,4.9
608,0.08,4.805
609,0.035,4.96
610,0.03,4.98
611,0.06,4.885
612,0.05,4.9
613,0.05,4.9
614,0.065,4.84
615,0.06,4.86
616,0.09,4.79
617,0.035,4.96
618,0.08,4.805
619,0.075,4.825
620,0.03,4.98
621,0.065,4.84
622,0.08,4.805
623,0.08,4.805
