,NeuralAgentOpMe_Student5_200mAgent_rng,Student5_200mAgent
0,2.165,2.365
1,2.13,2.48
2,2.04,2.715
3,2.125,2.5
4,2.08,2.58
5,2.205,2.48
6,2.09,2.615
7,2.125,2.5
8,2.2,2.375
9,2.165,2.39
10,2.135,2.51
11,2.235,2.26
12,2.02,2.745
13,2.205,2.33
14,2.16,2.46
15,2.1,2.55
16,2.205,2.28
17,2.125,2.475
18,2.105,2.555
19,2.125,2.5
20,2.145,2.52
21,2.12,2.445
22,2.125,2.575
23,2.09,2.465
24,2.205,2.305
25,2.025,2.725
26,2.295,2.12
27,2.145,2.42
28,2.21,2.435
29,2.24,2.265
30,2.2,2.375
31,2.145,2.495
32,2.1,2.6
33,2.165,2.39
34,2.105,2.455
35,2.21,2.26
36,2.27,2.12
37,2.205,2.405
38,2.17,2.42
39,2.17,2.445
40,2.18,2.255
41,2.11,2.485
42,2.165,2.39
43,2.155,2.48
44,2.135,2.535
45,2.165,2.465
46,2.13,2.53
47,2.185,2.285
48,2.235,2.21
49,2.28,2.205
50,2.22,2.27
51,2.135,2.435
52,2.31,2.11
53,2.14,2.415
54,2.105,2.555
55,2.09,2.69
56,2.075,2.5
57,2.175,2.425
58,2.165,2.365
59,2.16,2.36
60,2.13,2.43
61,2.26,2.11
62,2.245,2.345
63,2.19,2.39
64,2.2,2.275
65,2.085,2.56
66,2.17,2.37
67,2.115,2.415
68,2.265,2.265
69,2.15,2.5
70,2.285,2.16
71,2.21,2.235
72,2.17,2.445
73,2.245,2.22
74,2.15,2.525
75,2.135,2.435
76,2.19,2.365
77,2.22,2.37
78,2.205,2.405
79,2.305,2.08
80,2.24,2.165
81,2.24,2.24
82,2.21,2.185
83,2.18,2.455
84,2.14,2.515
85,2.145,2.62
86,2.16,2.36
87,2.2,2.25
88,2.275,2.225
89,2.085,2.585
90,2.155,2.555
91,2.1,2.6
92,2.145,2.47
93,2.275,2.125
94,2.165,2.29
95,2.135,2.41
96,2.2,2.45
97,2.11,2.41
98,2.105,2.455
99,2.115,2.49
100,2.11,2.585
101,2.185,2.385
102,2.14,2.44
103,2.19,2.365
104,2.23,2.18
105,2.16,2.46
106,2.215,2.34
107,2.15,2.45
108,2.235,2.285
109,2.15,2.4
110,2.175,2.35
111,2.175,2.425
112,2.165,2.365
113,2.19,2.315
114,2.3,2.1
115,2.19,2.265
116,2.175,2.35
117,2.195,2.27
118,2.17,2.495
119,2.18,2.38
120,2.24,2.215
121,2.17,2.42
122,2.125,2.575
123,2.245,2.245
124,2.275,2.3
125,2.095,2.62
126,2.215,2.315
127,2.185,2.485
128,2.165,2.365
129,2.26,2.135
130,2.19,2.39
131,2.215,2.29
132,2.19,2.365
133,2.045,2.62
134,2.12,2.62
135,2.205,2.28
136,2.105,2.58
137,2.18,2.405
138,2.115,2.49
139,2.12,2.595
140,2.185,2.335
141,2.07,2.595
142,2.095,2.495
143,2.28,2.155
144,2.135,2.46
145,2.255,2.18
146,2.165,2.44
147,2.17,2.32
148,2.14,2.415
149,2.265,2.19
150,2.2,2.325
151,2.22,2.245
152,2.105,2.505
