,NeuralAgent_Student17_200aAgent,Student17_200aAgent
0,0.985,1.16
1,0.485,3.16
2,0.55,2.95
3,0.53,3.005
4,0.535,2.985
5,0.5,3.125
6,0.63,2.605
7,0.505,3.08
8,0.615,2.69
9,0.55,2.925
10,0.61,2.71
11,0.505,3.08
12,0.53,3.005
13,0.575,2.8
14,0.58,2.805
15,0.52,3.07
16,0.53,3.03
17,0.495,3.17
18,0.6,2.75
19,0.54,2.94
20,0.525,3.025
21,0.51,3.06
22,0.535,2.985
23,0.48,3.18
24,0.57,2.845
25,0.505,3.105
26,0.605,2.705
27,0.595,2.77
28,0.6,2.725
29,0.56,2.885
30,0.575,2.825
31,0.585,2.785
32,0.54,2.965
33,0.595,2.77
34,0.62,2.62
35,0.62,2.645
36,0.605,2.705
37,0.61,2.71
38,0.505,3.08
39,0.64,2.565
40,0.54,2.965
41,0.55,2.925
42,0.575,2.85
43,0.61,2.685
44,0.585,2.76
45,0.525,3.025
46,0.545,2.945
47,0.575,2.85
48,0.57,2.87
49,0.51,3.11
50,0.565,2.865
51,0.56,2.86
52,0.57,2.82
53,0.635,2.61
54,0.61,2.685
55,0.56,2.86
56,0.55,2.925
57,0.57,2.845
58,0.62,2.67
59,0.575,2.85
60,0.565,2.84
61,0.535,3.01
62,0.62,2.67
63,0.63,2.605
64,0.58,2.83
65,0.625,2.65
66,0.585,2.81
67,0.55,2.925
68,0.56,2.885
69,0.65,2.55
70,0.625,2.625
71,0.575,2.825
72,0.62,2.67
73,0.605,2.705
74,0.59,2.765
75,0.615,2.665
76,0.595,2.745
77,0.615,2.69
78,0.575,2.8
79,0.585,2.785
80,0.575,2.85
81,0.6,2.75
82,0.62,2.645
83,0.615,2.665
84,0.605,2.73
85,0.615,2.665
86,0.62,2.645
87,0.68,2.405
88,0.69,2.39
89,0.63,2.63
90,0.615,2.665
91,0.54,2.965
92,0.62,2.62
93,0.64,2.565
94,0.655,2.53
95,0.62,2.67
96,0.595,2.745
97,0.665,2.465
98,0.655,2.53
99,0.63,2.605
100,0.66,2.485
101,0.555,2.905
102,0.59,2.79
103,0.73,2.205
104,0.655,2.53
105,0.585,2.76
106,0.71,2.31
107,0.645,2.57
108,0.595,2.745
109,0.65,2.525
110,0.6,2.75
111,0.67,2.47
112,0.69,2.39
113,0.62,2.645
114,0.7,2.325
115,0.7,2.35
116,0.625,2.65
117,0.65,2.525
118,0.655,2.505
119,0.71,2.285
120,0.7,2.325
121,0.69,2.365
122,0.765,2.09
123,0.66,2.51
124,0.665,2.44
125,0.625,2.6
126,0.65,2.5
127,0.705,2.33
128,0.675,2.425
129,0.685,2.385
130,0.775,2.05
131,0.74,2.14
132,0.695,2.37
133,0.695,2.37
134,0.7,2.3
135,0.725,2.25
136,0.73,2.205
137,0.66,2.51
138,0.72,2.245
139,0.69,2.39
140,0.77,2.045
141,0.74,2.14
142,0.705,2.305
143,0.795,1.97
144,0.705,2.305
145,0.74,2.19
146,0.72,2.245
147,0.745,2.145
148,0.71,2.285
149,0.715,2.265
150,0.795,1.945
151,0.755,2.13
152,0.815,1.865
153,0.755,2.105
154,0.765,2.09
155,0.8,1.925
156,0.725,2.225
157,0.76,2.11
158,0.76,2.085
159,0.705,2.33
160,0.75,2.125
161,0.73,2.23
162,0.75,2.125
163,0.79,1.99
164,0.755,2.08
165,0.79,1.99
166,0.73,2.18
167,0.715,2.265
168,0.79,1.99
169,0.795,1.97
170,0.785,1.985
171,0.775,2.05
172,0.75,2.125
173,0.81,1.91
174,0.76,2.06
175,0.79,1.99
176,0.825,1.825
177,0.76,2.11
178,0.74,2.14
179,0.84,1.79
180,0.845,1.745
181,0.805,1.93
182,0.86,1.71
183,0.8,1.95
184,0.82,1.87
185,0.79,1.99
186,0.735,2.21
187,0.81,1.91
188,0.825,1.825
189,0.8,1.925
190,0.865,1.69
191,0.765,2.04
192,0.805,1.93
193,0.84,1.79
194,0.82,1.87
195,0.805,1.93
196,0.845,1.72
197,0.875,1.65
198,0.865,1.69
199,0.815,1.84
200,0.845,1.77
201,0.86,1.71
202,0.855,1.705
203,0.865,1.69
204,0.845,1.77
205,0.82,1.87
206,0.795,1.92
207,0.875,1.625
208,0.835,1.81
209,0.835,1.785
210,0.905,1.53
211,0.845,1.77
212,0.81,1.885
213,0.92,1.47
214,0.84,1.765
215,0.86,1.71
216,0.885,1.56
217,0.86,1.685
218,0.86,1.685
219,0.83,1.83
220,0.925,1.45
221,0.855,1.705
222,0.9,1.525
223,0.905,1.53
224,0.825,1.825
225,0.885,1.61
226,0.89,1.59
227,0.87,1.645
228,0.915,1.465
229,0.915,1.465
230,0.9,1.55
231,0.915,1.49
232,0.94,1.39
233,0.88,1.63
234,0.885,1.61
235,0.93,1.405
236,0.89,1.59
237,0.905,1.53
238,0.895,1.57
239,0.93,1.43
240,0.895,1.52
241,0.915,1.49
242,0.905,1.48
243,0.9,1.525
244,0.905,1.53
245,0.945,1.37
246,0.91,1.485
247,0.94,1.39
248,0.905,1.505
249,0.905,1.53
250,0.88,1.63
251,0.93,1.405
252,0.965,1.265
253,0.9,1.55
254,0.93,1.405
255,0.955,1.33
256,0.945,1.37
257,0.945,1.345
258,0.93,1.43
259,0.935,1.41
260,0.925,1.45
261,0.935,1.41
262,0.92,1.47
263,0.95,1.35
264,0.945,1.37
265,0.96,1.31
266,0.945,1.37
267,0.93,1.43
268,0.93,1.43
269,0.975,1.25
270,0.935,1.41
271,0.965,1.29
272,0.96,1.31
273,0.94,1.39
274,0.955,1.33
275,0.945,1.345
276,0.935,1.41
277,0.955,1.33
278,0.955,1.33
279,0.975,1.25
280,0.96,1.31
281,0.965,1.29
282,0.95,1.35
283,0.965,1.29
284,0.92,1.47
285,0.95,1.35
286,0.935,1.41
287,0.97,1.27
288,0.995,1.17
289,0.945,1.37
290,0.975,1.25
291,0.97,1.245
292,0.965,1.29
293,0.965,1.29
294,0.97,1.27
295,0.97,1.27
296,1.01,1.11
297,0.98,1.23
298,0.945,1.37
299,0.97,1.27
300,0.96,1.285
301,0.975,1.25
302,0.985,1.21
303,0.995,1.17
304,0.98,1.23
305,0.975,1.25
306,0.98,1.23
307,0.975,1.25
308,0.985,1.21
309,1.01,1.11
310,0.965,1.29
311,0.955,1.33
312,1.0,1.15
313,1.005,1.13
314,0.97,1.27
315,0.975,1.25
316,0.975,1.25
317,0.97,1.27
318,0.98,1.23
319,0.98,1.205
320,0.975,1.25
321,0.98,1.23
322,0.985,1.21
323,0.95,1.35
324,0.94,1.39
325,1.0,1.15
326,0.985,1.21
327,0.99,1.19
328,0.98,1.23
329,0.955,1.33
330,1.01,1.11
331,0.985,1.21
332,0.975,1.25
333,1.005,1.13
334,0.98,1.23
335,1.005,1.13
336,0.975,1.25
337,0.995,1.145
338,0.975,1.25
339,1.01,1.11
340,0.99,1.19
341,0.985,1.21
342,1.005,1.13
343,0.98,1.23
344,1.005,1.13
345,0.985,1.185
346,0.955,1.33
347,0.99,1.165
348,0.995,1.17
349,0.99,1.19
350,1.015,1.09
351,1.01,1.11
352,1.005,1.13
353,1.0,1.15
354,1.005,1.13
355,0.985,1.21
356,0.995,1.145
357,0.985,1.21
358,1.01,1.11
359,1.0,1.15
360,1.01,1.11
361,1.01,1.11
362,1.005,1.13
363,1.025,1.05
364,0.97,1.27
365,1.0,1.15
366,0.995,1.17
367,0.995,1.17
368,1.0,1.15
369,0.995,1.17
370,1.015,1.09
371,0.99,1.19
372,1.015,1.09
373,1.015,1.09
374,1.015,1.09
375,1.005,1.13
376,1.01,1.11
377,1.005,1.13
378,0.97,1.27
379,0.99,1.19
380,0.995,1.17
381,1.015,1.09
382,0.995,1.17
383,1.02,1.07
384,1.01,1.11
385,0.995,1.17
386,1.005,1.13
387,0.99,1.19
388,1.005,1.105
389,1.005,1.13
390,1.005,1.13
391,1.025,1.05
392,1.01,1.11
393,1.005,1.13
394,1.01,1.11
395,0.995,1.17
396,1.005,1.13
397,1.02,1.07
398,1.005,1.13
399,1.015,1.09
400,1.0,1.15
401,1.015,1.09
402,0.985,1.21
403,1.025,1.05
404,1.0,1.15
405,1.0,1.15
406,1.02,1.07
407,1.0,1.15
408,1.02,1.07
409,1.005,1.13
410,1.02,1.07
411,0.995,1.17
412,0.975,1.25
413,1.025,1.05
414,1.01,1.11
415,1.015,1.09
416,1.02,1.07
417,0.975,1.25
418,1.025,1.025
419,1.025,1.05
420,1.02,1.07
421,1.02,1.07
422,1.005,1.13
423,1.02,1.07
424,1.0,1.15
425,1.015,1.09
426,1.03,1.03
427,1.005,1.105
428,1.005,1.13
429,1.005,1.105
430,1.025,1.05
431,1.03,1.03
432,0.995,1.17
433,1.02,1.07
434,0.98,1.23
435,0.995,1.17
436,1.01,1.11
437,1.0,1.15
438,1.03,1.03
439,1.01,1.11
440,1.02,1.07
441,1.0,1.15
442,1.02,1.07
443,1.01,1.11
444,1.02,1.07
445,1.02,1.07
446,1.005,1.13
447,1.025,1.05
448,1.03,1.03
449,1.015,1.065
450,1.005,1.13
451,1.015,1.09
452,0.995,1.17
453,1.03,1.03
454,1.02,1.07
455,1.025,1.05
456,1.025,1.05
457,1.005,1.13
458,1.03,1.03
459,1.025,1.05
460,1.03,1.03
461,1.02,1.07
462,1.03,1.03
463,1.01,1.11
464,1.01,1.085
465,1.025,1.05
466,1.03,1.03
467,1.015,1.09
468,1.025,1.05
469,1.035,1.01
470,1.03,1.03
471,1.015,1.065
472,1.025,1.05
473,1.02,1.07
474,1.01,1.085
475,1.025,1.05
476,1.015,1.09
477,1.015,1.09
478,1.03,1.03
479,1.005,1.13
480,1.01,1.11
481,1.01,1.11
482,1.03,1.03
483,1.02,1.07
484,1.025,1.05
485,1.005,1.13
486,1.02,1.07
487,1.015,1.09
488,1.035,1.01
489,1.0,1.15
490,1.03,1.03
491,1.005,1.13
492,1.015,1.09
493,1.005,1.105
494,1.02,1.07
495,1.02,1.07
496,1.015,1.09
497,1.015,1.09
498,1.03,1.03
499,1.02,1.07
500,1.04,0.99
501,1.025,1.025
502,1.03,1.03
503,1.025,1.05
504,1.03,1.03
505,1.035,1.01
506,1.025,1.05
507,1.025,1.05
508,1.03,1.03
509,1.025,1.05
510,1.035,1.01
511,1.015,1.09
512,1.025,1.05
513,1.015,1.09
514,1.035,1.01
515,1.035,1.01
516,1.02,1.07
517,1.03,1.03
518,1.015,1.09
519,1.025,1.05
520,1.035,1.01
521,1.03,1.03
522,1.04,0.99
523,1.035,1.01
524,1.04,0.99
525,1.03,1.03
526,1.025,1.05
527,1.01,1.11
528,1.02,1.045
529,1.02,1.07
530,1.035,1.01
531,1.03,1.03
532,1.035,1.01
533,1.035,1.01
534,1.03,1.03
535,1.015,1.09
536,1.035,1.01
537,1.02,1.07
538,1.02,1.07
539,1.015,1.09
540,1.03,1.03
541,1.0,1.15
542,1.025,1.05
543,1.02,1.07
544,1.015,1.09
545,1.02,1.045
546,1.03,1.03
547,1.03,1.03
548,1.025,1.05
549,1.025,1.05
550,1.015,1.09
551,1.025,1.05
552,1.035,1.01
553,1.035,1.01
554,1.035,1.01
555,1.03,1.03
556,1.03,1.03
557,1.025,1.025
558,1.02,1.07
559,1.025,1.05
560,1.01,1.11
561,1.03,1.03
562,1.03,1.03
563,1.025,1.05
564,1.015,1.09
565,1.03,1.03
566,1.015,1.065
567,1.02,1.07
568,1.04,0.99
569,1.04,0.99
570,1.025,1.05
571,1.035,1.01
572,1.04,0.99
573,1.025,1.05
574,1.03,1.03
575,1.02,1.07
576,1.035,1.01
577,1.035,1.01
578,1.04,0.99
579,1.025,1.05
580,1.025,1.05
581,1.03,1.03
582,1.02,1.07
583,1.035,1.01
584,1.03,1.03
585,1.02,1.07
586,1.02,1.07
587,1.015,1.09
588,1.04,0.99
589,1.025,1.05
590,1.03,1.03
591,1.035,1.01
592,1.03,1.03
593,1.025,1.05
594,1.025,1.05
595,1.03,1.03
596,1.03,1.03
597,1.03,1.03
598,1.035,1.01
599,1.035,1.01
600,1.035,1.01
601,1.03,1.03
602,1.02,1.07
603,1.03,1.03
604,1.03,1.03
605,1.035,1.01
606,1.035,1.01
607,1.035,1.01
608,1.015,1.09
609,1.04,0.99
610,1.03,1.03
611,1.03,1.03
612,1.03,1.03
613,1.025,1.05
614,1.025,1.05
615,1.025,1.05
616,1.02,1.045
617,1.04,0.99
618,1.035,1.01
619,1.03,1.03
620,1.035,1.01
621,1.025,1.05
622,1.03,1.03
623,1.035,1.01
624,1.035,1.01
625,1.035,1.01
626,1.02,1.07
627,1.02,1.07
628,1.04,0.99
629,1.04,0.99
630,1.02,1.07
631,1.03,1.03
632,1.03,1.03
633,1.015,1.09
634,1.03,1.03
635,1.03,1.03
636,1.03,1.03
637,1.02,1.07
638,1.025,1.05
639,1.03,1.03
640,1.035,1.01
641,1.03,1.03
642,1.03,1.03
643,1.035,1.01
644,1.03,1.03
645,1.035,1.01
646,1.015,1.09
647,1.02,1.07
648,1.035,1.01
649,1.035,1.01
650,1.03,1.03
651,1.02,1.07
652,1.035,1.01
653,1.02,1.07
654,1.04,0.99
655,1.02,1.07
656,1.04,0.99
657,1.04,0.99
658,1.04,0.99
659,1.03,1.03
660,1.035,1.01
661,1.025,1.025
662,1.03,1.03
663,1.02,1.07
664,1.03,1.03
665,1.025,1.05
666,1.025,1.05
667,1.04,0.99
668,1.02,1.07
669,1.03,1.03
670,1.035,1.01
671,1.035,1.01
672,1.04,0.99
673,1.03,1.03
674,1.035,1.01
675,1.03,1.03
676,1.035,1.01
677,1.025,1.05
678,1.035,1.01
679,1.02,1.07
680,1.02,1.045
681,1.025,1.05
682,1.04,0.99
683,1.035,1.01
684,1.035,1.01
685,1.025,1.05
686,1.035,1.01
687,1.04,0.99
688,1.035,1.01
689,1.035,1.01
690,1.03,1.03
691,1.025,1.05
692,1.035,1.01
693,1.03,1.03
694,1.02,1.07
695,1.035,1.01
696,1.03,1.03
697,1.03,1.03
698,1.04,0.99
699,1.03,1.03
700,1.03,1.03
701,1.035,1.01
702,1.04,0.99
703,1.04,0.99
704,1.04,0.99
705,1.035,1.01
706,1.025,1.05
707,1.025,1.05
708,1.015,1.09
709,1.04,0.99
710,1.04,0.99
711,1.04,0.99
712,1.03,1.03
713,1.035,1.01
714,1.04,0.99
715,1.02,1.07
716,1.03,1.03
717,1.025,1.05
718,1.02,1.045
719,1.025,1.05
720,1.03,1.03
721,1.035,1.01
722,1.03,1.03
723,1.035,1.01
724,1.04,0.99
725,1.03,1.03
726,1.03,1.03
727,1.04,0.99
728,1.035,1.01
729,1.03,1.03
730,1.035,1.01
731,1.035,1.01
732,1.035,1.01
733,1.04,0.99
734,1.025,1.05
735,1.03,1.03
736,1.035,1.01
737,1.04,0.99
738,1.035,1.01
739,1.02,1.045
740,1.035,1.01
741,1.035,1.01
742,1.015,1.09
743,1.02,1.07
744,1.035,1.01
745,1.04,0.99
746,1.04,0.99
747,1.04,0.99
748,1.035,1.01
749,1.03,1.03
750,1.035,1.01
751,1.035,1.01
752,1.035,1.01
753,1.04,0.99
754,1.03,1.005
755,1.035,1.01
756,1.03,1.03
757,1.03,1.03
758,1.035,1.01
759,1.04,0.99
760,1.03,1.03
761,1.04,0.99
762,1.04,0.99
763,1.035,1.01
764,1.03,1.03
765,1.03,1.03
766,1.02,1.045
767,1.03,1.03
768,1.025,1.05
769,1.04,0.99
770,1.035,1.01
771,1.035,1.01
772,1.03,1.03
773,1.035,1.01
774,1.025,1.05
775,1.04,0.99
776,1.025,1.05
777,1.035,1.01
778,1.035,1.01
779,1.035,1.01
780,1.025,1.05
781,1.035,1.01
782,1.04,0.99
783,1.02,1.07
784,1.03,1.03
785,1.02,1.07
786,1.03,1.03
787,1.035,1.01
788,1.04,0.99
789,1.035,1.01
790,1.035,1.01
791,1.04,0.99
792,1.035,1.01
793,1.03,1.03
794,1.04,0.99
795,1.04,0.99
796,1.04,0.99
797,1.04,0.99
798,1.035,1.01
799,1.04,0.99
800,1.035,1.01
801,1.04,0.99
802,1.04,0.99
803,1.04,0.99
804,1.03,1.03
805,1.04,0.99
806,1.04,0.99
807,1.035,1.01
808,1.02,1.07
809,1.025,1.05
810,1.04,0.99
811,1.04,0.99
812,1.035,1.01
813,1.035,1.01
814,1.035,1.01
815,1.04,0.99
816,1.04,0.99
817,1.035,1.01
818,1.035,1.01
819,1.02,1.07
820,1.03,1.03
821,1.03,1.03
822,1.035,1.01
823,1.035,1.01
824,1.03,1.03
825,1.025,1.05
826,1.03,1.03
827,1.04,0.99
828,1.035,1.01
829,1.03,1.03
830,1.03,1.03
831,1.03,1.03
832,1.03,1.03
833,1.035,1.01
834,1.035,1.01
835,1.035,1.01
836,1.035,1.01
837,1.04,0.99
838,1.04,0.99
839,1.04,0.99
840,1.04,0.99
841,1.04,0.99
842,1.04,0.99
843,1.04,0.99
844,1.04,0.99
845,1.035,1.01
846,1.035,1.01
847,1.04,0.99
848,1.035,1.01
849,1.04,0.99
850,1.04,0.99
851,1.04,0.99
852,1.04,0.99
853,1.04,0.99
854,1.04,0.99
855,1.03,1.03
856,1.035,1.01
857,1.04,0.99
858,1.04,0.99
859,1.04,0.99
860,1.04,0.99
861,1.03,1.03
862,1.035,1.01
863,1.035,1.01
864,1.04,0.99
865,1.035,1.01
866,1.035,1.01
867,1.04,0.99
868,1.04,0.99
869,1.04,0.99
870,1.035,1.01
871,1.035,1.01
872,1.04,0.99
873,1.04,0.99
874,1.04,0.99
875,1.035,1.01
876,1.04,0.99
877,1.03,1.005
878,1.035,1.01
879,1.04,0.99
880,1.035,1.01
881,1.03,1.03
882,1.035,1.01
883,1.03,1.03
884,1.02,1.07
885,1.02,1.07
886,1.03,1.03
887,1.035,1.01
888,1.03,1.03
889,1.025,1.025
890,1.04,0.99
891,1.04,0.99
892,1.04,0.99
893,1.03,1.03
894,1.03,1.03
895,1.035,1.01
896,1.04,0.99
897,1.035,1.01
898,1.02,1.045
899,1.04,0.99
900,1.04,0.99
901,1.04,0.99
902,1.03,1.03
903,1.035,1.01
904,1.04,0.99
905,1.04,0.99
906,1.035,1.01
907,1.04,0.99
908,1.02,1.07
909,1.04,0.99
910,1.04,0.99
911,1.04,0.99
912,1.03,1.03
913,1.035,1.01
914,1.04,0.99
915,1.04,0.99
916,1.04,0.99
917,1.035,1.01
918,1.035,1.01
919,1.04,0.99
920,1.035,1.01
921,1.04,0.99
922,1.025,1.05
923,1.04,0.99
924,1.025,1.05
925,1.035,1.01
926,1.035,1.01
927,1.04,0.99
928,1.025,1.05
929,1.04,0.99
930,1.04,0.99
931,1.04,0.99
932,1.03,1.03
933,1.035,1.01
934,1.04,0.99
935,1.035,1.01
936,1.035,1.01
937,1.035,1.01
938,1.035,1.01
939,1.04,0.99
940,1.04,0.99
941,1.04,0.99
942,1.04,0.99
943,1.035,1.01
944,1.04,0.99
945,1.035,1.01
946,1.035,1.01
947,1.04,0.99
948,1.04,0.99
949,1.035,1.01
950,1.04,0.99
951,1.035,1.01
952,1.04,0.99
953,1.04,0.99
954,1.035,1.01
955,1.04,0.99
956,1.04,0.99
957,1.035,1.01
958,1.035,1.01
959,1.04,0.99
960,1.035,1.01
961,1.03,1.03
962,1.03,1.03
963,1.04,0.99
964,1.025,1.05
965,1.04,0.99
966,1.03,1.03
967,1.04,0.99
968,1.02,1.07
969,1.025,1.05
970,1.04,0.99
971,1.035,1.01
972,1.035,1.01
973,1.035,1.01
974,1.035,1.01
975,1.035,1.01
976,1.03,1.03
977,1.04,0.99
978,1.04,0.99
979,1.035,1.01
980,1.04,0.99
981,1.03,1.03
982,1.04,0.99
983,1.04,0.99
984,1.035,1.01
985,1.035,1.01
986,1.035,1.01
987,1.03,1.03
988,1.035,1.01
989,1.04,0.99
990,1.04,0.99
991,1.04,0.99
992,1.04,0.99
993,1.04,0.99
994,1.03,1.03
995,1.04,0.99
996,1.035,1.01
997,1.04,0.99
998,1.035,1.01
999,1.035,1.01
