,NeuralAgent_Student24_200bAgent_rng,Student24_200bAgent
0,0.97,1.12
1,0.515,2.94
2,0.54,2.84
3,0.52,2.92
4,0.535,2.86
5,0.48,3.08
6,0.53,2.88
7,0.48,3.08
8,0.475,3.1
9,0.505,2.98
10,0.44,3.24
11,0.47,3.12
12,0.49,3.04
13,0.46,3.16
14,0.52,2.92
15,0.48,3.08
16,0.47,3.12
17,0.535,2.86
18,0.455,3.18
19,0.435,3.26
20,0.485,3.06
21,0.47,3.12
22,0.43,3.28
23,0.465,3.14
24,0.49,3.04
25,0.445,3.22
26,0.515,2.94
27,0.505,2.98
28,0.47,3.12
29,0.42,3.32
30,0.435,3.26
31,0.52,2.92
32,0.5,3.0
33,0.45,3.2
34,0.435,3.26
35,0.435,3.26
36,0.41,3.36
37,0.44,3.24
38,0.485,3.06
39,0.495,3.02
40,0.465,3.14
41,0.495,3.02
42,0.4,3.4
43,0.405,3.38
44,0.43,3.28
45,0.445,3.22
46,0.41,3.36
47,0.465,3.14
48,0.41,3.36
49,0.46,3.16
50,0.47,3.12
51,0.435,3.26
52,0.455,3.18
53,0.405,3.38
54,0.455,3.18
55,0.475,3.1
56,0.43,3.28
57,0.46,3.16
58,0.445,3.22
59,0.325,3.7
60,0.41,3.36
61,0.44,3.24
62,0.45,3.2
63,0.395,3.42
64,0.36,3.56
65,0.38,3.48
66,0.42,3.32
67,0.415,3.34
68,0.395,3.42
69,0.415,3.34
70,0.46,3.16
71,0.41,3.36
72,0.445,3.22
73,0.4,3.4
74,0.39,3.44
75,0.43,3.28
76,0.33,3.68
77,0.385,3.46
78,0.395,3.42
79,0.475,3.1
80,0.445,3.22
81,0.375,3.5
82,0.45,3.2
83,0.39,3.44
84,0.385,3.46
85,0.395,3.42
86,0.33,3.68
87,0.39,3.44
88,0.42,3.32
89,0.325,3.7
90,0.365,3.54
91,0.38,3.48
92,0.32,3.72
93,0.35,3.6
94,0.385,3.46
95,0.355,3.58
96,0.33,3.68
97,0.355,3.58
98,0.37,3.52
99,0.37,3.52
100,0.41,3.36
101,0.38,3.48
102,0.345,3.62
103,0.355,3.58
104,0.3,3.8
105,0.375,3.5
106,0.325,3.7
107,0.395,3.42
108,0.36,3.56
109,0.345,3.62
110,0.295,3.82
111,0.32,3.72
112,0.34,3.64
113,0.285,3.86
114,0.4,3.4
115,0.39,3.44
116,0.315,3.74
117,0.305,3.78
118,0.295,3.82
119,0.295,3.82
120,0.32,3.72
121,0.335,3.66
122,0.285,3.86
123,0.295,3.82
124,0.32,3.72
125,0.295,3.82
126,0.325,3.7
127,0.29,3.84
128,0.355,3.58
129,0.3,3.8
130,0.315,3.74
131,0.34,3.64
132,0.325,3.7
133,0.27,3.92
134,0.29,3.84
135,0.29,3.84
136,0.265,3.94
137,0.255,3.98
138,0.29,3.84
139,0.275,3.9
140,0.315,3.74
141,0.275,3.9
142,0.25,4.0
143,0.295,3.82
144,0.31,3.76
145,0.265,3.94
146,0.255,3.98
147,0.24,4.04
148,0.285,3.86
149,0.225,4.1
150,0.21,4.16
151,0.22,4.12
152,0.215,4.14
153,0.29,3.84
154,0.27,3.92
155,0.28,3.88
156,0.255,3.98
157,0.25,4.0
158,0.27,3.92
159,0.25,4.0
160,0.225,4.1
161,0.21,4.16
162,0.22,4.12
163,0.21,4.16
164,0.26,3.96
165,0.2,4.2
166,0.22,4.12
167,0.225,4.1
168,0.225,4.1
169,0.2,4.2
170,0.245,4.02
171,0.2,4.2
172,0.21,4.16
173,0.165,4.34
174,0.21,4.16
175,0.27,3.92
176,0.23,4.08
177,0.22,4.12
178,0.21,4.16
179,0.2,4.2
180,0.17,4.32
181,0.19,4.24
182,0.205,4.18
183,0.18,4.28
184,0.19,4.24
185,0.27,3.92
186,0.185,4.26
187,0.16,4.36
188,0.195,4.22
189,0.125,4.5
190,0.17,4.32
191,0.175,4.3
192,0.195,4.22
193,0.16,4.36
194,0.16,4.36
195,0.195,4.22
196,0.165,4.34
197,0.185,4.26
198,0.195,4.22
