,NeuralAgentOpMe_TitF2tatAgent_rng,TitF2tatAgent
316,3.115,1.89
317,3.165,1.815
318,3.07,1.895
319,3.15,1.85
320,3.2,1.95
321,3.125,2.0
322,3.15,1.95
323,3.325,1.85
324,3.01,1.86
325,3.075,1.9
326,3.135,1.91
327,3.04,1.915
328,3.35,1.875
329,3.01,1.735
330,2.995,1.82
331,3.25,1.85
332,3.03,1.98
333,3.015,1.865
334,3.265,1.79
335,3.235,1.935
336,3.14,1.74
337,3.215,1.915
338,3.125,1.85
339,2.935,1.835
340,3.08,1.93
341,2.92,1.845
342,3.125,1.9
343,2.79,1.74
344,3.13,1.855
345,3.105,1.88
346,3.09,1.865
347,3.115,1.865
348,3.025,1.9
349,3.035,1.91
350,3.115,1.915
351,3.075,1.8
352,3.085,1.81
353,3.28,1.855
354,3.04,1.79
355,3.155,1.83
356,3.275,1.9
357,3.0,1.775
358,3.005,1.78
359,3.12,1.845
360,2.905,1.705
361,3.165,1.74
362,3.105,1.83
363,2.91,1.885
364,2.955,1.83
365,3.085,1.885
366,2.855,1.755
367,3.16,2.01
368,3.155,1.855
369,3.045,1.82
370,2.885,1.735
371,3.025,1.825
372,3.11,1.835
373,3.18,1.805
374,3.085,1.81
375,3.085,1.81
376,2.91,1.76
377,3.085,1.785
378,3.115,1.84
379,3.1,1.9
380,3.215,1.94
381,3.09,1.915
382,3.025,1.825
383,3.125,1.875
384,3.24,1.915
385,3.045,1.82
386,2.985,1.785
387,3.295,1.92
388,3.145,1.945
389,3.145,1.87
390,2.955,1.78
391,3.135,1.785
392,3.24,1.915
393,3.05,1.85
394,3.28,1.93
395,3.11,1.835
396,2.995,1.845
397,3.115,1.865
398,3.01,1.785
399,3.065,1.89
400,3.2,1.9
401,3.22,1.92
402,2.98,1.805
403,2.84,1.84
404,3.14,1.84
405,3.245,1.945
406,3.175,1.85
407,2.975,1.825
408,3.135,1.835
409,3.26,2.01
410,2.95,1.775
411,3.255,1.88
412,3.19,1.89
413,3.28,1.955
414,3.225,1.8
415,3.2,1.875
416,3.13,1.83
417,3.085,1.91
418,3.245,1.87
419,3.13,1.88
420,3.23,1.98
421,3.3,1.925
422,3.2,1.925
423,2.975,1.8
424,3.125,1.9
