,NeuralAgent_Student19_200bAgent_rng,Student19_200bAgent
0,2.475,2.0
1,2.11,2.41
2,1.445,3.12
3,1.215,3.365
4,1.08,3.555
5,0.985,3.66
6,0.95,3.725
7,0.99,3.615
8,0.735,3.96
9,0.5,4.325
10,0.155,4.78
11,0.04,4.965
12,0.13,4.855
13,0.135,4.86
14,0.04,4.965
15,0.085,4.91
16,0.04,4.965
17,0.015,4.99
18,0.015,4.99
19,0.155,4.83
20,0.055,4.93
21,0.24,4.715
22,0.035,4.96
23,0.015,4.99
24,0.015,4.99
25,0.015,4.99
26,0.015,4.99
27,0.145,4.82
28,0.015,4.99
29,0.015,4.99
30,0.255,4.68
31,0.015,4.99
32,0.295,4.67
33,0.015,4.99
34,0.18,4.805
35,0.015,4.99
36,0.015,4.99
37,0.015,4.99
38,0.015,4.99
39,0.015,4.99
40,0.905,3.98
41,0.015,4.99
42,1.815,3.04
43,1.22,3.645
44,0.49,4.465
45,0.04,4.965
46,0.56,4.385
47,0.105,4.88
48,0.7,4.225
49,0.885,4.06
50,3.855,0.805
51,3.085,1.66
52,0.23,4.755
53,3.99,0.69
54,4.015,0.665
55,0.015,4.99
56,0.015,4.99
57,4.145,0.595
58,4.46,0.36
59,4.22,0.52
60,4.61,0.26
61,4.34,0.44
62,4.68,0.23
63,0.015,4.99
64,4.87,0.095
65,4.88,0.08
66,4.94,0.04
67,4.79,0.14
68,0.105,4.88
69,0.015,4.99
70,4.85,0.1
71,4.91,0.06
72,4.85,0.1
73,4.945,0.045
74,5.0,0.0
75,4.88,0.08
76,4.97,0.02
77,4.97,0.02
78,4.93,0.055
79,4.82,0.12
80,4.97,0.02
81,4.94,0.04
82,0.015,4.99
83,4.815,0.165
84,5.0,0.0
85,4.915,0.065
86,4.94,0.04
87,4.94,0.04
88,4.97,0.02
89,4.97,0.02
90,4.94,0.04
91,4.97,0.02
92,5.0,0.0
93,4.97,0.02
94,5.0,0.0
95,5.0,0.0
96,5.0,0.0
97,5.0,0.0
98,4.97,0.02
99,4.97,0.02
100,4.97,0.02
101,5.0,0.0
102,4.97,0.02
103,5.0,0.0
104,4.97,0.02
105,4.94,0.04
106,4.97,0.02
107,4.92,0.07
108,4.97,0.02
109,4.915,0.065
110,5.0,0.0
111,4.94,0.04
112,5.0,0.0
113,4.97,0.02
114,5.0,0.0
115,4.97,0.02
116,0.015,4.99
117,4.97,0.02
118,5.0,0.0
119,5.0,0.0
120,0.055,4.93
121,4.97,0.02
122,4.94,0.04
123,5.0,0.0
124,4.865,0.115
125,4.97,0.02
126,4.945,0.045
127,4.97,0.02
128,4.78,0.18
129,5.0,0.0
130,4.97,0.02
131,4.97,0.02
132,0.015,4.99
133,4.97,0.02
134,4.97,0.02
135,5.0,0.0
136,4.97,0.02
137,4.94,0.04
138,4.79,0.14
139,4.79,0.14
140,4.97,0.02
141,4.76,0.16
142,4.88,0.08
143,4.88,0.08
144,4.88,0.08
145,5.0,0.0
146,4.91,0.06
147,4.94,0.04
148,4.915,0.065
149,4.86,0.11
150,5.0,0.0
151,4.97,0.02
152,4.97,0.02
153,4.97,0.02
154,4.97,0.02
155,5.0,0.0
156,4.97,0.02
157,4.97,0.02
158,4.945,0.045
159,4.94,0.04
160,5.0,0.0
161,5.0,0.0
162,4.945,0.045
163,5.0,0.0
164,5.0,0.0
165,4.94,0.04
166,4.885,0.085
167,5.0,0.0
168,4.97,0.02
169,4.945,0.045
170,4.97,0.02
171,4.855,0.105
172,5.0,0.0
173,4.97,0.02
174,4.94,0.04
175,4.79,0.14
176,4.91,0.06
177,4.795,0.145
178,4.765,0.165
179,4.85,0.1
180,4.79,0.14
181,4.64,0.24
182,4.64,0.24
183,4.25,0.5
184,4.295,0.495
185,4.235,0.535
186,4.26,0.51
187,4.26,0.51
188,4.2,0.55
189,4.7,0.2
190,4.24,0.54
191,4.46,0.41
192,4.82,0.12
193,4.885,0.085
194,4.79,0.14
195,4.71,0.21
196,5.0,0.0
197,5.0,0.0
198,4.94,0.04
199,4.97,0.02
200,4.945,0.045
201,5.0,0.0
202,4.97,0.02
203,4.88,0.08
204,4.895,0.095
205,4.97,0.02
206,4.885,0.085
207,4.885,0.085
208,4.94,0.04
209,4.97,0.02
210,4.97,0.02
211,4.97,0.02
212,4.97,0.02
213,4.97,0.02
214,4.94,0.04
215,5.0,0.0
216,4.87,0.12
217,4.97,0.02
218,5.0,0.0
219,4.97,0.02
220,4.945,0.045
221,5.0,0.0
222,4.94,0.04
223,4.97,0.02
224,4.865,0.115
225,4.97,0.02
226,4.97,0.02
227,5.0,0.0
228,5.0,0.0
229,4.97,0.02
230,4.92,0.07
231,4.97,0.02
232,4.97,0.02
233,4.97,0.02
234,5.0,0.0
235,5.0,0.0
236,4.97,0.02
237,4.97,0.02
238,4.97,0.02
239,4.89,0.09
240,4.915,0.065
241,5.0,0.0
242,4.855,0.105
243,5.0,0.0
244,5.0,0.0
245,4.92,0.07
246,4.97,0.02
247,5.0,0.0
248,4.97,0.02
249,4.97,0.02
250,5.0,0.0
251,4.91,0.06
252,4.94,0.04
253,4.885,0.085
254,4.97,0.02
255,4.94,0.04
256,4.91,0.06
257,4.97,0.02
258,4.86,0.11
259,4.885,0.085
260,4.97,0.02
261,4.94,0.04
262,4.94,0.04
263,4.97,0.02
264,5.0,0.0
265,4.97,0.02
266,4.91,0.06
267,4.85,0.1
268,4.835,0.135
269,4.86,0.11
270,4.88,0.08
271,0.135,4.86
272,0.09,4.915
273,4.945,0.045
274,4.83,0.13
275,4.97,0.02
276,4.97,0.02
277,4.94,0.04
278,0.13,4.855
279,4.915,0.065
280,4.94,0.04
281,4.97,0.02
282,4.945,0.045
283,5.0,0.0
284,0.015,4.99
285,5.0,0.0
286,4.97,0.02
287,4.915,0.065
288,0.035,4.96
289,0.12,4.845
290,4.97,0.02
291,4.91,0.06
292,0.035,4.96
293,4.97,0.02
