,NeuralAgentOpMe_Student11_200mAgent_rng,Student11_200mAgent
0,3.78,0.93
1,3.275,1.325
2,3.21,1.585
3,3.37,1.37
4,3.19,1.515
5,3.155,1.63
6,3.13,1.705
7,2.72,1.72
8,2.93,1.855
9,3.185,1.61
10,3.015,1.865
11,2.85,1.9
12,2.84,1.865
13,2.64,1.99
14,2.475,2.15
15,2.455,2.105
16,2.45,2.175
17,2.455,2.105
18,2.48,2.155
19,2.42,2.12
20,2.375,2.15
21,2.47,2.12
22,2.4,2.175
23,2.325,2.175
24,2.38,2.105
25,2.38,2.205
26,2.335,2.235
27,2.345,2.22
28,5.0,0.0
29,4.925,0.05
30,2.325,2.175
31,4.97,0.02
32,4.97,0.02
33,2.195,2.195
34,4.94,0.04
35,4.96,0.035
36,4.97,0.02
37,5.0,0.0
38,4.97,0.02
39,5.0,0.0
40,4.765,0.165
41,4.36,0.435
42,5.0,0.0
43,5.0,0.0
44,5.0,0.0
45,5.0,0.0
46,5.0,0.0
47,4.94,0.04
48,5.0,0.0
49,5.0,0.0
50,4.97,0.02
51,4.97,0.02
52,5.0,0.0
53,5.0,0.0
54,5.0,0.0
55,5.0,0.0
56,4.97,0.02
57,4.97,0.02
58,5.0,0.0
59,5.0,0.0
60,5.0,0.0
61,4.94,0.04
62,4.96,0.035
63,4.97,0.02
64,4.97,0.02
65,5.0,0.0
66,5.0,0.0
67,4.97,0.02
68,4.97,0.02
69,4.96,0.035
70,5.0,0.0
71,5.0,0.0
72,5.0,0.0
73,5.0,0.0
74,4.925,0.05
75,5.0,0.0
76,5.0,0.0
77,4.925,0.05
78,5.0,0.0
79,5.0,0.0
80,5.0,0.0
81,5.0,0.0
82,5.0,0.0
83,4.97,0.02
84,5.0,0.0
85,5.0,0.0
86,4.97,0.02
87,4.915,0.065
88,4.97,0.02
89,4.97,0.02
90,5.0,0.0
91,5.0,0.0
92,5.0,0.0
93,4.925,0.05
94,5.0,0.0
95,5.0,0.0
96,4.97,0.02
97,4.97,0.02
98,4.97,0.02
99,4.97,0.02
100,4.97,0.02
101,4.94,0.04
102,4.97,0.02
103,4.97,0.02
104,5.0,0.0
105,4.96,0.035
106,5.0,0.0
107,5.0,0.0
108,4.97,0.02
109,5.0,0.0
110,4.97,0.02
111,5.0,0.0
112,4.925,0.05
113,4.96,0.035
114,4.97,0.02
115,4.97,0.02
116,4.97,0.02
117,5.0,0.0
118,4.97,0.02
119,5.0,0.0
120,5.0,0.0
121,4.97,0.02
122,4.97,0.02
123,5.0,0.0
124,5.0,0.0
125,4.935,0.06
126,4.97,0.02
127,4.97,0.02
128,4.96,0.035
129,4.97,0.02
130,4.905,0.08
131,4.915,0.065
132,4.97,0.02
133,4.96,0.035
134,5.0,0.0
135,4.97,0.02
136,4.96,0.035
137,5.0,0.0
138,4.97,0.02
139,5.0,0.0
140,5.0,0.0
141,4.94,0.04
142,4.925,0.05
143,4.97,0.02
144,4.96,0.035
145,4.925,0.05
146,4.96,0.035
147,4.925,0.05
148,4.925,0.05
149,4.93,0.08
150,4.87,0.095
151,4.97,0.02
152,4.925,0.05
153,4.96,0.035
154,5.0,0.0
155,4.97,0.02
156,4.925,0.075
157,4.925,0.05
158,4.905,0.08
159,4.935,0.06
160,4.895,0.095
161,4.95,0.05
162,4.925,0.05
163,4.96,0.035
164,4.97,0.02
165,4.925,0.075
166,4.935,0.06
167,5.0,0.0
168,5.0,0.0
169,4.895,0.07
170,4.935,0.06
171,4.925,0.05
172,4.96,0.035
173,4.94,0.04
174,4.925,0.05
175,4.89,0.09
176,4.93,0.055
177,4.885,0.11
178,4.96,0.035
179,4.97,0.02
180,4.95,0.05
181,4.97,0.02
182,4.925,0.05
183,4.89,0.09
184,4.96,0.035
185,5.0,0.0
186,4.97,0.02
187,4.96,0.035
188,4.915,0.09
189,4.87,0.095
190,4.96,0.035
191,4.915,0.09
192,4.905,0.08
193,4.97,0.02
194,4.915,0.065
195,4.92,0.07
196,4.88,0.08
197,4.97,0.02
198,4.935,0.06
199,4.94,0.065
200,4.875,0.1
201,4.95,0.05
202,4.89,0.09
203,4.93,0.055
204,4.875,0.1
205,4.96,0.035
206,4.86,0.11
207,4.89,0.09
208,4.785,0.16
209,4.88,0.13
210,4.93,0.055
211,4.865,0.115
212,4.775,0.2
213,4.77,0.195
214,4.5,0.5
215,4.385,0.535
216,4.785,0.21
217,4.805,0.18
218,4.895,0.095
219,4.585,0.385
220,4.66,0.36
221,4.605,0.305
222,4.91,0.085
223,4.835,0.135
224,4.73,0.255
225,4.605,0.355
226,4.625,0.35
227,4.495,0.445
228,4.895,0.095
229,4.685,0.26
230,4.64,0.29
231,4.72,0.245
232,4.88,0.08
233,4.88,0.08
234,4.87,0.12
235,4.96,0.035
236,4.97,0.02
237,4.97,0.02
238,4.89,0.09
239,4.88,0.105
240,4.925,0.05
241,4.905,0.08
242,4.925,0.075
243,4.91,0.085
244,4.925,0.05
245,4.95,0.05
246,4.93,0.055
247,4.97,0.02
248,4.905,0.08
249,4.875,0.1
250,4.94,0.065
251,4.93,0.08
252,4.89,0.09
253,4.97,0.02
254,4.89,0.09
255,4.93,0.055
256,4.895,0.095
257,4.905,0.08
258,4.93,0.055
259,4.93,0.055
260,4.89,0.115
261,4.86,0.11
262,4.96,0.035
263,4.91,0.11
264,4.97,0.02
265,4.875,0.1
266,4.885,0.11
267,4.96,0.035
268,4.94,0.065
269,4.905,0.08
270,4.935,0.06
271,4.86,0.135
272,4.95,0.05
273,4.97,0.02
274,4.97,0.02
275,4.84,0.115
276,4.835,0.11
277,4.96,0.035
278,4.95,0.05
279,4.81,0.135
280,4.88,0.105
281,4.885,0.085
282,4.93,0.055
283,4.97,0.02
284,4.885,0.11
285,4.91,0.11
286,4.905,0.08
287,4.93,0.08
288,4.77,0.17
289,5.0,0.0
290,4.935,0.06
291,4.91,0.085
292,4.88,0.105
293,4.79,0.165
294,4.905,0.08
295,4.95,0.05
296,4.805,0.18
297,4.92,0.07
298,4.835,0.11
299,4.905,0.105
300,4.915,0.065
301,4.97,0.02
302,4.93,0.08
303,4.935,0.06
304,4.785,0.235
305,4.93,0.055
306,4.815,0.19
307,4.835,0.135
308,4.95,0.05
309,4.93,0.08
310,4.83,0.13
311,4.855,0.105
312,4.93,0.055
313,4.85,0.1
314,4.93,0.055
315,4.96,0.035
316,4.93,0.055
317,4.93,0.055
318,4.905,0.08
319,4.835,0.11
320,4.86,0.11
321,4.77,0.17
322,4.85,0.1
323,4.89,0.09
324,4.96,0.035
325,4.935,0.06
326,4.97,0.02
327,4.915,0.09
328,4.925,0.05
329,4.855,0.105
330,4.96,0.035
331,4.96,0.035
332,4.96,0.035
333,4.905,0.08
334,4.94,0.065
335,4.84,0.115
336,4.95,0.05
337,4.86,0.11
338,4.96,0.035
339,4.97,0.02
340,4.95,0.05
341,4.935,0.06
342,4.95,0.05
343,4.835,0.11
344,4.9,0.075
345,4.97,0.02
346,4.84,0.165
347,4.895,0.07
348,4.94,0.04
349,4.925,0.075
350,4.915,0.065
351,4.94,0.065
352,4.835,0.11
353,4.97,0.02
354,4.94,0.065
355,4.925,0.075
356,4.96,0.035
357,4.87,0.17
358,4.93,0.055
359,4.91,0.085
360,4.93,0.08
361,4.885,0.085
362,4.885,0.11
363,4.905,0.08
364,4.905,0.08
365,4.93,0.08
366,4.97,0.02
367,4.94,0.04
368,4.92,0.095
369,4.93,0.08
370,4.69,0.29
371,4.89,0.115
372,4.83,0.155
373,4.89,0.09
374,5.0,0.0
375,4.89,0.09
376,4.825,0.125
377,4.92,0.07
378,4.91,0.085
379,4.93,0.055
380,4.97,0.02
381,4.94,0.04
382,4.88,0.105
383,4.85,0.1
384,4.845,0.145
385,4.85,0.125
386,4.92,0.07
387,4.695,0.27
388,4.875,0.125
389,4.94,0.065
390,4.805,0.13
391,4.905,0.105
392,4.905,0.08
393,4.885,0.085
394,4.9,0.075
395,4.87,0.12
396,4.835,0.11
397,4.84,0.115
398,4.875,0.1
399,4.79,0.14
400,4.885,0.11
401,4.95,0.05
402,4.95,0.05
403,4.91,0.11
404,4.94,0.065
405,4.97,0.02
406,4.97,0.02
407,4.865,0.14
408,4.94,0.04
409,4.885,0.085
410,4.86,0.135
411,4.85,0.125
412,4.915,0.09
413,4.97,0.02
414,4.89,0.09
415,4.88,0.105
416,4.92,0.095
417,4.53,0.405
418,4.94,0.04
419,4.835,0.135
420,4.805,0.155
421,4.94,0.065
422,4.925,0.05
423,4.95,0.05
424,4.82,0.145
425,4.94,0.04
426,4.905,0.08
427,4.96,0.035
428,4.93,0.055
429,4.73,0.205
430,4.835,0.135
431,4.905,0.105
432,4.93,0.08
433,4.89,0.115
434,4.785,0.16
435,4.9,0.1
436,4.88,0.08
437,4.935,0.06
438,4.755,0.18
439,4.89,0.09
440,4.82,0.145
441,4.9,0.1
442,4.96,0.035
