,NeuralAgent_Student10_200mAgent_rng,Student10_200mAgent
0,3.855,1.655
1,4.15,1.2
2,4.025,1.3
3,4.315,1.015
4,4.34,0.64
5,4.51,0.56
6,4.69,0.34
7,4.205,0.38
8,3.915,0.44
9,4.415,0.315
10,4.355,0.33
11,4.29,0.34
12,4.165,0.365
13,4.175,0.35
14,4.12,0.345
15,4.37,0.32
16,3.895,0.42
17,4.315,0.29
18,3.9,0.425
19,4.805,0.23
20,4.44,0.29
21,4.415,0.29
22,4.505,0.28
23,4.31,0.31
24,4.79,0.215
25,4.725,0.225
26,4.31,0.46
27,4.685,0.26
28,4.73,0.255
29,4.74,0.29
30,4.77,0.245
31,4.535,0.285
32,4.805,0.205
33,4.66,0.285
34,4.755,0.255
35,4.695,0.27
36,4.725,0.25
37,4.68,0.28
38,4.49,0.265
39,4.5,0.325
40,4.675,0.3
41,4.67,0.37
42,4.475,0.375
43,4.77,0.22
44,4.435,0.31
45,4.785,0.21
46,4.775,0.225
47,4.785,0.235
48,4.745,0.27
49,4.58,0.28
50,4.65,0.25
51,4.75,0.25
52,4.68,0.255
53,4.815,0.24
54,4.57,0.245
55,4.765,0.215
56,4.725,0.225
57,4.82,0.195
58,4.785,0.21
59,4.67,0.295
60,4.8,0.225
61,3.97,0.395
62,4.87,0.17
63,4.675,0.25
64,4.815,0.24
65,4.755,0.255
66,4.64,0.24
67,4.74,0.315
68,4.625,0.325
69,4.66,0.36
70,4.655,0.43
71,4.55,0.575
72,4.575,0.6
73,4.595,0.47
74,4.645,0.47
75,4.615,0.34
76,4.495,0.32
77,4.65,0.3
78,4.525,0.275
79,4.65,0.25
80,4.855,0.18
81,4.25,0.35
82,4.485,0.26
83,4.345,0.32
84,4.775,0.2
85,4.07,0.37
86,4.31,0.335
87,4.725,0.225
88,4.755,0.205
89,3.965,0.365
90,4.825,0.225
91,4.2,0.35
92,4.75,0.2
93,4.715,0.24
94,4.67,0.22
95,4.665,0.265
96,4.795,0.22
97,4.015,0.39
98,4.755,0.205
99,4.78,0.205
100,4.835,0.21
101,4.795,0.22
102,4.75,0.275
103,4.63,0.33
104,4.74,0.315
105,4.73,0.255
106,4.56,0.335
107,4.595,0.395
108,4.565,0.565
109,4.685,0.36
110,4.63,0.505
111,4.495,0.645
112,4.61,0.46
113,4.655,0.33
114,4.59,0.34
115,4.73,0.255
116,4.76,0.21
117,4.78,0.23
118,4.675,0.25
119,4.715,0.24
120,4.625,0.25
121,4.755,0.205
122,4.545,0.27
123,4.78,0.23
124,4.765,0.215
125,4.765,0.24
126,4.635,0.335
127,4.545,0.295
128,4.69,0.265
129,4.825,0.225
130,4.5,0.25
131,4.805,0.23
132,4.75,0.35
133,4.765,0.24
134,4.71,0.31
135,4.71,0.285
136,4.58,0.28
137,4.785,0.21
138,4.7,0.35
139,4.79,0.265
140,4.655,0.405
141,4.725,0.3
142,4.73,0.23
143,4.745,0.245
144,4.765,0.215
145,4.71,0.26
146,4.695,0.32
147,4.665,0.24
148,4.765,0.215
149,4.61,0.235
150,4.675,0.325
151,4.72,0.245
152,4.665,0.44
153,4.6,0.5
154,4.535,0.56
155,4.45,0.7
156,4.45,0.775
157,4.64,0.515
158,4.365,0.815
159,4.63,0.455
160,4.415,0.49
161,4.725,0.275
162,4.75,0.25
163,4.78,0.205
164,4.74,0.215
165,4.48,0.305
166,4.525,0.25
167,4.44,0.265
168,4.85,0.2
169,4.68,0.23
170,4.785,0.21
171,4.81,0.21
172,4.695,0.22
173,4.76,0.235
174,4.66,0.235
175,4.825,0.225
176,4.815,0.24
177,4.78,0.205
178,4.755,0.23
179,4.505,0.255
180,4.62,0.37
181,4.77,0.27
182,4.81,0.21
183,4.81,0.235
184,4.685,0.21
185,4.705,0.28
186,4.275,0.325
187,4.655,0.255
188,4.555,0.305
189,4.66,0.435
190,4.745,0.27
191,4.7,0.3
192,4.775,0.2
193,4.74,0.29
194,4.655,0.305
195,4.625,0.35
196,4.46,0.485
197,4.625,0.475
198,4.515,0.69
199,4.375,0.75
200,4.35,0.85
201,4.385,0.81
202,4.415,0.715
203,4.505,0.605
204,4.555,0.555
205,4.705,0.255
206,4.71,0.235
207,4.66,0.235
208,4.715,0.24
209,4.71,0.235
210,4.815,0.265
211,4.67,0.32
212,4.53,0.255
213,4.615,0.29
214,4.685,0.26
215,4.605,0.255
216,4.41,0.285
217,4.65,0.3
218,4.69,0.24
219,4.685,0.26
220,4.53,0.405
221,4.715,0.215
222,4.72,0.32
223,4.7,0.3
224,4.805,0.205
225,4.7,0.4
226,4.575,0.5
227,4.745,0.245
228,4.485,0.51
229,4.64,0.315
230,4.45,0.725
231,4.275,1.025
232,4.335,0.935
233,4.27,1.045
234,4.05,1.275
235,4.165,1.19
236,4.29,0.94
237,4.095,1.17
238,4.1,1.15
239,4.34,0.865
240,4.225,1.025
241,4.675,0.45
242,4.63,0.305
243,4.73,0.28
244,4.67,0.395
245,4.755,0.305
246,4.7,0.325
247,4.68,0.33
248,4.735,0.285
249,4.66,0.285
250,4.715,0.34
251,4.67,0.37
252,4.705,0.305
253,4.695,0.245
254,4.605,0.355
255,4.77,0.295
256,4.43,0.605
257,4.63,0.43
258,4.195,1.02
259,4.47,0.72
260,4.23,0.93
261,4.295,0.97
262,4.56,0.485
263,4.525,0.6
264,4.6,0.4
265,4.495,0.52
266,4.75,0.35
267,4.69,0.39
268,4.735,0.31
269,4.66,0.285
270,4.105,0.355
271,4.725,0.25
272,4.66,0.285
273,4.545,0.295
274,4.55,0.25
275,4.775,0.225
276,4.785,0.235
277,4.75,0.2
278,4.795,0.195
279,4.725,0.275
280,4.745,0.245
281,4.78,0.255
282,4.68,0.38
283,4.695,0.27
284,4.71,0.36
285,4.57,0.495
286,4.695,0.295
287,4.65,0.3
288,4.505,0.605
289,4.635,0.435
290,4.635,0.41
291,4.135,1.21
292,4.52,0.595
293,4.65,0.35
294,4.335,0.76
295,4.625,0.475
296,4.565,0.39
297,4.45,0.775
298,4.67,0.42
299,4.66,0.385
300,4.54,0.49
301,4.43,0.63
302,4.42,0.67
303,4.665,0.315
304,4.7,0.275
305,4.645,0.32
306,4.645,0.245
307,4.61,0.41
308,4.78,0.28
309,4.645,0.42
310,4.62,0.345
311,4.56,0.485
312,4.715,0.265
313,4.46,0.61
314,4.61,0.46
315,4.54,0.54
316,4.28,0.98
317,4.185,1.035
318,4.36,0.91
319,4.815,0.24
320,4.245,1.02
321,4.22,0.995
322,4.455,0.63
323,4.575,0.45
324,4.69,0.39
325,4.735,0.285
326,4.72,0.295
327,4.74,0.29
328,4.485,0.585
329,4.665,0.315
330,4.575,0.5
331,4.62,0.395
332,4.355,0.805
333,4.2,1.025
334,4.42,0.795
335,4.225,1.075
336,4.49,0.69
337,4.515,0.69
338,4.5,0.55
339,4.78,0.23
340,4.705,0.28
341,4.675,0.325
342,4.725,0.225
343,4.625,0.25
344,4.67,0.245
345,4.675,0.25
346,4.84,0.19
347,4.66,0.385
348,4.77,0.22
349,4.685,0.235
350,4.71,0.26
351,4.775,0.275
352,4.68,0.355
353,4.615,0.315
354,4.755,0.33
355,4.58,0.48
356,4.29,1.015
357,4.27,0.945
