,NeuralAgent_BattleRoyal_rng,AlwaysDefectAgent,RandomChoiceAgent,Student13_200aAgent,Student13_200bAgent,Student13_200cAgent,Student13_200mAgent,Student16_200bAgent,Student16_200cAgent,Student17_200aAgent,Student17_200bAgent,Student17_200mAgent,Student19_200aAgent,Student19_200bAgent,Student19_200cAgent,Student19_200mAgent,Student1_200aAgent,Student1_200bAgent,Student1_200cAgent,Student1_200mAgent,Student21_200aAgent,Student21_200cAgent,Student22_200mAgent,Student23_200mAgent,Student24_200bAgent,Student24_200cAgent,Student24_200mAgent,Student26_200bAgent,Student26_200cAgent,Student26_200mAgent,Student2_200aAgent,Student2_200cAgent,TitF2tatAgent,TitFTatAgent
0,1.9428787878787879,2.151666666666667,1.643030303030303,1.5857575757575757,1.6227272727272728,1.8996969696969697,1.920909090909091,1.7262121212121213,1.6818181818181819,1.8981818181818182,1.8996969696969697,2.148030303030303,1.8325757575757575,1.7531818181818182,1.5427272727272727,1.5736363636363637,2.1665151515151515,1.8901515151515151,1.7563636363636363,1.8984848484848484,2.146818181818182,1.8731818181818183,1.956969696969697,1.7163636363636363,2.1577272727272727,2.1377272727272727,1.5851515151515152,1.96,1.9357575757575758,2.0015151515151515,0.01893939393939394,1.5709090909090908,1.9539393939393939,2.0284848484848483
1,1.9566666666666668,2.1983333333333333,1.6739393939393938,1.6333333333333333,1.8234848484848485,2.193636363636364,2.0836363636363635,1.9666666666666666,1.8445454545454545,2.1960606060606063,2.1766666666666667,2.2195454545454547,1.8287878787878789,1.7459090909090909,1.5681818181818181,1.631060606060606,2.158030303030303,1.84,1.8163636363636364,1.8336363636363637,2.183030303030303,1.9195454545454544,1.959090909090909,1.7203030303030302,2.19469696969697,2.1989393939393937,1.6307575757575759,1.9616666666666667,1.9731818181818181,2.0003030303030305,0.01893939393939394,1.6086363636363636,1.9604545454545454,2.0236363636363635
2,1.8354545454545454,2.2837878787878787,1.7777272727272728,1.7342424242424241,1.8896969696969697,2.242121212121212,2.0528787878787877,1.7581818181818183,1.7922727272727272,2.0766666666666667,2.063030303030303,2.2195454545454547,1.872121212121212,1.7284848484848485,1.5754545454545454,1.625909090909091,2.165,1.8413636363636363,1.813030303030303,1.8328787878787878,2.1971212121212123,1.9310606060606061,1.9643939393939394,1.7239393939393939,2.203181818181818,2.2025757575757576,1.6242424242424243,1.9562121212121213,1.9787878787878788,1.9975757575757576,0.018333333333333333,1.6113636363636363,1.9634848484848484,2.0309090909090908
3,1.7798484848484848,2.25469696969697,1.768939393939394,1.7345454545454546,1.8325757575757575,2.2254545454545456,1.9866666666666666,1.642121212121212,1.7846969696969697,1.9537878787878789,1.9534848484848484,2.2116666666666664,1.8246969696969697,1.7442424242424241,1.5762121212121212,1.6263636363636365,2.2218181818181817,1.8668181818181817,1.8098484848484848,1.853939393939394,2.1834848484848486,1.935,1.9639393939393939,1.7195454545454545,2.208030303030303,2.209848484848485,1.6371212121212122,1.9528787878787879,1.972878787878788,2.002121212121212,0.01893939393939394,1.6136363636363635,1.9559090909090908,2.034090909090909
4,1.73,2.1522727272727273,1.7236363636363636,1.7230303030303031,1.9510606060606062,2.236969696969697,2.1054545454545455,1.8662121212121212,1.8480303030303031,2.1807575757575757,2.190909090909091,2.2286363636363635,1.8698484848484849,1.7365151515151516,1.572878787878788,1.6204545454545454,2.170909090909091,1.8775757575757577,1.8045454545454545,1.861060606060606,2.2028787878787877,1.925,1.9636363636363636,1.715,2.200151515151515,2.1977272727272728,1.6248484848484848,1.9604545454545454,1.98,1.9974242424242423,0.018333333333333333,1.6054545454545455,1.9546969696969696,2.0325757575757577
5,1.805909090909091,2.201969696969697,1.7031818181818181,1.6290909090909091,1.8060606060606061,2.189848484848485,2.075151515151515,1.9866666666666666,1.9112121212121211,2.1818181818181817,2.1753030303030303,2.2116666666666664,1.8622727272727273,1.7401515151515152,1.5792424242424243,1.6222727272727273,2.223333333333333,1.8631818181818183,1.8078787878787879,1.8662121212121212,2.1998484848484847,1.9112121212121211,1.9610606060606062,1.7153030303030303,2.1904545454545454,2.1789393939393937,1.6262121212121212,1.956060606060606,1.9753030303030303,1.9966666666666666,0.017727272727272727,1.6154545454545455,1.9506060606060607,2.0272727272727273
6,1.8533333333333333,2.2601515151515152,1.7113636363636364,1.6987878787878787,1.845909090909091,2.216969696969697,2.0495454545454543,1.7359090909090908,1.835909090909091,2.070757575757576,2.060151515151515,2.2074242424242425,1.8196969696969696,1.7331818181818182,1.579090909090909,1.6224242424242423,2.2154545454545453,1.8556060606060607,1.8563636363636364,1.8707575757575758,2.180909090909091,1.9104545454545454,1.9596969696969697,1.7222727272727272,2.1965151515151513,2.1989393939393937,1.636969696969697,1.9583333333333333,1.9793939393939395,1.9924242424242424,0.018333333333333333,1.615909090909091,1.9557575757575758,2.028636363636364
7,1.748939393939394,2.226818181818182,1.6912121212121212,1.6313636363636363,1.790909090909091,2.1872727272727275,2.0137878787878787,1.864090909090909,1.8415151515151515,2.0748484848484847,2.070909090909091,2.205,1.815,1.7030303030303031,1.5762121212121212,1.623939393939394,2.2134848484848484,1.8731818181818183,1.8283333333333334,1.868939393939394,2.1998484848484847,1.9453030303030303,1.9556060606060606,1.7215151515151514,2.1922727272727274,2.201969696969697,1.6433333333333333,1.9577272727272728,1.976060606060606,1.990909090909091,0.017727272727272727,1.6104545454545454,1.9581818181818182,2.0274242424242424
8,1.781060606060606,2.192878787878788,1.7168181818181818,1.6165151515151515,1.8072727272727274,2.1625757575757576,2.0245454545454544,1.8742424242424243,1.8351515151515152,2.0813636363636365,2.061818181818182,2.223181818181818,1.8613636363636363,1.739090909090909,1.5731818181818182,1.6215151515151516,2.206060606060606,1.8631818181818183,1.8093939393939393,1.8777272727272727,2.205909090909091,1.928939393939394,1.9543939393939394,1.716969696969697,2.1989393939393937,2.2153030303030303,1.626969696969697,1.9543939393939394,1.9772727272727273,1.9931818181818182,0.018333333333333333,1.605909090909091,1.9515151515151514,2.026969696969697
9,1.837878787878788,2.2704545454545455,1.73,1.7336363636363636,1.829090909090909,2.224090909090909,1.9803030303030302,1.6268181818181817,1.7837878787878787,1.951818181818182,1.9381818181818182,2.1977272727272728,1.8162121212121212,1.742878787878788,1.566969696969697,1.623030303030303,2.2133333333333334,1.8298484848484848,1.7924242424242425,1.878939393939394,2.178030303030303,1.9318181818181819,1.9577272727272728,1.7096969696969697,2.1995454545454547,2.1971212121212123,1.6333333333333333,1.9484848484848485,1.9739393939393939,1.9927272727272727,0.017727272727272727,1.6090909090909091,1.9522727272727274,2.028636363636364
