,NeuralAgentOpMe_Student24_200bAgent_rng,Student24_200bAgent
0,0.435,3.26
1,0.51,2.96
2,0.555,2.78
3,0.535,2.86
4,0.595,2.62
5,0.64,2.44
6,0.645,2.42
7,0.7,2.2
8,0.645,2.42
9,0.645,2.42
10,0.615,2.54
11,0.565,2.74
12,0.655,2.38
13,0.635,2.46
14,0.685,2.26
15,0.65,2.4
16,0.71,2.16
17,0.67,2.32
18,0.675,2.3
19,0.67,2.32
20,0.705,2.18
21,0.64,2.44
22,0.68,2.28
23,0.59,2.64
24,0.645,2.42
25,0.585,2.66
26,0.62,2.52
27,0.665,2.34
28,0.545,2.82
29,0.525,2.9
30,0.625,2.5
31,0.595,2.62
32,0.59,2.64
33,0.525,2.9
34,0.53,2.88
35,0.555,2.78
36,0.565,2.74
37,0.57,2.72
38,0.53,2.88
39,0.55,2.8
40,0.555,2.78
41,0.545,2.82
42,0.57,2.72
43,0.61,2.56
44,0.57,2.72
45,0.545,2.82
46,0.595,2.62
47,0.47,3.12
48,0.585,2.66
49,0.535,2.86
50,0.52,2.92
51,0.585,2.66
52,0.555,2.78
53,0.49,3.04
54,0.52,2.92
55,0.545,2.82
56,0.605,2.58
57,0.61,2.56
58,0.595,2.62
59,0.575,2.7
60,0.61,2.56
61,0.65,2.4
62,0.59,2.64
63,0.615,2.54
64,0.59,2.64
65,0.585,2.66
66,0.55,2.8
67,0.595,2.62
68,0.515,2.94
69,0.625,2.5
70,0.525,2.9
71,0.53,2.88
72,0.635,2.46
73,0.57,2.72
74,0.59,2.64
75,0.575,2.7
76,0.59,2.64
77,0.67,2.32
78,0.645,2.42
79,0.56,2.76
80,0.61,2.56
81,0.665,2.34
82,0.665,2.34
83,0.605,2.58
84,0.65,2.4
85,0.605,2.58
86,0.66,2.36
87,0.6,2.6
88,0.59,2.64
89,0.615,2.54
90,0.57,2.72
91,0.57,2.72
92,0.595,2.62
93,0.67,2.32
94,0.665,2.34
95,0.63,2.48
96,0.66,2.36
97,0.665,2.34
98,0.68,2.28
99,0.71,2.16
100,0.66,2.36
101,0.71,2.16
102,0.67,2.32
103,0.69,2.24
104,0.705,2.18
105,0.745,2.02
106,0.705,2.18
107,0.72,2.12
108,0.685,2.26
109,0.69,2.24
110,0.68,2.28
111,0.695,2.22
112,0.655,2.38
113,0.645,2.42
114,0.715,2.14
115,0.67,2.32
116,0.73,2.08
117,0.755,1.98
118,0.695,2.22
119,0.705,2.18
120,0.685,2.26
121,0.795,1.82
122,0.745,2.02
123,0.76,1.96
124,0.76,1.96
125,0.725,2.1
126,0.75,2.0
127,0.765,1.94
128,0.805,1.78
129,0.785,1.86
130,0.78,1.88
131,0.82,1.72
132,0.82,1.72
133,0.81,1.76
