,NeuralAgent_Student19_200mAgent_rng,Student19_200mAgent
0,0.975,1.1
1,1.08,3.03
2,0.965,2.965
3,0.875,2.825
4,0.83,2.73
5,0.93,2.83
6,0.915,2.84
7,0.945,2.67
8,1.145,3.07
9,1.26,3.01
10,1.005,3.13
11,0.97,2.97
12,1.075,3.025
13,0.865,2.79
14,0.855,3.03
15,1.05,2.675
16,1.04,2.89
17,0.93,2.98
18,0.94,2.94
19,1.075,3.175
20,0.875,2.8
21,1.08,3.08
22,1.01,3.035
23,0.935,3.035
24,1.19,2.99
25,1.135,3.01
26,0.965,2.865
27,1.15,3.025
28,1.32,3.07
29,0.93,3.08
30,1.295,3.045
31,0.85,2.975
32,1.06,3.01
33,1.185,3.06
34,1.01,2.735
35,1.09,3.19
36,0.795,2.92
37,1.275,3.1
38,1.205,2.83
39,1.115,3.14
40,0.92,3.07
41,1.215,3.065
42,1.27,3.145
43,1.33,3.155
44,1.185,3.16
45,1.215,3.165
46,1.175,3.05
47,1.4,3.125
48,1.11,3.085
49,1.0,3.05
50,1.28,3.055
51,1.14,2.965
52,1.225,3.175
53,1.02,3.02
54,1.25,3.2
55,1.375,3.125
56,1.055,3.13
57,1.175,3.225
58,1.34,3.215
59,1.135,3.185
60,1.32,3.12
61,1.325,3.1
62,1.02,3.07
63,1.06,3.26
64,1.145,3.07
65,1.22,3.12
66,1.39,3.215
67,1.195,3.195
68,1.28,3.105
69,1.275,3.175
70,1.05,3.25
71,1.175,3.125
72,1.065,3.19
73,1.24,3.015
74,1.14,3.015
75,1.355,3.105
76,1.24,3.09
77,1.35,3.25
78,1.54,3.29
79,1.3,3.125
80,1.345,3.22
81,1.33,3.28
82,1.085,3.16
83,1.16,3.11
84,1.565,3.24
85,1.38,3.38
86,1.58,3.23
87,1.505,3.355
88,1.135,3.21
89,1.425,3.225
90,1.62,3.145
91,1.465,3.24
92,1.43,3.28
93,1.63,3.23
94,1.29,3.19
95,1.36,3.285
96,1.79,3.215
97,1.3,3.275
98,1.705,3.23
99,1.625,3.4
100,1.625,3.25
101,1.32,3.22
102,1.655,3.305
103,1.46,3.285
104,1.505,3.255
105,1.555,3.23
106,1.76,3.26
107,1.645,3.37
108,1.725,3.25
109,1.615,3.24
110,1.54,3.29
111,1.63,3.205
112,1.585,3.26
113,1.78,3.305
114,1.53,3.305
115,1.665,3.29
116,1.62,3.245
117,1.91,3.285
118,1.445,3.32
119,1.7,3.275
120,1.515,3.315
121,1.875,3.3
122,1.65,3.275
123,1.77,3.27
124,1.805,3.355
125,1.6,3.25
126,1.41,3.26
127,1.485,3.36
128,1.95,3.275
129,1.875,3.325
130,1.545,3.37
131,1.695,3.345
132,1.875,3.275
133,1.5,3.325
134,1.94,3.14
135,1.97,3.295
136,1.79,3.315
137,1.9,3.325
138,1.87,3.37
139,1.9,3.225
140,1.975,3.275
141,1.675,3.275
142,2.06,3.335
143,1.7,3.275
144,1.97,3.245
145,2.015,3.265
146,1.905,3.28
147,2.14,3.24
148,2.09,3.315
149,2.025,3.275
150,2.185,3.26
151,1.905,3.305
152,1.815,3.215
153,1.745,3.295
154,1.95,3.325
155,1.785,3.285
156,2.005,3.28
157,2.14,3.265
158,1.925,3.325
159,2.06,3.235
160,1.77,3.37
161,1.98,3.305
162,2.11,3.31
163,1.78,3.33
164,1.915,3.34
165,1.92,3.245
166,1.95,3.325
167,1.74,3.265
168,2.055,3.255
169,1.92,3.27
170,2.13,3.28
171,1.945,3.27
172,1.54,3.34
173,2.045,3.27
174,2.08,3.23
175,1.97,3.32
176,2.12,3.22
177,2.07,3.295
178,1.935,3.26
179,1.87,3.245
180,2.2,3.25
181,2.255,3.23
182,1.995,3.32
183,1.95,3.275
184,1.94,3.29
185,1.98,3.28
186,2.065,3.265
187,2.045,3.27
188,1.91,3.26
189,2.185,3.26
190,1.95,3.3
191,2.055,3.28
192,2.075,3.275
193,2.135,3.285
194,2.005,3.255
195,2.185,3.21
196,1.945,3.245
197,2.07,3.32
198,2.2,3.225
199,2.225,3.25
200,2.075,3.275
201,2.27,3.245
202,2.27,3.245
203,2.045,3.295
204,2.245,3.245
205,2.2,3.275
206,2.2,3.275
207,2.1,3.3
208,2.07,3.295
209,2.37,3.245
210,2.15,3.25
211,2.095,3.27
212,2.255,3.255
213,2.085,3.235
214,2.21,3.26
215,2.095,3.295
216,2.295,3.22
217,2.195,3.17
218,2.145,3.295
219,2.235,3.26
220,2.345,3.22
221,2.265,3.265
222,2.225,3.275
223,2.265,3.24
224,2.295,3.27
225,2.21,3.26
226,2.1,3.3
227,1.97,3.27
228,2.18,3.28
229,2.105,3.28
230,2.185,3.285
231,2.315,3.24
232,2.095,3.245
233,2.255,3.255
234,2.235,3.26
235,2.245,3.27
236,2.355,3.18
237,2.44,3.19
238,2.31,3.235
239,2.275,3.25
240,2.245,3.27
241,2.11,3.285
242,2.095,3.27
243,2.26,3.26
244,2.34,3.24
245,2.4,3.225
246,2.315,3.24
247,2.02,3.295
248,2.285,3.285
249,2.44,3.215
250,2.39,3.215
251,2.38,3.23
252,2.465,3.19
253,2.415,3.215
254,2.435,3.21
255,2.305,3.23
256,2.465,3.215
257,2.335,3.26
258,2.45,3.2
259,2.36,3.235
260,2.37,3.22
261,2.225,3.3
262,2.495,3.195
263,2.36,3.235
264,2.33,3.23
265,2.505,3.18
266,2.31,3.285
267,2.415,3.24
268,2.415,3.24
269,2.36,3.235
270,2.3,3.25
271,2.38,3.23
272,2.42,3.22
273,2.435,3.235
274,2.435,3.185
275,2.45,3.225
276,2.48,3.205
277,2.56,3.185
278,2.39,3.215
279,2.465,3.215
280,2.54,3.19
281,2.31,3.21
282,2.41,3.21
283,2.555,3.155
284,2.43,3.23
285,2.335,3.235
286,2.495,3.195
287,2.56,3.185
288,2.41,3.235
289,2.43,3.205
290,2.38,3.255
291,2.355,3.23
292,2.495,3.195
293,2.36,3.26
294,2.445,3.195
295,2.445,3.22
296,2.52,3.195
297,2.46,3.21
298,2.24,3.24
299,2.47,3.22
300,2.445,3.22
301,2.525,3.2
302,2.295,3.27
303,2.45,3.2
304,2.55,3.2
305,2.56,3.185
306,2.455,3.205
307,2.385,3.235
308,2.4,3.2
309,2.455,3.23
310,2.585,3.16
311,2.34,3.24
312,2.525,3.2
313,2.52,3.17
314,2.49,3.215
315,2.425,3.225
316,2.505,3.18
317,2.495,3.195
318,2.575,3.175
319,2.385,3.26
320,2.47,3.22
321,2.46,3.21
322,2.46,3.185
323,2.295,3.245
324,2.455,3.23
325,2.53,3.18
326,2.615,3.165
327,2.405,3.18
328,2.51,3.21
329,2.41,3.235
330,2.52,3.195
331,2.5,3.2
332,2.575,3.175
333,2.395,3.245
334,2.495,3.22
335,2.505,3.205
336,2.385,3.235
337,2.46,3.185
338,2.51,3.185
339,2.67,3.145
340,2.505,3.205
341,2.525,3.2
342,2.41,3.235
343,2.515,3.19
344,2.42,3.245
345,2.465,3.215
346,2.485,3.185
347,2.69,3.14
348,2.44,3.19
349,2.43,3.18
350,2.565,3.19
351,2.41,3.21
352,2.555,3.18
353,2.54,3.19
354,2.505,3.205
355,2.635,3.16
356,2.59,3.14
357,2.475,3.2
358,2.68,3.155
359,2.55,3.175
360,2.41,3.21
361,2.655,3.155
362,2.565,3.19
363,2.455,3.23
364,2.69,3.14
365,2.555,3.18
366,2.49,3.19
367,2.495,3.22
368,2.45,3.225
369,2.535,3.185
370,2.48,3.205
371,2.845,3.07
372,2.67,3.145
373,2.405,3.18
374,2.545,3.17
375,2.48,3.18
376,2.5,3.225
377,2.415,3.215
378,2.445,3.22
379,2.595,3.17
380,2.57,3.17
381,2.6,3.175
382,2.675,3.15
383,2.685,3.135
384,2.56,3.16
385,2.555,3.205
386,2.455,3.23
387,2.645,3.145
388,2.435,3.235
389,2.6,3.175
390,2.575,3.175
391,2.565,3.165
392,2.58,3.18
393,2.54,3.19
394,2.555,3.18
395,2.785,3.11
396,2.57,3.195
397,2.55,3.175
398,2.515,3.19
399,2.5,3.175
400,2.58,3.18
401,2.455,3.23
402,2.59,3.165
403,2.625,3.15
404,2.65,3.15
405,2.575,3.175
406,2.635,3.16
407,2.59,3.165
408,2.64,3.14
409,2.605,3.18
410,2.465,3.215
411,2.625,3.15
412,2.515,3.215
413,2.75,3.125
414,2.56,3.185
415,2.545,3.195
416,2.48,3.23
