,NeuralAgent_Student13_200cAgent,Student13_200cAgent
0,1.075,1.05
1,0.575,3.05
2,0.6,2.95
3,0.565,3.04
4,0.6,2.925
5,0.62,2.82
6,0.475,3.375
7,0.645,2.795
8,0.515,3.24
9,0.56,3.06
10,0.525,3.225
11,0.6,2.875
12,0.605,2.93
13,0.53,3.13
14,0.565,3.09
15,0.62,2.795
16,0.61,2.86
17,0.66,2.71
18,0.53,3.18
19,0.59,2.94
20,0.615,2.865
21,0.62,2.845
22,0.57,2.995
23,0.62,2.77
24,0.55,3.075
25,0.64,2.765
26,0.555,3.13
27,0.56,3.085
28,0.545,3.145
29,0.58,3.005
30,0.57,3.07
31,0.575,3.05
32,0.62,2.895
33,0.585,3.035
34,0.515,3.24
35,0.505,3.28
36,0.54,3.19
37,0.55,3.125
38,0.63,2.83
39,0.495,3.32
40,0.59,2.94
41,0.6,2.925
42,0.565,3.015
43,0.555,3.13
44,0.535,3.135
45,0.61,2.885
46,0.575,3.0
47,0.56,3.06
48,0.555,3.03
49,0.66,2.66
50,0.555,3.08
51,0.59,2.965
52,0.58,3.005
53,0.52,3.22
54,0.54,3.19
55,0.56,3.085
56,0.59,2.94
57,0.56,3.085
58,0.515,3.19
59,0.555,3.03
60,0.565,3.065
61,0.61,2.86
62,0.535,3.135
63,0.54,3.215
64,0.575,3.0
65,0.555,3.08
66,0.59,2.99
67,0.595,2.97
68,0.59,2.965
69,0.53,3.18
70,0.53,3.18
71,0.56,3.085
72,0.535,3.16
73,0.53,3.18
74,0.565,3.065
75,0.54,3.165
76,0.55,3.075
77,0.535,3.16
78,0.585,3.01
79,0.565,3.09
80,0.565,2.99
81,0.555,3.08
82,0.545,3.12
83,0.53,3.18
84,0.545,3.095
85,0.54,3.14
86,0.53,3.18
87,0.475,3.4
88,0.51,3.26
89,0.51,3.26
90,0.53,3.18
91,0.59,2.915
92,0.545,3.145
93,0.53,3.205
94,0.515,3.19
95,0.55,3.1
96,0.54,3.115
97,0.5,3.35
98,0.515,3.24
99,0.53,3.155
100,0.495,3.32
101,0.645,2.77
102,0.575,2.975
103,0.46,3.51
104,0.52,3.195
105,0.57,3.045
106,0.47,3.42
107,0.505,3.28
108,0.58,3.03
109,0.51,3.285
110,0.57,3.02
111,0.53,3.205
112,0.46,3.41
113,0.565,3.04
114,0.495,3.345
115,0.495,3.345
116,0.58,3.03
117,0.5,3.325
118,0.535,3.185
119,0.51,3.285
120,0.45,3.475
121,0.485,3.36
122,0.44,3.49
123,0.53,3.205
124,0.51,3.31
125,0.53,3.205
126,0.515,3.29
127,0.49,3.34
128,0.515,3.215
129,0.49,3.34
130,0.46,3.435
131,0.43,3.58
132,0.495,3.295
133,0.495,3.295
134,0.51,3.285
135,0.485,3.36
136,0.45,3.475
137,0.57,3.02
138,0.44,3.54
139,0.505,3.255
140,0.44,3.515
141,0.465,3.465
142,0.505,3.33
143,0.41,3.61
144,0.46,3.435
145,0.43,3.555
146,0.55,3.125
147,0.445,3.52
148,0.5,3.325
149,0.49,3.365
150,0.44,3.54
151,0.485,3.335
152,0.4,3.7
153,0.475,3.45
154,0.45,3.475
155,0.44,3.565
156,0.475,3.4
157,0.48,3.38
158,0.455,3.48
159,0.505,3.28
160,0.465,3.49
161,0.5,3.325
162,0.46,3.46
163,0.45,3.55
164,0.415,3.64
165,0.43,3.58
166,0.455,3.505
167,0.505,3.305
168,0.455,3.505
169,0.445,3.495
170,0.405,3.705
171,0.41,3.635
172,0.46,3.435
173,0.405,3.68
174,0.5,3.325
175,0.445,3.52
176,0.4,3.675
177,0.47,3.445
178,0.465,3.465
179,0.42,3.595
180,0.355,3.905
181,0.39,3.715
182,0.385,3.785
183,0.42,3.595
184,0.425,3.6
185,0.43,3.605
186,0.46,3.46
187,0.465,3.465
188,0.375,3.825
189,0.435,3.56
190,0.38,3.78
191,0.455,3.48
192,0.445,3.545
193,0.435,3.585
194,0.39,3.715
195,0.41,3.635
196,0.35,3.9
197,0.355,3.855
198,0.405,3.68
199,0.45,3.525
200,0.365,3.79
201,0.385,3.76
202,0.36,3.835
203,0.405,3.705
204,0.39,3.715
205,0.435,3.535
206,0.465,3.49
207,0.365,3.815
208,0.38,3.78
209,0.4,3.7
210,0.31,4.035
211,0.39,3.715
212,0.43,3.58
213,0.31,4.06
214,0.44,3.515
215,0.38,3.78
216,0.355,3.905
