,NeuralAgentOpMe_Student13_200mAgent_rng,Student13_200mAgent
316,1.1,0.975
317,1.1,0.975
318,1.1,0.975
319,1.1,0.975
320,1.1,0.975
321,1.1,0.975
322,1.1,0.975
323,1.1,0.975
324,1.09,0.99
325,1.09,0.99
326,1.1,0.975
327,1.1,0.975
328,1.1,0.975
329,1.1,0.975
330,1.09,0.99
331,1.1,0.975
332,1.1,0.975
333,1.1,0.975
334,1.1,0.975
335,1.1,0.975
336,1.1,0.975
337,1.1,0.975
338,1.09,0.99
339,1.1,0.975
340,1.1,0.975
341,1.1,0.975
342,1.1,0.975
343,1.1,0.975
344,1.1,0.975
345,1.1,0.975
346,1.1,0.975
347,1.1,0.975
348,1.1,0.975
349,1.1,0.975
350,1.1,0.975
351,1.1,0.975
352,1.09,0.99
353,1.1,0.975
354,1.1,0.975
355,1.1,0.975
356,1.1,0.975
357,1.09,0.99
358,1.1,0.975
359,1.1,0.975
360,1.1,0.975
361,1.1,0.975
362,1.1,0.975
363,1.1,0.975
364,1.1,0.975
365,1.1,0.975
366,1.1,0.975
367,1.1,0.975
368,1.1,0.975
369,1.1,0.975
370,1.1,0.975
371,1.1,0.975
372,1.1,0.975
373,1.1,0.975
374,1.1,0.975
375,1.1,0.975
376,1.1,0.975
377,1.1,0.975
378,1.1,0.975
379,1.1,0.975
380,1.1,0.975
381,1.1,0.975
382,1.1,0.975
383,1.1,0.975
384,1.1,0.975
385,1.1,0.975
386,1.1,0.975
387,1.1,0.975
388,1.1,0.975
389,1.1,0.975
390,1.1,0.975
391,1.1,0.975
392,1.1,0.975
393,1.1,0.975
394,1.1,0.975
395,1.1,0.975
396,1.1,0.975
397,1.1,0.975
398,1.1,0.975
399,1.1,0.975
400,1.1,0.975
401,1.1,0.975
402,1.1,0.975
403,1.1,0.975
404,1.1,0.975
405,1.1,0.975
406,1.1,0.975
407,1.1,0.975
408,1.1,0.975
409,1.1,0.975
410,1.1,0.975
411,1.1,0.975
412,1.1,0.975
413,1.1,0.975
414,1.1,0.975
415,1.1,0.975
416,1.1,0.975
417,1.1,0.975
418,1.1,0.975
419,1.1,0.975
420,1.1,0.975
421,1.1,0.975
422,1.1,0.975
423,1.1,0.975
424,1.1,0.975
425,1.1,0.975
426,1.1,0.975
427,1.1,0.975
428,1.1,0.975
429,1.1,0.975
430,1.1,0.975
431,1.1,0.975
432,1.1,0.975
433,1.1,0.975
434,1.1,0.975
435,1.1,0.975
436,1.1,0.975
437,1.1,0.975
438,1.1,0.975
439,1.1,0.975
440,1.1,0.975
441,1.1,0.975
442,1.1,0.975
443,1.1,0.975
444,1.1,0.975
445,1.1,0.975
446,1.1,0.975
447,1.1,0.975
448,1.1,0.975
449,1.1,0.975
450,1.1,0.975
451,1.1,0.975
452,1.1,0.975
453,1.1,0.975
454,1.1,0.975
455,1.1,0.975
456,1.1,0.975
457,1.1,0.975
458,1.1,0.975
459,1.1,0.975
460,1.1,0.975
461,1.1,0.975
462,1.1,0.975
463,1.1,0.975
464,1.1,0.975
465,1.1,0.975
466,1.1,0.975
467,1.1,0.975
468,1.1,0.975
469,1.1,0.975
470,1.1,0.975
471,1.1,0.975
472,1.1,0.975
473,1.1,0.975
474,1.1,0.975
475,1.1,0.975
476,1.1,0.975
477,1.1,0.975
478,1.1,0.975
479,1.1,0.975
480,1.1,0.975
481,1.1,0.975
482,1.1,0.975
483,1.1,0.975
484,1.1,0.975
485,1.1,0.975
486,1.1,0.975
487,1.1,0.975
488,1.1,0.975
489,1.1,0.975
490,1.1,0.975
491,1.1,0.975
492,1.1,0.975
493,1.1,0.975
494,1.1,0.975
495,1.1,0.975
496,1.1,0.975
497,1.1,0.975
498,1.1,0.975
499,1.1,0.975
500,1.1,0.975
501,1.1,0.975
502,1.1,0.975
503,1.1,0.975
504,1.1,0.975
505,1.1,0.975
506,1.1,0.975
507,1.1,0.975
508,1.1,0.975
509,1.1,0.975
510,1.1,0.975
511,1.1,0.975
512,1.1,0.975
513,1.1,0.975
514,1.1,0.975
515,1.1,0.975
516,1.1,0.975
517,1.1,0.975
518,1.1,0.975
519,1.1,0.975
520,1.1,0.975
521,1.1,0.975
522,1.1,0.975
523,1.1,0.975
524,1.1,0.975
525,1.1,0.975
526,1.1,0.975
527,1.1,0.975
528,1.1,0.975
529,1.1,0.975
530,1.1,0.975
531,1.1,0.975
532,1.1,0.975
533,1.1,0.975
534,1.1,0.975
535,1.1,0.975
536,1.1,0.975
537,1.1,0.975
538,1.1,0.975
539,1.1,0.975
540,1.1,0.975
541,1.1,0.975
542,1.1,0.975
543,1.1,0.975
544,1.1,0.975
545,1.1,0.975
546,1.1,0.975
547,1.1,0.975
548,1.1,0.975
549,1.1,0.975
550,1.1,0.975
551,1.1,0.975
552,1.1,0.975
553,1.1,0.975
554,1.1,0.975
555,1.1,0.975
556,1.1,0.975
557,1.1,0.975
558,1.1,0.975
559,1.1,0.975
560,1.1,0.975
561,1.1,0.975
562,1.1,0.975
563,1.1,0.975
564,1.1,0.975
565,1.1,0.975
566,1.1,0.975
567,1.1,0.975
568,1.1,0.975
569,1.1,0.975
570,1.1,0.975
571,1.1,0.975
572,1.1,0.975
573,1.1,0.975
574,1.1,0.975
575,1.1,0.975
576,1.1,0.975
577,1.1,0.975
578,1.1,0.975
579,1.1,0.975
580,1.1,0.975
581,1.1,0.975
582,1.1,0.975
583,1.1,0.975
584,1.1,0.975
585,1.1,0.975
