,NeuralAgent_Student23_200mAgent_rng,Student23_200mAgent
0,3.82,1.32
1,3.66,1.81
2,3.73,1.73
3,3.775,1.65
4,3.73,1.755
5,3.745,1.695
6,3.73,1.63
7,3.68,1.78
8,3.755,1.555
9,3.75,1.675
10,3.7,1.75
11,3.685,1.785
12,3.7,1.725
13,3.805,1.505
14,3.765,1.64
15,3.75,1.675
16,3.72,1.695
17,3.765,1.64
18,3.78,1.73
19,3.895,1.37
20,3.735,1.635
21,3.85,1.55
22,3.735,1.685
23,3.75,1.675
24,3.82,1.495
25,3.78,1.605
26,3.77,1.695
27,3.84,1.44
28,3.745,1.645
29,3.77,1.62
30,3.795,1.545
31,3.75,1.575
32,3.735,1.685
33,3.76,1.685
34,3.815,1.44
35,3.755,1.705
36,3.77,1.595
37,3.625,1.925
38,3.665,1.79
39,3.705,1.78
40,3.87,1.52
41,3.69,1.79
42,3.795,1.545
43,3.655,1.83
44,3.675,1.75
45,3.775,1.625
46,3.815,1.515
47,3.715,1.765
48,3.75,1.65
49,3.765,1.64
50,3.68,1.73
51,3.77,1.645
52,3.8,1.6
53,3.805,1.555
54,3.765,1.59
55,3.81,1.56
56,3.79,1.59
57,3.815,1.59
58,3.785,1.46
59,3.74,1.69
60,3.74,1.665
61,3.82,1.47
62,3.77,1.645
63,3.76,1.535
64,3.885,1.435
65,3.76,1.61
66,3.72,1.695
67,3.785,1.56
68,3.755,1.555
69,3.845,1.52
70,3.745,1.645
71,3.745,1.745
72,3.75,1.65
73,3.805,1.58
74,3.705,1.705
75,3.805,1.605
76,3.7,1.7
77,3.85,1.425
78,3.82,1.47
79,3.815,1.54
80,3.81,1.56
81,3.83,1.505
82,3.785,1.585
83,3.695,1.795
84,3.74,1.69
85,3.81,1.41
86,3.805,1.58
87,3.805,1.58
88,3.805,1.53
89,3.8,1.6
90,3.795,1.545
91,3.78,1.68
92,3.875,1.375
93,3.7,1.725
94,3.805,1.53
95,3.745,1.67
96,3.835,1.485
97,3.81,1.485
98,3.695,1.67
99,3.88,1.43
100,3.755,1.655
101,3.75,1.625
102,3.755,1.555
103,3.855,1.43
104,3.74,1.64
105,3.775,1.6
106,3.75,1.6
107,3.735,1.735
108,3.755,1.68
109,3.755,1.605
110,3.745,1.67
111,3.765,1.615
112,3.795,1.47
113,3.75,1.575
114,3.71,1.76
115,3.715,1.69
116,3.76,1.71
117,3.82,1.52
118,3.7,1.75
119,3.74,1.715
120,3.83,1.555
121,3.83,1.505
122,3.825,1.5
123,3.72,1.67
124,3.7,1.65
125,3.82,1.595
126,3.745,1.72
127,3.765,1.59
128,3.76,1.535
129,3.76,1.585
130,3.79,1.69
131,3.735,1.66
132,3.785,1.61
133,3.805,1.58
134,3.795,1.645
135,3.82,1.52
136,3.765,1.49
137,3.77,1.62
138,3.745,1.62
139,3.855,1.48
140,3.765,1.59
141,3.77,1.595
142,3.76,1.66
143,3.735,1.685
144,3.735,1.635
145,3.825,1.4
146,3.785,1.535
147,3.805,1.53
148,3.815,1.49
149,3.785,1.56
150,3.78,1.53
151,3.765,1.64
152,3.8,1.6
153,3.75,1.7
154,3.715,1.69
155,3.755,1.655
156,3.79,1.49
157,3.81,1.485
158,3.86,1.41
159,3.795,1.595
160,3.805,1.605
161,3.78,1.53
162,3.83,1.455
163,3.78,1.555
164,3.755,1.58
165,3.81,1.46
166,3.78,1.555
167,3.78,1.455
168,3.79,1.465
169,3.8,1.525
170,3.75,1.55
171,3.87,1.52
172,3.77,1.67
173,3.815,1.415
174,3.835,1.485
175,3.8,1.5
176,3.74,1.64
177,3.805,1.505
178,3.71,1.81
179,3.75,1.55
180,3.845,1.52
181,3.865,1.49
182,3.75,1.675
183,3.785,1.585
184,3.81,1.485
185,3.77,1.57
186,3.78,1.58
187,3.71,1.685
188,3.735,1.635
189,3.795,1.495
190,3.73,1.655
191,3.775,1.575
192,3.74,1.665
193,3.715,1.665
194,3.755,1.655
195,3.745,1.545
196,3.77,1.645
197,3.82,1.495
198,3.755,1.58
199,3.84,1.54
200,3.815,1.415
201,3.76,1.585
202,3.86,1.46
203,3.805,1.53
204,3.77,1.52
205,3.76,1.635
206,3.74,1.59
207,3.755,1.555
208,3.78,1.655
209,3.805,1.43
210,3.805,1.505
211,3.745,1.595
212,3.815,1.565
213,3.755,1.655
214,3.875,1.425
215,3.805,1.48
216,3.735,1.61
217,3.725,1.575
218,3.89,1.315
219,3.815,1.415
220,3.81,1.46
221,3.825,1.4
222,3.775,1.6
223,3.71,1.735
224,3.805,1.505
225,3.81,1.485
226,3.845,1.52
227,3.755,1.605
228,3.75,1.625
229,3.79,1.615
230,3.825,1.6
231,3.765,1.565
232,3.74,1.665
233,3.76,1.585
234,3.67,1.72
235,3.76,1.585
236,3.78,1.605
237,3.8,1.5
238,3.855,1.53
239,3.835,1.41
240,3.825,1.475
241,3.78,1.58
242,3.765,1.59
243,3.745,1.645
244,3.76,1.56
245,3.795,1.47
246,3.825,1.425
247,3.835,1.435
248,3.855,1.48
249,3.775,1.55
250,3.805,1.505
251,3.765,1.565
252,3.775,1.575
253,3.72,1.695
254,3.805,1.555
255,3.76,1.56
256,3.755,1.53
257,3.755,1.655
258,3.835,1.485
259,3.82,1.47
260,3.765,1.515
261,3.725,1.625
262,3.81,1.51
263,3.75,1.6
264,3.785,1.56
265,3.775,1.575
266,3.82,1.52
267,3.83,1.405
268,3.74,1.54
269,3.805,1.605
270,3.795,1.57
271,3.73,1.605
272,3.87,1.42
273,3.815,1.44
274,3.71,1.735
275,3.84,1.39
276,3.865,1.515
277,3.785,1.56
278,3.775,1.575
279,3.81,1.535
280,3.795,1.47
281,3.79,1.515
282,3.815,1.615
283,3.755,1.555
284,3.82,1.445
285,3.81,1.485
286,3.81,1.41
287,3.81,1.485
288,3.84,1.49
289,3.835,1.41
290,3.86,1.435
291,3.695,1.695
292,3.795,1.545
293,3.82,1.445
294,3.73,1.63
295,3.82,1.52
296,3.81,1.46
297,3.83,1.505
298,3.77,1.52
299,3.885,1.26
300,3.745,1.62
301,3.815,1.415
302,3.795,1.52
303,3.89,1.365
304,3.82,1.42
305,3.725,1.6
306,3.76,1.585
307,3.81,1.41
308,3.77,1.595
309,3.825,1.45
310,3.8,1.55
311,3.72,1.545
312,3.79,1.49
313,3.725,1.6
314,3.75,1.6
315,3.795,1.57
316,3.79,1.49
317,3.695,1.62
318,3.815,1.415
319,3.825,1.475
320,3.86,1.46
321,3.815,1.54
322,3.795,1.52
323,3.785,1.585
324,3.8,1.425
325,3.805,1.43
326,3.71,1.56
327,3.86,1.385
328,3.72,1.595
329,3.865,1.34
330,3.8,1.45
331,3.86,1.36
332,3.83,1.305
333,3.81,1.485
334,3.925,1.425
335,3.795,1.37
336,3.785,1.435
337,3.8,1.4
338,3.785,1.56
339,3.855,1.43
340,3.825,1.45
341,3.805,1.555
342,3.89,1.465
343,3.87,1.37
344,3.8,1.525
345,3.93,1.33
346,3.77,1.545
347,3.815,1.465
348,3.795,1.47
349,3.87,1.295
350,3.86,1.41
351,3.79,1.465
352,3.84,1.415
353,3.795,1.495
354,3.83,1.48
355,3.785,1.41
356,3.835,1.385
357,3.87,1.495
358,3.89,1.34
359,3.885,1.46
360,3.745,1.62
361,3.795,1.42
362,3.81,1.385
363,3.88,1.355
364,3.78,1.48
365,3.83,1.505
366,3.77,1.42
367,3.85,1.475
368,3.845,1.37
369,3.87,1.52
370,3.795,1.52
371,3.83,1.455
372,3.735,1.56
373,3.725,1.675
374,3.78,1.58
375,3.795,1.47
376,3.775,1.55
377,3.765,1.565
378,3.82,1.445
379,3.835,1.435
380,3.78,1.355
381,3.81,1.51
382,3.84,1.29
383,3.815,1.465
384,3.805,1.43
385,3.765,1.515
386,3.78,1.505
387,3.81,1.41
388,3.76,1.56
389,3.85,1.425
390,3.89,1.265
391,3.805,1.455
392,3.795,1.37
393,3.88,1.455
394,3.755,1.505
395,3.865,1.29
396,3.79,1.44
397,3.865,1.39
398,3.8,1.475
399,3.8,1.5
400,3.8,1.5
401,3.83,1.405
402,3.705,1.63
403,3.765,1.39
404,3.825,1.45
405,3.84,1.265
406,3.85,1.35
407,3.845,1.32
408,3.81,1.435
409,3.705,1.63
410,3.855,1.405
411,3.795,1.495
412,3.735,1.535
413,3.875,1.4
414,3.8,1.525
415,3.855,1.48
416,3.875,1.4
417,3.795,1.495
418,3.835,1.385
419,3.82,1.47
420,3.815,1.515
421,3.75,1.575
422,3.87,1.345
423,3.805,1.48
424,3.85,1.35
425,3.89,1.29
426,3.92,1.32
427,3.83,1.38
428,3.85,1.325
429,3.855,1.305
430,3.815,1.365
431,3.905,1.28
432,3.88,1.33
433,3.845,1.37
434,3.825,1.375
435,3.825,1.35
436,3.835,1.46
437,3.865,1.415
438,3.88,1.28
439,3.83,1.43
440,3.84,1.39
441,3.79,1.54
442,3.795,1.495
443,3.875,1.325
444,3.82,1.395
445,3.855,1.33
446,3.83,1.355
447,3.845,1.395
448,3.81,1.385
449,3.785,1.485
450,3.905,1.23
451,3.905,1.18
452,3.8,1.45
453,3.885,1.385
454,3.83,1.355
455,3.885,1.285
456,3.83,1.33
457,3.9,1.325
458,3.89,1.315
459,3.875,1.35
460,3.88,1.355
461,3.915,1.19
462,3.86,1.335
463,3.81,1.46
464,3.805,1.405
465,3.88,1.305
466,3.865,1.34
467,3.815,1.44
468,3.795,1.495
469,3.81,1.485
470,3.85,1.375
471,3.765,1.415
472,3.865,1.34
473,3.885,1.26
474,3.845,1.37
475,3.875,1.325
476,3.81,1.36
477,3.96,1.185
478,3.815,1.34
479,3.825,1.325
480,3.82,1.37
481,3.85,1.4
482,3.855,1.355
483,3.83,1.33
484,3.915,1.34
485,3.89,1.365
486,3.765,1.54
487,3.815,1.44
488,3.84,1.39
489,3.86,1.31
490,3.89,1.315
491,3.84,1.415
492,3.885,1.21
493,3.845,1.345
494,3.825,1.425
495,3.84,1.39
496,3.86,1.31
497,3.865,1.365
498,3.8,1.425
499,3.84,1.34
