,NeuralAgent_Student26_200bAgent_rng,Student26_200bAgent
0,2.48,2.455
1,2.425,2.4
2,2.45,2.425
3,2.49,2.49
4,2.515,2.515
5,2.6,2.6
6,2.6,2.6
7,2.565,2.565
8,2.71,2.685
9,2.6,2.6
10,2.68,2.655
11,2.67,2.67
12,2.685,2.685
13,2.695,2.695
14,2.7,2.7
15,2.735,2.71
16,2.73,2.73
17,2.735,2.735
18,2.765,2.765
19,2.78,2.755
20,2.755,2.755
21,2.77,2.77
22,2.805,2.78
23,2.765,2.765
24,2.69,2.69
25,2.735,2.735
26,2.77,2.745
27,2.725,2.725
28,2.64,2.64
29,2.7,2.675
30,2.645,2.645
31,2.625,2.625
32,2.67,2.67
33,2.615,2.615
34,2.655,2.655
35,2.67,2.645
36,2.61,2.61
37,2.68,2.68
38,2.615,2.615
39,2.57,2.545
40,2.68,2.655
41,2.655,2.655
42,2.615,2.615
43,2.41,2.41
44,2.605,2.605
45,2.62,2.595
46,2.585,2.56
47,2.155,2.155
48,2.62,2.62
49,2.65,2.65
50,2.585,2.585
51,2.4,2.4
52,2.605,2.58
53,2.65,2.65
54,2.64,2.64
55,2.56,2.56
56,2.645,2.62
57,2.47,2.47
58,2.645,2.62
59,2.66,2.66
60,2.375,2.375
61,1.925,1.925
62,2.625,2.6
63,2.515,2.515
64,1.47,1.47
65,2.56,2.56
66,2.65,2.65
67,2.53,2.53
68,2.625,2.6
69,2.28,2.28
70,2.635,2.61
71,1.995,1.97
72,2.635,2.61
73,2.01,1.985
74,1.99,1.99
75,1.98,1.955
76,2.345,2.345
77,2.62,2.62
78,2.295,2.27
79,2.57,2.545
80,2.04,2.04
81,2.62,2.595
82,2.625,2.625
83,1.49,1.49
84,2.615,2.59
85,2.005,2.005
86,1.065,1.04
87,2.61,2.61
88,2.565,2.54
89,2.635,2.635
90,2.455,2.455
91,1.02,0.995
92,1.095,1.07
93,1.19,1.165
94,1.08,1.055
95,1.17,1.145
96,1.05,1.025
97,1.12,1.095
98,1.03,1.005
99,2.63,2.63
100,1.03,1.005
101,1.035,1.01
102,2.635,2.61
103,1.03,1.005
104,1.065,1.04
105,1.125,1.1
106,1.055,1.03
107,1.095,1.07
108,1.03,1.005
109,2.655,2.655
110,1.095,1.07
111,1.055,1.03
112,1.03,1.005
113,1.02,0.995
114,1.06,1.035
115,1.02,0.995
116,2.59,2.59
117,1.035,1.01
118,1.02,0.995
119,2.635,2.635
120,1.065,1.04
121,1.045,1.02
122,1.15,1.125
123,1.045,1.02
124,1.02,0.995
125,2.445,2.445
126,1.09,1.065
127,1.03,1.005
128,1.08,1.055
129,1.05,1.025
130,2.4,2.4
131,2.56,2.56
132,1.035,1.01
133,1.995,1.97
134,2.49,2.49
135,2.57,2.57
136,2.6,2.575
137,2.475,2.475
138,2.655,2.655
139,1.58,1.555
140,1.98,1.955
141,1.175,1.15
142,1.02,0.995
143,2.585,2.585
144,1.885,1.86
145,1.03,1.005
146,2.02,1.995
147,1.99,1.965
148,2.6,2.575
149,2.46,2.46
150,2.45,2.45
151,1.05,1.025
152,1.045,1.02
153,1.105,1.08
154,1.975,1.95
155,1.98,1.955
156,1.925,1.9
157,1.575,1.55
158,2.6,2.6
159,1.03,1.005
160,2.03,2.005
161,1.975,1.975
162,1.96,1.96
163,1.99,1.965
164,1.99,1.965
165,2.015,2.015
166,1.99,1.965
167,2.595,2.595
168,2.03,2.005
169,1.995,1.97
170,2.595,2.595
171,2.015,1.99
172,1.98,1.98
173,1.99,1.99
174,2.025,2.0
175,2.65,2.65
176,2.62,2.62
177,1.99,1.965
178,2.005,2.005
179,1.98,1.955
180,1.955,1.93
181,2.655,2.655
182,2.0,1.975
183,2.57,2.57
184,2.35,2.35
185,1.09,1.065
186,2.6,2.575
187,2.285,2.26
188,2.52,2.495
189,2.6,2.6
190,1.105,1.08
191,1.07,1.045
192,2.57,2.57
193,1.05,1.025
194,1.02,0.995
195,2.535,2.535
196,2.365,2.365
197,1.03,1.005
198,1.03,1.005
199,1.02,0.995
200,1.02,0.995
201,1.02,0.995
202,1.02,0.995
203,1.02,0.995
204,1.02,0.995
205,1.02,0.995
206,1.02,0.995
207,1.035,1.01
208,2.63,2.63
209,1.03,1.005
210,1.02,0.995
211,1.05,1.025
212,1.05,1.025
213,1.095,1.07
214,1.065,1.04
215,1.05,1.025
216,1.125,1.1
217,1.02,0.995
218,1.035,1.01
219,1.05,1.025
220,1.105,1.08
221,1.09,1.065
222,1.17,1.145
223,1.02,0.995
224,1.06,1.035
225,1.02,0.995
226,1.02,0.995
227,1.02,0.995
228,1.065,1.04
229,1.13,1.105
230,1.065,1.04
231,1.07,1.045
232,1.045,1.02
233,1.105,1.08
234,1.02,0.995
235,2.59,2.565
236,1.05,1.025
237,1.09,1.065
238,2.61,2.61
239,1.02,0.995
240,2.645,2.645
241,1.06,1.035
242,1.045,1.02
243,1.035,1.01
244,1.02,0.995
245,1.06,1.035
246,1.02,0.995
247,1.05,1.025
248,1.125,1.1
249,1.02,0.995
250,1.095,1.07
251,1.035,1.01
252,1.065,1.04
253,1.02,0.995
254,1.02,0.995
255,1.185,1.16
256,1.09,1.065
257,1.035,1.01
258,2.61,2.585
259,1.05,1.025
260,1.02,0.995
261,1.08,1.055
262,1.12,1.095
263,1.07,1.045
264,1.07,1.045
265,1.065,1.04
266,1.065,1.04
267,1.05,1.025
