,NeuralAgent_Student4_200aAgent_rng,Student4_200aAgent
316,2.705,3.08
317,2.87,3.045
318,2.71,3.11
319,2.615,3.14
320,2.695,3.12
321,2.79,3.04
322,2.805,3.03
323,2.825,3.05
324,2.73,3.105
325,2.695,3.145
326,2.715,3.115
327,2.825,3.0
328,2.885,2.985
329,2.755,3.105
330,2.84,3.04
331,2.78,3.055
332,2.865,3.04
333,2.795,3.12
334,2.825,3.075
335,2.865,3.04
336,2.86,3.01
337,2.755,3.13
338,2.83,3.03
339,2.835,3.06
340,2.665,3.04
341,2.81,3.06
342,2.82,3.045
343,2.84,3.065
344,2.865,3.015
345,2.76,3.085
346,2.805,3.08
347,2.7,3.15
348,2.835,3.085
349,2.78,3.055
350,2.84,3.04
351,2.79,3.115
352,2.815,3.09
353,2.745,3.145
354,2.83,3.08
355,2.765,3.09
356,2.785,3.035
357,2.885,3.035
358,2.8,3.075
359,2.815,3.065
360,2.84,3.09
361,2.81,3.085
362,2.75,3.15
363,2.77,3.095
364,2.785,3.11
365,2.735,3.11
366,2.76,3.11
367,2.85,3.05
368,2.775,3.1
369,2.835,3.085
370,2.77,3.12
371,2.8,3.1
372,2.815,3.09
373,2.815,3.09
374,2.79,3.09
375,2.75,3.125
376,2.8,3.1
377,2.855,3.055
378,2.72,3.145
379,2.705,3.13
380,2.765,3.09
381,2.76,3.11
382,2.805,3.13
383,2.765,3.09
384,2.84,3.065
385,2.735,3.135
386,2.78,3.105
387,2.845,3.095
388,2.775,3.075
389,2.85,3.075
390,2.805,3.105
391,2.84,3.09
392,2.625,3.175
393,2.775,3.1
394,2.835,3.085
395,2.83,3.105
396,2.665,3.19
397,2.82,3.095
398,2.765,3.14
399,2.79,3.09
400,2.85,3.075
401,2.825,3.075
402,2.835,3.085
403,2.77,3.12
404,2.76,3.085
405,2.79,3.115
406,2.71,3.11
407,2.82,3.12
408,2.825,3.1
409,2.82,3.07
410,2.725,3.15
411,2.805,3.105
412,2.81,3.11
413,2.835,3.085
414,2.81,3.11
415,2.83,3.105
416,2.795,3.12
417,2.855,3.08
418,2.81,3.11
419,2.83,3.105
420,2.825,3.1
421,2.8,3.125
422,2.765,3.115
423,2.795,3.12
424,2.775,3.1
425,2.745,3.145
426,2.735,3.16
427,2.805,3.105
428,2.815,3.115
429,2.825,3.1
430,2.81,3.11
431,2.75,3.125
432,2.745,3.145
433,2.83,3.105
434,2.8,3.125
435,2.815,3.115
436,2.79,3.14
437,2.785,3.135
438,2.775,3.125
439,2.77,3.095
440,2.77,3.145
441,2.8,3.125
442,2.83,3.105
443,2.805,3.13
444,2.82,3.12
445,2.805,3.105
446,2.815,3.115
447,2.83,3.105
448,2.765,3.115
449,2.83,3.105
450,2.84,3.09
451,2.795,3.12
452,2.78,3.13
453,2.815,3.115
454,2.81,3.11
455,2.81,3.11
456,2.785,3.135
457,2.73,3.13
458,2.835,3.085
459,2.795,3.12
460,2.835,3.11
461,2.79,3.115
462,2.69,3.19
463,2.83,3.105
464,2.785,3.135
465,2.83,3.105
466,2.83,3.105
467,2.815,3.115
468,2.785,3.11
469,2.77,3.145
470,2.765,3.065
471,2.77,3.145
472,2.85,3.1
473,2.805,3.13
474,2.805,3.105
475,2.805,3.13
476,2.795,3.12
477,2.785,3.11
478,2.81,3.11
479,2.775,3.125
480,2.815,3.115
481,2.805,3.13
482,2.77,3.145
483,2.775,3.15
484,2.795,3.12
485,2.83,3.105
486,2.83,3.105
487,2.82,3.12
488,2.76,3.135
489,2.825,3.1
490,2.745,3.145
491,2.78,3.13
492,2.81,3.11
493,2.8,3.125
494,2.79,3.115
495,2.785,3.135
496,2.825,3.1
497,2.805,3.13
498,2.73,3.155
499,2.835,3.11
500,2.715,3.14
501,2.77,3.145
502,2.8,3.125
503,2.785,3.135
504,2.805,3.105
505,2.84,3.09
506,2.765,3.14
507,2.815,3.115
508,2.82,3.095
509,2.805,3.13
510,2.85,3.075
511,2.73,3.13
512,2.805,3.13
513,2.77,3.12
514,2.73,3.155
515,2.715,3.14
516,2.685,3.16
517,2.84,3.09
518,2.785,3.135
519,2.76,3.16
520,2.825,3.1
521,2.835,3.11
522,2.8,3.125
523,2.795,3.12
524,2.81,3.11
525,2.825,3.1
526,2.77,3.12
527,2.86,3.06
528,2.835,3.11
529,2.79,3.14
530,2.76,3.135
531,2.83,3.105
532,2.79,3.115
533,2.815,3.065
534,2.81,3.11
535,2.835,3.11
536,2.775,3.125
537,2.82,3.12
538,2.86,3.085
539,2.785,3.085
540,2.77,3.145
541,2.775,3.1
542,2.845,3.095
543,2.745,3.145
544,2.79,3.14
545,2.805,3.105
546,2.855,3.08
547,2.805,3.13
548,2.835,3.11
549,2.82,3.12
550,2.845,3.095
551,2.82,3.12
552,2.815,3.115
553,2.79,3.115
554,2.835,3.085
555,2.81,3.11
556,2.815,3.115
557,2.62,3.17
558,2.8,3.125
559,2.835,3.11
560,2.85,3.1
561,2.835,3.11
562,2.835,3.11
563,2.78,3.13
564,2.78,3.13
565,2.77,3.12
566,2.87,3.07
